Deaths,CreationDate,Name
1,2020-03-22,Afghanistan
1,2020-03-23,Afghanistan
1,2020-03-24,Afghanistan
2,2020-03-25,Afghanistan
3,2020-03-26,Afghanistan
3,2020-03-27,Afghanistan
4,2020-03-28,Afghanistan
4,2020-03-29,Afghanistan
4,2020-03-30,Afghanistan
4,2020-03-31,Afghanistan
4,2020-04-01,Afghanistan
4,2020-04-02,Afghanistan
8,2020-04-03,Afghanistan
10,2020-04-04,Afghanistan
12,2020-04-05,Afghanistan
15,2020-04-06,Afghanistan
16,2020-04-07,Afghanistan
16,2020-04-08,Afghanistan
17,2020-04-09,Afghanistan
18,2020-04-10,Afghanistan
18,2020-04-11,Afghanistan
19,2020-04-12,Afghanistan
22,2020-04-13,Afghanistan
23,2020-04-14,Afghanistan
29,2020-04-15,Afghanistan
30,2020-04-16,Afghanistan
30,2020-04-17,Afghanistan
30,2020-04-18,Afghanistan
33,2020-04-19,Afghanistan
36,2020-04-20,Afghanistan
36,2020-04-21,Afghanistan
40,2020-04-22,Afghanistan
40,2020-04-23,Afghanistan
43,2020-04-24,Afghanistan
47,2020-04-25,Afghanistan
52,2020-04-26,Afghanistan
58,2020-04-27,Afghanistan
59,2020-04-28,Afghanistan
61,2020-04-29,Afghanistan
64,2020-04-30,Afghanistan
68,2020-05-01,Afghanistan
72,2020-05-02,Afghanistan
85,2020-05-03,Afghanistan
90,2020-05-04,Afghanistan
95,2020-05-05,Afghanistan
104,2020-05-06,Afghanistan
106,2020-05-07,Afghanistan
109,2020-05-08,Afghanistan
115,2020-05-09,Afghanistan
120,2020-05-10,Afghanistan
122,2020-05-11,Afghanistan
127,2020-05-12,Afghanistan
132,2020-05-13,Afghanistan
136,2020-05-14,Afghanistan
153,2020-05-15,Afghanistan
168,2020-05-16,Afghanistan
170,2020-05-17,Afghanistan
173,2020-05-18,Afghanistan
178,2020-05-19,Afghanistan
188,2020-05-20,Afghanistan
194,2020-05-21,Afghanistan
206,2020-05-22,Afghanistan
217,2020-05-23,Afghanistan
219,2020-05-24,Afghanistan
220,2020-05-25,Afghanistan
221,2020-05-26,Afghanistan
228,2020-05-27,Afghanistan
236,2020-05-28,Afghanistan
247,2020-05-29,Afghanistan
250,2020-05-30,Afghanistan
258,2020-05-31,Afghanistan
266,2020-06-01,Afghanistan
274,2020-06-02,Afghanistan
298,2020-06-03,Afghanistan
304,2020-06-04,Afghanistan
313,2020-06-05,Afghanistan
331,2020-06-06,Afghanistan
361,2020-06-07,Afghanistan
373,2020-06-08,Afghanistan
388,2020-06-09,Afghanistan
409,2020-06-10,Afghanistan
430,2020-06-11,Afghanistan
450,2020-06-12,Afghanistan
455,2020-06-13,Afghanistan
475,2020-06-14,Afghanistan
482,2020-06-15,Afghanistan
495,2020-06-16,Afghanistan
508,2020-06-17,Afghanistan
550,2020-06-18,Afghanistan
552,2020-06-19,Afghanistan
573,2020-06-20,Afghanistan
585,2020-06-21,Afghanistan
597,2020-06-22,Afghanistan
617,2020-06-23,Afghanistan
638,2020-06-24,Afghanistan
674,2020-06-25,Afghanistan
682,2020-06-26,Afghanistan
716,2020-06-27,Afghanistan
728,2020-06-28,Afghanistan
740,2020-06-29,Afghanistan
752,2020-06-30,Afghanistan
780,2020-07-01,Afghanistan
809,2020-07-02,Afghanistan
821,2020-07-03,Afghanistan
828,2020-07-04,Afghanistan
866,2020-07-05,Afghanistan
900,2020-07-06,Afghanistan
922,2020-07-07,Afghanistan
939,2020-07-08,Afghanistan
959,2020-07-09,Afghanistan
973,2020-07-10,Afghanistan
996,2020-07-11,Afghanistan
1012,2020-07-12,Afghanistan
1040,2020-07-13,Afghanistan
1064,2020-07-14,Afghanistan
1096,2020-07-15,Afghanistan
1117,2020-07-16,Afghanistan
1149,2020-07-17,Afghanistan
1166,2020-07-18,Afghanistan
1183,2020-07-19,Afghanistan
1185,2020-07-20,Afghanistan
1188,2020-07-21,Afghanistan
1192,2020-07-22,Afghanistan
1213,2020-07-23,Afghanistan
1227,2020-07-24,Afghanistan
1249,2020-07-25,Afghanistan
1261,2020-07-26,Afghanistan
1271,2020-07-27,Afghanistan
1272,2020-07-28,Afghanistan
1273,2020-07-29,Afghanistan
1283,2020-07-30,Afghanistan
1284,2020-07-31,Afghanistan
1285,2020-08-01,Afghanistan
1286,2020-08-02,Afghanistan
1290,2020-08-03,Afghanistan
1290,2020-08-04,Afghanistan
1296,2020-08-05,Afghanistan
1301,2020-08-06,Afghanistan
1310,2020-08-07,Afghanistan
1315,2020-08-08,Afghanistan
1321,2020-08-09,Afghanistan
1329,2020-08-10,Afghanistan
1346,2020-08-11,Afghanistan
1356,2020-08-12,Afghanistan
1365,2020-08-13,Afghanistan
1370,2020-08-14,Afghanistan
1371,2020-08-15,Afghanistan
1376,2020-08-16,Afghanistan
1378,2020-08-17,Afghanistan
1382,2020-08-18,Afghanistan
1384,2020-08-19,Afghanistan
1386,2020-08-20,Afghanistan
1386,2020-08-21,Afghanistan
1386,2020-08-22,Afghanistan
1388,2020-08-23,Afghanistan
1390,2020-08-24,Afghanistan
1398,2020-08-25,Afghanistan
1402,2020-08-26,Afghanistan
1402,2020-08-27,Afghanistan
1403,2020-08-28,Afghanistan
1403,2020-08-29,Afghanistan
1403,2020-08-30,Afghanistan
1403,2020-08-31,Afghanistan
1407,2020-09-01,Afghanistan
1410,2020-09-02,Afghanistan
1410,2020-09-03,Afghanistan
1410,2020-09-04,Afghanistan
1410,2020-09-05,Afghanistan
1413,2020-09-06,Afghanistan
1416,2020-09-07,Afghanistan
1419,2020-09-08,Afghanistan
1421,2020-09-09,Afghanistan
1421,2020-09-10,Afghanistan
1421,2020-09-11,Afghanistan
1421,2020-09-12,Afghanistan
1421,2020-09-13,Afghanistan
1427,2020-09-14,Afghanistan
1428,2020-09-15,Afghanistan
1438,2020-09-16,Afghanistan
1438,2020-09-17,Afghanistan
1439,2020-09-18,Afghanistan
1439,2020-09-19,Afghanistan
1443,2020-09-20,Afghanistan
1446,2020-09-21,Afghanistan
