Deaths,CreationDate,Name
1,2020-03-11,Albania
1,2020-03-12,Albania
1,2020-03-13,Albania
1,2020-03-14,Albania
1,2020-03-15,Albania
1,2020-03-16,Albania
1,2020-03-17,Albania
2,2020-03-18,Albania
2,2020-03-19,Albania
2,2020-03-20,Albania
2,2020-03-21,Albania
2,2020-03-22,Albania
4,2020-03-23,Albania
5,2020-03-24,Albania
5,2020-03-25,Albania
6,2020-03-26,Albania
8,2020-03-27,Albania
10,2020-03-28,Albania
10,2020-03-29,Albania
11,2020-03-30,Albania
15,2020-03-31,Albania
15,2020-04-01,Albania
16,2020-04-02,Albania
17,2020-04-03,Albania
20,2020-04-04,Albania
20,2020-04-05,Albania
21,2020-04-06,Albania
22,2020-04-07,Albania
22,2020-04-08,Albania
23,2020-04-09,Albania
23,2020-04-10,Albania
23,2020-04-11,Albania
23,2020-04-12,Albania
23,2020-04-13,Albania
24,2020-04-14,Albania
25,2020-04-15,Albania
26,2020-04-16,Albania
26,2020-04-17,Albania
26,2020-04-18,Albania
26,2020-04-19,Albania
26,2020-04-20,Albania
26,2020-04-21,Albania
27,2020-04-22,Albania
27,2020-04-23,Albania
27,2020-04-24,Albania
27,2020-04-25,Albania
28,2020-04-26,Albania
28,2020-04-27,Albania
30,2020-04-28,Albania
30,2020-04-29,Albania
31,2020-04-30,Albania
31,2020-05-01,Albania
31,2020-05-02,Albania
31,2020-05-03,Albania
31,2020-05-04,Albania
31,2020-05-05,Albania
31,2020-05-06,Albania
31,2020-05-07,Albania
31,2020-05-08,Albania
31,2020-05-09,Albania
31,2020-05-10,Albania
31,2020-05-11,Albania
31,2020-05-12,Albania
31,2020-05-13,Albania
31,2020-05-14,Albania
31,2020-05-15,Albania
31,2020-05-16,Albania
31,2020-05-17,Albania
31,2020-05-18,Albania
31,2020-05-19,Albania
31,2020-05-20,Albania
31,2020-05-21,Albania
31,2020-05-22,Albania
31,2020-05-23,Albania
32,2020-05-24,Albania
32,2020-05-25,Albania
33,2020-05-26,Albania
33,2020-05-27,Albania
33,2020-05-28,Albania
33,2020-05-29,Albania
33,2020-05-30,Albania
33,2020-05-31,Albania
33,2020-06-01,Albania
33,2020-06-02,Albania
33,2020-06-03,Albania
33,2020-06-04,Albania
33,2020-06-05,Albania
34,2020-06-06,Albania
34,2020-06-07,Albania
34,2020-06-08,Albania
34,2020-06-09,Albania
34,2020-06-10,Albania
35,2020-06-11,Albania
36,2020-06-12,Albania
36,2020-06-13,Albania
36,2020-06-14,Albania
36,2020-06-15,Albania
37,2020-06-16,Albania
38,2020-06-17,Albania
39,2020-06-18,Albania
42,2020-06-19,Albania
43,2020-06-20,Albania
44,2020-06-21,Albania
44,2020-06-22,Albania
45,2020-06-23,Albania
47,2020-06-24,Albania
