Deaths,CreationDate,Name
1,2020-03-12,Algeria
2,2020-03-13,Algeria
3,2020-03-14,Algeria
4,2020-03-15,Algeria
4,2020-03-16,Algeria
4,2020-03-17,Algeria
7,2020-03-18,Algeria
9,2020-03-19,Algeria
11,2020-03-20,Algeria
15,2020-03-21,Algeria
17,2020-03-22,Algeria
17,2020-03-23,Algeria
19,2020-03-24,Algeria
21,2020-03-25,Algeria
25,2020-03-26,Algeria
26,2020-03-27,Algeria
29,2020-03-28,Algeria
31,2020-03-29,Algeria
35,2020-03-30,Algeria
44,2020-03-31,Algeria
58,2020-04-01,Algeria
86,2020-04-02,Algeria
105,2020-04-03,Algeria
130,2020-04-04,Algeria
152,2020-04-05,Algeria
173,2020-04-06,Algeria
193,2020-04-07,Algeria
205,2020-04-08,Algeria
235,2020-04-09,Algeria
256,2020-04-10,Algeria
275,2020-04-11,Algeria
293,2020-04-12,Algeria
313,2020-04-13,Algeria
326,2020-04-14,Algeria
336,2020-04-15,Algeria
348,2020-04-16,Algeria
364,2020-04-17,Algeria
367,2020-04-18,Algeria
375,2020-04-19,Algeria
384,2020-04-20,Algeria
392,2020-04-21,Algeria
402,2020-04-22,Algeria
407,2020-04-23,Algeria
415,2020-04-24,Algeria
419,2020-04-25,Algeria
425,2020-04-26,Algeria
432,2020-04-27,Algeria
437,2020-04-28,Algeria
444,2020-04-29,Algeria
450,2020-04-30,Algeria
453,2020-05-01,Algeria
459,2020-05-02,Algeria
463,2020-05-03,Algeria
465,2020-05-04,Algeria
470,2020-05-05,Algeria
476,2020-05-06,Algeria
483,2020-05-07,Algeria
488,2020-05-08,Algeria
494,2020-05-09,Algeria
502,2020-05-10,Algeria
507,2020-05-11,Algeria
515,2020-05-12,Algeria
522,2020-05-13,Algeria
529,2020-05-14,Algeria
536,2020-05-15,Algeria
542,2020-05-16,Algeria
548,2020-05-17,Algeria
555,2020-05-18,Algeria
561,2020-05-19,Algeria
568,2020-05-20,Algeria
575,2020-05-21,Algeria
582,2020-05-22,Algeria
592,2020-05-23,Algeria
600,2020-05-24,Algeria
609,2020-05-25,Algeria
617,2020-05-26,Algeria
623,2020-05-27,Algeria
630,2020-05-28,Algeria
638,2020-05-29,Algeria
646,2020-05-30,Algeria
653,2020-05-31,Algeria
661,2020-06-01,Algeria
667,2020-06-02,Algeria
673,2020-06-03,Algeria
681,2020-06-04,Algeria
690,2020-06-05,Algeria
698,2020-06-06,Algeria
707,2020-06-07,Algeria
715,2020-06-08,Algeria
724,2020-06-09,Algeria
732,2020-06-10,Algeria
741,2020-06-11,Algeria
751,2020-06-12,Algeria
760,2020-06-13,Algeria
767,2020-06-14,Algeria
777,2020-06-15,Algeria
788,2020-06-16,Algeria
799,2020-06-17,Algeria
811,2020-06-18,Algeria
825,2020-06-19,Algeria
837,2020-06-20,Algeria
845,2020-06-21,Algeria
852,2020-06-22,Algeria
861,2020-06-23,Algeria
869,2020-06-24,Algeria
878,2020-06-25,Algeria
885,2020-06-26,Algeria
892,2020-06-27,Algeria
897,2020-06-28,Algeria
905,2020-06-29,Algeria
912,2020-06-30,Algeria
920,2020-07-01,Algeria
928,2020-07-02,Algeria
937,2020-07-03,Algeria
946,2020-07-04,Algeria
952,2020-07-05,Algeria
959,2020-07-06,Algeria
968,2020-07-07,Algeria
978,2020-07-08,Algeria
988,2020-07-09,Algeria
996,2020-07-10,Algeria
1004,2020-07-11,Algeria
1011,2020-07-12,Algeria
1018,2020-07-13,Algeria
1028,2020-07-14,Algeria
1040,2020-07-15,Algeria
1052,2020-07-16,Algeria
1057,2020-07-17,Algeria
1068,2020-07-18,Algeria
1078,2020-07-19,Algeria
1087,2020-07-20,Algeria
1100,2020-07-21,Algeria
1111,2020-07-22,Algeria
1124,2020-07-23,Algeria
1136,2020-07-24,Algeria
1146,2020-07-25,Algeria
1155,2020-07-26,Algeria
1163,2020-07-27,Algeria
1174,2020-07-28,Algeria
1186,2020-07-29,Algeria
1200,2020-07-30,Algeria
1210,2020-07-31,Algeria
1223,2020-08-01,Algeria
1231,2020-08-02,Algeria
1239,2020-08-03,Algeria
1248,2020-08-04,Algeria
1261,2020-08-05,Algeria
1273,2020-08-06,Algeria
1282,2020-08-07,Algeria
1293,2020-08-08,Algeria
1302,2020-08-09,Algeria
1312,2020-08-10,Algeria
1322,2020-08-11,Algeria
1333,2020-08-12,Algeria
1341,2020-08-13,Algeria
1351,2020-08-14,Algeria
1360,2020-08-15,Algeria
1370,2020-08-16,Algeria
1379,2020-08-17,Algeria
1391,2020-08-18,Algeria
1402,2020-08-19,Algeria
1411,2020-08-20,Algeria
1418,2020-08-21,Algeria
1424,2020-08-22,Algeria
1435,2020-08-23,Algeria
