Deaths,CreationDate,Name
1,2020-03-22,Andorra
1,2020-03-23,Andorra
1,2020-03-24,Andorra
1,2020-03-25,Andorra
3,2020-03-26,Andorra
3,2020-03-27,Andorra
3,2020-03-28,Andorra
6,2020-03-29,Andorra
8,2020-03-30,Andorra
12,2020-03-31,Andorra
14,2020-04-01,Andorra
15,2020-04-02,Andorra
16,2020-04-03,Andorra
17,2020-04-04,Andorra
18,2020-04-05,Andorra
21,2020-04-06,Andorra
22,2020-04-07,Andorra
23,2020-04-08,Andorra
25,2020-04-09,Andorra
26,2020-04-10,Andorra
26,2020-04-11,Andorra
29,2020-04-12,Andorra
29,2020-04-13,Andorra
31,2020-04-14,Andorra
33,2020-04-15,Andorra
33,2020-04-16,Andorra
35,2020-04-17,Andorra
35,2020-04-18,Andorra
36,2020-04-19,Andorra
37,2020-04-20,Andorra
37,2020-04-21,Andorra
37,2020-04-22,Andorra
37,2020-04-23,Andorra
40,2020-04-24,Andorra
40,2020-04-25,Andorra
40,2020-04-26,Andorra
40,2020-04-27,Andorra
41,2020-04-28,Andorra
42,2020-04-29,Andorra
42,2020-04-30,Andorra
43,2020-05-01,Andorra
44,2020-05-02,Andorra
45,2020-05-03,Andorra
45,2020-05-04,Andorra
46,2020-05-05,Andorra
46,2020-05-06,Andorra
47,2020-05-07,Andorra
47,2020-05-08,Andorra
48,2020-05-09,Andorra
48,2020-05-10,Andorra
48,2020-05-11,Andorra
48,2020-05-12,Andorra
49,2020-05-13,Andorra
49,2020-05-14,Andorra
49,2020-05-15,Andorra
51,2020-05-16,Andorra
51,2020-05-17,Andorra
51,2020-05-18,Andorra
51,2020-05-19,Andorra
51,2020-05-20,Andorra
51,2020-05-21,Andorra
51,2020-05-22,Andorra
51,2020-05-23,Andorra
51,2020-05-24,Andorra
51,2020-05-25,Andorra
51,2020-05-26,Andorra
51,2020-05-27,Andorra
51,2020-05-28,Andorra
51,2020-05-29,Andorra
51,2020-05-30,Andorra
51,2020-05-31,Andorra
51,2020-06-01,Andorra
51,2020-06-02,Andorra
51,2020-06-03,Andorra
51,2020-06-04,Andorra
51,2020-06-05,Andorra
51,2020-06-06,Andorra
51,2020-06-07,Andorra
51,2020-06-08,Andorra
51,2020-06-09,Andorra
51,2020-06-10,Andorra
51,2020-06-11,Andorra
51,2020-06-12,Andorra
51,2020-06-13,Andorra
51,2020-06-14,Andorra
51,2020-06-15,Andorra
52,2020-06-16,Andorra
52,2020-06-17,Andorra
52,2020-06-18,Andorra
52,2020-06-19,Andorra
52,2020-06-20,Andorra
52,2020-06-21,Andorra
52,2020-06-22,Andorra
52,2020-06-23,Andorra
52,2020-06-24,Andorra
52,2020-06-25,Andorra
52,2020-06-26,Andorra
52,2020-06-27,Andorra
52,2020-06-28,Andorra
52,2020-06-29,Andorra
52,2020-06-30,Andorra
52,2020-07-01,Andorra
52,2020-07-02,Andorra
52,2020-07-03,Andorra
52,2020-07-04,Andorra
52,2020-07-05,Andorra
52,2020-07-06,Andorra
52,2020-07-07,Andorra
52,2020-07-08,Andorra
52,2020-07-09,Andorra
52,2020-07-10,Andorra
52,2020-07-11,Andorra
52,2020-07-12,Andorra
52,2020-07-13,Andorra
52,2020-07-14,Andorra
52,2020-07-15,Andorra
52,2020-07-16,Andorra
52,2020-07-17,Andorra
52,2020-07-18,Andorra
52,2020-07-19,Andorra
52,2020-07-20,Andorra
52,2020-07-21,Andorra
52,2020-07-22,Andorra
52,2020-07-23,Andorra
52,2020-07-24,Andorra
52,2020-07-25,Andorra
52,2020-07-26,Andorra
52,2020-07-27,Andorra
52,2020-07-28,Andorra
52,2020-07-29,Andorra
52,2020-07-30,Andorra
52,2020-07-31,Andorra
52,2020-08-01,Andorra
52,2020-08-02,Andorra
52,2020-08-03,Andorra
52,2020-08-04,Andorra
52,2020-08-05,Andorra
52,2020-08-06,Andorra
52,2020-08-07,Andorra
52,2020-08-08,Andorra
52,2020-08-09,Andorra
52,2020-08-10,Andorra
52,2020-08-11,Andorra
53,2020-08-12,Andorra
53,2020-08-13,Andorra
53,2020-08-14,Andorra
53,2020-08-15,Andorra
53,2020-08-16,Andorra
53,2020-08-17,Andorra
53,2020-08-18,Andorra
53,2020-08-19,Andorra
53,2020-08-20,Andorra
53,2020-08-21,Andorra
53,2020-08-22,Andorra
53,2020-08-23,Andorra
53,2020-08-24,Andorra
53,2020-08-25,Andorra
53,2020-08-26,Andorra
53,2020-08-27,Andorra
53,2020-08-28,Andorra
53,2020-08-29,Andorra
53,2020-08-30,Andorra
53,2020-08-31,Andorra
53,2020-09-01,Andorra
53,2020-09-02,Andorra
53,2020-09-03,Andorra
53,2020-09-04,Andorra
53,2020-09-05,Andorra
53,2020-09-06,Andorra
53,2020-09-07,Andorra
53,2020-09-08,Andorra
53,2020-09-09,Andorra
53,2020-09-10,Andorra
53,2020-09-11,Andorra
53,2020-09-12,Andorra
53,2020-09-13,Andorra
53,2020-09-14,Andorra
53,2020-09-15,Andorra
53,2020-09-16,Andorra
53,2020-09-17,Andorra
53,2020-09-18,Andorra
53,2020-09-19,Andorra
53,2020-09-20,Andorra
53,2020-09-21,Andorra
53,2020-09-22,Andorra
53,2020-09-23,Andorra
53,2020-09-24,Andorra
53,2020-09-25,Andorra
53,2020-09-26,Andorra
53,2020-09-27,Andorra
53,2020-09-28,Andorra
53,2020-09-29,Andorra
53,2020-09-30,Andorra
53,2020-10-01,Andorra
53,2020-10-02,Andorra
53,2020-10-03,Andorra
53,2020-10-04,Andorra
53,2020-10-05,Andorra
53,2020-10-06,Andorra
53,2020-10-07,Andorra
54,2020-10-08,Andorra
55,2020-10-09,Andorra
55,2020-10-10,Andorra
55,2020-10-11,Andorra
57,2020-10-12,Andorra
57,2020-10-13,Andorra
59,2020-10-14,Andorra
59,2020-10-15,Andorra
59,2020-10-16,Andorra
59,2020-10-17,Andorra
59,2020-10-18,Andorra
62,2020-10-19,Andorra
62,2020-10-20,Andorra
63,2020-10-21,Andorra
63,2020-10-22,Andorra
69,2020-10-23,Andorra
69,2020-10-24,Andorra
69,2020-10-25,Andorra
72,2020-10-26,Andorra
72,2020-10-27,Andorra
72,2020-10-28,Andorra
73,2020-10-29,Andorra
75,2020-10-30,Andorra
75,2020-10-31,Andorra
75,2020-11-01,Andorra
75,2020-11-02,Andorra
75,2020-11-03,Andorra
75,2020-11-04,Andorra
75,2020-11-05,Andorra
