Deaths,CreationDate,Name
2,2020-03-29,Angola
2,2020-03-30,Angola
2,2020-03-31,Angola
2,2020-04-01,Angola
2,2020-04-02,Angola
2,2020-04-03,Angola
2,2020-04-04,Angola
2,2020-04-05,Angola
2,2020-04-06,Angola
2,2020-04-07,Angola
2,2020-04-08,Angola
2,2020-04-09,Angola
2,2020-04-10,Angola
2,2020-04-11,Angola
2,2020-04-12,Angola
2,2020-04-13,Angola
2,2020-04-14,Angola
2,2020-04-15,Angola
2,2020-04-16,Angola
2,2020-04-17,Angola
2,2020-04-18,Angola
2,2020-04-19,Angola
2,2020-04-20,Angola
2,2020-04-21,Angola
2,2020-04-22,Angola
2,2020-04-23,Angola
2,2020-04-24,Angola
2,2020-04-25,Angola
2,2020-04-26,Angola
2,2020-04-27,Angola
2,2020-04-28,Angola
2,2020-04-29,Angola
2,2020-04-30,Angola
2,2020-05-01,Angola
2,2020-05-02,Angola
2,2020-05-03,Angola
2,2020-05-04,Angola
2,2020-05-05,Angola
2,2020-05-06,Angola
2,2020-05-07,Angola
2,2020-05-08,Angola
2,2020-05-09,Angola
2,2020-05-10,Angola
2,2020-05-11,Angola
2,2020-05-12,Angola
2,2020-05-13,Angola
2,2020-05-14,Angola
2,2020-05-15,Angola
2,2020-05-16,Angola
2,2020-05-17,Angola
3,2020-05-18,Angola
3,2020-05-19,Angola
3,2020-05-20,Angola
3,2020-05-21,Angola
3,2020-05-22,Angola
4,2020-05-23,Angola
4,2020-05-24,Angola
4,2020-05-25,Angola
4,2020-05-26,Angola
4,2020-05-27,Angola
4,2020-05-28,Angola
4,2020-05-29,Angola
4,2020-05-30,Angola
4,2020-05-31,Angola
4,2020-06-01,Angola
4,2020-06-02,Angola
4,2020-06-03,Angola
4,2020-06-04,Angola
4,2020-06-05,Angola
4,2020-06-06,Angola
4,2020-06-07,Angola
4,2020-06-08,Angola
4,2020-06-09,Angola
4,2020-06-10,Angola
5,2020-06-11,Angola
5,2020-06-12,Angola
6,2020-06-13,Angola
6,2020-06-14,Angola
6,2020-06-15,Angola
6,2020-06-16,Angola
7,2020-06-17,Angola
8,2020-06-18,Angola
8,2020-06-19,Angola
9,2020-06-20,Angola
9,2020-06-21,Angola
10,2020-06-22,Angola
10,2020-06-23,Angola
10,2020-06-24,Angola
10,2020-06-25,Angola
10,2020-06-26,Angola
10,2020-06-27,Angola
11,2020-06-28,Angola
11,2020-06-29,Angola
13,2020-06-30,Angola
15,2020-07-01,Angola
17,2020-07-02,Angola
