Deaths,CreationDate,Name
1,2020-03-08,Argentina
1,2020-03-09,Argentina
1,2020-03-10,Argentina
1,2020-03-11,Argentina
1,2020-03-12,Argentina
2,2020-03-13,Argentina
2,2020-03-14,Argentina
2,2020-03-15,Argentina
2,2020-03-16,Argentina
2,2020-03-17,Argentina
2,2020-03-18,Argentina
3,2020-03-19,Argentina
3,2020-03-20,Argentina
4,2020-03-21,Argentina
4,2020-03-22,Argentina
4,2020-03-23,Argentina
6,2020-03-24,Argentina
8,2020-03-25,Argentina
9,2020-03-26,Argentina
13,2020-03-27,Argentina
18,2020-03-28,Argentina
19,2020-03-29,Argentina
23,2020-03-30,Argentina
27,2020-03-31,Argentina
28,2020-04-01,Argentina
36,2020-04-02,Argentina
39,2020-04-03,Argentina
43,2020-04-04,Argentina
44,2020-04-05,Argentina
48,2020-04-06,Argentina
56,2020-04-07,Argentina
63,2020-04-08,Argentina
72,2020-04-09,Argentina
82,2020-04-10,Argentina
83,2020-04-11,Argentina
90,2020-04-12,Argentina
97,2020-04-13,Argentina
102,2020-04-14,Argentina
111,2020-04-15,Argentina
115,2020-04-16,Argentina
123,2020-04-17,Argentina
129,2020-04-18,Argentina
132,2020-04-19,Argentina
136,2020-04-20,Argentina
147,2020-04-21,Argentina
152,2020-04-22,Argentina
165,2020-04-23,Argentina
176,2020-04-24,Argentina
185,2020-04-25,Argentina
192,2020-04-26,Argentina
197,2020-04-27,Argentina
207,2020-04-28,Argentina
214,2020-04-29,Argentina
218,2020-04-30,Argentina
225,2020-05-01,Argentina
237,2020-05-02,Argentina
246,2020-05-03,Argentina
260,2020-05-04,Argentina
264,2020-05-05,Argentina
273,2020-05-06,Argentina
282,2020-05-07,Argentina
293,2020-05-08,Argentina
300,2020-05-09,Argentina
305,2020-05-10,Argentina
314,2020-05-11,Argentina
319,2020-05-12,Argentina
329,2020-05-13,Argentina
353,2020-05-14,Argentina
356,2020-05-15,Argentina
363,2020-05-16,Argentina
373,2020-05-17,Argentina
382,2020-05-18,Argentina
393,2020-05-19,Argentina
403,2020-05-20,Argentina
416,2020-05-21,Argentina
433,2020-05-22,Argentina
445,2020-05-23,Argentina
452,2020-05-24,Argentina
467,2020-05-25,Argentina
484,2020-05-26,Argentina
500,2020-05-27,Argentina
508,2020-05-28,Argentina
520,2020-05-29,Argentina
528,2020-05-30,Argentina
539,2020-05-31,Argentina
556,2020-06-01,Argentina
569,2020-06-02,Argentina
583,2020-06-03,Argentina
608,2020-06-04,Argentina
632,2020-06-05,Argentina
648,2020-06-06,Argentina
664,2020-06-07,Argentina
693,2020-06-08,Argentina
717,2020-06-09,Argentina
735,2020-06-10,Argentina
765,2020-06-11,Argentina
785,2020-06-12,Argentina
815,2020-06-13,Argentina
833,2020-06-14,Argentina
854,2020-06-15,Argentina
878,2020-06-16,Argentina
913,2020-06-17,Argentina
948,2020-06-18,Argentina
979,2020-06-19,Argentina
992,2020-06-20,Argentina
1011,2020-06-21,Argentina
1043,2020-06-22,Argentina
1078,2020-06-23,Argentina
1116,2020-06-24,Argentina
1150,2020-06-25,Argentina
1184,2020-06-26,Argentina
1207,2020-06-27,Argentina
1232,2020-06-28,Argentina
1280,2020-06-29,Argentina
1307,2020-06-30,Argentina
1351,2020-07-01,Argentina
1385,2020-07-02,Argentina
1437,2020-07-03,Argentina
1481,2020-07-04,Argentina
1507,2020-07-05,Argentina
1582,2020-07-06,Argentina
1644,2020-07-07,Argentina
1694,2020-07-08,Argentina
1720,2020-07-09,Argentina
1774,2020-07-10,Argentina
1810,2020-07-11,Argentina
1845,2020-07-12,Argentina
1903,2020-07-13,Argentina
1968,2020-07-14,Argentina
2050,2020-07-15,Argentina
2112,2020-07-16,Argentina
2178,2020-07-17,Argentina
2220,2020-07-18,Argentina
2260,2020-07-19,Argentina
2373,2020-07-20,Argentina
2490,2020-07-21,Argentina
2588,2020-07-22,Argentina
2702,2020-07-23,Argentina
2807,2020-07-24,Argentina
2893,2020-07-25,Argentina
