Deaths,CreationDate,Name
1,2020-04-15,Aruba
2,2020-04-16,Aruba
2,2020-04-17,Aruba
2,2020-04-18,Aruba
2,2020-04-19,Aruba
2,2020-04-20,Aruba
2,2020-04-21,Aruba
2,2020-04-22,Aruba
2,2020-04-23,Aruba
2,2020-04-24,Aruba
2,2020-04-25,Aruba
2,2020-04-26,Aruba
2,2020-04-27,Aruba
2,2020-04-28,Aruba
2,2020-04-29,Aruba
2,2020-04-30,Aruba
2,2020-05-01,Aruba
2,2020-05-02,Aruba
2,2020-05-03,Aruba
2,2020-05-04,Aruba
2,2020-05-05,Aruba
2,2020-05-06,Aruba
3,2020-05-07,Aruba
3,2020-05-08,Aruba
3,2020-05-09,Aruba
3,2020-05-10,Aruba
3,2020-05-11,Aruba
3,2020-05-12,Aruba
3,2020-05-13,Aruba
3,2020-05-14,Aruba
3,2020-05-15,Aruba
3,2020-05-16,Aruba
3,2020-05-17,Aruba
3,2020-05-18,Aruba
3,2020-05-19,Aruba
3,2020-05-20,Aruba
3,2020-05-21,Aruba
3,2020-05-22,Aruba
3,2020-05-23,Aruba
3,2020-05-24,Aruba
3,2020-05-25,Aruba
3,2020-05-26,Aruba
3,2020-05-27,Aruba
3,2020-05-28,Aruba
3,2020-05-29,Aruba
3,2020-05-30,Aruba
3,2020-05-31,Aruba
3,2020-06-01,Aruba
3,2020-06-02,Aruba
3,2020-06-03,Aruba
3,2020-06-04,Aruba
3,2020-06-05,Aruba
3,2020-06-06,Aruba
3,2020-06-07,Aruba
3,2020-06-08,Aruba
3,2020-06-09,Aruba
3,2020-06-10,Aruba
3,2020-06-11,Aruba
3,2020-06-12,Aruba
3,2020-06-13,Aruba
3,2020-06-14,Aruba
3,2020-06-15,Aruba
3,2020-06-16,Aruba
3,2020-06-17,Aruba
3,2020-06-18,Aruba
3,2020-06-19,Aruba
3,2020-06-20,Aruba
3,2020-06-21,Aruba
3,2020-06-22,Aruba
3,2020-06-23,Aruba
3,2020-06-24,Aruba
3,2020-06-25,Aruba
3,2020-06-26,Aruba
3,2020-06-27,Aruba
3,2020-06-28,Aruba
3,2020-06-29,Aruba
3,2020-06-30,Aruba
3,2020-07-01,Aruba
3,2020-07-02,Aruba
3,2020-07-03,Aruba
3,2020-07-04,Aruba
3,2020-07-05,Aruba
3,2020-07-06,Aruba
