Deaths,CreationDate,Name
1,2020-03-01,Australia
1,2020-03-02,Australia
1,2020-03-03,Australia
2,2020-03-04,Australia
2,2020-03-05,Australia
2,2020-03-06,Australia
2,2020-03-07,Australia
3,2020-03-08,Australia
3,2020-03-09,Australia
3,2020-03-10,Australia
3,2020-03-11,Australia
3,2020-03-12,Australia
3,2020-03-13,Australia
3,2020-03-14,Australia
3,2020-03-15,Australia
3,2020-03-16,Australia
5,2020-03-17,Australia
6,2020-03-18,Australia
6,2020-03-19,Australia
7,2020-03-20,Australia
7,2020-03-21,Australia
7,2020-03-22,Australia
7,2020-03-23,Australia
8,2020-03-24,Australia
8,2020-03-25,Australia
13,2020-03-26,Australia
13,2020-03-27,Australia
14,2020-03-28,Australia
16,2020-03-29,Australia
17,2020-03-30,Australia
18,2020-03-31,Australia
20,2020-04-01,Australia
24,2020-04-02,Australia
28,2020-04-03,Australia
30,2020-04-04,Australia
35,2020-04-05,Australia
40,2020-04-06,Australia
45,2020-04-07,Australia
50,2020-04-08,Australia
51,2020-04-09,Australia
54,2020-04-10,Australia
57,2020-04-11,Australia
60,2020-04-12,Australia
61,2020-04-13,Australia
62,2020-04-14,Australia
63,2020-04-15,Australia
63,2020-04-16,Australia
66,2020-04-17,Australia
67,2020-04-18,Australia
67,2020-04-19,Australia
67,2020-04-20,Australia
67,2020-04-21,Australia
67,2020-04-22,Australia
75,2020-04-23,Australia
79,2020-04-24,Australia
80,2020-04-25,Australia
83,2020-04-26,Australia
83,2020-04-27,Australia
89,2020-04-28,Australia
91,2020-04-29,Australia
93,2020-04-30,Australia
93,2020-05-01,Australia
94,2020-05-02,Australia
95,2020-05-03,Australia
96,2020-05-04,Australia
97,2020-05-05,Australia
97,2020-05-06,Australia
97,2020-05-07,Australia
97,2020-05-08,Australia
97,2020-05-09,Australia
97,2020-05-10,Australia
97,2020-05-11,Australia
98,2020-05-12,Australia
98,2020-05-13,Australia
98,2020-05-14,Australia
98,2020-05-15,Australia
98,2020-05-16,Australia
99,2020-05-17,Australia
99,2020-05-18,Australia
100,2020-05-19,Australia
100,2020-05-20,Australia
101,2020-05-21,Australia
101,2020-05-22,Australia
102,2020-05-23,Australia
102,2020-05-24,Australia
102,2020-05-25,Australia
103,2020-05-26,Australia
103,2020-05-27,Australia
103,2020-05-28,Australia
103,2020-05-29,Australia
103,2020-05-30,Australia
103,2020-05-31,Australia
102,2020-06-01,Australia
102,2020-06-02,Australia
102,2020-06-03,Australia
102,2020-06-04,Australia
102,2020-06-05,Australia
102,2020-06-06,Australia
102,2020-06-07,Australia
102,2020-06-08,Australia
102,2020-06-09,Australia
102,2020-06-10,Australia
102,2020-06-11,Australia
102,2020-06-12,Australia
102,2020-06-13,Australia
102,2020-06-14,Australia
102,2020-06-15,Australia
102,2020-06-16,Australia
102,2020-06-17,Australia
102,2020-06-18,Australia
102,2020-06-19,Australia
102,2020-06-20,Australia
102,2020-06-21,Australia
102,2020-06-22,Australia
103,2020-06-23,Australia
104,2020-06-24,Australia
104,2020-06-25,Australia
104,2020-06-26,Australia
104,2020-06-27,Australia
104,2020-06-28,Australia
104,2020-06-29,Australia
104,2020-06-30,Australia
104,2020-07-01,Australia
104,2020-07-02,Australia
104,2020-07-03,Australia
104,2020-07-04,Australia
106,2020-07-05,Australia
106,2020-07-06,Australia
106,2020-07-07,Australia
106,2020-07-08,Australia
106,2020-07-09,Australia
107,2020-07-10,Australia
108,2020-07-11,Australia
108,2020-07-12,Australia
108,2020-07-13,Australia
111,2020-07-14,Australia
113,2020-07-15,Australia
116,2020-07-16,Australia
118,2020-07-17,Australia
122,2020-07-18,Australia
123,2020-07-19,Australia
126,2020-07-20,Australia
128,2020-07-21,Australia
133,2020-07-22,Australia
139,2020-07-23,Australia
145,2020-07-24,Australia
155,2020-07-25,Australia
161,2020-07-26,Australia
167,2020-07-27,Australia
176,2020-07-28,Australia
189,2020-07-29,Australia
196,2020-07-30,Australia
201,2020-07-31,Australia
208,2020-08-01,Australia
221,2020-08-02,Australia
232,2020-08-03,Australia
247,2020-08-04,Australia
255,2020-08-05,Australia
266,2020-08-06,Australia
278,2020-08-07,Australia
295,2020-08-08,Australia
313,2020-08-09,Australia
331,2020-08-10,Australia
352,2020-08-11,Australia
361,2020-08-12,Australia
375,2020-08-13,Australia
379,2020-08-14,Australia
396,2020-08-15,Australia
421,2020-08-16,Australia
438,2020-08-17,Australia
450,2020-08-18,Australia
463,2020-08-19,Australia
472,2020-08-20,Australia
485,2020-08-21,Australia
502,2020-08-22,Australia
517,2020-08-23,Australia
525,2020-08-24,Australia
549,2020-08-25,Australia
572,2020-08-26,Australia
583,2020-08-27,Australia
600,2020-08-28,Australia
611,2020-08-29,Australia
652,2020-08-30,Australia
657,2020-08-31,Australia
663,2020-09-01,Australia
678,2020-09-02,Australia
737,2020-09-03,Australia
748,2020-09-04,Australia
753,2020-09-05,Australia
762,2020-09-06,Australia
770,2020-09-07,Australia
781,2020-09-08,Australia
788,2020-09-09,Australia
797,2020-09-10,Australia
803,2020-09-11,Australia
810,2020-09-12,Australia
816,2020-09-13,Australia
816,2020-09-14,Australia
824,2020-09-15,Australia
832,2020-09-16,Australia
837,2020-09-17,Australia
844,2020-09-18,Australia
849,2020-09-19,Australia
851,2020-09-20,Australia
854,2020-09-21,Australia
