Deaths,CreationDate,Name
1,2020-03-12,Austria
1,2020-03-13,Austria
1,2020-03-14,Austria
1,2020-03-15,Austria
3,2020-03-16,Austria
3,2020-03-17,Austria
4,2020-03-18,Austria
6,2020-03-19,Austria
6,2020-03-20,Austria
8,2020-03-21,Austria
16,2020-03-22,Austria
21,2020-03-23,Austria
28,2020-03-24,Austria
30,2020-03-25,Austria
49,2020-03-26,Austria
58,2020-03-27,Austria
68,2020-03-28,Austria
86,2020-03-29,Austria
108,2020-03-30,Austria
128,2020-03-31,Austria
146,2020-04-01,Austria
158,2020-04-02,Austria
168,2020-04-03,Austria
186,2020-04-04,Austria
204,2020-04-05,Austria
220,2020-04-06,Austria
243,2020-04-07,Austria
273,2020-04-08,Austria
295,2020-04-09,Austria
319,2020-04-10,Austria
337,2020-04-11,Austria
350,2020-04-12,Austria
368,2020-04-13,Austria
384,2020-04-14,Austria
393,2020-04-15,Austria
410,2020-04-16,Austria
431,2020-04-17,Austria
443,2020-04-18,Austria
452,2020-04-19,Austria
470,2020-04-20,Austria
491,2020-04-21,Austria
510,2020-04-22,Austria
522,2020-04-23,Austria
530,2020-04-24,Austria
536,2020-04-25,Austria
542,2020-04-26,Austria
549,2020-04-27,Austria
569,2020-04-28,Austria
580,2020-04-29,Austria
584,2020-04-30,Austria
589,2020-05-01,Austria
596,2020-05-02,Austria
598,2020-05-03,Austria
600,2020-05-04,Austria
606,2020-05-05,Austria
608,2020-05-06,Austria
609,2020-05-07,Austria
614,2020-05-08,Austria
615,2020-05-09,Austria
618,2020-05-10,Austria
620,2020-05-11,Austria
623,2020-05-12,Austria
624,2020-05-13,Austria
626,2020-05-14,Austria
628,2020-05-15,Austria
629,2020-05-16,Austria
629,2020-05-17,Austria
629,2020-05-18,Austria
632,2020-05-19,Austria
633,2020-05-20,Austria
633,2020-05-21,Austria
635,2020-05-22,Austria
639,2020-05-23,Austria
640,2020-05-24,Austria
641,2020-05-25,Austria
643,2020-05-26,Austria
645,2020-05-27,Austria
668,2020-05-28,Austria
668,2020-05-29,Austria
668,2020-05-30,Austria
668,2020-05-31,Austria
668,2020-06-01,Austria
669,2020-06-02,Austria
670,2020-06-03,Austria
670,2020-06-04,Austria
672,2020-06-05,Austria
672,2020-06-06,Austria
672,2020-06-07,Austria
672,2020-06-08,Austria
672,2020-06-09,Austria
673,2020-06-10,Austria
674,2020-06-11,Austria
675,2020-06-12,Austria
677,2020-06-13,Austria
