Deaths,CreationDate,Name
1,2020-03-13,Azerbaijan
1,2020-03-14,Azerbaijan
1,2020-03-15,Azerbaijan
1,2020-03-16,Azerbaijan
1,2020-03-17,Azerbaijan
1,2020-03-18,Azerbaijan
1,2020-03-19,Azerbaijan
1,2020-03-20,Azerbaijan
1,2020-03-21,Azerbaijan
1,2020-03-22,Azerbaijan
1,2020-03-23,Azerbaijan
1,2020-03-24,Azerbaijan
2,2020-03-25,Azerbaijan
3,2020-03-26,Azerbaijan
3,2020-03-27,Azerbaijan
4,2020-03-28,Azerbaijan
4,2020-03-29,Azerbaijan
4,2020-03-30,Azerbaijan
5,2020-03-31,Azerbaijan
5,2020-04-01,Azerbaijan
5,2020-04-02,Azerbaijan
5,2020-04-03,Azerbaijan
5,2020-04-04,Azerbaijan
7,2020-04-05,Azerbaijan
7,2020-04-06,Azerbaijan
8,2020-04-07,Azerbaijan
8,2020-04-08,Azerbaijan
9,2020-04-09,Azerbaijan
10,2020-04-10,Azerbaijan
11,2020-04-11,Azerbaijan
11,2020-04-12,Azerbaijan
12,2020-04-13,Azerbaijan
13,2020-04-14,Azerbaijan
13,2020-04-15,Azerbaijan
15,2020-04-16,Azerbaijan
15,2020-04-17,Azerbaijan
18,2020-04-18,Azerbaijan
19,2020-04-19,Azerbaijan
19,2020-04-20,Azerbaijan
20,2020-04-21,Azerbaijan
20,2020-04-22,Azerbaijan
20,2020-04-23,Azerbaijan
21,2020-04-24,Azerbaijan
21,2020-04-25,Azerbaijan
21,2020-04-26,Azerbaijan
22,2020-04-27,Azerbaijan
22,2020-04-28,Azerbaijan
23,2020-04-29,Azerbaijan
24,2020-04-30,Azerbaijan
25,2020-05-01,Azerbaijan
25,2020-05-02,Azerbaijan
25,2020-05-03,Azerbaijan
26,2020-05-04,Azerbaijan
26,2020-05-05,Azerbaijan
28,2020-05-06,Azerbaijan
28,2020-05-07,Azerbaijan
28,2020-05-08,Azerbaijan
31,2020-05-09,Azerbaijan
32,2020-05-10,Azerbaijan
32,2020-05-11,Azerbaijan
33,2020-05-12,Azerbaijan
35,2020-05-13,Azerbaijan
35,2020-05-14,Azerbaijan
36,2020-05-15,Azerbaijan
36,2020-05-16,Azerbaijan
39,2020-05-17,Azerbaijan
40,2020-05-18,Azerbaijan
41,2020-05-19,Azerbaijan
43,2020-05-20,Azerbaijan
44,2020-05-21,Azerbaijan
46,2020-05-22,Azerbaijan
49,2020-05-23,Azerbaijan
49,2020-05-24,Azerbaijan
51,2020-05-25,Azerbaijan
52,2020-05-26,Azerbaijan
54,2020-05-27,Azerbaijan
56,2020-05-28,Azerbaijan
58,2020-05-29,Azerbaijan
61,2020-05-30,Azerbaijan
63,2020-05-31,Azerbaijan
68,2020-06-01,Azerbaijan
71,2020-06-02,Azerbaijan
76,2020-06-03,Azerbaijan
78,2020-06-04,Azerbaijan
82,2020-06-05,Azerbaijan
84,2020-06-06,Azerbaijan
88,2020-06-07,Azerbaijan
93,2020-06-08,Azerbaijan
98,2020-06-09,Azerbaijan
102,2020-06-10,Azerbaijan
108,2020-06-11,Azerbaijan
113,2020-06-12,Azerbaijan
115,2020-06-13,Azerbaijan
119,2020-06-14,Azerbaijan
122,2020-06-15,Azerbaijan
126,2020-06-16,Azerbaijan
133,2020-06-17,Azerbaijan
139,2020-06-18,Azerbaijan
143,2020-06-19,Azerbaijan
148,2020-06-20,Azerbaijan
154,2020-06-21,Azerbaijan
161,2020-06-22,Azerbaijan
167,2020-06-23,Azerbaijan
174,2020-06-24,Azerbaijan
180,2020-06-25,Azerbaijan
187,2020-06-26,Azerbaijan
193,2020-06-27,Azerbaijan
198,2020-06-28,Azerbaijan
206,2020-06-29,Azerbaijan
213,2020-06-30,Azerbaijan
220,2020-07-01,Azerbaijan
228,2020-07-02,Azerbaijan
235,2020-07-03,Azerbaijan
241,2020-07-04,Azerbaijan
250,2020-07-05,Azerbaijan
258,2020-07-06,Azerbaijan
265,2020-07-07,Azerbaijan
274,2020-07-08,Azerbaijan
284,2020-07-09,Azerbaijan
292,2020-07-10,Azerbaijan
298,2020-07-11,Azerbaijan
306,2020-07-12,Azerbaijan
313,2020-07-13,Azerbaijan
319,2020-07-14,Azerbaijan
326,2020-07-15,Azerbaijan
334,2020-07-16,Azerbaijan
341,2020-07-17,Azerbaijan
349,2020-07-18,Azerbaijan
354,2020-07-19,Azerbaijan
363,2020-07-20,Azerbaijan
376,2020-07-21,Azerbaijan
385,2020-07-22,Azerbaijan
391,2020-07-23,Azerbaijan
400,2020-07-24,Azerbaijan
408,2020-07-25,Azerbaijan
417,2020-07-26,Azerbaijan
423,2020-07-27,Azerbaijan
430,2020-07-28,Azerbaijan
438,2020-07-29,Azerbaijan
441,2020-07-30,Azerbaijan
448,2020-07-31,Azerbaijan
454,2020-08-01,Azerbaijan
462,2020-08-02,Azerbaijan
468,2020-08-03,Azerbaijan
473,2020-08-04,Azerbaijan
476,2020-08-05,Azerbaijan
479,2020-08-06,Azerbaijan
483,2020-08-07,Azerbaijan
488,2020-08-08,Azerbaijan
490,2020-08-09,Azerbaijan
492,2020-08-10,Azerbaijan
495,2020-08-11,Azerbaijan
497,2020-08-12,Azerbaijan
500,2020-08-13,Azerbaijan
504,2020-08-14,Azerbaijan
506,2020-08-15,Azerbaijan
506,2020-08-16,Azerbaijan
508,2020-08-17,Azerbaijan
509,2020-08-18,Azerbaijan
510,2020-08-19,Azerbaijan
510,2020-08-20,Azerbaijan
512,2020-08-21,Azerbaijan
515,2020-08-22,Azerbaijan
518,2020-08-23,Azerbaijan
519,2020-08-24,Azerbaijan
521,2020-08-25,Azerbaijan
522,2020-08-26,Azerbaijan
524,2020-08-27,Azerbaijan
527,2020-08-28,Azerbaijan
529,2020-08-29,Azerbaijan
531,2020-08-30,Azerbaijan
534,2020-08-31,Azerbaijan
536,2020-09-01,Azerbaijan
538,2020-09-02,Azerbaijan
541,2020-09-03,Azerbaijan
543,2020-09-04,Azerbaijan
545,2020-09-05,Azerbaijan
548,2020-09-06,Azerbaijan
551,2020-09-07,Azerbaijan
552,2020-09-08,Azerbaijan
555,2020-09-09,Azerbaijan
556,2020-09-10,Azerbaijan
557,2020-09-11,Azerbaijan
559,2020-09-12,Azerbaijan
562,2020-09-13,Azerbaijan
564,2020-09-14,Azerbaijan
566,2020-09-15,Azerbaijan
569,2020-09-16,Azerbaijan
571,2020-09-17,Azerbaijan
572,2020-09-18,Azerbaijan
574,2020-09-19,Azerbaijan
575,2020-09-20,Azerbaijan
576,2020-09-21,Azerbaijan
578,2020-09-22,Azerbaijan
580,2020-09-23,Azerbaijan
581,2020-09-24,Azerbaijan
583,2020-09-25,Azerbaijan
585,2020-09-26,Azerbaijan
586,2020-09-27,Azerbaijan
588,2020-09-28,Azerbaijan
590,2020-09-29,Azerbaijan
591,2020-09-30,Azerbaijan
593,2020-10-01,Azerbaijan
594,2020-10-02,Azerbaijan
595,2020-10-03,Azerbaijan
596,2020-10-04,Azerbaijan
598,2020-10-05,Azerbaijan
600,2020-10-06,Azerbaijan
602,2020-10-07,Azerbaijan
603,2020-10-08,Azerbaijan
605,2020-10-09,Azerbaijan
608,2020-10-10,Azerbaijan
609,2020-10-11,Azerbaijan
609,2020-10-12,Azerbaijan
612,2020-10-13,Azerbaijan
616,2020-10-14,Azerbaijan
619,2020-10-15,Azerbaijan
621,2020-10-16,Azerbaijan
623,2020-10-17,Azerbaijan
626,2020-10-18,Azerbaijan
630,2020-10-19,Azerbaijan
635,2020-10-20,Azerbaijan
642,2020-10-21,Azerbaijan
648,2020-10-22,Azerbaijan
656,2020-10-23,Azerbaijan
664,2020-10-24,Azerbaijan
671,2020-10-25,Azerbaijan
679,2020-10-26,Azerbaijan
688,2020-10-27,Azerbaijan
699,2020-10-28,Azerbaijan
708,2020-10-29,Azerbaijan
718,2020-10-30,Azerbaijan
730,2020-10-31,Azerbaijan
740,2020-11-01,Azerbaijan
753,2020-11-02,Azerbaijan
768,2020-11-03,Azerbaijan
780,2020-11-04,Azerbaijan
794,2020-11-05,Azerbaijan
811,2020-11-06,Azerbaijan
824,2020-11-07,Azerbaijan
840,2020-11-08,Azerbaijan
852,2020-11-09,Azerbaijan
867,2020-11-10,Azerbaijan
885,2020-11-11,Azerbaijan
905,2020-11-12,Azerbaijan
927,2020-11-13,Azerbaijan
946,2020-11-14,Azerbaijan
967,2020-11-15,Azerbaijan
985,2020-11-16,Azerbaijan
1005,2020-11-17,Azerbaijan
1030,2020-11-18,Azerbaijan
1053,2020-11-19,Azerbaijan
1079,2020-11-20,Azerbaijan
1107,2020-11-21,Azerbaijan
1131,2020-11-22,Azerbaijan
1160,2020-11-23,Azerbaijan
1194,2020-11-24,Azerbaijan
1224,2020-11-25,Azerbaijan
1256,2020-11-26,Azerbaijan
1291,2020-11-27,Azerbaijan
1323,2020-11-28,Azerbaijan
1361,2020-11-29,Azerbaijan
1392,2020-11-30,Azerbaijan
1433,2020-12-01,Azerbaijan
1470,2020-12-02,Azerbaijan
1510,2020-12-03,Azerbaijan
1551,2020-12-04,Azerbaijan
1593,2020-12-05,Azerbaijan
1632,2020-12-06,Azerbaijan
1675,2020-12-07,Azerbaijan
1713,2020-12-08,Azerbaijan
1755,2020-12-09,Azerbaijan
1793,2020-12-10,Azerbaijan
1840,2020-12-11,Azerbaijan
1883,2020-12-12,Azerbaijan
1922,2020-12-13,Azerbaijan
1966,2020-12-14,Azerbaijan
2007,2020-12-15,Azerbaijan
2050,2020-12-16,Azerbaijan
2088,2020-12-17,Azerbaijan
2133,2020-12-18,Azerbaijan
2175,2020-12-19,Azerbaijan
2210,2020-12-20,Azerbaijan
2253,2020-12-21,Azerbaijan
2294,2020-12-22,Azerbaijan
2340,2020-12-23,Azerbaijan
2380,2020-12-24,Azerbaijan
2416,2020-12-25,Azerbaijan
2454,2020-12-26,Azerbaijan
2499,2020-12-27,Azerbaijan
2538,2020-12-28,Azerbaijan
2575,2020-12-29,Azerbaijan
2609,2020-12-30,Azerbaijan
2641,2020-12-31,Azerbaijan
2670,2021-01-01,Azerbaijan
2703,2021-01-02,Azerbaijan
2733,2021-01-03,Azerbaijan
2761,2021-01-04,Azerbaijan
2792,2021-01-05,Azerbaijan
2818,2021-01-06,Azerbaijan
2845,2021-01-07,Azerbaijan
2869,2021-01-08,Azerbaijan
2890,2021-01-09,Azerbaijan
2909,2021-01-10,Azerbaijan
2926,2021-01-11,Azerbaijan
2941,2021-01-12,Azerbaijan
2957,2021-01-13,Azerbaijan
2971,2021-01-14,Azerbaijan
2983,2021-01-15,Azerbaijan
2998,2021-01-16,Azerbaijan
3009,2021-01-17,Azerbaijan
3022,2021-01-18,Azerbaijan
3032,2021-01-19,Azerbaijan
3044,2021-01-20,Azerbaijan
3053,2021-01-21,Azerbaijan
3064,2021-01-22,Azerbaijan
3072,2021-01-23,Azerbaijan
3082,2021-01-24,Azerbaijan
3093,2021-01-25,Azerbaijan
3100,2021-01-26,Azerbaijan
3105,2021-01-27,Azerbaijan
3113,2021-01-28,Azerbaijan
3119,2021-01-29,Azerbaijan
3126,2021-01-30,Azerbaijan
3132,2021-01-31,Azerbaijan
3136,2021-02-01,Azerbaijan
3141,2021-02-02,Azerbaijan
3145,2021-02-03,Azerbaijan
3148,2021-02-04,Azerbaijan
3153,2021-02-05,Azerbaijan
3156,2021-02-06,Azerbaijan
3158,2021-02-07,Azerbaijan
3161,2021-02-08,Azerbaijan
3163,2021-02-09,Azerbaijan
3167,2021-02-10,Azerbaijan
3170,2021-02-11,Azerbaijan
3173,2021-02-12,Azerbaijan
3178,2021-02-13,Azerbaijan
3180,2021-02-14,Azerbaijan
3183,2021-02-15,Azerbaijan
3185,2021-02-16,Azerbaijan
3187,2021-02-17,Azerbaijan
3190,2021-02-18,Azerbaijan
3193,2021-02-19,Azerbaijan
3195,2021-02-20,Azerbaijan
3198,2021-02-21,Azerbaijan
3202,2021-02-22,Azerbaijan
3204,2021-02-23,Azerbaijan
3206,2021-02-24,Azerbaijan
3209,2021-02-25,Azerbaijan
3213,2021-02-26,Azerbaijan
3218,2021-02-27,Azerbaijan
3220,2021-02-28,Azerbaijan
3223,2021-03-01,Azerbaijan
3225,2021-03-02,Azerbaijan
3230,2021-03-03,Azerbaijan
3232,2021-03-04,Azerbaijan
3235,2021-03-05,Azerbaijan
3238,2021-03-06,Azerbaijan
3241,2021-03-07,Azerbaijan
3247,2021-03-08,Azerbaijan
3250,2021-03-09,Azerbaijan
3257,2021-03-10,Azerbaijan
3262,2021-03-11,Azerbaijan
3268,2021-03-12,Azerbaijan
3276,2021-03-13,Azerbaijan
3282,2021-03-14,Azerbaijan
3286,2021-03-15,Azerbaijan
3298,2021-03-16,Azerbaijan
3307,2021-03-17,Azerbaijan
3314,2021-03-18,Azerbaijan
3325,2021-03-19,Azerbaijan
3339,2021-03-20,Azerbaijan
3351,2021-03-21,Azerbaijan
3366,2021-03-22,Azerbaijan
3384,2021-03-23,Azerbaijan
3404,2021-03-24,Azerbaijan
3421,2021-03-25,Azerbaijan
3445,2021-03-26,Azerbaijan
3464,2021-03-27,Azerbaijan
3491,2021-03-28,Azerbaijan
3513,2021-03-29,Azerbaijan
3538,2021-03-30,Azerbaijan
3567,2021-03-31,Azerbaijan
3593,2021-04-01,Azerbaijan
3617,2021-04-02,Azerbaijan
3648,2021-04-03,Azerbaijan
3677,2021-04-04,Azerbaijan
3711,2021-04-05,Azerbaijan
3743,2021-04-06,Azerbaijan
3780,2021-04-07,Azerbaijan
3811,2021-04-08,Azerbaijan
3846,2021-04-09,Azerbaijan
3879,2021-04-10,Azerbaijan
3915,2021-04-11,Azerbaijan
3944,2021-04-12,Azerbaijan
3978,2021-04-13,Azerbaijan
4009,2021-04-14,Azerbaijan
4045,2021-04-15,Azerbaijan
4077,2021-04-16,Azerbaijan
4107,2021-04-17,Azerbaijan
4140,2021-04-18,Azerbaijan
4169,2021-04-19,Azerbaijan
