Deaths,CreationDate,Name
1,2020-04-01,Bahamas
1,2020-04-02,Bahamas
1,2020-04-03,Bahamas
4,2020-04-04,Bahamas
4,2020-04-05,Bahamas
5,2020-04-06,Bahamas
6,2020-04-07,Bahamas
7,2020-04-08,Bahamas
8,2020-04-09,Bahamas
8,2020-04-10,Bahamas
8,2020-04-11,Bahamas
8,2020-04-12,Bahamas
8,2020-04-13,Bahamas
8,2020-04-14,Bahamas
8,2020-04-15,Bahamas
8,2020-04-16,Bahamas
9,2020-04-17,Bahamas
9,2020-04-18,Bahamas
9,2020-04-19,Bahamas
9,2020-04-20,Bahamas
9,2020-04-21,Bahamas
9,2020-04-22,Bahamas
11,2020-04-23,Bahamas
11,2020-04-24,Bahamas
11,2020-04-25,Bahamas
11,2020-04-26,Bahamas
11,2020-04-27,Bahamas
11,2020-04-28,Bahamas
11,2020-04-29,Bahamas
11,2020-04-30,Bahamas
11,2020-05-01,Bahamas
11,2020-05-02,Bahamas
11,2020-05-03,Bahamas
11,2020-05-04,Bahamas
11,2020-05-05,Bahamas
11,2020-05-06,Bahamas
11,2020-05-07,Bahamas
11,2020-05-08,Bahamas
11,2020-05-09,Bahamas
11,2020-05-10,Bahamas
11,2020-05-11,Bahamas
11,2020-05-12,Bahamas
11,2020-05-13,Bahamas
11,2020-05-14,Bahamas
11,2020-05-15,Bahamas
11,2020-05-16,Bahamas
11,2020-05-17,Bahamas
11,2020-05-18,Bahamas
11,2020-05-19,Bahamas
11,2020-05-20,Bahamas
11,2020-05-21,Bahamas
11,2020-05-22,Bahamas
11,2020-05-23,Bahamas
11,2020-05-24,Bahamas
11,2020-05-25,Bahamas
11,2020-05-26,Bahamas
11,2020-05-27,Bahamas
11,2020-05-28,Bahamas
11,2020-05-29,Bahamas
11,2020-05-30,Bahamas
11,2020-05-31,Bahamas
11,2020-06-01,Bahamas
11,2020-06-02,Bahamas
11,2020-06-03,Bahamas
11,2020-06-04,Bahamas
11,2020-06-05,Bahamas
11,2020-06-06,Bahamas
11,2020-06-07,Bahamas
11,2020-06-08,Bahamas
11,2020-06-09,Bahamas
11,2020-06-10,Bahamas
11,2020-06-11,Bahamas
11,2020-06-12,Bahamas
11,2020-06-13,Bahamas
11,2020-06-14,Bahamas
11,2020-06-15,Bahamas
11,2020-06-16,Bahamas
11,2020-06-17,Bahamas
11,2020-06-18,Bahamas
11,2020-06-19,Bahamas
11,2020-06-20,Bahamas
11,2020-06-21,Bahamas
11,2020-06-22,Bahamas
11,2020-06-23,Bahamas
11,2020-06-24,Bahamas
11,2020-06-25,Bahamas
11,2020-06-26,Bahamas
11,2020-06-27,Bahamas
11,2020-06-28,Bahamas
11,2020-06-29,Bahamas
11,2020-06-30,Bahamas
11,2020-07-01,Bahamas
11,2020-07-02,Bahamas
11,2020-07-03,Bahamas
11,2020-07-04,Bahamas
11,2020-07-05,Bahamas
11,2020-07-06,Bahamas
11,2020-07-07,Bahamas
11,2020-07-08,Bahamas
11,2020-07-09,Bahamas
11,2020-07-10,Bahamas
11,2020-07-11,Bahamas
11,2020-07-12,Bahamas
11,2020-07-13,Bahamas
11,2020-07-14,Bahamas
11,2020-07-15,Bahamas
11,2020-07-16,Bahamas
11,2020-07-17,Bahamas
11,2020-07-18,Bahamas
11,2020-07-19,Bahamas
11,2020-07-20,Bahamas
11,2020-07-21,Bahamas
11,2020-07-22,Bahamas
11,2020-07-23,Bahamas
11,2020-07-24,Bahamas
11,2020-07-25,Bahamas
11,2020-07-26,Bahamas
11,2020-07-27,Bahamas
11,2020-07-28,Bahamas
11,2020-07-29,Bahamas
14,2020-07-30,Bahamas
14,2020-07-31,Bahamas
14,2020-08-01,Bahamas
14,2020-08-02,Bahamas
14,2020-08-03,Bahamas
14,2020-08-04,Bahamas
14,2020-08-05,Bahamas
14,2020-08-06,Bahamas
14,2020-08-07,Bahamas
14,2020-08-08,Bahamas
15,2020-08-09,Bahamas
15,2020-08-10,Bahamas
15,2020-08-11,Bahamas
15,2020-08-12,Bahamas
15,2020-08-13,Bahamas
17,2020-08-14,Bahamas
17,2020-08-15,Bahamas
18,2020-08-16,Bahamas
19,2020-08-17,Bahamas
20,2020-08-18,Bahamas
22,2020-08-19,Bahamas
23,2020-08-20,Bahamas
27,2020-08-21,Bahamas
27,2020-08-22,Bahamas
29,2020-08-23,Bahamas
44,2020-08-24,Bahamas
46,2020-08-25,Bahamas
48,2020-08-26,Bahamas
48,2020-08-27,Bahamas
50,2020-08-28,Bahamas
50,2020-08-29,Bahamas
50,2020-08-30,Bahamas
50,2020-08-31,Bahamas
50,2020-09-01,Bahamas
50,2020-09-02,Bahamas
50,2020-09-03,Bahamas
50,2020-09-04,Bahamas
55,2020-09-05,Bahamas
56,2020-09-06,Bahamas
58,2020-09-07,Bahamas
59,2020-09-08,Bahamas
63,2020-09-09,Bahamas
63,2020-09-10,Bahamas
65,2020-09-11,Bahamas
67,2020-09-12,Bahamas
67,2020-09-13,Bahamas
68,2020-09-14,Bahamas
69,2020-09-15,Bahamas
69,2020-09-16,Bahamas
69,2020-09-17,Bahamas
69,2020-09-18,Bahamas
73,2020-09-19,Bahamas
74,2020-09-20,Bahamas
75,2020-09-21,Bahamas
77,2020-09-22,Bahamas
80,2020-09-23,Bahamas
86,2020-09-24,Bahamas
89,2020-09-25,Bahamas
89,2020-09-26,Bahamas
89,2020-09-27,Bahamas
89,2020-09-28,Bahamas
91,2020-09-29,Bahamas
96,2020-09-30,Bahamas
96,2020-10-01,Bahamas
96,2020-10-02,Bahamas
96,2020-10-03,Bahamas
96,2020-10-04,Bahamas
96,2020-10-05,Bahamas
100,2020-10-06,Bahamas
102,2020-10-07,Bahamas
102,2020-10-08,Bahamas
102,2020-10-09,Bahamas
106,2020-10-10,Bahamas
107,2020-10-11,Bahamas
108,2020-10-12,Bahamas
108,2020-10-13,Bahamas
109,2020-10-14,Bahamas
112,2020-10-15,Bahamas
114,2020-10-16,Bahamas
116,2020-10-17,Bahamas
122,2020-10-18,Bahamas
123,2020-10-19,Bahamas
124,2020-10-20,Bahamas
127,2020-10-21,Bahamas
130,2020-10-22,Bahamas
130,2020-10-23,Bahamas
130,2020-10-24,Bahamas
132,2020-10-25,Bahamas
132,2020-10-26,Bahamas
136,2020-10-27,Bahamas
136,2020-10-28,Bahamas
138,2020-10-29,Bahamas
142,2020-10-30,Bahamas
144,2020-10-31,Bahamas
144,2020-11-01,Bahamas
146,2020-11-02,Bahamas
149,2020-11-03,Bahamas
150,2020-11-04,Bahamas
150,2020-11-05,Bahamas
150,2020-11-06,Bahamas
