Deaths,CreationDate,Name
1,2020-03-16,Bahrain
1,2020-03-17,Bahrain
1,2020-03-18,Bahrain
1,2020-03-19,Bahrain
1,2020-03-20,Bahrain
1,2020-03-21,Bahrain
2,2020-03-22,Bahrain
2,2020-03-23,Bahrain
3,2020-03-24,Bahrain
4,2020-03-25,Bahrain
4,2020-03-26,Bahrain
4,2020-03-27,Bahrain
4,2020-03-28,Bahrain
4,2020-03-29,Bahrain
4,2020-03-30,Bahrain
4,2020-03-31,Bahrain
4,2020-04-01,Bahrain
4,2020-04-02,Bahrain
4,2020-04-03,Bahrain
4,2020-04-04,Bahrain
4,2020-04-05,Bahrain
4,2020-04-06,Bahrain
5,2020-04-07,Bahrain
5,2020-04-08,Bahrain
5,2020-04-09,Bahrain
6,2020-04-10,Bahrain
6,2020-04-11,Bahrain
6,2020-04-12,Bahrain
6,2020-04-13,Bahrain
7,2020-04-14,Bahrain
7,2020-04-15,Bahrain
7,2020-04-16,Bahrain
7,2020-04-17,Bahrain
7,2020-04-18,Bahrain
7,2020-04-19,Bahrain
7,2020-04-20,Bahrain
7,2020-04-21,Bahrain
7,2020-04-22,Bahrain
8,2020-04-23,Bahrain
8,2020-04-24,Bahrain
8,2020-04-25,Bahrain
8,2020-04-26,Bahrain
8,2020-04-27,Bahrain
8,2020-04-28,Bahrain
8,2020-04-29,Bahrain
8,2020-04-30,Bahrain
8,2020-05-01,Bahrain
8,2020-05-02,Bahrain
8,2020-05-03,Bahrain
8,2020-05-04,Bahrain
8,2020-05-05,Bahrain
8,2020-05-06,Bahrain
8,2020-05-07,Bahrain
8,2020-05-08,Bahrain
8,2020-05-09,Bahrain
8,2020-05-10,Bahrain
8,2020-05-11,Bahrain
9,2020-05-12,Bahrain
10,2020-05-13,Bahrain
10,2020-05-14,Bahrain
12,2020-05-15,Bahrain
12,2020-05-16,Bahrain
12,2020-05-17,Bahrain
12,2020-05-18,Bahrain
12,2020-05-19,Bahrain
12,2020-05-20,Bahrain
12,2020-05-21,Bahrain
12,2020-05-22,Bahrain
13,2020-05-23,Bahrain
14,2020-05-24,Bahrain
14,2020-05-25,Bahrain
14,2020-05-26,Bahrain
15,2020-05-27,Bahrain
15,2020-05-28,Bahrain
15,2020-05-29,Bahrain
17,2020-05-30,Bahrain
19,2020-05-31,Bahrain
19,2020-06-01,Bahrain
19,2020-06-02,Bahrain
20,2020-06-03,Bahrain
21,2020-06-04,Bahrain
22,2020-06-05,Bahrain
24,2020-06-06,Bahrain
26,2020-06-07,Bahrain
27,2020-06-08,Bahrain
29,2020-06-09,Bahrain
31,2020-06-10,Bahrain
34,2020-06-11,Bahrain
36,2020-06-12,Bahrain
37,2020-06-13,Bahrain
42,2020-06-14,Bahrain
46,2020-06-15,Bahrain
47,2020-06-16,Bahrain
49,2020-06-17,Bahrain
55,2020-06-18,Bahrain
57,2020-06-19,Bahrain
60,2020-06-20,Bahrain
63,2020-06-21,Bahrain
65,2020-06-22,Bahrain
67,2020-06-23,Bahrain
69,2020-06-24,Bahrain
71,2020-06-25,Bahrain
73,2020-06-26,Bahrain
78,2020-06-27,Bahrain
83,2020-06-28,Bahrain
84,2020-06-29,Bahrain
87,2020-06-30,Bahrain
92,2020-07-01,Bahrain
94,2020-07-02,Bahrain
95,2020-07-03,Bahrain
96,2020-07-04,Bahrain
97,2020-07-05,Bahrain
98,2020-07-06,Bahrain
98,2020-07-07,Bahrain
98,2020-07-08,Bahrain
103,2020-07-09,Bahrain
104,2020-07-10,Bahrain
104,2020-07-11,Bahrain
108,2020-07-12,Bahrain
109,2020-07-13,Bahrain
111,2020-07-14,Bahrain
117,2020-07-15,Bahrain
121,2020-07-16,Bahrain
124,2020-07-17,Bahrain
124,2020-07-18,Bahrain
126,2020-07-19,Bahrain
128,2020-07-20,Bahrain
129,2020-07-21,Bahrain
130,2020-07-22,Bahrain
134,2020-07-23,Bahrain
136,2020-07-24,Bahrain
137,2020-07-25,Bahrain
140,2020-07-26,Bahrain
141,2020-07-27,Bahrain
141,2020-07-28,Bahrain
144,2020-07-29,Bahrain
146,2020-07-30,Bahrain
147,2020-07-31,Bahrain
147,2020-08-01,Bahrain
147,2020-08-02,Bahrain
150,2020-08-03,Bahrain
151,2020-08-04,Bahrain
154,2020-08-05,Bahrain
156,2020-08-06,Bahrain
159,2020-08-07,Bahrain
161,2020-08-08,Bahrain
162,2020-08-09,Bahrain
163,2020-08-10,Bahrain
165,2020-08-11,Bahrain
166,2020-08-12,Bahrain
167,2020-08-13,Bahrain
168,2020-08-14,Bahrain
170,2020-08-15,Bahrain
170,2020-08-16,Bahrain
173,2020-08-17,Bahrain
175,2020-08-18,Bahrain
178,2020-08-19,Bahrain
179,2020-08-20,Bahrain
181,2020-08-21,Bahrain
183,2020-08-22,Bahrain
184,2020-08-23,Bahrain
185,2020-08-24,Bahrain
186,2020-08-25,Bahrain
186,2020-08-26,Bahrain
188,2020-08-27,Bahrain
189,2020-08-28,Bahrain
189,2020-08-29,Bahrain
189,2020-08-30,Bahrain
190,2020-08-31,Bahrain
190,2020-09-01,Bahrain
190,2020-09-02,Bahrain
190,2020-09-03,Bahrain
195,2020-09-04,Bahrain
196,2020-09-05,Bahrain
199,2020-09-06,Bahrain
200,2020-09-07,Bahrain
202,2020-09-08,Bahrain
203,2020-09-09,Bahrain
207,2020-09-10,Bahrain
208,2020-09-11,Bahrain
211,2020-09-12,Bahrain
212,2020-09-13,Bahrain
213,2020-09-14,Bahrain
213,2020-09-15,Bahrain
216,2020-09-16,Bahrain
217,2020-09-17,Bahrain
220,2020-09-18,Bahrain
221,2020-09-19,Bahrain
221,2020-09-20,Bahrain
224,2020-09-21,Bahrain
227,2020-09-22,Bahrain
231,2020-09-23,Bahrain
231,2020-09-24,Bahrain
236,2020-09-25,Bahrain
239,2020-09-26,Bahrain
242,2020-09-27,Bahrain
245,2020-09-28,Bahrain
246,2020-09-29,Bahrain
251,2020-09-30,Bahrain
254,2020-10-01,Bahrain
255,2020-10-02,Bahrain
258,2020-10-03,Bahrain
260,2020-10-04,Bahrain
261,2020-10-05,Bahrain
262,2020-10-06,Bahrain
262,2020-10-07,Bahrain
264,2020-10-08,Bahrain
271,2020-10-09,Bahrain
273,2020-10-10,Bahrain
275,2020-10-11,Bahrain
280,2020-10-12,Bahrain
285,2020-10-13,Bahrain
287,2020-10-14,Bahrain
289,2020-10-15,Bahrain
