Deaths,CreationDate,Name
1,2020-03-18,Bangladesh
1,2020-03-19,Bangladesh
1,2020-03-20,Bangladesh
2,2020-03-21,Bangladesh
2,2020-03-22,Bangladesh
3,2020-03-23,Bangladesh
4,2020-03-24,Bangladesh
5,2020-03-25,Bangladesh
5,2020-03-26,Bangladesh
5,2020-03-27,Bangladesh
5,2020-03-28,Bangladesh
5,2020-03-29,Bangladesh
5,2020-03-30,Bangladesh
5,2020-03-31,Bangladesh
6,2020-04-01,Bangladesh
6,2020-04-02,Bangladesh
6,2020-04-03,Bangladesh
8,2020-04-04,Bangladesh
9,2020-04-05,Bangladesh
12,2020-04-06,Bangladesh
17,2020-04-07,Bangladesh
20,2020-04-08,Bangladesh
21,2020-04-09,Bangladesh
27,2020-04-10,Bangladesh
30,2020-04-11,Bangladesh
34,2020-04-12,Bangladesh
39,2020-04-13,Bangladesh
46,2020-04-14,Bangladesh
50,2020-04-15,Bangladesh
60,2020-04-16,Bangladesh
75,2020-04-17,Bangladesh
84,2020-04-18,Bangladesh
91,2020-04-19,Bangladesh
101,2020-04-20,Bangladesh
110,2020-04-21,Bangladesh
120,2020-04-22,Bangladesh
127,2020-04-23,Bangladesh
131,2020-04-24,Bangladesh
140,2020-04-25,Bangladesh
145,2020-04-26,Bangladesh
152,2020-04-27,Bangladesh
155,2020-04-28,Bangladesh
163,2020-04-29,Bangladesh
168,2020-04-30,Bangladesh
170,2020-05-01,Bangladesh
175,2020-05-02,Bangladesh
177,2020-05-03,Bangladesh
182,2020-05-04,Bangladesh
183,2020-05-05,Bangladesh
186,2020-05-06,Bangladesh
199,2020-05-07,Bangladesh
206,2020-05-08,Bangladesh
214,2020-05-09,Bangladesh
228,2020-05-10,Bangladesh
239,2020-05-11,Bangladesh
250,2020-05-12,Bangladesh
269,2020-05-13,Bangladesh
283,2020-05-14,Bangladesh
298,2020-05-15,Bangladesh
314,2020-05-16,Bangladesh
328,2020-05-17,Bangladesh
349,2020-05-18,Bangladesh
370,2020-05-19,Bangladesh
386,2020-05-20,Bangladesh
408,2020-05-21,Bangladesh
432,2020-05-22,Bangladesh
452,2020-05-23,Bangladesh
480,2020-05-24,Bangladesh
501,2020-05-25,Bangladesh
522,2020-05-26,Bangladesh
544,2020-05-27,Bangladesh
559,2020-05-28,Bangladesh
582,2020-05-29,Bangladesh
610,2020-05-30,Bangladesh
650,2020-05-31,Bangladesh
672,2020-06-01,Bangladesh
709,2020-06-02,Bangladesh
746,2020-06-03,Bangladesh
781,2020-06-04,Bangladesh
811,2020-06-05,Bangladesh
846,2020-06-06,Bangladesh
888,2020-06-07,Bangladesh
930,2020-06-08,Bangladesh
975,2020-06-09,Bangladesh
1012,2020-06-10,Bangladesh
1049,2020-06-11,Bangladesh
1095,2020-06-12,Bangladesh
1139,2020-06-13,Bangladesh
1171,2020-06-14,Bangladesh
1209,2020-06-15,Bangladesh
1262,2020-06-16,Bangladesh
1305,2020-06-17,Bangladesh
1343,2020-06-18,Bangladesh
1388,2020-06-19,Bangladesh
1425,2020-06-20,Bangladesh
1464,2020-06-21,Bangladesh
1502,2020-06-22,Bangladesh
1545,2020-06-23,Bangladesh
1582,2020-06-24,Bangladesh
1621,2020-06-25,Bangladesh
1661,2020-06-26,Bangladesh
1695,2020-06-27,Bangladesh
1738,2020-06-28,Bangladesh
1783,2020-06-29,Bangladesh
1847,2020-06-30,Bangladesh
1888,2020-07-01,Bangladesh
1926,2020-07-02,Bangladesh
1968,2020-07-03,Bangladesh
1997,2020-07-04,Bangladesh
