Deaths,CreationDate,Name
1,2020-04-05,Barbados
2,2020-04-06,Barbados
3,2020-04-07,Barbados
3,2020-04-08,Barbados
3,2020-04-09,Barbados
4,2020-04-10,Barbados
4,2020-04-11,Barbados
4,2020-04-12,Barbados
4,2020-04-13,Barbados
4,2020-04-14,Barbados
5,2020-04-15,Barbados
5,2020-04-16,Barbados
5,2020-04-17,Barbados
5,2020-04-18,Barbados
5,2020-04-19,Barbados
5,2020-04-20,Barbados
5,2020-04-21,Barbados
5,2020-04-22,Barbados
6,2020-04-23,Barbados
6,2020-04-24,Barbados
6,2020-04-25,Barbados
6,2020-04-26,Barbados
6,2020-04-27,Barbados
6,2020-04-28,Barbados
7,2020-04-29,Barbados
7,2020-04-30,Barbados
7,2020-05-01,Barbados
7,2020-05-02,Barbados
7,2020-05-03,Barbados
7,2020-05-04,Barbados
7,2020-05-05,Barbados
7,2020-05-06,Barbados
7,2020-05-07,Barbados
7,2020-05-08,Barbados
7,2020-05-09,Barbados
7,2020-05-10,Barbados
7,2020-05-11,Barbados
7,2020-05-12,Barbados
7,2020-05-13,Barbados
7,2020-05-14,Barbados
7,2020-05-15,Barbados
7,2020-05-16,Barbados
7,2020-05-17,Barbados
7,2020-05-18,Barbados
7,2020-05-19,Barbados
7,2020-05-20,Barbados
7,2020-05-21,Barbados
7,2020-05-22,Barbados
7,2020-05-23,Barbados
7,2020-05-24,Barbados
7,2020-05-25,Barbados
7,2020-05-26,Barbados
7,2020-05-27,Barbados
7,2020-05-28,Barbados
7,2020-05-29,Barbados
7,2020-05-30,Barbados
7,2020-05-31,Barbados
7,2020-06-01,Barbados
7,2020-06-02,Barbados
7,2020-06-03,Barbados
7,2020-06-04,Barbados
7,2020-06-05,Barbados
7,2020-06-06,Barbados
7,2020-06-07,Barbados
7,2020-06-08,Barbados
7,2020-06-09,Barbados
7,2020-06-10,Barbados
7,2020-06-11,Barbados
7,2020-06-12,Barbados
7,2020-06-13,Barbados
7,2020-06-14,Barbados
7,2020-06-15,Barbados
7,2020-06-16,Barbados
7,2020-06-17,Barbados
7,2020-06-18,Barbados
7,2020-06-19,Barbados
7,2020-06-20,Barbados
7,2020-06-21,Barbados
7,2020-06-22,Barbados
7,2020-06-23,Barbados
7,2020-06-24,Barbados
7,2020-06-25,Barbados
7,2020-06-26,Barbados
7,2020-06-27,Barbados
7,2020-06-28,Barbados
7,2020-06-29,Barbados
7,2020-06-30,Barbados
7,2020-07-01,Barbados
7,2020-07-02,Barbados
7,2020-07-03,Barbados
7,2020-07-04,Barbados
7,2020-07-05,Barbados
7,2020-07-06,Barbados
7,2020-07-07,Barbados
7,2020-07-08,Barbados
7,2020-07-09,Barbados
7,2020-07-10,Barbados
7,2020-07-11,Barbados
7,2020-07-12,Barbados
7,2020-07-13,Barbados
7,2020-07-14,Barbados
7,2020-07-15,Barbados
7,2020-07-16,Barbados
7,2020-07-17,Barbados
7,2020-07-18,Barbados
7,2020-07-19,Barbados
7,2020-07-20,Barbados
7,2020-07-21,Barbados
7,2020-07-22,Barbados
7,2020-07-23,Barbados
7,2020-07-24,Barbados
7,2020-07-25,Barbados
7,2020-07-26,Barbados
7,2020-07-27,Barbados
7,2020-07-28,Barbados
7,2020-07-29,Barbados
7,2020-07-30,Barbados
7,2020-07-31,Barbados
7,2020-08-01,Barbados
7,2020-08-02,Barbados
7,2020-08-03,Barbados
7,2020-08-04,Barbados
7,2020-08-05,Barbados
7,2020-08-06,Barbados
7,2020-08-07,Barbados
7,2020-08-08,Barbados
7,2020-08-09,Barbados
7,2020-08-10,Barbados
7,2020-08-11,Barbados
7,2020-08-12,Barbados
7,2020-08-13,Barbados
7,2020-08-14,Barbados
7,2020-08-15,Barbados
7,2020-08-16,Barbados
7,2020-08-17,Barbados
7,2020-08-18,Barbados
7,2020-08-19,Barbados
7,2020-08-20,Barbados
7,2020-08-21,Barbados
7,2020-08-22,Barbados
7,2020-08-23,Barbados
7,2020-08-24,Barbados
7,2020-08-25,Barbados
7,2020-08-26,Barbados
7,2020-08-27,Barbados
7,2020-08-28,Barbados
7,2020-08-29,Barbados
7,2020-08-30,Barbados
7,2020-08-31,Barbados
7,2020-09-01,Barbados
7,2020-09-02,Barbados
7,2020-09-03,Barbados
7,2020-09-04,Barbados
7,2020-09-05,Barbados
7,2020-09-06,Barbados
7,2020-09-07,Barbados
7,2020-09-08,Barbados
7,2020-09-09,Barbados
7,2020-09-10,Barbados
7,2020-09-11,Barbados
7,2020-09-12,Barbados
7,2020-09-13,Barbados
7,2020-09-14,Barbados
7,2020-09-15,Barbados
7,2020-09-16,Barbados
7,2020-09-17,Barbados
7,2020-09-18,Barbados
7,2020-09-19,Barbados
7,2020-09-20,Barbados
7,2020-09-21,Barbados
7,2020-09-22,Barbados
7,2020-09-23,Barbados
7,2020-09-24,Barbados
7,2020-09-25,Barbados
7,2020-09-26,Barbados
7,2020-09-27,Barbados
7,2020-09-28,Barbados
7,2020-09-29,Barbados
7,2020-09-30,Barbados
7,2020-10-01,Barbados
7,2020-10-02,Barbados
7,2020-10-03,Barbados
7,2020-10-04,Barbados
7,2020-10-05,Barbados
7,2020-10-06,Barbados
7,2020-10-07,Barbados
7,2020-10-08,Barbados
7,2020-10-09,Barbados
7,2020-10-10,Barbados
7,2020-10-11,Barbados
7,2020-10-12,Barbados
7,2020-10-13,Barbados
7,2020-10-14,Barbados
7,2020-10-15,Barbados
7,2020-10-16,Barbados
7,2020-10-17,Barbados
7,2020-10-18,Barbados
7,2020-10-19,Barbados
7,2020-10-20,Barbados
7,2020-10-21,Barbados
7,2020-10-22,Barbados
7,2020-10-23,Barbados
7,2020-10-24,Barbados
7,2020-10-25,Barbados
7,2020-10-26,Barbados
7,2020-10-27,Barbados
7,2020-10-28,Barbados
7,2020-10-29,Barbados
7,2020-10-30,Barbados
7,2020-10-31,Barbados
7,2020-11-01,Barbados
7,2020-11-02,Barbados
7,2020-11-03,Barbados
7,2020-11-04,Barbados
7,2020-11-05,Barbados
7,2020-11-06,Barbados
7,2020-11-07,Barbados
7,2020-11-08,Barbados
7,2020-11-09,Barbados
7,2020-11-10,Barbados
7,2020-11-11,Barbados
7,2020-11-12,Barbados
7,2020-11-13,Barbados
7,2020-11-14,Barbados
7,2020-11-15,Barbados
7,2020-11-16,Barbados
7,2020-11-17,Barbados
7,2020-11-18,Barbados
7,2020-11-19,Barbados
7,2020-11-20,Barbados
7,2020-11-21,Barbados
7,2020-11-22,Barbados
7,2020-11-23,Barbados
7,2020-11-24,Barbados
7,2020-11-25,Barbados
7,2020-11-26,Barbados
7,2020-11-27,Barbados
7,2020-11-28,Barbados
7,2020-11-29,Barbados
7,2020-11-30,Barbados
