Deaths,CreationDate,Name
1,2020-03-31,Belarus
2,2020-04-01,Belarus
4,2020-04-02,Belarus
4,2020-04-03,Belarus
5,2020-04-04,Belarus
8,2020-04-05,Belarus
13,2020-04-06,Belarus
13,2020-04-07,Belarus
13,2020-04-08,Belarus
16,2020-04-09,Belarus
19,2020-04-10,Belarus
23,2020-04-11,Belarus
26,2020-04-12,Belarus
29,2020-04-13,Belarus
33,2020-04-14,Belarus
36,2020-04-15,Belarus
40,2020-04-16,Belarus
42,2020-04-17,Belarus
45,2020-04-18,Belarus
47,2020-04-19,Belarus
51,2020-04-20,Belarus
55,2020-04-21,Belarus
58,2020-04-22,Belarus
60,2020-04-23,Belarus
63,2020-04-24,Belarus
67,2020-04-25,Belarus
72,2020-04-26,Belarus
75,2020-04-27,Belarus
79,2020-04-28,Belarus
84,2020-04-29,Belarus
89,2020-04-30,Belarus
93,2020-05-01,Belarus
97,2020-05-02,Belarus
99,2020-05-03,Belarus
103,2020-05-04,Belarus
107,2020-05-05,Belarus
112,2020-05-06,Belarus
116,2020-05-07,Belarus
121,2020-05-08,Belarus
126,2020-05-09,Belarus
131,2020-05-10,Belarus
135,2020-05-11,Belarus
142,2020-05-12,Belarus
146,2020-05-13,Belarus
151,2020-05-14,Belarus
156,2020-05-15,Belarus
160,2020-05-16,Belarus
165,2020-05-17,Belarus
171,2020-05-18,Belarus
175,2020-05-19,Belarus
179,2020-05-20,Belarus
185,2020-05-21,Belarus
190,2020-05-22,Belarus
194,2020-05-23,Belarus
199,2020-05-24,Belarus
204,2020-05-25,Belarus
208,2020-05-26,Belarus
214,2020-05-27,Belarus
219,2020-05-28,Belarus
224,2020-05-29,Belarus
229,2020-05-30,Belarus
235,2020-05-31,Belarus
240,2020-06-01,Belarus
243,2020-06-02,Belarus
248,2020-06-03,Belarus
253,2020-06-04,Belarus
259,2020-06-05,Belarus
263,2020-06-06,Belarus
269,2020-06-07,Belarus
276,2020-06-08,Belarus
282,2020-06-09,Belarus
288,2020-06-10,Belarus
293,2020-06-11,Belarus
298,2020-06-12,Belarus
303,2020-06-13,Belarus
308,2020-06-14,Belarus
312,2020-06-15,Belarus
318,2020-06-16,Belarus
324,2020-06-17,Belarus
331,2020-06-18,Belarus
337,2020-06-19,Belarus
343,2020-06-20,Belarus
346,2020-06-21,Belarus
351,2020-06-22,Belarus
357,2020-06-23,Belarus
362,2020-06-24,Belarus
367,2020-06-25,Belarus
373,2020-06-26,Belarus
377,2020-06-27,Belarus
383,2020-06-28,Belarus
387,2020-06-29,Belarus
392,2020-06-30,Belarus
398,2020-07-01,Belarus
405,2020-07-02,Belarus
412,2020-07-03,Belarus
418,2020-07-04,Belarus
423,2020-07-05,Belarus
429,2020-07-06,Belarus
436,2020-07-07,Belarus
443,2020-07-08,Belarus
449,2020-07-09,Belarus
454,2020-07-10,Belarus
459,2020-07-11,Belarus
464,2020-07-12,Belarus
468,2020-07-13,Belarus
474,2020-07-14,Belarus
480,2020-07-15,Belarus
485,2020-07-16,Belarus
491,2020-07-17,Belarus
495,2020-07-18,Belarus
499,2020-07-19,Belarus
503,2020-07-20,Belarus
507,2020-07-21,Belarus
513,2020-07-22,Belarus
519,2020-07-23,Belarus
524,2020-07-24,Belarus
530,2020-07-25,Belarus
534,2020-07-26,Belarus
538,2020-07-27,Belarus
543,2020-07-28,Belarus
548,2020-07-29,Belarus
553,2020-07-30,Belarus
559,2020-07-31,Belarus
563,2020-08-01,Belarus
567,2020-08-02,Belarus
571,2020-08-03,Belarus
574,2020-08-04,Belarus
577,2020-08-05,Belarus
580,2020-08-06,Belarus
583,2020-08-07,Belarus
585,2020-08-08,Belarus
587,2020-08-09,Belarus
589,2020-08-10,Belarus
592,2020-08-11,Belarus
595,2020-08-12,Belarus
599,2020-08-13,Belarus
603,2020-08-14,Belarus
603,2020-08-15,Belarus
610,2020-08-16,Belarus
613,2020-08-17,Belarus
617,2020-08-18,Belarus
622,2020-08-19,Belarus
627,2020-08-20,Belarus
632,2020-08-21,Belarus
637,2020-08-22,Belarus
642,2020-08-23,Belarus
646,2020-08-24,Belarus
652,2020-08-25,Belarus
657,2020-08-26,Belarus
662,2020-08-27,Belarus
667,2020-08-28,Belarus
671,2020-08-29,Belarus
676,2020-08-30,Belarus
681,2020-08-31,Belarus
686,2020-09-01,Belarus
691,2020-09-02,Belarus
696,2020-09-03,Belarus
701,2020-09-04,Belarus
705,2020-09-05,Belarus
711,2020-09-06,Belarus
716,2020-09-07,Belarus
721,2020-09-08,Belarus
726,2020-09-09,Belarus
732,2020-09-10,Belarus
738,2020-09-11,Belarus
744,2020-09-12,Belarus
750,2020-09-13,Belarus
756,2020-09-14,Belarus
761,2020-09-15,Belarus
767,2020-09-16,Belarus
771,2020-09-17,Belarus
773,2020-09-18,Belarus
776,2020-09-19,Belarus
780,2020-09-20,Belarus
785,2020-09-21,Belarus
791,2020-09-22,Belarus
796,2020-09-23,Belarus
802,2020-09-24,Belarus
807,2020-09-25,Belarus
813,2020-09-26,Belarus
818,2020-09-27,Belarus
822,2020-09-28,Belarus
828,2020-09-29,Belarus
833,2020-09-30,Belarus
839,2020-10-01,Belarus
844,2020-10-02,Belarus
