Deaths,CreationDate,Name
3,2020-03-11,Belgium
3,2020-03-12,Belgium
3,2020-03-13,Belgium
4,2020-03-14,Belgium
4,2020-03-15,Belgium
5,2020-03-16,Belgium
10,2020-03-17,Belgium
14,2020-03-18,Belgium
21,2020-03-19,Belgium
37,2020-03-20,Belgium
67,2020-03-21,Belgium
75,2020-03-22,Belgium
88,2020-03-23,Belgium
122,2020-03-24,Belgium
178,2020-03-25,Belgium
220,2020-03-26,Belgium
289,2020-03-27,Belgium
353,2020-03-28,Belgium
431,2020-03-29,Belgium
513,2020-03-30,Belgium
705,2020-03-31,Belgium
828,2020-04-01,Belgium
1011,2020-04-02,Belgium
1143,2020-04-03,Belgium
1283,2020-04-04,Belgium
1447,2020-04-05,Belgium
1632,2020-04-06,Belgium
2035,2020-04-07,Belgium
2240,2020-04-08,Belgium
2523,2020-04-09,Belgium
3019,2020-04-10,Belgium
3346,2020-04-11,Belgium
3600,2020-04-12,Belgium
3903,2020-04-13,Belgium
4157,2020-04-14,Belgium
4440,2020-04-15,Belgium
4857,2020-04-16,Belgium
5163,2020-04-17,Belgium
5453,2020-04-18,Belgium
5683,2020-04-19,Belgium
5828,2020-04-20,Belgium
5998,2020-04-21,Belgium
6262,2020-04-22,Belgium
6490,2020-04-23,Belgium
6679,2020-04-24,Belgium
6917,2020-04-25,Belgium
7094,2020-04-26,Belgium
7207,2020-04-27,Belgium
7331,2020-04-28,Belgium
7501,2020-04-29,Belgium
7594,2020-04-30,Belgium
7703,2020-05-01,Belgium
7765,2020-05-02,Belgium
7844,2020-05-03,Belgium
7924,2020-05-04,Belgium
8016,2020-05-05,Belgium
8339,2020-05-06,Belgium
8415,2020-05-07,Belgium
8521,2020-05-08,Belgium
8581,2020-05-09,Belgium
8656,2020-05-10,Belgium
8707,2020-05-11,Belgium
8761,2020-05-12,Belgium
8843,2020-05-13,Belgium
8903,2020-05-14,Belgium
8959,2020-05-15,Belgium
9005,2020-05-16,Belgium
9052,2020-05-17,Belgium
9080,2020-05-18,Belgium
9108,2020-05-19,Belgium
9150,2020-05-20,Belgium
9186,2020-05-21,Belgium
9212,2020-05-22,Belgium
9237,2020-05-23,Belgium
9280,2020-05-24,Belgium
9312,2020-05-25,Belgium
9334,2020-05-26,Belgium
9364,2020-05-27,Belgium
9388,2020-05-28,Belgium
9430,2020-05-29,Belgium
9453,2020-05-30,Belgium
9467,2020-05-31,Belgium
9486,2020-06-01,Belgium
9505,2020-06-02,Belgium
9522,2020-06-03,Belgium
9548,2020-06-04,Belgium
9566,2020-06-05,Belgium
9580,2020-06-06,Belgium
9595,2020-06-07,Belgium
9606,2020-06-08,Belgium
9619,2020-06-09,Belgium
9629,2020-06-10,Belgium
9636,2020-06-11,Belgium
9646,2020-06-12,Belgium
9650,2020-06-13,Belgium
9655,2020-06-14,Belgium
9661,2020-06-15,Belgium
9663,2020-06-16,Belgium
9675,2020-06-17,Belgium
9683,2020-06-18,Belgium
9695,2020-06-19,Belgium
9696,2020-06-20,Belgium
9696,2020-06-21,Belgium
9696,2020-06-22,Belgium
9713,2020-06-23,Belgium
9722,2020-06-24,Belgium
9726,2020-06-25,Belgium
9731,2020-06-26,Belgium
9732,2020-06-27,Belgium
9732,2020-06-28,Belgium
9732,2020-06-29,Belgium
9747,2020-06-30,Belgium
9754,2020-07-01,Belgium
9761,2020-07-02,Belgium
9765,2020-07-03,Belgium
9771,2020-07-04,Belgium
9771,2020-07-05,Belgium
9774,2020-07-06,Belgium
9774,2020-07-07,Belgium
9776,2020-07-08,Belgium
9778,2020-07-09,Belgium
9781,2020-07-10,Belgium
9782,2020-07-11,Belgium
9782,2020-07-12,Belgium
9782,2020-07-13,Belgium
9787,2020-07-14,Belgium
9788,2020-07-15,Belgium
9795,2020-07-16,Belgium
9800,2020-07-17,Belgium
9800,2020-07-18,Belgium
9800,2020-07-19,Belgium
9805,2020-07-20,Belgium
9805,2020-07-21,Belgium
9808,2020-07-22,Belgium
9812,2020-07-23,Belgium
9817,2020-07-24,Belgium
9821,2020-07-25,Belgium
9821,2020-07-26,Belgium
9822,2020-07-27,Belgium
9833,2020-07-28,Belgium
9836,2020-07-29,Belgium
9840,2020-07-30,Belgium
9841,2020-07-31,Belgium
9845,2020-08-01,Belgium
9845,2020-08-02,Belgium
9850,2020-08-03,Belgium
9852,2020-08-04,Belgium
9859,2020-08-05,Belgium
9861,2020-08-06,Belgium
9866,2020-08-07,Belgium
9870,2020-08-08,Belgium
9872,2020-08-09,Belgium
9879,2020-08-10,Belgium
9885,2020-08-11,Belgium
9900,2020-08-12,Belgium
9916,2020-08-13,Belgium
9924,2020-08-14,Belgium
9935,2020-08-15,Belgium
9939,2020-08-16,Belgium
9944,2020-08-17,Belgium
9959,2020-08-18,Belgium
9969,2020-08-19,Belgium
9976,2020-08-20,Belgium
9985,2020-08-21,Belgium
9988,2020-08-22,Belgium
9992,2020-08-23,Belgium
9996,2020-08-24,Belgium
9996,2020-08-25,Belgium
9879,2020-08-26,Belgium
9884,2020-08-27,Belgium
9886,2020-08-28,Belgium
9891,2020-08-29,Belgium
9894,2020-08-30,Belgium
9895,2020-08-31,Belgium
9897,2020-09-01,Belgium
9898,2020-09-02,Belgium
9899,2020-09-03,Belgium
9901,2020-09-04,Belgium
9906,2020-09-05,Belgium
9907,2020-09-06,Belgium
9909,2020-09-07,Belgium
9912,2020-09-08,Belgium
9917,2020-09-09,Belgium
9917,2020-09-10,Belgium
9919,2020-09-11,Belgium
9923,2020-09-12,Belgium
9925,2020-09-13,Belgium
9927,2020-09-14,Belgium
9930,2020-09-15,Belgium
9935,2020-09-16,Belgium
9936,2020-09-17,Belgium
9937,2020-09-18,Belgium
9944,2020-09-19,Belgium
9948,2020-09-20,Belgium
9950,2020-09-21,Belgium
9955,2020-09-22,Belgium
9959,2020-09-23,Belgium
9965,2020-09-24,Belgium
9969,2020-09-25,Belgium
9974,2020-09-26,Belgium
9980,2020-09-27,Belgium
9987,2020-09-28,Belgium
10001,2020-09-29,Belgium
10016,2020-09-30,Belgium
10023,2020-10-01,Belgium
10037,2020-10-02,Belgium
10044,2020-10-03,Belgium
10064,2020-10-04,Belgium
10078,2020-10-05,Belgium
10092,2020-10-06,Belgium
10108,2020-10-07,Belgium
10126,2020-10-08,Belgium
10151,2020-10-09,Belgium
10175,2020-10-10,Belgium
10191,2020-10-11,Belgium
10211,2020-10-12,Belgium
10244,2020-10-13,Belgium
10278,2020-10-14,Belgium
10327,2020-10-15,Belgium
10359,2020-10-16,Belgium
10392,2020-10-17,Belgium
10413,2020-10-18,Belgium
10443,2020-10-19,Belgium
10489,2020-10-20,Belgium
10539,2020-10-21,Belgium
10588,2020-10-22,Belgium
10658,2020-10-23,Belgium
10737,2020-10-24,Belgium
10810,2020-10-25,Belgium
10899,2020-10-26,Belgium
11038,2020-10-27,Belgium
11170,2020-10-28,Belgium
11308,2020-10-29,Belgium
11452,2020-10-30,Belgium
11625,2020-10-31,Belgium
11737,2020-11-01,Belgium
11858,2020-11-02,Belgium
12126,2020-11-03,Belgium
12331,2020-11-04,Belgium
12520,2020-11-05,Belgium
12708,2020-11-06,Belgium
12907,2020-11-07,Belgium
13055,2020-11-08,Belgium
13216,2020-11-09,Belgium
13561,2020-11-10,Belgium
13758,2020-11-11,Belgium
13891,2020-11-12,Belgium
14106,2020-11-13,Belgium
14303,2020-11-14,Belgium
14421,2020-11-15,Belgium
14616,2020-11-16,Belgium
14839,2020-11-17,Belgium
15025,2020-11-18,Belgium
15196,2020-11-19,Belgium
15352,2020-11-20,Belgium
15522,2020-11-21,Belgium
15618,2020-11-22,Belgium
15755,2020-11-23,Belgium
15938,2020-11-24,Belgium
16077,2020-11-25,Belgium
16219,2020-11-26,Belgium
16339,2020-11-27,Belgium
16461,2020-11-28,Belgium
16547,2020-11-29,Belgium
16645,2020-11-30,Belgium
16786,2020-12-01,Belgium
16911,2020-12-02,Belgium
17033,2020-12-03,Belgium
17142,2020-12-04,Belgium
17254,2020-12-05,Belgium
17320,2020-12-06,Belgium
17386,2020-12-07,Belgium
17507,2020-12-08,Belgium
17603,2020-12-09,Belgium
17692,2020-12-10,Belgium
17692,2020-12-11,Belgium
17792,2020-12-12,Belgium
17951,2020-12-13,Belgium
18054,2020-12-14,Belgium
18178,2020-12-15,Belgium
18278,2020-12-16,Belgium
18371,2020-12-17,Belgium
18455,2020-12-18,Belgium
18545,2020-12-19,Belgium
18626,2020-12-20,Belgium
18697,2020-12-21,Belgium
18821,2020-12-22,Belgium
18939,2020-12-23,Belgium
19038,2020-12-24,Belgium
19089,2020-12-25,Belgium
19158,2020-12-26,Belgium
19200,2020-12-27,Belgium
19234,2020-12-28,Belgium
19361,2020-12-29,Belgium
19441,2020-12-30,Belgium
19528,2020-12-31,Belgium
19581,2021-01-01,Belgium
19644,2021-01-02,Belgium
19701,2021-01-03,Belgium
19750,2021-01-04,Belgium
19827,2021-01-05,Belgium
19883,2021-01-06,Belgium
19936,2021-01-07,Belgium
19992,2021-01-08,Belgium
20038,2021-01-09,Belgium
20078,2021-01-10,Belgium
20122,2021-01-11,Belgium
20194,2021-01-12,Belgium
20250,2021-01-13,Belgium
20294,2021-01-14,Belgium
20352,2021-01-15,Belgium
20396,2021-01-16,Belgium
20435,2021-01-17,Belgium
20472,2021-01-18,Belgium
20554,2021-01-19,Belgium
20572,2021-01-20,Belgium
20620,2021-01-21,Belgium
20675,2021-01-22,Belgium
20726,2021-01-23,Belgium
20779,2021-01-24,Belgium
20814,2021-01-25,Belgium
20879,2021-01-26,Belgium
20933,2021-01-27,Belgium
20982,2021-01-28,Belgium
21018,2021-01-29,Belgium
21066,2021-01-30,Belgium
21092,2021-01-31,Belgium
21124,2021-02-01,Belgium
21173,2021-02-02,Belgium
21216,2021-02-03,Belgium
21260,2021-02-04,Belgium
21295,2021-02-05,Belgium
21352,2021-02-06,Belgium
21389,2021-02-07,Belgium
21423,2021-02-08,Belgium
21472,2021-02-09,Belgium
21512,2021-02-10,Belgium
21551,2021-02-11,Belgium
21599,2021-02-12,Belgium
21634,2021-02-13,Belgium
21662,2021-02-14,Belgium
21702,2021-02-15,Belgium
21750,2021-02-16,Belgium
21793,2021-02-17,Belgium
21821,2021-02-18,Belgium
21859,2021-02-19,Belgium
21887,2021-02-20,Belgium
21903,2021-02-21,Belgium
21923,2021-02-22,Belgium
21956,2021-02-23,Belgium
21988,2021-02-24,Belgium
22006,2021-02-25,Belgium
22034,2021-02-26,Belgium
22052,2021-02-27,Belgium
22077,2021-02-28,Belgium
22106,2021-03-01,Belgium
22141,2021-03-02,Belgium
22169,2021-03-03,Belgium
22196,2021-03-04,Belgium
22215,2021-03-05,Belgium
22240,2021-03-06,Belgium
22261,2021-03-07,Belgium
22292,2021-03-08,Belgium
22327,2021-03-09,Belgium
22347,2021-03-10,Belgium
22370,2021-03-11,Belgium
22397,2021-03-12,Belgium
22421,2021-03-13,Belgium
22441,2021-03-14,Belgium
22545,2021-03-15,Belgium
22572,2021-03-16,Belgium
22600,2021-03-17,Belgium
22624,2021-03-18,Belgium
22650,2021-03-19,Belgium
22650,2021-03-20,Belgium
22707,2021-03-21,Belgium
22728,2021-03-22,Belgium
22763,2021-03-23,Belgium
22786,2021-03-24,Belgium
22816,2021-03-25,Belgium
22852,2021-03-26,Belgium
22870,2021-03-27,Belgium
22897,2021-03-28,Belgium
