Deaths,CreationDate,Name
1,2020-04-06,Belize
1,2020-04-07,Belize
1,2020-04-08,Belize
1,2020-04-09,Belize
2,2020-04-10,Belize
2,2020-04-11,Belize
2,2020-04-12,Belize
2,2020-04-13,Belize
2,2020-04-14,Belize
2,2020-04-15,Belize
2,2020-04-16,Belize
2,2020-04-17,Belize
2,2020-04-18,Belize
2,2020-04-19,Belize
2,2020-04-20,Belize
2,2020-04-21,Belize
2,2020-04-22,Belize
2,2020-04-23,Belize
2,2020-04-24,Belize
2,2020-04-25,Belize
2,2020-04-26,Belize
2,2020-04-27,Belize
2,2020-04-28,Belize
2,2020-04-29,Belize
2,2020-04-30,Belize
2,2020-05-01,Belize
2,2020-05-02,Belize
2,2020-05-03,Belize
2,2020-05-04,Belize
2,2020-05-05,Belize
2,2020-05-06,Belize
2,2020-05-07,Belize
2,2020-05-08,Belize
2,2020-05-09,Belize
2,2020-05-10,Belize
2,2020-05-11,Belize
2,2020-05-12,Belize
2,2020-05-13,Belize
2,2020-05-14,Belize
2,2020-05-15,Belize
2,2020-05-16,Belize
2,2020-05-17,Belize
2,2020-05-18,Belize
2,2020-05-19,Belize
2,2020-05-20,Belize
2,2020-05-21,Belize
2,2020-05-22,Belize
2,2020-05-23,Belize
2,2020-05-24,Belize
2,2020-05-25,Belize
2,2020-05-26,Belize
2,2020-05-27,Belize
2,2020-05-28,Belize
2,2020-05-29,Belize
2,2020-05-30,Belize
2,2020-05-31,Belize
2,2020-06-01,Belize
2,2020-06-02,Belize
2,2020-06-03,Belize
2,2020-06-04,Belize
2,2020-06-05,Belize
2,2020-06-06,Belize
2,2020-06-07,Belize
2,2020-06-08,Belize
2,2020-06-09,Belize
2,2020-06-10,Belize
2,2020-06-11,Belize
2,2020-06-12,Belize
2,2020-06-13,Belize
2,2020-06-14,Belize
2,2020-06-15,Belize
2,2020-06-16,Belize
2,2020-06-17,Belize
2,2020-06-18,Belize
2,2020-06-19,Belize
2,2020-06-20,Belize
2,2020-06-21,Belize
2,2020-06-22,Belize
2,2020-06-23,Belize
2,2020-06-24,Belize
2,2020-06-25,Belize
2,2020-06-26,Belize
2,2020-06-27,Belize
2,2020-06-28,Belize
2,2020-06-29,Belize
2,2020-06-30,Belize
2,2020-07-01,Belize
2,2020-07-02,Belize
2,2020-07-03,Belize
2,2020-07-04,Belize
2,2020-07-05,Belize
2,2020-07-06,Belize
2,2020-07-07,Belize
2,2020-07-08,Belize
2,2020-07-09,Belize
2,2020-07-10,Belize
2,2020-07-11,Belize
2,2020-07-12,Belize
2,2020-07-13,Belize
2,2020-07-14,Belize
2,2020-07-15,Belize
2,2020-07-16,Belize
2,2020-07-17,Belize
2,2020-07-18,Belize
2,2020-07-19,Belize
2,2020-07-20,Belize
2,2020-07-21,Belize
2,2020-07-22,Belize
2,2020-07-23,Belize
2,2020-07-24,Belize
2,2020-07-25,Belize
2,2020-07-26,Belize
2,2020-07-27,Belize
2,2020-07-28,Belize
2,2020-07-29,Belize
2,2020-07-30,Belize
2,2020-07-31,Belize
2,2020-08-01,Belize
2,2020-08-02,Belize
2,2020-08-03,Belize
2,2020-08-04,Belize
2,2020-08-05,Belize
2,2020-08-06,Belize
2,2020-08-07,Belize
2,2020-08-08,Belize
2,2020-08-09,Belize
2,2020-08-10,Belize
2,2020-08-11,Belize
2,2020-08-12,Belize
2,2020-08-13,Belize
3,2020-08-14,Belize
3,2020-08-15,Belize
3,2020-08-16,Belize
4,2020-08-17,Belize
4,2020-08-18,Belize
4,2020-08-19,Belize
5,2020-08-20,Belize
5,2020-08-21,Belize
6,2020-08-22,Belize
6,2020-08-23,Belize
10,2020-08-24,Belize
10,2020-08-25,Belize
11,2020-08-26,Belize
12,2020-08-27,Belize
12,2020-08-28,Belize
13,2020-08-29,Belize
13,2020-08-30,Belize
13,2020-08-31,Belize
13,2020-09-01,Belize
13,2020-09-02,Belize
13,2020-09-03,Belize
15,2020-09-04,Belize
15,2020-09-05,Belize
15,2020-09-06,Belize
16,2020-09-07,Belize
16,2020-09-08,Belize
18,2020-09-09,Belize
18,2020-09-10,Belize
19,2020-09-11,Belize
19,2020-09-12,Belize
19,2020-09-13,Belize
19,2020-09-14,Belize
19,2020-09-15,Belize
19,2020-09-16,Belize
19,2020-09-17,Belize
20,2020-09-18,Belize
20,2020-09-19,Belize
21,2020-09-20,Belize
21,2020-09-21,Belize
21,2020-09-22,Belize
22,2020-09-23,Belize
22,2020-09-24,Belize
23,2020-09-25,Belize
24,2020-09-26,Belize
24,2020-09-27,Belize
24,2020-09-28,Belize
24,2020-09-29,Belize
27,2020-09-30,Belize
27,2020-10-01,Belize
28,2020-10-02,Belize
28,2020-10-03,Belize
29,2020-10-04,Belize
30,2020-10-05,Belize
34,2020-10-06,Belize
34,2020-10-07,Belize
34,2020-10-08,Belize
35,2020-10-09,Belize
35,2020-10-10,Belize
37,2020-10-11,Belize
37,2020-10-12,Belize
39,2020-10-13,Belize
40,2020-10-14,Belize
41,2020-10-15,Belize
43,2020-10-16,Belize
43,2020-10-17,Belize
44,2020-10-18,Belize
45,2020-10-19,Belize
45,2020-10-20,Belize
46,2020-10-21,Belize
46,2020-10-22,Belize
46,2020-10-23,Belize
48,2020-10-24,Belize
50,2020-10-25,Belize
50,2020-10-26,Belize
51,2020-10-27,Belize
52,2020-10-28,Belize
52,2020-10-29,Belize
58,2020-10-30,Belize
59,2020-10-31,Belize
59,2020-11-01,Belize
59,2020-11-02,Belize
61,2020-11-03,Belize
64,2020-11-04,Belize
66,2020-11-05,Belize
67,2020-11-06,Belize
68,2020-11-07,Belize
70,2020-11-08,Belize
71,2020-11-09,Belize
73,2020-11-10,Belize
75,2020-11-11,Belize
75,2020-11-12,Belize
85,2020-11-13,Belize
88,2020-11-14,Belize
90,2020-11-15,Belize
94,2020-11-16,Belize
96,2020-11-17,Belize
100,2020-11-18,Belize
102,2020-11-19,Belize
107,2020-11-20,Belize
112,2020-11-21,Belize
116,2020-11-22,Belize
120,2020-11-23,Belize
125,2020-11-24,Belize
129,2020-11-25,Belize
131,2020-11-26,Belize
141,2020-11-27,Belize
144,2020-11-28,Belize
147,2020-11-29,Belize
148,2020-11-30,Belize
148,2020-12-01,Belize
148,2020-12-02,Belize
164,2020-12-03,Belize
170,2020-12-04,Belize
172,2020-12-05,Belize
173,2020-12-06,Belize
176,2020-12-07,Belize
179,2020-12-08,Belize
183,2020-12-09,Belize
183,2020-12-10,Belize
185,2020-12-11,Belize
192,2020-12-12,Belize
195,2020-12-13,Belize
197,2020-12-14,Belize
211,2020-12-15,Belize
212,2020-12-16,Belize
213,2020-12-17,Belize
213,2020-12-18,Belize
213,2020-12-19,Belize
213,2020-12-20,Belize
224,2020-12-21,Belize
226,2020-12-22,Belize
226,2020-12-23,Belize
228,2020-12-24,Belize
228,2020-12-25,Belize
228,2020-12-26,Belize
233,2020-12-27,Belize
236,2020-12-28,Belize
241,2020-12-29,Belize
242,2020-12-30,Belize
248,2020-12-31,Belize
248,2021-01-01,Belize
249,2021-01-02,Belize
250,2021-01-03,Belize
257,2021-01-04,Belize
258,2021-01-05,Belize
260,2021-01-06,Belize
267,2021-01-07,Belize
271,2021-01-08,Belize
271,2021-01-09,Belize
274,2021-01-10,Belize
275,2021-01-11,Belize
277,2021-01-12,Belize
278,2021-01-13,Belize
280,2021-01-14,Belize
281,2021-01-15,Belize
281,2021-01-16,Belize
281,2021-01-17,Belize
282,2021-01-18,Belize
283,2021-01-19,Belize
286,2021-01-20,Belize
289,2021-01-21,Belize
290,2021-01-22,Belize
290,2021-01-23,Belize
290,2021-01-24,Belize
293,2021-01-25,Belize
293,2021-01-26,Belize
294,2021-01-27,Belize
298,2021-01-28,Belize
301,2021-01-29,Belize
301,2021-01-30,Belize
301,2021-01-31,Belize
302,2021-02-01,Belize
303,2021-02-02,Belize
306,2021-02-03,Belize
306,2021-02-04,Belize
306,2021-02-05,Belize
306,2021-02-06,Belize
306,2021-02-07,Belize
307,2021-02-08,Belize
310,2021-02-09,Belize
313,2021-02-10,Belize
313,2021-02-11,Belize
313,2021-02-12,Belize
313,2021-02-13,Belize
313,2021-02-14,Belize
313,2021-02-15,Belize
313,2021-02-16,Belize
314,2021-02-17,Belize
314,2021-02-18,Belize
314,2021-02-19,Belize
314,2021-02-20,Belize
314,2021-02-21,Belize
314,2021-02-22,Belize
314,2021-02-23,Belize
315,2021-02-24,Belize
315,2021-02-25,Belize
315,2021-02-26,Belize
315,2021-02-27,Belize
315,2021-02-28,Belize
315,2021-03-01,Belize
315,2021-03-02,Belize
315,2021-03-03,Belize
314,2021-03-04,Belize
315,2021-03-05,Belize
315,2021-03-06,Belize
315,2021-03-07,Belize
315,2021-03-08,Belize
316,2021-03-09,Belize
316,2021-03-10,Belize
316,2021-03-11,Belize
316,2021-03-12,Belize
316,2021-03-13,Belize
316,2021-03-14,Belize
316,2021-03-15,Belize
316,2021-03-16,Belize
316,2021-03-17,Belize
316,2021-03-18,Belize
316,2021-03-19,Belize
316,2021-03-20,Belize
316,2021-03-21,Belize
316,2021-03-22,Belize
316,2021-03-23,Belize
317,2021-03-24,Belize
317,2021-03-25,Belize
317,2021-03-26,Belize
317,2021-03-27,Belize
317,2021-03-28,Belize
317,2021-03-29,Belize
317,2021-03-30,Belize
317,2021-03-31,Belize
317,2021-04-01,Belize
317,2021-04-02,Belize
317,2021-04-03,Belize
317,2021-04-04,Belize
317,2021-04-05,Belize
318,2021-04-06,Belize
318,2021-04-07,Belize
318,2021-04-08,Belize
318,2021-04-09,Belize
318,2021-04-10,Belize
