Deaths,CreationDate,Name
1,2020-04-06,Benin
1,2020-04-07,Benin
1,2020-04-08,Benin
1,2020-04-09,Benin
1,2020-04-10,Benin
1,2020-04-11,Benin
1,2020-04-12,Benin
1,2020-04-13,Benin
1,2020-04-14,Benin
1,2020-04-15,Benin
1,2020-04-16,Benin
1,2020-04-17,Benin
1,2020-04-18,Benin
1,2020-04-19,Benin
1,2020-04-20,Benin
1,2020-04-21,Benin
1,2020-04-22,Benin
1,2020-04-23,Benin
1,2020-04-24,Benin
1,2020-04-25,Benin
1,2020-04-26,Benin
1,2020-04-27,Benin
1,2020-04-28,Benin
1,2020-04-29,Benin
1,2020-04-30,Benin
2,2020-05-01,Benin
2,2020-05-02,Benin
2,2020-05-03,Benin
2,2020-05-04,Benin
2,2020-05-05,Benin
2,2020-05-06,Benin
2,2020-05-07,Benin
2,2020-05-08,Benin
2,2020-05-09,Benin
2,2020-05-10,Benin
2,2020-05-11,Benin
2,2020-05-12,Benin
2,2020-05-13,Benin
2,2020-05-14,Benin
2,2020-05-15,Benin
2,2020-05-16,Benin
2,2020-05-17,Benin
2,2020-05-18,Benin
2,2020-05-19,Benin
2,2020-05-20,Benin
3,2020-05-21,Benin
3,2020-05-22,Benin
3,2020-05-23,Benin
3,2020-05-24,Benin
3,2020-05-25,Benin
3,2020-05-26,Benin
3,2020-05-27,Benin
3,2020-05-28,Benin
3,2020-05-29,Benin
3,2020-05-30,Benin
3,2020-05-31,Benin
3,2020-06-01,Benin
3,2020-06-02,Benin
3,2020-06-03,Benin
3,2020-06-04,Benin
3,2020-06-05,Benin
3,2020-06-06,Benin
3,2020-06-07,Benin
4,2020-06-08,Benin
4,2020-06-09,Benin
4,2020-06-10,Benin
4,2020-06-11,Benin
5,2020-06-12,Benin
6,2020-06-13,Benin
6,2020-06-14,Benin
9,2020-06-15,Benin
9,2020-06-16,Benin
9,2020-06-17,Benin
11,2020-06-18,Benin
11,2020-06-19,Benin
11,2020-06-20,Benin
13,2020-06-21,Benin
13,2020-06-22,Benin
13,2020-06-23,Benin
13,2020-06-24,Benin
14,2020-06-25,Benin
14,2020-06-26,Benin
14,2020-06-27,Benin
16,2020-06-28,Benin
19,2020-06-29,Benin
21,2020-06-30,Benin
21,2020-07-01,Benin
21,2020-07-02,Benin
21,2020-07-03,Benin
21,2020-07-04,Benin
21,2020-07-05,Benin
21,2020-07-06,Benin
21,2020-07-07,Benin
21,2020-07-08,Benin
23,2020-07-09,Benin
23,2020-07-10,Benin
26,2020-07-11,Benin
26,2020-07-12,Benin
26,2020-07-13,Benin
26,2020-07-14,Benin
26,2020-07-15,Benin
28,2020-07-16,Benin
31,2020-07-17,Benin
31,2020-07-18,Benin
31,2020-07-19,Benin
31,2020-07-20,Benin
31,2020-07-21,Benin
34,2020-07-22,Benin
34,2020-07-23,Benin
34,2020-07-24,Benin
34,2020-07-25,Benin
35,2020-07-26,Benin
35,2020-07-27,Benin
35,2020-07-28,Benin
36,2020-07-29,Benin
36,2020-07-30,Benin
36,2020-07-31,Benin
36,2020-08-01,Benin
36,2020-08-02,Benin
36,2020-08-03,Benin
38,2020-08-04,Benin
38,2020-08-05,Benin
38,2020-08-06,Benin
38,2020-08-07,Benin
38,2020-08-08,Benin
38,2020-08-09,Benin
38,2020-08-10,Benin
38,2020-08-11,Benin
38,2020-08-12,Benin
38,2020-08-13,Benin
38,2020-08-14,Benin
39,2020-08-15,Benin
39,2020-08-16,Benin
39,2020-08-17,Benin
39,2020-08-18,Benin
39,2020-08-19,Benin
39,2020-08-20,Benin
39,2020-08-21,Benin
39,2020-08-22,Benin
39,2020-08-23,Benin
39,2020-08-24,Benin
39,2020-08-25,Benin
40,2020-08-26,Benin
40,2020-08-27,Benin
40,2020-08-28,Benin
40,2020-08-29,Benin
40,2020-08-30,Benin
40,2020-08-31,Benin
40,2020-09-01,Benin
40,2020-09-02,Benin
40,2020-09-03,Benin
40,2020-09-04,Benin
40,2020-09-05,Benin
40,2020-09-06,Benin
40,2020-09-07,Benin
40,2020-09-08,Benin
40,2020-09-09,Benin
40,2020-09-10,Benin
40,2020-09-11,Benin
40,2020-09-12,Benin
40,2020-09-13,Benin
40,2020-09-14,Benin
40,2020-09-15,Benin
40,2020-09-16,Benin
40,2020-09-17,Benin
40,2020-09-18,Benin
40,2020-09-19,Benin
40,2020-09-20,Benin
40,2020-09-21,Benin
40,2020-09-22,Benin
40,2020-09-23,Benin
40,2020-09-24,Benin
40,2020-09-25,Benin
40,2020-09-26,Benin
40,2020-09-27,Benin
40,2020-09-28,Benin
40,2020-09-29,Benin
41,2020-09-30,Benin
41,2020-10-01,Benin
41,2020-10-02,Benin
41,2020-10-03,Benin
41,2020-10-04,Benin
41,2020-10-05,Benin
41,2020-10-06,Benin
41,2020-10-07,Benin
41,2020-10-08,Benin
41,2020-10-09,Benin
41,2020-10-10,Benin
41,2020-10-11,Benin
41,2020-10-12,Benin
41,2020-10-13,Benin
41,2020-10-14,Benin
41,2020-10-15,Benin
41,2020-10-16,Benin
41,2020-10-17,Benin
41,2020-10-18,Benin
41,2020-10-19,Benin
41,2020-10-20,Benin
