Deaths,CreationDate,Name
2,2020-04-06,Bermuda
2,2020-04-07,Bermuda
3,2020-04-08,Bermuda
4,2020-04-09,Bermuda
4,2020-04-10,Bermuda
4,2020-04-11,Bermuda
4,2020-04-12,Bermuda
5,2020-04-13,Bermuda
5,2020-04-14,Bermuda
5,2020-04-15,Bermuda
5,2020-04-16,Bermuda
5,2020-04-17,Bermuda
5,2020-04-18,Bermuda
5,2020-04-19,Bermuda
5,2020-04-20,Bermuda
5,2020-04-21,Bermuda
5,2020-04-22,Bermuda
5,2020-04-23,Bermuda
5,2020-04-24,Bermuda
5,2020-04-25,Bermuda
5,2020-04-26,Bermuda
6,2020-04-27,Bermuda
6,2020-04-28,Bermuda
6,2020-04-29,Bermuda
6,2020-04-30,Bermuda
6,2020-05-01,Bermuda
7,2020-05-02,Bermuda
7,2020-05-03,Bermuda
7,2020-05-04,Bermuda
7,2020-05-05,Bermuda
7,2020-05-06,Bermuda
7,2020-05-07,Bermuda
7,2020-05-08,Bermuda
7,2020-05-09,Bermuda
7,2020-05-10,Bermuda
8,2020-05-11,Bermuda
8,2020-05-12,Bermuda
8,2020-05-13,Bermuda
9,2020-05-14,Bermuda
9,2020-05-15,Bermuda
9,2020-05-16,Bermuda
9,2020-05-17,Bermuda
9,2020-05-18,Bermuda
9,2020-05-19,Bermuda
9,2020-05-20,Bermuda
9,2020-05-21,Bermuda
9,2020-05-22,Bermuda
9,2020-05-23,Bermuda
9,2020-05-24,Bermuda
9,2020-05-25,Bermuda
9,2020-05-26,Bermuda
9,2020-05-27,Bermuda
9,2020-05-28,Bermuda
9,2020-05-29,Bermuda
9,2020-05-30,Bermuda
9,2020-05-31,Bermuda
9,2020-06-01,Bermuda
9,2020-06-02,Bermuda
9,2020-06-03,Bermuda
9,2020-06-04,Bermuda
9,2020-06-05,Bermuda
9,2020-06-06,Bermuda
9,2020-06-07,Bermuda
9,2020-06-08,Bermuda
9,2020-06-09,Bermuda
9,2020-06-10,Bermuda
9,2020-06-11,Bermuda
9,2020-06-12,Bermuda
9,2020-06-13,Bermuda
9,2020-06-14,Bermuda
9,2020-06-15,Bermuda
9,2020-06-16,Bermuda
9,2020-06-17,Bermuda
9,2020-06-18,Bermuda
9,2020-06-19,Bermuda
9,2020-06-20,Bermuda
9,2020-06-21,Bermuda
9,2020-06-22,Bermuda
9,2020-06-23,Bermuda
9,2020-06-24,Bermuda
9,2020-06-25,Bermuda
9,2020-06-26,Bermuda
9,2020-06-27,Bermuda
9,2020-06-28,Bermuda
9,2020-06-29,Bermuda
9,2020-06-30,Bermuda
9,2020-07-01,Bermuda
9,2020-07-02,Bermuda
9,2020-07-03,Bermuda
9,2020-07-04,Bermuda
9,2020-07-05,Bermuda
9,2020-07-06,Bermuda
9,2020-07-07,Bermuda
9,2020-07-08,Bermuda
9,2020-07-09,Bermuda
9,2020-07-10,Bermuda
9,2020-07-11,Bermuda
9,2020-07-12,Bermuda
9,2020-07-13,Bermuda
9,2020-07-14,Bermuda
9,2020-07-15,Bermuda
9,2020-07-16,Bermuda
9,2020-07-17,Bermuda
9,2020-07-18,Bermuda
9,2020-07-19,Bermuda
9,2020-07-20,Bermuda
9,2020-07-21,Bermuda
9,2020-07-22,Bermuda
9,2020-07-23,Bermuda
9,2020-07-24,Bermuda
9,2020-07-25,Bermuda
9,2020-07-26,Bermuda
9,2020-07-27,Bermuda
9,2020-07-28,Bermuda
9,2020-07-29,Bermuda
9,2020-07-30,Bermuda
9,2020-07-31,Bermuda
9,2020-08-01,Bermuda
9,2020-08-02,Bermuda
9,2020-08-03,Bermuda
9,2020-08-04,Bermuda
9,2020-08-05,Bermuda
9,2020-08-06,Bermuda
9,2020-08-07,Bermuda
9,2020-08-08,Bermuda
9,2020-08-09,Bermuda
9,2020-08-10,Bermuda
9,2020-08-11,Bermuda
9,2020-08-12,Bermuda
9,2020-08-13,Bermuda
9,2020-08-14,Bermuda
9,2020-08-15,Bermuda
9,2020-08-16,Bermuda
9,2020-08-17,Bermuda
9,2020-08-18,Bermuda
9,2020-08-19,Bermuda
9,2020-08-20,Bermuda
9,2020-08-21,Bermuda
9,2020-08-22,Bermuda
9,2020-08-23,Bermuda
9,2020-08-24,Bermuda
9,2020-08-25,Bermuda
9,2020-08-26,Bermuda
9,2020-08-27,Bermuda
9,2020-08-28,Bermuda
9,2020-08-29,Bermuda
9,2020-08-30,Bermuda
9,2020-08-31,Bermuda
9,2020-09-01,Bermuda
9,2020-09-02,Bermuda
9,2020-09-03,Bermuda
9,2020-09-04,Bermuda
9,2020-09-05,Bermuda
9,2020-09-06,Bermuda
9,2020-09-07,Bermuda
9,2020-09-08,Bermuda
9,2020-09-09,Bermuda
9,2020-09-10,Bermuda
9,2020-09-11,Bermuda
9,2020-09-12,Bermuda
9,2020-09-13,Bermuda
9,2020-09-14,Bermuda
9,2020-09-15,Bermuda
9,2020-09-16,Bermuda
9,2020-09-17,Bermuda
9,2020-09-18,Bermuda
9,2020-09-19,Bermuda
9,2020-09-20,Bermuda
9,2020-09-21,Bermuda
9,2020-09-22,Bermuda
9,2020-09-23,Bermuda
9,2020-09-24,Bermuda
9,2020-09-25,Bermuda
9,2020-09-26,Bermuda
9,2020-09-27,Bermuda
9,2020-09-28,Bermuda
9,2020-09-29,Bermuda
9,2020-09-30,Bermuda
9,2020-10-01,Bermuda
9,2020-10-02,Bermuda
9,2020-10-03,Bermuda
9,2020-10-04,Bermuda
9,2020-10-05,Bermuda
9,2020-10-06,Bermuda
9,2020-10-07,Bermuda
9,2020-10-08,Bermuda
9,2020-10-09,Bermuda
9,2020-10-10,Bermuda
9,2020-10-11,Bermuda
9,2020-10-12,Bermuda
9,2020-10-13,Bermuda
9,2020-10-14,Bermuda
9,2020-10-15,Bermuda
9,2020-10-16,Bermuda
9,2020-10-17,Bermuda
9,2020-10-18,Bermuda
9,2020-10-19,Bermuda
9,2020-10-20,Bermuda
9,2020-10-21,Bermuda
9,2020-10-22,Bermuda
9,2020-10-23,Bermuda
9,2020-10-24,Bermuda
9,2020-10-25,Bermuda
9,2020-10-26,Bermuda
9,2020-10-27,Bermuda
9,2020-10-28,Bermuda
9,2020-10-29,Bermuda
9,2020-10-30,Bermuda
9,2020-10-31,Bermuda
9,2020-11-01,Bermuda
9,2020-11-02,Bermuda
9,2020-11-03,Bermuda
9,2020-11-04,Bermuda
9,2020-11-05,Bermuda
9,2020-11-06,Bermuda
9,2020-11-07,Bermuda
9,2020-11-08,Bermuda
9,2020-11-09,Bermuda
9,2020-11-10,Bermuda
9,2020-11-11,Bermuda
9,2020-11-12,Bermuda
9,2020-11-13,Bermuda
9,2020-11-14,Bermuda
9,2020-11-15,Bermuda
9,2020-11-16,Bermuda
9,2020-11-17,Bermuda
9,2020-11-18,Bermuda
9,2020-11-19,Bermuda
9,2020-11-20,Bermuda
9,2020-11-21,Bermuda
9,2020-11-22,Bermuda
9,2020-11-23,Bermuda
9,2020-11-24,Bermuda
9,2020-11-25,Bermuda
9,2020-11-26,Bermuda
9,2020-11-27,Bermuda
9,2020-11-28,Bermuda
9,2020-11-29,Bermuda
9,2020-11-30,Bermuda
9,2020-12-01,Bermuda
9,2020-12-02,Bermuda
9,2020-12-03,Bermuda
9,2020-12-04,Bermuda
9,2020-12-05,Bermuda
9,2020-12-06,Bermuda
9,2020-12-07,Bermuda
9,2020-12-08,Bermuda
9,2020-12-09,Bermuda
9,2020-12-10,Bermuda
9,2020-12-11,Bermuda
9,2020-12-12,Bermuda
9,2020-12-13,Bermuda
9,2020-12-14,Bermuda
9,2020-12-15,Bermuda
9,2020-12-16,Bermuda
9,2020-12-17,Bermuda
9,2020-12-18,Bermuda
9,2020-12-19,Bermuda
9,2020-12-20,Bermuda
9,2020-12-21,Bermuda
9,2020-12-22,Bermuda
9,2020-12-23,Bermuda
9,2020-12-24,Bermuda
9,2020-12-25,Bermuda
10,2020-12-26,Bermuda
10,2020-12-27,Bermuda
10,2020-12-28,Bermuda
10,2020-12-29,Bermuda
10,2020-12-30,Bermuda
10,2020-12-31,Bermuda
10,2021-01-01,Bermuda
10,2021-01-02,Bermuda
10,2021-01-03,Bermuda
10,2021-01-04,Bermuda
11,2021-01-05,Bermuda
11,2021-01-06,Bermuda
11,2021-01-07,Bermuda
12,2021-01-08,Bermuda
12,2021-01-09,Bermuda
12,2021-01-10,Bermuda
12,2021-01-11,Bermuda
12,2021-01-12,Bermuda
12,2021-01-13,Bermuda
12,2021-01-14,Bermuda
12,2021-01-15,Bermuda
12,2021-01-16,Bermuda
12,2021-01-17,Bermuda
12,2021-01-18,Bermuda
12,2021-01-19,Bermuda
12,2021-01-20,Bermuda
12,2021-01-21,Bermuda
12,2021-01-22,Bermuda
12,2021-01-23,Bermuda
12,2021-01-24,Bermuda
12,2021-01-25,Bermuda
12,2021-01-26,Bermuda
12,2021-01-27,Bermuda
12,2021-01-28,Bermuda
12,2021-01-29,Bermuda
12,2021-01-30,Bermuda
12,2021-01-31,Bermuda
12,2021-02-01,Bermuda
12,2021-02-02,Bermuda
12,2021-02-03,Bermuda
12,2021-02-04,Bermuda
12,2021-02-05,Bermuda
12,2021-02-06,Bermuda
12,2021-02-07,Bermuda
12,2021-02-08,Bermuda
12,2021-02-09,Bermuda
12,2021-02-10,Bermuda
12,2021-02-11,Bermuda
12,2021-02-12,Bermuda
12,2021-02-13,Bermuda
12,2021-02-14,Bermuda
12,2021-02-15,Bermuda
12,2021-02-16,Bermuda
12,2021-02-17,Bermuda
12,2021-02-18,Bermuda
12,2021-02-19,Bermuda
12,2021-02-20,Bermuda
12,2021-02-21,Bermuda
12,2021-02-22,Bermuda
12,2021-02-23,Bermuda
12,2021-02-24,Bermuda
12,2021-02-25,Bermuda
12,2021-02-26,Bermuda
12,2021-02-27,Bermuda
12,2021-02-28,Bermuda
12,2021-03-01,Bermuda
12,2021-03-02,Bermuda
12,2021-03-03,Bermuda
12,2021-03-04,Bermuda
12,2021-03-05,Bermuda
12,2021-03-06,Bermuda
12,2021-03-07,Bermuda
12,2021-03-08,Bermuda
12,2021-03-09,Bermuda
12,2021-03-10,Bermuda
12,2021-03-11,Bermuda
12,2021-03-12,Bermuda
12,2021-03-13,Bermuda
12,2021-03-14,Bermuda
12,2021-03-15,Bermuda
12,2021-03-16,Bermuda
12,2021-03-17,Bermuda
12,2021-03-18,Bermuda
12,2021-03-19,Bermuda
12,2021-03-20,Bermuda
12,2021-03-21,Bermuda
12,2021-03-22,Bermuda
12,2021-03-23,Bermuda
12,2021-03-24,Bermuda
12,2021-03-25,Bermuda
12,2021-03-26,Bermuda
12,2021-03-27,Bermuda
12,2021-03-28,Bermuda
12,2021-03-29,Bermuda
12,2021-03-30,Bermuda
12,2021-03-31,Bermuda
12,2021-04-01,Bermuda
12,2021-04-02,Bermuda
12,2021-04-03,Bermuda
12,2021-04-04,Bermuda
14,2021-04-05,Bermuda
14,2021-04-06,Bermuda
14,2021-04-07,Bermuda
14,2021-04-08,Bermuda
14,2021-04-09,Bermuda
14,2021-04-10,Bermuda
14,2021-04-11,Bermuda
16,2021-04-12,Bermuda
16,2021-04-13,Bermuda
16,2021-04-14,Bermuda
17,2021-04-15,Bermuda
17,2021-04-16,Bermuda
18,2021-04-17,Bermuda
18,2021-04-18,Bermuda
20,2021-04-19,Bermuda
20,2021-04-20,Bermuda
20,2021-04-21,Bermuda
22,2021-04-22,Bermuda
23,2021-04-23,Bermuda
23,2021-04-24,Bermuda
23,2021-04-25,Bermuda
24,2021-04-26,Bermuda
24,2021-04-27,Bermuda
24,2021-04-28,Bermuda
27,2021-04-29,Bermuda
28,2021-04-30,Bermuda
28,2021-05-01,Bermuda
28,2021-05-02,Bermuda
28,2021-05-03,Bermuda
30,2021-05-04,Bermuda
30,2021-05-05,Bermuda
30,2021-05-06,Bermuda
30,2021-05-07,Bermuda
30,2021-05-08,Bermuda
30,2021-05-09,Bermuda
31,2021-05-10,Bermuda
31,2021-05-11,Bermuda
32,2021-05-20,Bermuda
32,2021-05-21,Bermuda
32,2021-05-22,Bermuda
32,2021-05-23,Bermuda
32,2021-05-24,Bermuda
32,2021-05-25,Bermuda
