Deaths,CreationDate,Name
1,2020-03-29,Bolivia
4,2020-03-30,Bolivia
6,2020-03-31,Bolivia
7,2020-04-01,Bolivia
8,2020-04-02,Bolivia
9,2020-04-03,Bolivia
10,2020-04-04,Bolivia
10,2020-04-05,Bolivia
11,2020-04-06,Bolivia
14,2020-04-07,Bolivia
15,2020-04-08,Bolivia
18,2020-04-09,Bolivia
19,2020-04-10,Bolivia
20,2020-04-11,Bolivia
24,2020-04-12,Bolivia
27,2020-04-13,Bolivia
28,2020-04-14,Bolivia
28,2020-04-15,Bolivia
29,2020-04-16,Bolivia
31,2020-04-17,Bolivia
31,2020-04-18,Bolivia
32,2020-04-19,Bolivia
33,2020-04-20,Bolivia
34,2020-04-21,Bolivia
37,2020-04-22,Bolivia
43,2020-04-23,Bolivia
44,2020-04-24,Bolivia
46,2020-04-25,Bolivia
50,2020-04-26,Bolivia
53,2020-04-27,Bolivia
55,2020-04-28,Bolivia
59,2020-04-29,Bolivia
62,2020-04-30,Bolivia
66,2020-05-01,Bolivia
71,2020-05-02,Bolivia
76,2020-05-03,Bolivia
82,2020-05-04,Bolivia
86,2020-05-05,Bolivia
91,2020-05-06,Bolivia
102,2020-05-07,Bolivia
106,2020-05-08,Bolivia
114,2020-05-09,Bolivia
118,2020-05-10,Bolivia
122,2020-05-11,Bolivia
128,2020-05-12,Bolivia
142,2020-05-13,Bolivia
152,2020-05-14,Bolivia
164,2020-05-15,Bolivia
165,2020-05-16,Bolivia
169,2020-05-17,Bolivia
174,2020-05-18,Bolivia
189,2020-05-19,Bolivia
199,2020-05-20,Bolivia
215,2020-05-21,Bolivia
230,2020-05-22,Bolivia
240,2020-05-23,Bolivia
250,2020-05-24,Bolivia
261,2020-05-25,Bolivia
274,2020-05-26,Bolivia
280,2020-05-27,Bolivia
293,2020-05-28,Bolivia
300,2020-05-29,Bolivia
310,2020-05-30,Bolivia
313,2020-05-31,Bolivia
343,2020-06-01,Bolivia
376,2020-06-02,Bolivia
400,2020-06-03,Bolivia
415,2020-06-04,Bolivia
427,2020-06-05,Bolivia
454,2020-06-06,Bolivia
465,2020-06-07,Bolivia
475,2020-06-08,Bolivia
487,2020-06-09,Bolivia
512,2020-06-10,Bolivia
533,2020-06-11,Bolivia
559,2020-06-12,Bolivia
585,2020-06-13,Bolivia
611,2020-06-14,Bolivia
632,2020-06-15,Bolivia
659,2020-06-16,Bolivia
679,2020-06-17,Bolivia
697,2020-06-18,Bolivia
715,2020-06-19,Bolivia
740,2020-06-20,Bolivia
773,2020-06-21,Bolivia
820,2020-06-22,Bolivia
846,2020-06-23,Bolivia
876,2020-06-24,Bolivia
913,2020-06-25,Bolivia
934,2020-06-26,Bolivia
970,2020-06-27,Bolivia
1014,2020-06-28,Bolivia
1071,2020-06-29,Bolivia
1123,2020-06-30,Bolivia
1201,2020-07-01,Bolivia
1271,2020-07-02,Bolivia
1320,2020-07-03,Bolivia
1378,2020-07-04,Bolivia
1434,2020-07-05,Bolivia
1476,2020-07-06,Bolivia
1530,2020-07-07,Bolivia
1577,2020-07-08,Bolivia
1638,2020-07-09,Bolivia
1702,2020-07-10,Bolivia
1754,2020-07-11,Bolivia
1807,2020-07-12,Bolivia
1866,2020-07-13,Bolivia
1898,2020-07-14,Bolivia
1942,2020-07-15,Bolivia
1984,2020-07-16,Bolivia
2049,2020-07-17,Bolivia
2106,2020-07-18,Bolivia
2151,2020-07-19,Bolivia
2218,2020-07-20,Bolivia
2273,2020-07-21,Bolivia
2328,2020-07-22,Bolivia
2407,2020-07-23,Bolivia
2473,2020-07-24,Bolivia
2535,2020-07-25,Bolivia
2583,2020-07-26,Bolivia
2647,2020-07-27,Bolivia
2720,2020-07-28,Bolivia
2808,2020-07-29,Bolivia
2894,2020-07-30,Bolivia
2977,2020-07-31,Bolivia
3064,2020-08-01,Bolivia
3153,2020-08-02,Bolivia
3228,2020-08-03,Bolivia
3320,2020-08-04,Bolivia
3385,2020-08-05,Bolivia
3465,2020-08-06,Bolivia
3524,2020-08-07,Bolivia
3587,2020-08-08,Bolivia
3640,2020-08-09,Bolivia
3712,2020-08-10,Bolivia
3761,2020-08-11,Bolivia
3827,2020-08-12,Bolivia
3884,2020-08-13,Bolivia
3939,2020-08-14,Bolivia
4003,2020-08-15,Bolivia
4058,2020-08-16,Bolivia
4123,2020-08-17,Bolivia
4172,2020-08-18,Bolivia
4233,2020-08-19,Bolivia
4305,2020-08-20,Bolivia
4366,2020-08-21,Bolivia
4442,2020-08-22,Bolivia
4509,2020-08-23,Bolivia
4578,2020-08-24,Bolivia
4664,2020-08-25,Bolivia
4726,2020-08-26,Bolivia
4791,2020-08-27,Bolivia
4846,2020-08-28,Bolivia
4938,2020-08-29,Bolivia
4966,2020-08-30,Bolivia
5027,2020-08-31,Bolivia
5101,2020-09-01,Bolivia
5203,2020-09-02,Bolivia
5288,2020-09-03,Bolivia
5343,2020-09-04,Bolivia
5398,2020-09-05,Bolivia
5398,2020-09-06,Bolivia
7054,2020-09-07,Bolivia
7097,2020-09-08,Bolivia
7146,2020-09-09,Bolivia
7193,2020-09-10,Bolivia
7250,2020-09-11,Bolivia
7297,2020-09-12,Bolivia
7344,2020-09-13,Bolivia
7394,2020-09-14,Bolivia
7447,2020-09-15,Bolivia
7478,2020-09-16,Bolivia
7511,2020-09-17,Bolivia
7550,2020-09-18,Bolivia
7586,2020-09-19,Bolivia
7617,2020-09-20,Bolivia
7654,2020-09-21,Bolivia
7693,2020-09-22,Bolivia
7731,2020-09-23,Bolivia
7765,2020-09-24,Bolivia
7800,2020-09-25,Bolivia
7828,2020-09-26,Bolivia
7858,2020-09-27,Bolivia
7900,2020-09-28,Bolivia
7931,2020-09-29,Bolivia
7965,2020-09-30,Bolivia
8001,2020-10-01,Bolivia
8045,2020-10-02,Bolivia
8073,2020-10-03,Bolivia
8101,2020-10-04,Bolivia
8129,2020-10-05,Bolivia
8156,2020-10-06,Bolivia
8192,2020-10-07,Bolivia
8228,2020-10-08,Bolivia
8262,2020-10-09,Bolivia
8292,2020-10-10,Bolivia
8308,2020-10-11,Bolivia
8326,2020-10-12,Bolivia
8351,2020-10-13,Bolivia
8377,2020-10-14,Bolivia
8407,2020-10-15,Bolivia
8439,2020-10-16,Bolivia
8463,2020-10-17,Bolivia
8481,2020-10-18,Bolivia
8502,2020-10-19,Bolivia
8526,2020-10-20,Bolivia
8558,2020-10-21,Bolivia
8584,2020-10-22,Bolivia
8608,2020-10-23,Bolivia
8627,2020-10-24,Bolivia
8645,2020-10-25,Bolivia
8658,2020-10-26,Bolivia
8672,2020-10-27,Bolivia
8694,2020-10-28,Bolivia
8705,2020-10-29,Bolivia
8715,2020-10-30,Bolivia
8725,2020-10-31,Bolivia
8731,2020-11-01,Bolivia
8741,2020-11-02,Bolivia
8751,2020-11-03,Bolivia
8758,2020-11-04,Bolivia
8768,2020-11-05,Bolivia
8781,2020-11-06,Bolivia
8790,2020-11-07,Bolivia
8795,2020-11-08,Bolivia
8802,2020-11-09,Bolivia
8808,2020-11-10,Bolivia
8818,2020-11-11,Bolivia
8825,2020-11-12,Bolivia
8835,2020-11-13,Bolivia
8841,2020-11-14,Bolivia
8849,2020-11-15,Bolivia
8859,2020-11-16,Bolivia
8866,2020-11-17,Bolivia
8875,2020-11-18,Bolivia
8889,2020-11-19,Bolivia
8900,2020-11-20,Bolivia
8904,2020-11-21,Bolivia
8907,2020-11-22,Bolivia
8916,2020-11-23,Bolivia
8928,2020-11-24,Bolivia
8933,2020-11-25,Bolivia
8939,2020-11-26,Bolivia
8943,2020-11-27,Bolivia
8949,2020-11-28,Bolivia
8952,2020-11-29,Bolivia
8957,2020-11-30,Bolivia
8963,2020-12-01,Bolivia
8972,2020-12-02,Bolivia
8982,2020-12-03,Bolivia
8987,2020-12-04,Bolivia
8992,2020-12-05,Bolivia
8995,2020-12-06,Bolivia
8997,2020-12-07,Bolivia
9002,2020-12-08,Bolivia
9004,2020-12-09,Bolivia
9008,2020-12-10,Bolivia
9013,2020-12-11,Bolivia
9014,2020-12-12,Bolivia
9018,2020-12-13,Bolivia
9024,2020-12-14,Bolivia
9026,2020-12-15,Bolivia
9029,2020-12-16,Bolivia
9031,2020-12-17,Bolivia
9033,2020-12-18,Bolivia
9035,2020-12-19,Bolivia
9036,2020-12-20,Bolivia
9043,2020-12-21,Bolivia
9052,2020-12-22,Bolivia
9065,2020-12-23,Bolivia
9076,2020-12-24,Bolivia
9083,2020-12-25,Bolivia
9093,2020-12-26,Bolivia
9098,2020-12-27,Bolivia
9106,2020-12-28,Bolivia
9135,2020-12-29,Bolivia
9149,2020-12-30,Bolivia
9165,2020-12-31,Bolivia
9175,2021-01-01,Bolivia
9186,2021-01-02,Bolivia
9201,2021-01-03,Bolivia
9219,2021-01-04,Bolivia
9241,2021-01-05,Bolivia
9287,2021-01-06,Bolivia
9304,2021-01-07,Bolivia
9328,2021-01-08,Bolivia
