Deaths,CreationDate,Name
1,2020-03-21,Bosnia and Herzegovina
1,2020-03-22,Bosnia and Herzegovina
1,2020-03-23,Bosnia and Herzegovina
3,2020-03-24,Bosnia and Herzegovina
3,2020-03-25,Bosnia and Herzegovina
3,2020-03-26,Bosnia and Herzegovina
4,2020-03-27,Bosnia and Herzegovina
5,2020-03-28,Bosnia and Herzegovina
6,2020-03-29,Bosnia and Herzegovina
10,2020-03-30,Bosnia and Herzegovina
13,2020-03-31,Bosnia and Herzegovina
13,2020-04-01,Bosnia and Herzegovina
16,2020-04-02,Bosnia and Herzegovina
17,2020-04-03,Bosnia and Herzegovina
21,2020-04-04,Bosnia and Herzegovina
23,2020-04-05,Bosnia and Herzegovina
29,2020-04-06,Bosnia and Herzegovina
33,2020-04-07,Bosnia and Herzegovina
34,2020-04-08,Bosnia and Herzegovina
35,2020-04-09,Bosnia and Herzegovina
36,2020-04-10,Bosnia and Herzegovina
37,2020-04-11,Bosnia and Herzegovina
39,2020-04-12,Bosnia and Herzegovina
39,2020-04-13,Bosnia and Herzegovina
40,2020-04-14,Bosnia and Herzegovina
41,2020-04-15,Bosnia and Herzegovina
43,2020-04-16,Bosnia and Herzegovina
46,2020-04-17,Bosnia and Herzegovina
47,2020-04-18,Bosnia and Herzegovina
48,2020-04-19,Bosnia and Herzegovina
49,2020-04-20,Bosnia and Herzegovina
51,2020-04-21,Bosnia and Herzegovina
53,2020-04-22,Bosnia and Herzegovina
54,2020-04-23,Bosnia and Herzegovina
55,2020-04-24,Bosnia and Herzegovina
57,2020-04-25,Bosnia and Herzegovina
59,2020-04-26,Bosnia and Herzegovina
60,2020-04-27,Bosnia and Herzegovina
63,2020-04-28,Bosnia and Herzegovina
65,2020-04-29,Bosnia and Herzegovina
69,2020-04-30,Bosnia and Herzegovina
70,2020-05-01,Bosnia and Herzegovina
72,2020-05-02,Bosnia and Herzegovina
77,2020-05-03,Bosnia and Herzegovina
78,2020-05-04,Bosnia and Herzegovina
79,2020-05-05,Bosnia and Herzegovina
86,2020-05-06,Bosnia and Herzegovina
90,2020-05-07,Bosnia and Herzegovina
98,2020-05-08,Bosnia and Herzegovina
102,2020-05-09,Bosnia and Herzegovina
107,2020-05-10,Bosnia and Herzegovina
113,2020-05-11,Bosnia and Herzegovina
117,2020-05-12,Bosnia and Herzegovina
120,2020-05-13,Bosnia and Herzegovina
122,2020-05-14,Bosnia and Herzegovina
128,2020-05-15,Bosnia and Herzegovina
129,2020-05-16,Bosnia and Herzegovina
133,2020-05-17,Bosnia and Herzegovina
133,2020-05-18,Bosnia and Herzegovina
134,2020-05-19,Bosnia and Herzegovina
136,2020-05-20,Bosnia and Herzegovina
140,2020-05-21,Bosnia and Herzegovina
141,2020-05-22,Bosnia and Herzegovina
141,2020-05-23,Bosnia and Herzegovina
144,2020-05-24,Bosnia and Herzegovina
146,2020-05-25,Bosnia and Herzegovina
149,2020-05-26,Bosnia and Herzegovina
151,2020-05-27,Bosnia and Herzegovina
153,2020-05-28,Bosnia and Herzegovina
153,2020-05-29,Bosnia and Herzegovina
153,2020-05-30,Bosnia and Herzegovina
153,2020-05-31,Bosnia and Herzegovina
154,2020-06-01,Bosnia and Herzegovina
157,2020-06-02,Bosnia and Herzegovina
157,2020-06-03,Bosnia and Herzegovina
159,2020-06-04,Bosnia and Herzegovina
159,2020-06-05,Bosnia and Herzegovina
159,2020-06-06,Bosnia and Herzegovina
159,2020-06-07,Bosnia and Herzegovina
160,2020-06-08,Bosnia and Herzegovina
160,2020-06-09,Bosnia and Herzegovina
161,2020-06-10,Bosnia and Herzegovina
161,2020-06-11,Bosnia and Herzegovina
163,2020-06-12,Bosnia and Herzegovina
163,2020-06-13,Bosnia and Herzegovina
163,2020-06-14,Bosnia and Herzegovina
165,2020-06-15,Bosnia and Herzegovina
168,2020-06-16,Bosnia and Herzegovina
168,2020-06-17,Bosnia and Herzegovina
168,2020-06-18,Bosnia and Herzegovina
169,2020-06-19,Bosnia and Herzegovina
169,2020-06-20,Bosnia and Herzegovina
169,2020-06-21,Bosnia and Herzegovina
171,2020-06-22,Bosnia and Herzegovina
172,2020-06-23,Bosnia and Herzegovina
173,2020-06-24,Bosnia and Herzegovina
175,2020-06-25,Bosnia and Herzegovina
178,2020-06-26,Bosnia and Herzegovina
178,2020-06-27,Bosnia and Herzegovina
178,2020-06-28,Bosnia and Herzegovina
184,2020-06-29,Bosnia and Herzegovina
186,2020-06-30,Bosnia and Herzegovina
188,2020-07-01,Bosnia and Herzegovina
189,2020-07-02,Bosnia and Herzegovina
191,2020-07-03,Bosnia and Herzegovina
191,2020-07-04,Bosnia and Herzegovina
191,2020-07-05,Bosnia and Herzegovina
199,2020-07-06,Bosnia and Herzegovina
207,2020-07-07,Bosnia and Herzegovina
209,2020-07-08,Bosnia and Herzegovina
214,2020-07-09,Bosnia and Herzegovina
216,2020-07-10,Bosnia and Herzegovina
219,2020-07-11,Bosnia and Herzegovina
221,2020-07-12,Bosnia and Herzegovina
226,2020-07-13,Bosnia and Herzegovina
226,2020-07-14,Bosnia and Herzegovina
235,2020-07-15,Bosnia and Herzegovina
240,2020-07-16,Bosnia and Herzegovina
245,2020-07-17,Bosnia and Herzegovina
246,2020-07-18,Bosnia and Herzegovina
249,2020-07-19,Bosnia and Herzegovina
255,2020-07-20,Bosnia and Herzegovina
264,2020-07-21,Bosnia and Herzegovina
268,2020-07-22,Bosnia and Herzegovina
274,2020-07-23,Bosnia and Herzegovina
280,2020-07-24,Bosnia and Herzegovina
280,2020-07-25,Bosnia and Herzegovina
280,2020-07-26,Bosnia and Herzegovina
294,2020-07-27,Bosnia and Herzegovina
297,2020-07-28,Bosnia and Herzegovina
316,2020-07-29,Bosnia and Herzegovina
328,2020-07-30,Bosnia and Herzegovina
339,2020-07-31,Bosnia and Herzegovina
