Deaths,CreationDate,Name
1,2020-03-31,Botswana
1,2020-04-01,Botswana
1,2020-04-02,Botswana
1,2020-04-03,Botswana
1,2020-04-04,Botswana
1,2020-04-05,Botswana
1,2020-04-06,Botswana
1,2020-04-07,Botswana
1,2020-04-08,Botswana
1,2020-04-09,Botswana
1,2020-04-10,Botswana
1,2020-04-11,Botswana
1,2020-04-12,Botswana
1,2020-04-13,Botswana
1,2020-04-14,Botswana
1,2020-04-15,Botswana
1,2020-04-16,Botswana
1,2020-04-17,Botswana
1,2020-04-18,Botswana
1,2020-04-19,Botswana
1,2020-04-20,Botswana
1,2020-04-21,Botswana
1,2020-04-22,Botswana
1,2020-04-23,Botswana
1,2020-04-24,Botswana
1,2020-04-25,Botswana
1,2020-04-26,Botswana
1,2020-04-27,Botswana
1,2020-04-28,Botswana
1,2020-04-29,Botswana
1,2020-04-30,Botswana
1,2020-05-01,Botswana
1,2020-05-02,Botswana
1,2020-05-03,Botswana
1,2020-05-04,Botswana
1,2020-05-05,Botswana
1,2020-05-06,Botswana
1,2020-05-07,Botswana
1,2020-05-08,Botswana
1,2020-05-09,Botswana
1,2020-05-10,Botswana
1,2020-05-11,Botswana
1,2020-05-12,Botswana
1,2020-05-13,Botswana
1,2020-05-14,Botswana
1,2020-05-15,Botswana
1,2020-05-16,Botswana
1,2020-05-17,Botswana
1,2020-05-18,Botswana
1,2020-05-19,Botswana
1,2020-05-20,Botswana
1,2020-05-21,Botswana
1,2020-05-22,Botswana
1,2020-05-23,Botswana
1,2020-05-24,Botswana
1,2020-05-25,Botswana
1,2020-05-26,Botswana
1,2020-05-27,Botswana
1,2020-05-28,Botswana
1,2020-05-29,Botswana
1,2020-05-30,Botswana
1,2020-05-31,Botswana
1,2020-06-01,Botswana
1,2020-06-02,Botswana
1,2020-06-03,Botswana
1,2020-06-04,Botswana
1,2020-06-05,Botswana
1,2020-06-06,Botswana
1,2020-06-07,Botswana
1,2020-06-08,Botswana
1,2020-06-09,Botswana
1,2020-06-10,Botswana
1,2020-06-11,Botswana
1,2020-06-12,Botswana
1,2020-06-13,Botswana
1,2020-06-14,Botswana
1,2020-06-15,Botswana
1,2020-06-16,Botswana
1,2020-06-17,Botswana
1,2020-06-18,Botswana
1,2020-06-19,Botswana
1,2020-06-20,Botswana
1,2020-06-21,Botswana
1,2020-06-22,Botswana
1,2020-06-23,Botswana
1,2020-06-24,Botswana
1,2020-06-25,Botswana
1,2020-06-26,Botswana
1,2020-06-27,Botswana
1,2020-06-28,Botswana
1,2020-06-29,Botswana
1,2020-06-30,Botswana
1,2020-07-01,Botswana
1,2020-07-02,Botswana
1,2020-07-03,Botswana
1,2020-07-04,Botswana
1,2020-07-05,Botswana
1,2020-07-06,Botswana
1,2020-07-07,Botswana
1,2020-07-08,Botswana
1,2020-07-09,Botswana
1,2020-07-10,Botswana
1,2020-07-11,Botswana
1,2020-07-12,Botswana
1,2020-07-13,Botswana
1,2020-07-14,Botswana
1,2020-07-15,Botswana
1,2020-07-16,Botswana
1,2020-07-17,Botswana
1,2020-07-18,Botswana
1,2020-07-19,Botswana
1,2020-07-20,Botswana
1,2020-07-21,Botswana
1,2020-07-22,Botswana
1,2020-07-23,Botswana
1,2020-07-24,Botswana
1,2020-07-25,Botswana
1,2020-07-26,Botswana
2,2020-07-27,Botswana
2,2020-07-28,Botswana
2,2020-07-29,Botswana
2,2020-07-30,Botswana
2,2020-07-31,Botswana
2,2020-08-01,Botswana
2,2020-08-02,Botswana
2,2020-08-03,Botswana
2,2020-08-04,Botswana
2,2020-08-05,Botswana
2,2020-08-06,Botswana
2,2020-08-07,Botswana
2,2020-08-08,Botswana
2,2020-08-09,Botswana
2,2020-08-10,Botswana
2,2020-08-11,Botswana
2,2020-08-12,Botswana
3,2020-08-13,Botswana
3,2020-08-14,Botswana
3,2020-08-15,Botswana
3,2020-08-16,Botswana
3,2020-08-17,Botswana
3,2020-08-18,Botswana
3,2020-08-19,Botswana
3,2020-08-20,Botswana
3,2020-08-21,Botswana
3,2020-08-22,Botswana
3,2020-08-23,Botswana
3,2020-08-24,Botswana
3,2020-08-25,Botswana
3,2020-08-26,Botswana
3,2020-08-27,Botswana
3,2020-08-28,Botswana
3,2020-08-29,Botswana
6,2020-08-30,Botswana
6,2020-08-31,Botswana
6,2020-09-01,Botswana
6,2020-09-02,Botswana
6,2020-09-03,Botswana
8,2020-09-04,Botswana
8,2020-09-05,Botswana
8,2020-09-06,Botswana
9,2020-09-07,Botswana
9,2020-09-08,Botswana
9,2020-09-09,Botswana
10,2020-09-10,Botswana
10,2020-09-11,Botswana
10,2020-09-12,Botswana
10,2020-09-13,Botswana
11,2020-09-14,Botswana
11,2020-09-15,Botswana
11,2020-09-16,Botswana
13,2020-09-17,Botswana
13,2020-09-18,Botswana
13,2020-09-19,Botswana
13,2020-09-20,Botswana
13,2020-09-21,Botswana
13,2020-09-22,Botswana
13,2020-09-23,Botswana
16,2020-09-24,Botswana
16,2020-09-25,Botswana
16,2020-09-26,Botswana
16,2020-09-27,Botswana
16,2020-09-28,Botswana
16,2020-09-29,Botswana
16,2020-09-30,Botswana
16,2020-10-01,Botswana
16,2020-10-02,Botswana
16,2020-10-03,Botswana
16,2020-10-04,Botswana
16,2020-10-05,Botswana
18,2020-10-06,Botswana
18,2020-10-07,Botswana
18,2020-10-08,Botswana
18,2020-10-09,Botswana
18,2020-10-10,Botswana
18,2020-10-11,Botswana
20,2020-10-12,Botswana
20,2020-10-13,Botswana
20,2020-10-14,Botswana
20,2020-10-15,Botswana
20,2020-10-16,Botswana
20,2020-10-17,Botswana
20,2020-10-18,Botswana
21,2020-10-19,Botswana
21,2020-10-20,Botswana
21,2020-10-21,Botswana
21,2020-10-22,Botswana
21,2020-10-23,Botswana
21,2020-10-24,Botswana
21,2020-10-25,Botswana
21,2020-10-26,Botswana
21,2020-10-27,Botswana
21,2020-10-28,Botswana
24,2020-10-29,Botswana
24,2020-10-30,Botswana
24,2020-10-31,Botswana
24,2020-11-01,Botswana
24,2020-11-02,Botswana
24,2020-11-03,Botswana
24,2020-11-04,Botswana
27,2020-11-05,Botswana
27,2020-11-06,Botswana
27,2020-11-07,Botswana
27,2020-11-08,Botswana
27,2020-11-09,Botswana
27,2020-11-10,Botswana
27,2020-11-11,Botswana
27,2020-11-12,Botswana
27,2020-11-13,Botswana
27,2020-11-14,Botswana
27,2020-11-15,Botswana
30,2020-11-16,Botswana
30,2020-11-17,Botswana
30,2020-11-18,Botswana
31,2020-11-19,Botswana
31,2020-11-20,Botswana
31,2020-11-21,Botswana
31,2020-11-22,Botswana
31,2020-11-23,Botswana
31,2020-11-24,Botswana
31,2020-11-25,Botswana
31,2020-11-26,Botswana
31,2020-11-27,Botswana
31,2020-11-28,Botswana
31,2020-11-29,Botswana
34,2020-11-30,Botswana
34,2020-12-01,Botswana
34,2020-12-02,Botswana
34,2020-12-03,Botswana
34,2020-12-04,Botswana
34,2020-12-05,Botswana
34,2020-12-06,Botswana
36,2020-12-07,Botswana
36,2020-12-08,Botswana
36,2020-12-09,Botswana
37,2020-12-10,Botswana
37,2020-12-11,Botswana
