Deaths,CreationDate,Name
1,2020-03-17,Brazil
3,2020-03-18,Brazil
6,2020-03-19,Brazil
11,2020-03-20,Brazil
15,2020-03-21,Brazil
25,2020-03-22,Brazil
34,2020-03-23,Brazil
46,2020-03-24,Brazil
59,2020-03-25,Brazil
77,2020-03-26,Brazil
92,2020-03-27,Brazil
111,2020-03-28,Brazil
136,2020-03-29,Brazil
159,2020-03-30,Brazil
201,2020-03-31,Brazil
240,2020-04-01,Brazil
324,2020-04-02,Brazil
359,2020-04-03,Brazil
445,2020-04-04,Brazil
486,2020-04-05,Brazil
564,2020-04-06,Brazil
686,2020-04-07,Brazil
819,2020-04-08,Brazil
950,2020-04-09,Brazil
1057,2020-04-10,Brazil
1124,2020-04-11,Brazil
1223,2020-04-12,Brazil
1328,2020-04-13,Brazil
1532,2020-04-14,Brazil
1736,2020-04-15,Brazil
1924,2020-04-16,Brazil
2141,2020-04-17,Brazil
2354,2020-04-18,Brazil
2462,2020-04-19,Brazil
2587,2020-04-20,Brazil
2741,2020-04-21,Brazil
2906,2020-04-22,Brazil
3331,2020-04-23,Brazil
3704,2020-04-24,Brazil
4057,2020-04-25,Brazil
4286,2020-04-26,Brazil
4603,2020-04-27,Brazil
5083,2020-04-28,Brazil
5513,2020-04-29,Brazil
6006,2020-04-30,Brazil
6412,2020-05-01,Brazil
6761,2020-05-02,Brazil
7051,2020-05-03,Brazil
7367,2020-05-04,Brazil
7938,2020-05-05,Brazil
8588,2020-05-06,Brazil
9190,2020-05-07,Brazil
10017,2020-05-08,Brazil
10656,2020-05-09,Brazil
11123,2020-05-10,Brazil
11653,2020-05-11,Brazil
12461,2020-05-12,Brazil
13240,2020-05-13,Brazil
13999,2020-05-14,Brazil
14962,2020-05-15,Brazil
15662,2020-05-16,Brazil
16118,2020-05-17,Brazil
16853,2020-05-18,Brazil
17983,2020-05-19,Brazil
18859,2020-05-20,Brazil
20047,2020-05-21,Brazil
21048,2020-05-22,Brazil
22013,2020-05-23,Brazil
22666,2020-05-24,Brazil
23473,2020-05-25,Brazil
24512,2020-05-26,Brazil
25598,2020-05-27,Brazil
26754,2020-05-28,Brazil
27878,2020-05-29,Brazil
28834,2020-05-30,Brazil
29314,2020-05-31,Brazil
29937,2020-06-01,Brazil
31199,2020-06-02,Brazil
32548,2020-06-03,Brazil
34021,2020-06-04,Brazil
35026,2020-06-05,Brazil
35930,2020-06-06,Brazil
36455,2020-06-07,Brazil
37134,2020-06-08,Brazil
38406,2020-06-09,Brazil
39680,2020-06-10,Brazil
40919,2020-06-11,Brazil
41828,2020-06-12,Brazil
42720,2020-06-13,Brazil
43332,2020-06-14,Brazil
43959,2020-06-15,Brazil
45241,2020-06-16,Brazil
46510,2020-06-17,Brazil
47748,2020-06-18,Brazil
48954,2020-06-19,Brazil
49976,2020-06-20,Brazil
50591,2020-06-21,Brazil
51271,2020-06-22,Brazil
52645,2020-06-23,Brazil
53830,2020-06-24,Brazil
54971,2020-06-25,Brazil
55961,2020-06-26,Brazil
57070,2020-06-27,Brazil
57622,2020-06-28,Brazil
58314,2020-06-29,Brazil
59594,2020-06-30,Brazil
60632,2020-07-01,Brazil
61884,2020-07-02,Brazil
63174,2020-07-03,Brazil
64265,2020-07-04,Brazil
64867,2020-07-05,Brazil
65487,2020-07-06,Brazil
66741,2020-07-07,Brazil
67964,2020-07-08,Brazil
69184,2020-07-09,Brazil
70398,2020-07-10,Brazil
71469,2020-07-11,Brazil
72100,2020-07-12,Brazil
72833,2020-07-13,Brazil
74133,2020-07-14,Brazil
75366,2020-07-15,Brazil
76688,2020-07-16,Brazil
77851,2020-07-17,Brazil
78772,2020-07-18,Brazil
79488,2020-07-19,Brazil
80120,2020-07-20,Brazil
81487,2020-07-21,Brazil
82771,2020-07-22,Brazil
84082,2020-07-23,Brazil
85238,2020-07-24,Brazil
86449,2020-07-25,Brazil
87004,2020-07-26,Brazil
87618,2020-07-27,Brazil
88539,2020-07-28,Brazil
90134,2020-07-29,Brazil
91263,2020-07-30,Brazil
92475,2020-07-31,Brazil
93563,2020-08-01,Brazil
94104,2020-08-02,Brazil
94665,2020-08-03,Brazil
95819,2020-08-04,Brazil
97256,2020-08-05,Brazil
98493,2020-08-06,Brazil
99572,2020-08-07,Brazil
100477,2020-08-08,Brazil
101049,2020-08-09,Brazil
101752,2020-08-10,Brazil
103026,2020-08-11,Brazil
104201,2020-08-12,Brazil
105463,2020-08-13,Brazil
106523,2020-08-14,Brazil
107232,2020-08-15,Brazil
107852,2020-08-16,Brazil
108536,2020-08-17,Brazil
109888,2020-08-18,Brazil
111100,2020-08-19,Brazil
112304,2020-08-20,Brazil
113358,2020-08-21,Brazil
114250,2020-08-22,Brazil
114744,2020-08-23,Brazil
115309,2020-08-24,Brazil
116580,2020-08-25,Brazil
117665,2020-08-26,Brazil
118649,2020-08-27,Brazil
119504,2020-08-28,Brazil
120262,2020-08-29,Brazil
120828,2020-08-30,Brazil
121381,2020-08-31,Brazil
122596,2020-09-01,Brazil
123780,2020-09-02,Brazil
124614,2020-09-03,Brazil
125502,2020-09-04,Brazil
126203,2020-09-05,Brazil
126650,2020-09-06,Brazil
126960,2020-09-07,Brazil
127464,2020-09-08,Brazil
128539,2020-09-09,Brazil
129522,2020-09-10,Brazil
130396,2020-09-11,Brazil
131210,2020-09-12,Brazil
131625,2020-09-13,Brazil
132006,2020-09-14,Brazil
133119,2020-09-15,Brazil
134106,2020-09-16,Brazil
134935,2020-09-17,Brazil
135793,2020-09-18,Brazil
136532,2020-09-19,Brazil
136895,2020-09-20,Brazil
137272,2020-09-21,Brazil
138105,2020-09-22,Brazil
138105,2020-09-23,Brazil
139808,2020-09-24,Brazil
140537,2020-09-25,Brazil
141406,2020-09-26,Brazil
141741,2020-09-27,Brazil
142058,2020-09-28,Brazil
142921,2020-09-29,Brazil
143952,2020-09-30,Brazil
144680,2020-10-01,Brazil
144680,2020-10-02,Brazil
145987,2020-10-03,Brazil
146352,2020-10-04,Brazil
146675,2020-10-05,Brazil
147494,2020-10-06,Brazil
148228,2020-10-07,Brazil
148957,2020-10-08,Brazil
149639,2020-10-09,Brazil
150198,2020-10-10,Brazil
150488,2020-10-11,Brazil
150689,2020-10-12,Brazil
150998,2020-10-13,Brazil
151747,2020-10-14,Brazil
152460,2020-10-15,Brazil
153214,2020-10-16,Brazil
153675,2020-10-17,Brazil
153675,2020-10-18,Brazil
154176,2020-10-19,Brazil
154837,2020-10-20,Brazil
155403,2020-10-21,Brazil
