Deaths,CreationDate,Name
1,2020-03-28,Brunei Darussalam
1,2020-03-29,Brunei Darussalam
1,2020-03-30,Brunei Darussalam
1,2020-03-31,Brunei Darussalam
1,2020-04-01,Brunei Darussalam
1,2020-04-02,Brunei Darussalam
1,2020-04-03,Brunei Darussalam
1,2020-04-04,Brunei Darussalam
1,2020-04-05,Brunei Darussalam
1,2020-04-06,Brunei Darussalam
1,2020-04-07,Brunei Darussalam
1,2020-04-08,Brunei Darussalam
1,2020-04-09,Brunei Darussalam
1,2020-04-10,Brunei Darussalam
1,2020-04-11,Brunei Darussalam
1,2020-04-12,Brunei Darussalam
1,2020-04-13,Brunei Darussalam
1,2020-04-14,Brunei Darussalam
1,2020-04-15,Brunei Darussalam
1,2020-04-16,Brunei Darussalam
1,2020-04-17,Brunei Darussalam
1,2020-04-18,Brunei Darussalam
1,2020-04-19,Brunei Darussalam
1,2020-04-20,Brunei Darussalam
1,2020-04-21,Brunei Darussalam
1,2020-04-22,Brunei Darussalam
1,2020-04-23,Brunei Darussalam
1,2020-04-24,Brunei Darussalam
1,2020-04-25,Brunei Darussalam
1,2020-04-26,Brunei Darussalam
1,2020-04-27,Brunei Darussalam
1,2020-04-28,Brunei Darussalam
1,2020-04-29,Brunei Darussalam
1,2020-04-30,Brunei Darussalam
1,2020-05-01,Brunei Darussalam
1,2020-05-02,Brunei Darussalam
1,2020-05-03,Brunei Darussalam
1,2020-05-04,Brunei Darussalam
1,2020-05-05,Brunei Darussalam
1,2020-05-06,Brunei Darussalam
1,2020-05-07,Brunei Darussalam
1,2020-05-08,Brunei Darussalam
1,2020-05-09,Brunei Darussalam
1,2020-05-10,Brunei Darussalam
1,2020-05-11,Brunei Darussalam
1,2020-05-12,Brunei Darussalam
1,2020-05-13,Brunei Darussalam
1,2020-05-14,Brunei Darussalam
1,2020-05-15,Brunei Darussalam
1,2020-05-16,Brunei Darussalam
1,2020-05-17,Brunei Darussalam
1,2020-05-18,Brunei Darussalam
1,2020-05-19,Brunei Darussalam
1,2020-05-20,Brunei Darussalam
1,2020-05-21,Brunei Darussalam
1,2020-05-22,Brunei Darussalam
1,2020-05-23,Brunei Darussalam
1,2020-05-24,Brunei Darussalam
1,2020-05-25,Brunei Darussalam
1,2020-05-26,Brunei Darussalam
2,2020-05-27,Brunei Darussalam
2,2020-05-28,Brunei Darussalam
2,2020-05-29,Brunei Darussalam
2,2020-05-30,Brunei Darussalam
2,2020-05-31,Brunei Darussalam
2,2020-06-01,Brunei Darussalam
2,2020-06-02,Brunei Darussalam
2,2020-06-03,Brunei Darussalam
2,2020-06-04,Brunei Darussalam
2,2020-06-05,Brunei Darussalam
2,2020-06-06,Brunei Darussalam
2,2020-06-07,Brunei Darussalam
2,2020-06-08,Brunei Darussalam
2,2020-06-09,Brunei Darussalam
2,2020-06-10,Brunei Darussalam
2,2020-06-11,Brunei Darussalam
2,2020-06-12,Brunei Darussalam
2,2020-06-13,Brunei Darussalam
2,2020-06-14,Brunei Darussalam
2,2020-06-15,Brunei Darussalam
3,2020-06-16,Brunei Darussalam
3,2020-06-17,Brunei Darussalam
3,2020-06-18,Brunei Darussalam
3,2020-06-19,Brunei Darussalam
3,2020-06-20,Brunei Darussalam
3,2020-06-21,Brunei Darussalam
3,2020-06-22,Brunei Darussalam
3,2020-06-23,Brunei Darussalam
3,2020-06-24,Brunei Darussalam
3,2020-06-25,Brunei Darussalam
3,2020-06-26,Brunei Darussalam
3,2020-06-27,Brunei Darussalam
3,2020-06-28,Brunei Darussalam
3,2020-06-29,Brunei Darussalam
3,2020-06-30,Brunei Darussalam
3,2020-07-01,Brunei Darussalam
3,2020-07-02,Brunei Darussalam
3,2020-07-03,Brunei Darussalam
3,2020-07-04,Brunei Darussalam
3,2020-07-05,Brunei Darussalam
3,2020-07-06,Brunei Darussalam
3,2020-07-07,Brunei Darussalam
3,2020-07-08,Brunei Darussalam
3,2020-07-09,Brunei Darussalam
3,2020-07-10,Brunei Darussalam
