Deaths,CreationDate,Name
1,2020-03-11,Bulgaria
1,2020-03-12,Bulgaria
1,2020-03-13,Bulgaria
2,2020-03-14,Bulgaria
2,2020-03-15,Bulgaria
2,2020-03-16,Bulgaria
2,2020-03-17,Bulgaria
2,2020-03-18,Bulgaria
3,2020-03-19,Bulgaria
3,2020-03-20,Bulgaria
3,2020-03-21,Bulgaria
3,2020-03-22,Bulgaria
3,2020-03-23,Bulgaria
3,2020-03-24,Bulgaria
3,2020-03-25,Bulgaria
3,2020-03-26,Bulgaria
3,2020-03-27,Bulgaria
7,2020-03-28,Bulgaria
8,2020-03-29,Bulgaria
8,2020-03-30,Bulgaria
8,2020-03-31,Bulgaria
10,2020-04-01,Bulgaria
10,2020-04-02,Bulgaria
14,2020-04-03,Bulgaria
17,2020-04-04,Bulgaria
20,2020-04-05,Bulgaria
22,2020-04-06,Bulgaria
23,2020-04-07,Bulgaria
24,2020-04-08,Bulgaria
24,2020-04-09,Bulgaria
25,2020-04-10,Bulgaria
28,2020-04-11,Bulgaria
29,2020-04-12,Bulgaria
32,2020-04-13,Bulgaria
35,2020-04-14,Bulgaria
36,2020-04-15,Bulgaria
38,2020-04-16,Bulgaria
41,2020-04-17,Bulgaria
41,2020-04-18,Bulgaria
42,2020-04-19,Bulgaria
43,2020-04-20,Bulgaria
45,2020-04-21,Bulgaria
49,2020-04-22,Bulgaria
52,2020-04-23,Bulgaria
54,2020-04-24,Bulgaria
55,2020-04-25,Bulgaria
56,2020-04-26,Bulgaria
58,2020-04-27,Bulgaria
58,2020-04-28,Bulgaria
64,2020-04-29,Bulgaria
66,2020-04-30,Bulgaria
68,2020-05-01,Bulgaria
72,2020-05-02,Bulgaria
73,2020-05-03,Bulgaria
78,2020-05-04,Bulgaria
80,2020-05-05,Bulgaria
84,2020-05-06,Bulgaria
84,2020-05-07,Bulgaria
86,2020-05-08,Bulgaria
90,2020-05-09,Bulgaria
91,2020-05-10,Bulgaria
93,2020-05-11,Bulgaria
95,2020-05-12,Bulgaria
96,2020-05-13,Bulgaria
99,2020-05-14,Bulgaria
102,2020-05-15,Bulgaria
105,2020-05-16,Bulgaria
108,2020-05-17,Bulgaria
110,2020-05-18,Bulgaria
112,2020-05-19,Bulgaria
116,2020-05-20,Bulgaria
120,2020-05-21,Bulgaria
125,2020-05-22,Bulgaria
126,2020-05-23,Bulgaria
130,2020-05-24,Bulgaria
130,2020-05-25,Bulgaria
130,2020-05-26,Bulgaria
133,2020-05-27,Bulgaria
134,2020-05-28,Bulgaria
136,2020-05-29,Bulgaria
139,2020-05-30,Bulgaria
140,2020-05-31,Bulgaria
140,2020-06-01,Bulgaria
144,2020-06-02,Bulgaria
146,2020-06-03,Bulgaria
147,2020-06-04,Bulgaria
159,2020-06-05,Bulgaria
160,2020-06-06,Bulgaria
160,2020-06-07,Bulgaria
164,2020-06-08,Bulgaria
167,2020-06-09,Bulgaria
167,2020-06-10,Bulgaria
168,2020-06-11,Bulgaria
172,2020-06-12,Bulgaria
172,2020-06-13,Bulgaria
174,2020-06-14,Bulgaria
176,2020-06-15,Bulgaria
181,2020-06-16,Bulgaria
184,2020-06-17,Bulgaria
190,2020-06-18,Bulgaria
193,2020-06-19,Bulgaria
199,2020-06-20,Bulgaria
199,2020-06-21,Bulgaria
207,2020-06-22,Bulgaria
208,2020-06-23,Bulgaria
209,2020-06-24,Bulgaria
211,2020-06-25,Bulgaria
215,2020-06-26,Bulgaria
216,2020-06-27,Bulgaria
219,2020-06-28,Bulgaria
223,2020-06-29,Bulgaria
230,2020-06-30,Bulgaria
232,2020-07-01,Bulgaria
232,2020-07-02,Bulgaria
239,2020-07-03,Bulgaria
241,2020-07-04,Bulgaria
246,2020-07-05,Bulgaria
250,2020-07-06,Bulgaria
254,2020-07-07,Bulgaria
259,2020-07-08,Bulgaria
262,2020-07-09,Bulgaria
267,2020-07-10,Bulgaria
267,2020-07-11,Bulgaria
268,2020-07-12,Bulgaria
276,2020-07-13,Bulgaria
283,2020-07-14,Bulgaria
289,2020-07-15,Bulgaria
293,2020-07-16,Bulgaria
297,2020-07-17,Bulgaria
299,2020-07-18,Bulgaria
300,2020-07-19,Bulgaria
308,2020-07-20,Bulgaria
313,2020-07-21,Bulgaria
321,2020-07-22,Bulgaria
329,2020-07-23,Bulgaria
337,2020-07-24,Bulgaria
338,2020-07-25,Bulgaria
340,2020-07-26,Bulgaria
347,2020-07-27,Bulgaria
355,2020-07-28,Bulgaria
368,2020-07-29,Bulgaria
374,2020-07-30,Bulgaria
383,2020-07-31,Bulgaria
385,2020-08-01,Bulgaria
388,2020-08-02,Bulgaria
404,2020-08-03,Bulgaria
415,2020-08-04,Bulgaria
424,2020-08-05,Bulgaria
435,2020-08-06,Bulgaria
442,2020-08-07,Bulgaria
445,2020-08-08,Bulgaria
447,2020-08-09,Bulgaria
459,2020-08-10,Bulgaria
471,2020-08-11,Bulgaria
482,2020-08-12,Bulgaria
482,2020-08-13,Bulgaria
492,2020-08-14,Bulgaria
495,2020-08-15,Bulgaria
498,2020-08-16,Bulgaria
512,2020-08-17,Bulgaria
519,2020-08-18,Bulgaria
527,2020-08-19,Bulgaria
532,2020-08-20,Bulgaria
539,2020-08-21,Bulgaria
539,2020-08-22,Bulgaria
545,2020-08-23,Bulgaria
563,2020-08-24,Bulgaria
572,2020-08-25,Bulgaria
586,2020-08-26,Bulgaria
594,2020-08-27,Bulgaria
603,2020-08-28,Bulgaria
605,2020-08-29,Bulgaria
613,2020-08-30,Bulgaria
629,2020-08-31,Bulgaria
642,2020-09-01,Bulgaria
648,2020-09-02,Bulgaria
658,2020-09-03,Bulgaria
665,2020-09-04,Bulgaria
671,2020-09-05,Bulgaria
676,2020-09-06,Bulgaria
677,2020-09-07,Bulgaria
692,2020-09-08,Bulgaria
702,2020-09-09,Bulgaria
706,2020-09-10,Bulgaria
713,2020-09-11,Bulgaria
717,2020-09-12,Bulgaria
720,2020-09-13,Bulgaria
729,2020-09-14,Bulgaria
736,2020-09-15,Bulgaria
739,2020-09-16,Bulgaria
749,2020-09-17,Bulgaria
753,2020-09-18,Bulgaria
755,2020-09-19,Bulgaria
761,2020-09-20,Bulgaria
765,2020-09-21,Bulgaria
767,2020-09-22,Bulgaria
779,2020-09-23,Bulgaria
785,2020-09-24,Bulgaria
789,2020-09-25,Bulgaria
789,2020-09-26,Bulgaria
796,2020-09-27,Bulgaria
807,2020-09-28,Bulgaria
813,2020-09-29,Bulgaria
825,2020-09-30,Bulgaria
825,2020-10-01,Bulgaria
838,2020-10-02,Bulgaria
841,2020-10-03,Bulgaria
844,2020-10-04,Bulgaria
854,2020-10-05,Bulgaria
862,2020-10-06,Bulgaria
873,2020-10-07,Bulgaria
880,2020-10-08,Bulgaria
887,2020-10-09,Bulgaria
891,2020-10-10,Bulgaria
892,2020-10-11,Bulgaria
915,2020-10-12,Bulgaria
923,2020-10-13,Bulgaria
929,2020-10-14,Bulgaria
944,2020-10-15,Bulgaria
958,2020-10-16,Bulgaria
968,2020-10-17,Bulgaria
