Deaths,CreationDate,Name
1,2020-03-24,Cabo Verde
1,2020-03-25,Cabo Verde
1,2020-03-26,Cabo Verde
1,2020-03-27,Cabo Verde
1,2020-03-28,Cabo Verde
1,2020-03-29,Cabo Verde
1,2020-03-30,Cabo Verde
1,2020-03-31,Cabo Verde
1,2020-04-01,Cabo Verde
1,2020-04-02,Cabo Verde
1,2020-04-03,Cabo Verde
1,2020-04-04,Cabo Verde
1,2020-04-05,Cabo Verde
1,2020-04-06,Cabo Verde
1,2020-04-07,Cabo Verde
1,2020-04-08,Cabo Verde
1,2020-04-09,Cabo Verde
1,2020-04-10,Cabo Verde
1,2020-04-11,Cabo Verde
1,2020-04-12,Cabo Verde
1,2020-04-13,Cabo Verde
1,2020-04-14,Cabo Verde
1,2020-04-15,Cabo Verde
1,2020-04-16,Cabo Verde
1,2020-04-17,Cabo Verde
1,2020-04-18,Cabo Verde
1,2020-04-19,Cabo Verde
1,2020-04-20,Cabo Verde
1,2020-04-21,Cabo Verde
1,2020-04-22,Cabo Verde
1,2020-04-23,Cabo Verde
1,2020-04-24,Cabo Verde
1,2020-04-25,Cabo Verde
1,2020-04-26,Cabo Verde
1,2020-04-27,Cabo Verde
1,2020-04-28,Cabo Verde
1,2020-04-29,Cabo Verde
1,2020-04-30,Cabo Verde
1,2020-05-01,Cabo Verde
2,2020-05-02,Cabo Verde
2,2020-05-03,Cabo Verde
2,2020-05-04,Cabo Verde
2,2020-05-05,Cabo Verde
2,2020-05-06,Cabo Verde
2,2020-05-07,Cabo Verde
2,2020-05-08,Cabo Verde
2,2020-05-09,Cabo Verde
2,2020-05-10,Cabo Verde
2,2020-05-11,Cabo Verde
2,2020-05-12,Cabo Verde
2,2020-05-13,Cabo Verde
2,2020-05-14,Cabo Verde
2,2020-05-15,Cabo Verde
3,2020-05-16,Cabo Verde
3,2020-05-17,Cabo Verde
3,2020-05-18,Cabo Verde
3,2020-05-19,Cabo Verde
3,2020-05-20,Cabo Verde
3,2020-05-21,Cabo Verde
3,2020-05-22,Cabo Verde
3,2020-05-23,Cabo Verde
3,2020-05-24,Cabo Verde
3,2020-05-25,Cabo Verde
4,2020-05-26,Cabo Verde
4,2020-05-27,Cabo Verde
4,2020-05-28,Cabo Verde
4,2020-05-29,Cabo Verde
4,2020-05-30,Cabo Verde
4,2020-05-31,Cabo Verde
4,2020-06-01,Cabo Verde
5,2020-06-02,Cabo Verde
5,2020-06-03,Cabo Verde
5,2020-06-04,Cabo Verde
5,2020-06-05,Cabo Verde
5,2020-06-06,Cabo Verde
5,2020-06-07,Cabo Verde
5,2020-06-08,Cabo Verde
5,2020-06-09,Cabo Verde
5,2020-06-10,Cabo Verde
6,2020-06-11,Cabo Verde
6,2020-06-12,Cabo Verde
6,2020-06-13,Cabo Verde
6,2020-06-14,Cabo Verde
7,2020-06-15,Cabo Verde
7,2020-06-16,Cabo Verde
7,2020-06-17,Cabo Verde
7,2020-06-18,Cabo Verde
8,2020-06-19,Cabo Verde
8,2020-06-20,Cabo Verde
8,2020-06-21,Cabo Verde
8,2020-06-22,Cabo Verde
8,2020-06-23,Cabo Verde
8,2020-06-24,Cabo Verde
8,2020-06-25,Cabo Verde
10,2020-06-26,Cabo Verde
12,2020-06-27,Cabo Verde
12,2020-06-28,Cabo Verde
12,2020-06-29,Cabo Verde
15,2020-06-30,Cabo Verde
15,2020-07-01,Cabo Verde
15,2020-07-02,Cabo Verde
15,2020-07-03,Cabo Verde
16,2020-07-04,Cabo Verde
17,2020-07-05,Cabo Verde
17,2020-07-06,Cabo Verde
18,2020-07-07,Cabo Verde
18,2020-07-08,Cabo Verde
18,2020-07-09,Cabo Verde
19,2020-07-10,Cabo Verde
19,2020-07-11,Cabo Verde
19,2020-07-12,Cabo Verde
19,2020-07-13,Cabo Verde
19,2020-07-14,Cabo Verde
19,2020-07-15,Cabo Verde
19,2020-07-16,Cabo Verde
19,2020-07-17,Cabo Verde
21,2020-07-18,Cabo Verde
21,2020-07-19,Cabo Verde
21,2020-07-20,Cabo Verde
21,2020-07-21,Cabo Verde
21,2020-07-22,Cabo Verde
21,2020-07-23,Cabo Verde
22,2020-07-24,Cabo Verde
22,2020-07-25,Cabo Verde
22,2020-07-26,Cabo Verde
22,2020-07-27,Cabo Verde
22,2020-07-28,Cabo Verde
23,2020-07-29,Cabo Verde
23,2020-07-30,Cabo Verde
23,2020-07-31,Cabo Verde
24,2020-08-01,Cabo Verde
24,2020-08-02,Cabo Verde
25,2020-08-03,Cabo Verde
26,2020-08-04,Cabo Verde
27,2020-08-05,Cabo Verde
27,2020-08-06,Cabo Verde
29,2020-08-07,Cabo Verde
32,2020-08-08,Cabo Verde
32,2020-08-09,Cabo Verde
32,2020-08-10,Cabo Verde
33,2020-08-11,Cabo Verde
33,2020-08-12,Cabo Verde
33,2020-08-13,Cabo Verde
33,2020-08-14,Cabo Verde
34,2020-08-15,Cabo Verde
35,2020-08-16,Cabo Verde
36,2020-08-17,Cabo Verde
36,2020-08-18,Cabo Verde
36,2020-08-19,Cabo Verde
37,2020-08-20,Cabo Verde
37,2020-08-21,Cabo Verde
37,2020-08-22,Cabo Verde
37,2020-08-23,Cabo Verde
37,2020-08-24,Cabo Verde
37,2020-08-25,Cabo Verde
38,2020-08-26,Cabo Verde
38,2020-08-27,Cabo Verde
38,2020-08-28,Cabo Verde
39,2020-08-29,Cabo Verde
40,2020-08-30,Cabo Verde
40,2020-08-31,Cabo Verde
40,2020-09-01,Cabo Verde
41,2020-09-02,Cabo Verde
41,2020-09-03,Cabo Verde
41,2020-09-04,Cabo Verde
42,2020-09-05,Cabo Verde
42,2020-09-06,Cabo Verde
42,2020-09-07,Cabo Verde
42,2020-09-08,Cabo Verde
43,2020-09-09,Cabo Verde
43,2020-09-10,Cabo Verde
44,2020-09-11,Cabo Verde
44,2020-09-12,Cabo Verde
44,2020-09-13,Cabo Verde
45,2020-09-14,Cabo Verde
46,2020-09-15,Cabo Verde
47,2020-09-16,Cabo Verde
49,2020-09-17,Cabo Verde
50,2020-09-18,Cabo Verde
50,2020-09-19,Cabo Verde
51,2020-09-20,Cabo Verde
52,2020-09-21,Cabo Verde
52,2020-09-22,Cabo Verde
54,2020-09-23,Cabo Verde
55,2020-09-24,Cabo Verde
55,2020-09-25,Cabo Verde
56,2020-09-26,Cabo Verde
57,2020-09-27,Cabo Verde
59,2020-09-28,Cabo Verde
59,2020-09-29,Cabo Verde
60,2020-09-30,Cabo Verde
61,2020-10-01,Cabo Verde
62,2020-10-02,Cabo Verde
62,2020-10-03,Cabo Verde
65,2020-10-04,Cabo Verde
68,2020-10-05,Cabo Verde
69,2020-10-06,Cabo Verde
71,2020-10-07,Cabo Verde
71,2020-10-08,Cabo Verde
73,2020-10-09,Cabo Verde
74,2020-10-10,Cabo Verde
75,2020-10-11,Cabo Verde
75,2020-10-12,Cabo Verde
77,2020-10-13,Cabo Verde
79,2020-10-14,Cabo Verde
79,2020-10-15,Cabo Verde
82,2020-10-16,Cabo Verde
85,2020-10-17,Cabo Verde
86,2020-10-18,Cabo Verde
87,2020-10-19,Cabo Verde
87,2020-10-20,Cabo Verde
90,2020-10-21,Cabo Verde
91,2020-10-22,Cabo Verde
94,2020-10-23,Cabo Verde
