Deaths,CreationDate,Name
1,2020-03-25,Cameroon
1,2020-03-26,Cameroon
2,2020-03-27,Cameroon
2,2020-03-28,Cameroon
6,2020-03-29,Cameroon
6,2020-03-30,Cameroon
6,2020-03-31,Cameroon
6,2020-04-01,Cameroon
7,2020-04-02,Cameroon
8,2020-04-03,Cameroon
9,2020-04-04,Cameroon
9,2020-04-05,Cameroon
9,2020-04-06,Cameroon
9,2020-04-07,Cameroon
10,2020-04-08,Cameroon
10,2020-04-09,Cameroon
12,2020-04-10,Cameroon
12,2020-04-11,Cameroon
12,2020-04-12,Cameroon
12,2020-04-13,Cameroon
14,2020-04-14,Cameroon
17,2020-04-15,Cameroon
22,2020-04-16,Cameroon
22,2020-04-17,Cameroon
22,2020-04-18,Cameroon
42,2020-04-19,Cameroon
42,2020-04-20,Cameroon
43,2020-04-21,Cameroon
43,2020-04-22,Cameroon
43,2020-04-23,Cameroon
43,2020-04-24,Cameroon
53,2020-04-25,Cameroon
56,2020-04-26,Cameroon
58,2020-04-27,Cameroon
58,2020-04-28,Cameroon
61,2020-04-29,Cameroon
61,2020-04-30,Cameroon
61,2020-05-01,Cameroon
64,2020-05-02,Cameroon
64,2020-05-03,Cameroon
64,2020-05-04,Cameroon
64,2020-05-05,Cameroon
108,2020-05-06,Cameroon
108,2020-05-07,Cameroon
108,2020-05-08,Cameroon
108,2020-05-09,Cameroon
114,2020-05-10,Cameroon
125,2020-05-11,Cameroon
125,2020-05-12,Cameroon
136,2020-05-13,Cameroon
139,2020-05-14,Cameroon
140,2020-05-15,Cameroon
140,2020-05-16,Cameroon
140,2020-05-17,Cameroon
140,2020-05-18,Cameroon
140,2020-05-19,Cameroon
146,2020-05-20,Cameroon
156,2020-05-21,Cameroon
159,2020-05-22,Cameroon
159,2020-05-23,Cameroon
165,2020-05-24,Cameroon
165,2020-05-25,Cameroon
175,2020-05-26,Cameroon
175,2020-05-27,Cameroon
175,2020-05-28,Cameroon
177,2020-05-29,Cameroon
191,2020-05-30,Cameroon
191,2020-05-31,Cameroon
199,2020-06-01,Cameroon
200,2020-06-02,Cameroon
200,2020-06-03,Cameroon
203,2020-06-04,Cameroon
205,2020-06-05,Cameroon
212,2020-06-06,Cameroon
212,2020-06-07,Cameroon
212,2020-06-08,Cameroon
212,2020-06-09,Cameroon
212,2020-06-10,Cameroon
212,2020-06-11,Cameroon
212,2020-06-12,Cameroon
212,2020-06-13,Cameroon
212,2020-06-14,Cameroon
276,2020-06-15,Cameroon
276,2020-06-16,Cameroon
276,2020-06-17,Cameroon
276,2020-06-18,Cameroon
282,2020-06-19,Cameroon
301,2020-06-20,Cameroon
303,2020-06-21,Cameroon
308,2020-06-22,Cameroon
313,2020-06-23,Cameroon
313,2020-06-24,Cameroon
313,2020-06-25,Cameroon
313,2020-06-26,Cameroon
313,2020-06-27,Cameroon
313,2020-06-28,Cameroon
313,2020-06-29,Cameroon
313,2020-06-30,Cameroon
313,2020-07-01,Cameroon
313,2020-07-02,Cameroon
313,2020-07-03,Cameroon
313,2020-07-04,Cameroon
