Deaths,CreationDate,Name
1,2020-03-09,Canada
1,2020-03-10,Canada
1,2020-03-11,Canada
1,2020-03-12,Canada
1,2020-03-13,Canada
1,2020-03-14,Canada
1,2020-03-15,Canada
4,2020-03-16,Canada
6,2020-03-17,Canada
11,2020-03-18,Canada
11,2020-03-19,Canada
15,2020-03-20,Canada
19,2020-03-21,Canada
22,2020-03-22,Canada
29,2020-03-23,Canada
33,2020-03-24,Canada
42,2020-03-25,Canada
57,2020-03-26,Canada
66,2020-03-27,Canada
82,2020-03-28,Canada
96,2020-03-29,Canada
125,2020-03-30,Canada
152,2020-03-31,Canada
175,2020-04-01,Canada
224,2020-04-02,Canada
277,2020-04-03,Canada
360,2020-04-04,Canada
435,2020-04-05,Canada
520,2020-04-06,Canada
581,2020-04-07,Canada
648,2020-04-08,Canada
771,2020-04-09,Canada
867,2020-04-10,Canada
986,2020-04-11,Canada
1095,2020-04-12,Canada
1225,2020-04-13,Canada
1361,2020-04-14,Canada
1515,2020-04-15,Canada
1718,2020-04-16,Canada
1844,2020-04-17,Canada
1987,2020-04-18,Canada
2145,2020-04-19,Canada
2291,2020-04-20,Canada
2484,2020-04-21,Canada
2679,2020-04-22,Canada
2850,2020-04-23,Canada
3030,2020-04-24,Canada
3217,2020-04-25,Canada
3374,2020-04-26,Canada
3559,2020-04-27,Canada
3756,2020-04-28,Canada
4000,2020-04-29,Canada
4179,2020-04-30,Canada
4381,2020-05-01,Canada
4529,2020-05-02,Canada
4669,2020-05-03,Canada
4911,2020-05-04,Canada
5081,2020-05-05,Canada
5240,2020-05-06,Canada
5387,2020-05-07,Canada
5540,2020-05-08,Canada
5704,2020-05-09,Canada
5822,2020-05-10,Canada
5956,2020-05-11,Canada
6107,2020-05-12,Canada
6210,2020-05-13,Canada
6331,2020-05-14,Canada
6452,2020-05-15,Canada
6571,2020-05-16,Canada
6661,2020-05-17,Canada
6753,2020-05-18,Canada
6828,2020-05-19,Canada
6950,2020-05-20,Canada
7046,2020-05-21,Canada
7144,2020-05-22,Canada
7238,2020-05-23,Canada
7326,2020-05-24,Canada
7420,2020-05-25,Canada
7512,2020-05-26,Canada
7606,2020-05-27,Canada
7717,2020-05-28,Canada
7797,2020-05-29,Canada
7857,2020-05-30,Canada
7906,2020-05-31,Canada
7952,2020-06-01,Canada
8008,2020-06-02,Canada
8062,2020-06-03,Canada
8126,2020-06-04,Canada
8166,2020-06-05,Canada
8228,2020-06-06,Canada
