Deaths,CreationDate,Name
1,2020-05-23,Central African Republic
1,2020-05-24,Central African Republic
1,2020-05-25,Central African Republic
1,2020-05-26,Central African Republic
1,2020-05-27,Central African Republic
1,2020-05-28,Central African Republic
1,2020-05-29,Central African Republic
1,2020-05-30,Central African Republic
2,2020-05-31,Central African Republic
4,2020-06-01,Central African Republic
4,2020-06-02,Central African Republic
4,2020-06-03,Central African Republic
4,2020-06-04,Central African Republic
4,2020-06-05,Central African Republic
5,2020-06-06,Central African Republic
5,2020-06-07,Central African Republic
5,2020-06-08,Central African Republic
5,2020-06-09,Central African Republic
5,2020-06-10,Central African Republic
5,2020-06-11,Central African Republic
7,2020-06-12,Central African Republic
7,2020-06-13,Central African Republic
7,2020-06-14,Central African Republic
7,2020-06-15,Central African Republic
14,2020-06-16,Central African Republic
18,2020-06-17,Central African Republic
19,2020-06-18,Central African Republic
19,2020-06-19,Central African Republic
19,2020-06-20,Central African Republic
23,2020-06-21,Central African Republic
30,2020-06-22,Central African Republic
37,2020-06-23,Central African Republic
38,2020-06-24,Central African Republic
40,2020-06-25,Central African Republic
40,2020-06-26,Central African Republic
45,2020-06-27,Central African Republic
45,2020-06-28,Central African Republic
47,2020-06-29,Central African Republic
47,2020-06-30,Central African Republic
47,2020-07-01,Central African Republic
47,2020-07-02,Central African Republic
48,2020-07-03,Central African Republic
48,2020-07-04,Central African Republic
48,2020-07-05,Central African Republic
52,2020-07-06,Central African Republic
52,2020-07-07,Central African Republic
52,2020-07-08,Central African Republic
52,2020-07-09,Central African Republic
53,2020-07-10,Central African Republic
53,2020-07-11,Central African Republic
53,2020-07-12,Central African Republic
53,2020-07-13,Central African Republic
53,2020-07-14,Central African Republic
53,2020-07-15,Central African Republic
53,2020-07-16,Central African Republic
53,2020-07-17,Central African Republic
55,2020-07-18,Central African Republic
55,2020-07-19,Central African Republic
55,2020-07-20,Central African Republic
55,2020-07-21,Central African Republic
57,2020-07-22,Central African Republic
58,2020-07-23,Central African Republic
59,2020-07-24,Central African Republic
59,2020-07-25,Central African Republic
59,2020-07-26,Central African Republic
59,2020-07-27,Central African Republic
59,2020-07-28,Central African Republic
59,2020-07-29,Central African Republic
59,2020-07-30,Central African Republic
59,2020-07-31,Central African Republic
59,2020-08-01,Central African Republic
59,2020-08-02,Central African Republic
59,2020-08-03,Central African Republic
59,2020-08-04,Central African Republic
59,2020-08-05,Central African Republic
59,2020-08-06,Central African Republic
59,2020-08-07,Central African Republic
59,2020-08-08,Central African Republic
60,2020-08-09,Central African Republic
60,2020-08-10,Central African Republic
61,2020-08-11,Central African Republic
61,2020-08-12,Central African Republic
61,2020-08-13,Central African Republic
61,2020-08-14,Central African Republic
61,2020-08-15,Central African Republic
61,2020-08-16,Central African Republic
61,2020-08-17,Central African Republic
61,2020-08-18,Central African Republic
61,2020-08-19,Central African Republic
61,2020-08-20,Central African Republic
61,2020-08-21,Central African Republic
61,2020-08-22,Central African Republic
61,2020-08-23,Central African Republic
61,2020-08-24,Central African Republic
61,2020-08-25,Central African Republic
61,2020-08-26,Central African Republic
61,2020-08-27,Central African Republic
61,2020-08-28,Central African Republic
61,2020-08-29,Central African Republic
61,2020-08-30,Central African Republic
62,2020-08-31,Central African Republic
62,2020-09-01,Central African Republic
62,2020-09-02,Central African Republic
62,2020-09-03,Central African Republic
62,2020-09-04,Central African Republic
62,2020-09-05,Central African Republic
62,2020-09-06,Central African Republic
62,2020-09-07,Central African Republic
62,2020-09-08,Central African Republic
62,2020-09-09,Central African Republic
62,2020-09-10,Central African Republic
62,2020-09-11,Central African Republic
62,2020-09-12,Central African Republic
62,2020-09-13,Central African Republic
62,2020-09-14,Central African Republic
62,2020-09-15,Central African Republic
62,2020-09-16,Central African Republic
62,2020-09-17,Central African Republic
62,2020-09-18,Central African Republic
62,2020-09-19,Central African Republic
62,2020-09-20,Central African Republic
62,2020-09-21,Central African Republic
62,2020-09-22,Central African Republic
62,2020-09-23,Central African Republic
62,2020-09-24,Central African Republic
62,2020-09-25,Central African Republic
62,2020-09-26,Central African Republic
62,2020-09-27,Central African Republic
62,2020-09-28,Central African Republic
62,2020-09-29,Central African Republic
62,2020-09-30,Central African Republic
62,2020-10-01,Central African Republic
62,2020-10-02,Central African Republic
62,2020-10-03,Central African Republic
62,2020-10-04,Central African Republic
62,2020-10-05,Central African Republic
62,2020-10-06,Central African Republic
62,2020-10-07,Central African Republic
62,2020-10-08,Central African Republic
62,2020-10-09,Central African Republic
62,2020-10-10,Central African Republic
62,2020-10-11,Central African Republic
62,2020-10-12,Central African Republic
62,2020-10-13,Central African Republic
62,2020-10-14,Central African Republic
62,2020-10-15,Central African Republic
62,2020-10-16,Central African Republic
62,2020-10-17,Central African Republic
62,2020-10-18,Central African Republic
62,2020-10-19,Central African Republic
62,2020-10-20,Central African Republic
62,2020-10-21,Central African Republic
62,2020-10-22,Central African Republic
62,2020-10-23,Central African Republic
62,2020-10-24,Central African Republic
62,2020-10-25,Central African Republic
62,2020-10-26,Central African Republic
62,2020-10-27,Central African Republic
62,2020-10-28,Central African Republic
62,2020-10-29,Central African Republic
62,2020-10-30,Central African Republic
62,2020-10-31,Central African Republic
62,2020-11-01,Central African Republic
62,2020-11-02,Central African Republic
62,2020-11-03,Central African Republic
62,2020-11-04,Central African Republic
62,2020-11-05,Central African Republic
62,2020-11-06,Central African Republic
62,2020-11-07,Central African Republic
62,2020-11-08,Central African Republic
62,2020-11-09,Central African Republic
62,2020-11-10,Central African Republic
62,2020-11-11,Central African Republic
62,2020-11-12,Central African Republic
62,2020-11-13,Central African Republic
63,2020-11-14,Central African Republic
63,2020-11-15,Central African Republic
63,2020-11-16,Central African Republic
63,2020-11-17,Central African Republic
63,2020-11-18,Central African Republic
63,2020-11-19,Central African Republic
63,2020-11-20,Central African Republic
63,2020-11-21,Central African Republic
63,2020-11-22,Central African Republic
63,2020-11-23,Central African Republic
63,2020-11-24,Central African Republic
63,2020-11-25,Central African Republic
63,2020-11-26,Central African Republic
63,2020-11-27,Central African Republic
63,2020-11-28,Central African Republic
63,2020-11-29,Central African Republic
63,2020-11-30,Central African Republic
63,2020-12-01,Central African Republic
63,2020-12-02,Central African Republic
63,2020-12-03,Central African Republic
63,2020-12-04,Central African Republic
63,2020-12-05,Central African Republic
63,2020-12-06,Central African Republic
63,2020-12-07,Central African Republic
63,2020-12-08,Central African Republic
63,2020-12-09,Central African Republic
