Deaths,CreationDate,Name
1,2020-03-22,Chile
2,2020-03-23,Chile
2,2020-03-24,Chile
3,2020-03-25,Chile
4,2020-03-26,Chile
5,2020-03-27,Chile
6,2020-03-28,Chile
7,2020-03-29,Chile
8,2020-03-30,Chile
12,2020-03-31,Chile
16,2020-04-01,Chile
18,2020-04-02,Chile
22,2020-04-03,Chile
27,2020-04-04,Chile
34,2020-04-05,Chile
37,2020-04-06,Chile
43,2020-04-07,Chile
48,2020-04-08,Chile
57,2020-04-09,Chile
65,2020-04-10,Chile
73,2020-04-11,Chile
80,2020-04-12,Chile
82,2020-04-13,Chile
92,2020-04-14,Chile
94,2020-04-15,Chile
105,2020-04-16,Chile
116,2020-04-17,Chile
126,2020-04-18,Chile
133,2020-04-19,Chile
139,2020-04-20,Chile
147,2020-04-21,Chile
160,2020-04-22,Chile
168,2020-04-23,Chile
174,2020-04-24,Chile
181,2020-04-25,Chile
189,2020-04-26,Chile
198,2020-04-27,Chile
207,2020-04-28,Chile
216,2020-04-29,Chile
227,2020-04-30,Chile
234,2020-05-01,Chile
247,2020-05-02,Chile
260,2020-05-03,Chile
270,2020-05-04,Chile
275,2020-05-05,Chile
281,2020-05-06,Chile
285,2020-05-07,Chile
294,2020-05-08,Chile
304,2020-05-09,Chile
312,2020-05-10,Chile
323,2020-05-11,Chile
335,2020-05-12,Chile
346,2020-05-13,Chile
368,2020-05-14,Chile
394,2020-05-15,Chile
421,2020-05-16,Chile
450,2020-05-17,Chile
478,2020-05-18,Chile
509,2020-05-19,Chile
544,2020-05-20,Chile
589,2020-05-21,Chile
630,2020-05-22,Chile
673,2020-05-23,Chile
718,2020-05-24,Chile
761,2020-05-25,Chile
806,2020-05-26,Chile
841,2020-05-27,Chile
890,2020-05-28,Chile
944,2020-05-29,Chile
997,2020-05-30,Chile
1054,2020-05-31,Chile
1113,2020-06-01,Chile
1188,2020-06-02,Chile
1275,2020-06-03,Chile
1356,2020-06-04,Chile
1448,2020-06-05,Chile
