Deaths,CreationDate,Name
2,2020-03-22,Colombia
3,2020-03-23,Colombia
3,2020-03-24,Colombia
4,2020-03-25,Colombia
6,2020-03-26,Colombia
6,2020-03-27,Colombia
6,2020-03-28,Colombia
10,2020-03-29,Colombia
12,2020-03-30,Colombia
16,2020-03-31,Colombia
17,2020-04-01,Colombia
19,2020-04-02,Colombia
25,2020-04-03,Colombia
32,2020-04-04,Colombia
35,2020-04-05,Colombia
46,2020-04-06,Colombia
50,2020-04-07,Colombia
54,2020-04-08,Colombia
69,2020-04-09,Colombia
80,2020-04-10,Colombia
100,2020-04-11,Colombia
109,2020-04-12,Colombia
112,2020-04-13,Colombia
127,2020-04-14,Colombia
131,2020-04-15,Colombia
144,2020-04-16,Colombia
153,2020-04-17,Colombia
166,2020-04-18,Colombia
179,2020-04-19,Colombia
189,2020-04-20,Colombia
196,2020-04-21,Colombia
206,2020-04-22,Colombia
215,2020-04-23,Colombia
225,2020-04-24,Colombia
233,2020-04-25,Colombia
244,2020-04-26,Colombia
253,2020-04-27,Colombia
269,2020-04-28,Colombia
278,2020-04-29,Colombia
293,2020-04-30,Colombia
314,2020-05-01,Colombia
324,2020-05-02,Colombia
340,2020-05-03,Colombia
358,2020-05-04,Colombia
378,2020-05-05,Colombia
397,2020-05-06,Colombia
407,2020-05-07,Colombia
428,2020-05-08,Colombia
445,2020-05-09,Colombia
463,2020-05-10,Colombia
479,2020-05-11,Colombia
493,2020-05-12,Colombia
509,2020-05-13,Colombia
525,2020-05-14,Colombia
546,2020-05-15,Colombia
562,2020-05-16,Colombia
574,2020-05-17,Colombia
592,2020-05-18,Colombia
613,2020-05-19,Colombia
630,2020-05-20,Colombia
652,2020-05-21,Colombia
682,2020-05-22,Colombia
705,2020-05-23,Colombia
727,2020-05-24,Colombia
750,2020-05-25,Colombia
776,2020-05-26,Colombia
803,2020-05-27,Colombia
822,2020-05-28,Colombia
853,2020-05-29,Colombia
890,2020-05-30,Colombia
939,2020-05-31,Colombia
969,2020-06-01,Colombia
1009,2020-06-02,Colombia
1045,2020-06-03,Colombia
1087,2020-06-04,Colombia
1145,2020-06-05,Colombia
1205,2020-06-06,Colombia
1259,2020-06-07,Colombia
1308,2020-06-08,Colombia
1372,2020-06-09,Colombia
1433,2020-06-10,Colombia
1488,2020-06-11,Colombia
1545,2020-06-12,Colombia
1592,2020-06-13,Colombia
1667,2020-06-14,Colombia
1726,2020-06-15,Colombia
1801,2020-06-16,Colombia
1864,2020-06-17,Colombia
1950,2020-06-18,Colombia
2045,2020-06-19,Colombia
2126,2020-06-20,Colombia
2237,2020-06-21,Colombia
2310,2020-06-22,Colombia
2404,2020-06-23,Colombia
2491,2020-06-24,Colombia
2654,2020-06-25,Colombia
2811,2020-06-26,Colombia
2939,2020-06-27,Colombia
3178,2020-06-28,Colombia
3274,2020-06-29,Colombia
3334,2020-06-30,Colombia
3470,2020-07-01,Colombia
3641,2020-07-02,Colombia
3777,2020-07-03,Colombia
3942,2020-07-04,Colombia
4064,2020-07-05,Colombia
4210,2020-07-06,Colombia
4359,2020-07-07,Colombia
4527,2020-07-08,Colombia
4714,2020-07-09,Colombia
4925,2020-07-10,Colombia
5119,2020-07-11,Colombia
5307,2020-07-12,Colombia
5455,2020-07-13,Colombia
5625,2020-07-14,Colombia
5814,2020-07-15,Colombia
6029,2020-07-16,Colombia
6288,2020-07-17,Colombia
6516,2020-07-18,Colombia
6736,2020-07-19,Colombia
6929,2020-07-20,Colombia
7166,2020-07-21,Colombia
7373,2020-07-22,Colombia
7688,2020-07-23,Colombia
7975,2020-07-24,Colombia
8269,2020-07-25,Colombia
8525,2020-07-26,Colombia
8777,2020-07-27,Colombia
9074,2020-07-28,Colombia
9454,2020-07-29,Colombia
9810,2020-07-30,Colombia
10105,2020-07-31,Colombia
10330,2020-08-01,Colombia
10650,2020-08-02,Colombia
11017,2020-08-03,Colombia
11315,2020-08-04,Colombia
11624,2020-08-05,Colombia
11939,2020-08-06,Colombia
12250,2020-08-07,Colombia
12540,2020-08-08,Colombia
12842,2020-08-09,Colombia
13154,2020-08-10,Colombia
13475,2020-08-11,Colombia
13837,2020-08-12,Colombia
14145,2020-08-13,Colombia
14492,2020-08-14,Colombia
14810,2020-08-15,Colombia
15097,2020-08-16,Colombia
15372,2020-08-17,Colombia
15619,2020-08-18,Colombia
15979,2020-08-19,Colombia
16183,2020-08-20,Colombia
16568,2020-08-21,Colombia
16968,2020-08-22,Colombia
17316,2020-08-23,Colombia
17612,2020-08-24,Colombia
17889,2020-08-25,Colombia
18184,2020-08-26,Colombia
18467,2020-08-27,Colombia
18766,2020-08-28,Colombia
19063,2020-08-29,Colombia
19363,2020-08-30,Colombia
19662,2020-08-31,Colombia
20050,2020-09-01,Colombia
20345,2020-09-02,Colombia
20618,2020-09-03,Colombia
20888,2020-09-04,Colombia
21156,2020-09-05,Colombia
21412,2020-09-06,Colombia
21615,2020-09-07,Colombia
21817,2020-09-08,Colombia
22053,2020-09-09,Colombia
22275,2020-09-10,Colombia
22518,2020-09-11,Colombia
22734,2020-09-12,Colombia
22924,2020-09-13,Colombia
23123,2020-09-14,Colombia
23288,2020-09-15,Colombia
23478,2020-09-16,Colombia
23665,2020-09-17,Colombia
23665,2020-09-18,Colombia
24039,2020-09-19,Colombia
24208,2020-09-20,Colombia
24397,2020-09-21,Colombia
24397,2020-09-22,Colombia
24746,2020-09-23,Colombia
24746,2020-09-24,Colombia
25103,2020-09-25,Colombia
25296,2020-09-26,Colombia
25488,2020-09-27,Colombia
25641,2020-09-28,Colombia
25828,2020-09-29,Colombia
25998,2020-09-30,Colombia
26196,2020-10-01,Colombia
26397,2020-10-02,Colombia
26556,2020-10-03,Colombia
26712,2020-10-04,Colombia
26844,2020-10-05,Colombia
27017,2020-10-06,Colombia
27180,2020-10-07,Colombia
27180,2020-10-08,Colombia
27495,2020-10-09,Colombia
27660,2020-10-10,Colombia
27834,2020-10-11,Colombia
27985,2020-10-12,Colombia
28141,2020-10-13,Colombia
28306,2020-10-14,Colombia
28457,2020-10-15,Colombia
28616,2020-10-16,Colombia
28803,2020-10-17,Colombia
28970,2020-10-18,Colombia
29102,2020-10-19,Colombia
29272,2020-10-20,Colombia
29464,2020-10-21,Colombia
29637,2020-10-22,Colombia
29802,2020-10-23,Colombia
30000,2020-10-24,Colombia
30154,2020-10-25,Colombia
30348,2020-10-26,Colombia
30565,2020-10-27,Colombia
30753,2020-10-28,Colombia
30926,2020-10-29,Colombia
31135,2020-10-30,Colombia
31314,2020-10-31,Colombia
31515,2020-11-01,Colombia
31653,2020-11-02,Colombia
31847,2020-11-03,Colombia
32013,2020-11-04,Colombia
32209,2020-11-05,Colombia
32405,2020-11-06,Colombia
32595,2020-11-07,Colombia
32791,2020-11-08,Colombia
32974,2020-11-09,Colombia
33128,2020-11-10,Colombia
33312,2020-11-11,Colombia
33491,2020-11-12,Colombia
33669,2020-11-13,Colombia
33829,2020-11-14,Colombia
34031,2020-11-15,Colombia
34223,2020-11-16,Colombia
34381,2020-11-17,Colombia
34563,2020-11-18,Colombia
34761,2020-11-19,Colombia
34929,2020-11-20,Colombia
35104,2020-11-21,Colombia
35287,2020-11-22,Colombia
35479,2020-11-23,Colombia
35677,2020-11-24,Colombia
35860,2020-11-25,Colombia
36019,2020-11-26,Colombia
36214,2020-11-27,Colombia
36401,2020-11-28,Colombia
36584,2020-11-29,Colombia
36766,2020-11-30,Colombia
36934,2020-12-01,Colombia
37117,2020-12-02,Colombia
37305,2020-12-03,Colombia
37467,2020-12-04,Colombia
37633,2020-12-05,Colombia
37808,2020-12-06,Colombia
37995,2020-12-07,Colombia
38158,2020-12-08,Colombia
38308,2020-12-09,Colombia
38484,2020-12-10,Colombia
38669,2020-12-11,Colombia
38866,2020-12-12,Colombia
39053,2020-12-13,Colombia
39195,2020-12-14,Colombia
39356,2020-12-15,Colombia
39560,2020-12-16,Colombia
39787,2020-12-17,Colombia
40019,2020-12-18,Colombia
40268,2020-12-19,Colombia
40475,2020-12-20,Colombia
40680,2020-12-21,Colombia
40931,2020-12-22,Colombia
41174,2020-12-23,Colombia
41454,2020-12-24,Colombia
41690,2020-12-25,Colombia
41943,2020-12-26,Colombia
42171,2020-12-27,Colombia
42374,2020-12-28,Colombia
42620,2020-12-29,Colombia
42909,2020-12-30,Colombia
43213,2020-12-31,Colombia
43495,2021-01-01,Colombia
43765,2021-01-02,Colombia
43965,2021-01-03,Colombia
44187,2021-01-04,Colombia
44428,2021-01-05,Colombia
44723,2021-01-06,Colombia
45067,2021-01-07,Colombia
45431,2021-01-08,Colombia
45784,2021-01-09,Colombia
46114,2021-01-10,Colombia
46451,2021-01-11,Colombia
46782,2021-01-12,Colombia
47124,2021-01-13,Colombia
47491,2021-01-14,Colombia
47868,2021-01-15,Colombia
48256,2021-01-16,Colombia
48631,2021-01-17,Colombia
49004,2021-01-18,Colombia
49402,2021-01-19,Colombia
49792,2021-01-20,Colombia
50187,2021-01-21,Colombia
50586,2021-01-22,Colombia
50982,2021-01-23,Colombia
51374,2021-01-24,Colombia
51747,2021-01-25,Colombia
52128,2021-01-26,Colombia
52523,2021-01-27,Colombia
52913,2021-01-28,Colombia
53284,2021-01-29,Colombia
53650,2021-01-30,Colombia
53983,2021-01-31,Colombia
54272,2021-02-01,Colombia
54576,2021-02-02,Colombia
54877,2021-02-03,Colombia
55131,2021-02-04,Colombia
55403,2021-02-05,Colombia
55693,2021-02-06,Colombia
55993,2021-02-07,Colombia
56290,2021-02-08,Colombia
56507,2021-02-09,Colombia
56733,2021-02-10,Colombia
56983,2021-02-11,Colombia
57196,2021-02-12,Colombia
57425,2021-02-13,Colombia
57605,2021-02-14,Colombia
57786,2021-02-15,Colombia
57949,2021-02-16,Colombia
