Deaths,CreationDate,Name
1,2020-03-19,Costa Rica
1,2020-03-20,Costa Rica
2,2020-03-21,Costa Rica
2,2020-03-22,Costa Rica
2,2020-03-23,Costa Rica
2,2020-03-24,Costa Rica
2,2020-03-25,Costa Rica
2,2020-03-26,Costa Rica
2,2020-03-27,Costa Rica
2,2020-03-28,Costa Rica
2,2020-03-29,Costa Rica
2,2020-03-30,Costa Rica
2,2020-03-31,Costa Rica
2,2020-04-01,Costa Rica
2,2020-04-02,Costa Rica
2,2020-04-03,Costa Rica
2,2020-04-04,Costa Rica
2,2020-04-05,Costa Rica
2,2020-04-06,Costa Rica
2,2020-04-07,Costa Rica
3,2020-04-08,Costa Rica
3,2020-04-09,Costa Rica
3,2020-04-10,Costa Rica
3,2020-04-11,Costa Rica
3,2020-04-12,Costa Rica
3,2020-04-13,Costa Rica
3,2020-04-14,Costa Rica
4,2020-04-15,Costa Rica
4,2020-04-16,Costa Rica
4,2020-04-17,Costa Rica
4,2020-04-18,Costa Rica
5,2020-04-19,Costa Rica
6,2020-04-20,Costa Rica
6,2020-04-21,Costa Rica
6,2020-04-22,Costa Rica
6,2020-04-23,Costa Rica
6,2020-04-24,Costa Rica
6,2020-04-25,Costa Rica
6,2020-04-26,Costa Rica
6,2020-04-27,Costa Rica
6,2020-04-28,Costa Rica
6,2020-04-29,Costa Rica
6,2020-04-30,Costa Rica
6,2020-05-01,Costa Rica
6,2020-05-02,Costa Rica
6,2020-05-03,Costa Rica
6,2020-05-04,Costa Rica
6,2020-05-05,Costa Rica
6,2020-05-06,Costa Rica
6,2020-05-07,Costa Rica
6,2020-05-08,Costa Rica
6,2020-05-09,Costa Rica
7,2020-05-10,Costa Rica
7,2020-05-11,Costa Rica
7,2020-05-12,Costa Rica
8,2020-05-13,Costa Rica
8,2020-05-14,Costa Rica
9,2020-05-15,Costa Rica
10,2020-05-16,Costa Rica
10,2020-05-17,Costa Rica
10,2020-05-18,Costa Rica
10,2020-05-19,Costa Rica
10,2020-05-20,Costa Rica
10,2020-05-21,Costa Rica
10,2020-05-22,Costa Rica
10,2020-05-23,Costa Rica
10,2020-05-24,Costa Rica
10,2020-05-25,Costa Rica
10,2020-05-26,Costa Rica
10,2020-05-27,Costa Rica
10,2020-05-28,Costa Rica
10,2020-05-29,Costa Rica
10,2020-05-30,Costa Rica
10,2020-05-31,Costa Rica
10,2020-06-01,Costa Rica
10,2020-06-02,Costa Rica
10,2020-06-03,Costa Rica
10,2020-06-04,Costa Rica
10,2020-06-05,Costa Rica
10,2020-06-06,Costa Rica
10,2020-06-07,Costa Rica
11,2020-06-08,Costa Rica
11,2020-06-09,Costa Rica
12,2020-06-10,Costa Rica
12,2020-06-11,Costa Rica
12,2020-06-12,Costa Rica
12,2020-06-13,Costa Rica
12,2020-06-14,Costa Rica
12,2020-06-15,Costa Rica
12,2020-06-16,Costa Rica
12,2020-06-17,Costa Rica
12,2020-06-18,Costa Rica
12,2020-06-19,Costa Rica
12,2020-06-20,Costa Rica
12,2020-06-21,Costa Rica
12,2020-06-22,Costa Rica
12,2020-06-23,Costa Rica
12,2020-06-24,Costa Rica
12,2020-06-25,Costa Rica
12,2020-06-26,Costa Rica
14,2020-06-27,Costa Rica
15,2020-06-28,Costa Rica
15,2020-06-29,Costa Rica
16,2020-06-30,Costa Rica
17,2020-07-01,Costa Rica
18,2020-07-02,Costa Rica
18,2020-07-03,Costa Rica
18,2020-07-04,Costa Rica
19,2020-07-05,Costa Rica
23,2020-07-06,Costa Rica
23,2020-07-07,Costa Rica
25,2020-07-08,Costa Rica
25,2020-07-09,Costa Rica
26,2020-07-10,Costa Rica
28,2020-07-11,Costa Rica
30,2020-07-12,Costa Rica
34,2020-07-13,Costa Rica
37,2020-07-14,Costa Rica
40,2020-07-15,Costa Rica
42,2020-07-16,Costa Rica
47,2020-07-17,Costa Rica
54,2020-07-18,Costa Rica
62,2020-07-19,Costa Rica
66,2020-07-20,Costa Rica
68,2020-07-21,Costa Rica
71,2020-07-22,Costa Rica
80,2020-07-23,Costa Rica
87,2020-07-24,Costa Rica
98,2020-07-25,Costa Rica
104,2020-07-26,Costa Rica
115,2020-07-27,Costa Rica
125,2020-07-28,Costa Rica
133,2020-07-29,Costa Rica
140,2020-07-30,Costa Rica
150,2020-07-31,Costa Rica
154,2020-08-01,Costa Rica
162,2020-08-02,Costa Rica
171,2020-08-03,Costa Rica
181,2020-08-04,Costa Rica
191,2020-08-05,Costa Rica
200,2020-08-06,Costa Rica
218,2020-08-07,Costa Rica
228,2020-08-08,Costa Rica
235,2020-08-09,Costa Rica
244,2020-08-10,Costa Rica
255,2020-08-11,Costa Rica
263,2020-08-12,Costa Rica
272,2020-08-13,Costa Rica
281,2020-08-14,Costa Rica
291,2020-08-15,Costa Rica
294,2020-08-16,Costa Rica
304,2020-08-17,Costa Rica
314,2020-08-18,Costa Rica
321,2020-08-19,Costa Rica
333,2020-08-20,Costa Rica
340,2020-08-21,Costa Rica
348,2020-08-22,Costa Rica
355,2020-08-23,Costa Rica
362,2020-08-24,Costa Rica
376,2020-08-25,Costa Rica
386,2020-08-26,Costa Rica
397,2020-08-27,Costa Rica
407,2020-08-28,Costa Rica
418,2020-08-29,Costa Rica
418,2020-08-30,Costa Rica
436,2020-08-31,Costa Rica
443,2020-09-01,Costa Rica
453,2020-09-02,Costa Rica
460,2020-09-03,Costa Rica
469,2020-09-04,Costa Rica
478,2020-09-05,Costa Rica
478,2020-09-06,Costa Rica
510,2020-09-07,Costa Rica
531,2020-09-08,Costa Rica
543,2020-09-09,Costa Rica
567,2020-09-10,Costa Rica
583,2020-09-11,Costa Rica
590,2020-09-12,Costa Rica
590,2020-09-13,Costa Rica
621,2020-09-14,Costa Rica
633,2020-09-15,Costa Rica
649,2020-09-16,Costa Rica
666,2020-09-17,Costa Rica
686,2020-09-18,Costa Rica
706,2020-09-19,Costa Rica
706,2020-09-20,Costa Rica
745,2020-09-21,Costa Rica
760,2020-09-22,Costa Rica
781,2020-09-23,Costa Rica
795,2020-09-24,Costa Rica
812,2020-09-25,Costa Rica
828,2020-09-26,Costa Rica
828,2020-09-27,Costa Rica
861,2020-09-28,Costa Rica
880,2020-09-29,Costa Rica
904,2020-09-30,Costa Rica
917,2020-10-01,Costa Rica
930,2020-10-02,Costa Rica
950,2020-10-03,Costa Rica
950,2020-10-04,Costa Rica
987,2020-10-05,Costa Rica
1004,2020-10-06,Costa Rica
1024,2020-10-07,Costa Rica
1040,2020-10-08,Costa Rica
1055,2020-10-09,Costa Rica
1076,2020-10-10,Costa Rica
1076,2020-10-11,Costa Rica
1108,2020-10-12,Costa Rica
1124,2020-10-13,Costa Rica
1134,2020-10-14,Costa Rica
1159,2020-10-15,Costa Rica
1168,2020-10-16,Costa Rica
1183,2020-10-17,Costa Rica
1183,2020-10-18,Costa Rica
1204,2020-10-19,Costa Rica
1222,2020-10-20,Costa Rica
1236,2020-10-21,Costa Rica
1251,2020-10-22,Costa Rica
1265,2020-10-23,Costa Rica
1282,2020-10-24,Costa Rica
1282,2020-10-25,Costa Rica
1312,2020-10-26,Costa Rica
1329,2020-10-27,Costa Rica
1340,2020-10-28,Costa Rica
1357,2020-10-29,Costa Rica
1371,2020-10-30,Costa Rica
1385,2020-10-31,Costa Rica
1385,2020-11-01,Costa Rica
1404,2020-11-02,Costa Rica
1419,2020-11-03,Costa Rica
1431,2020-11-04,Costa Rica
1444,2020-11-05,Costa Rica
1453,2020-11-06,Costa Rica
1464,2020-11-07,Costa Rica
1464,2020-11-08,Costa Rica
1491,2020-11-09,Costa Rica
1502,2020-11-10,Costa Rica
1513,2020-11-11,Costa Rica
1527,2020-11-12,Costa Rica
1537,2020-11-13,Costa Rica
1546,2020-11-14,Costa Rica
1546,2020-11-15,Costa Rica
1566,2020-11-16,Costa Rica
1578,2020-11-17,Costa Rica
1588,2020-11-18,Costa Rica
1599,2020-11-19,Costa Rica
1608,2020-11-20,Costa Rica
1608,2020-11-21,Costa Rica
1608,2020-11-22,Costa Rica
1641,2020-11-23,Costa Rica
1662,2020-11-24,Costa Rica
1674,2020-11-25,Costa Rica
1679,2020-11-26,Costa Rica
1690,2020-11-27,Costa Rica
1690,2020-11-28,Costa Rica
1690,2020-11-29,Costa Rica
1726,2020-11-30,Costa Rica
1731,2020-12-01,Costa Rica
1739,2020-12-02,Costa Rica
1757,2020-12-03,Costa Rica
1773,2020-12-04,Costa Rica
1773,2020-12-05,Costa Rica
1773,2020-12-06,Costa Rica
1825,2020-12-07,Costa Rica
1846,2020-12-08,Costa Rica
1864,2020-12-09,Costa Rica
1882,2020-12-10,Costa Rica
1895,2020-12-11,Costa Rica
1895,2020-12-12,Costa Rica
1895,2020-12-13,Costa Rica
1936,2020-12-14,Costa Rica
1956,2020-12-15,Costa Rica
1967,2020-12-16,Costa Rica
1980,2020-12-17,Costa Rica
1996,2020-12-18,Costa Rica
1996,2020-12-19,Costa Rica
1996,2020-12-20,Costa Rica
2037,2020-12-21,Costa Rica
2051,2020-12-22,Costa Rica
2065,2020-12-23,Costa Rica
