Deaths,CreationDate,Name
1,2020-03-29,Cote d Ivoire
1,2020-03-30,Cote d Ivoire
1,2020-03-31,Cote d Ivoire
1,2020-04-01,Cote d Ivoire
1,2020-04-02,Cote d Ivoire
1,2020-04-03,Cote d Ivoire
1,2020-04-04,Cote d Ivoire
3,2020-04-05,Cote d Ivoire
3,2020-04-06,Cote d Ivoire
3,2020-04-07,Cote d Ivoire
3,2020-04-08,Cote d Ivoire
3,2020-04-09,Cote d Ivoire
3,2020-04-10,Cote d Ivoire
4,2020-04-11,Cote d Ivoire
5,2020-04-12,Cote d Ivoire
6,2020-04-13,Cote d Ivoire
6,2020-04-14,Cote d Ivoire
6,2020-04-15,Cote d Ivoire
6,2020-04-16,Cote d Ivoire
6,2020-04-17,Cote d Ivoire
8,2020-04-18,Cote d Ivoire
9,2020-04-19,Cote d Ivoire
9,2020-04-20,Cote d Ivoire
13,2020-04-21,Cote d Ivoire
14,2020-04-22,Cote d Ivoire
14,2020-04-23,Cote d Ivoire
14,2020-04-24,Cote d Ivoire
14,2020-04-25,Cote d Ivoire
14,2020-04-26,Cote d Ivoire
14,2020-04-27,Cote d Ivoire
14,2020-04-28,Cote d Ivoire
14,2020-04-29,Cote d Ivoire
14,2020-04-30,Cote d Ivoire
15,2020-05-01,Cote d Ivoire
15,2020-05-02,Cote d Ivoire
17,2020-05-03,Cote d Ivoire
17,2020-05-04,Cote d Ivoire
18,2020-05-05,Cote d Ivoire
18,2020-05-06,Cote d Ivoire
20,2020-05-07,Cote d Ivoire
20,2020-05-08,Cote d Ivoire
21,2020-05-09,Cote d Ivoire
21,2020-05-10,Cote d Ivoire
21,2020-05-11,Cote d Ivoire
21,2020-05-12,Cote d Ivoire
24,2020-05-13,Cote d Ivoire
24,2020-05-14,Cote d Ivoire
24,2020-05-15,Cote d Ivoire
25,2020-05-16,Cote d Ivoire
27,2020-05-17,Cote d Ivoire
28,2020-05-18,Cote d Ivoire
28,2020-05-19,Cote d Ivoire
29,2020-05-20,Cote d Ivoire
