Deaths,CreationDate,Name
1,2020-03-18,Cuba
1,2020-03-19,Cuba
1,2020-03-20,Cuba
1,2020-03-21,Cuba
1,2020-03-22,Cuba
1,2020-03-23,Cuba
1,2020-03-24,Cuba
1,2020-03-25,Cuba
2,2020-03-26,Cuba
2,2020-03-27,Cuba
3,2020-03-28,Cuba
3,2020-03-29,Cuba
4,2020-03-30,Cuba
6,2020-03-31,Cuba
6,2020-04-01,Cuba
6,2020-04-02,Cuba
6,2020-04-03,Cuba
6,2020-04-04,Cuba
8,2020-04-05,Cuba
9,2020-04-06,Cuba
11,2020-04-07,Cuba
12,2020-04-08,Cuba
15,2020-04-09,Cuba
15,2020-04-10,Cuba
16,2020-04-11,Cuba
18,2020-04-12,Cuba
21,2020-04-13,Cuba
21,2020-04-14,Cuba
24,2020-04-15,Cuba
27,2020-04-16,Cuba
31,2020-04-17,Cuba
32,2020-04-18,Cuba
34,2020-04-19,Cuba
36,2020-04-20,Cuba
38,2020-04-21,Cuba
40,2020-04-22,Cuba
43,2020-04-23,Cuba
49,2020-04-24,Cuba
51,2020-04-25,Cuba
54,2020-04-26,Cuba
56,2020-04-27,Cuba
58,2020-04-28,Cuba
58,2020-04-29,Cuba
61,2020-04-30,Cuba
64,2020-05-01,Cuba
66,2020-05-02,Cuba
67,2020-05-03,Cuba
69,2020-05-04,Cuba
69,2020-05-05,Cuba
69,2020-05-06,Cuba
73,2020-05-07,Cuba
74,2020-05-08,Cuba
74,2020-05-09,Cuba
77,2020-05-10,Cuba
77,2020-05-11,Cuba
78,2020-05-12,Cuba
79,2020-05-13,Cuba
79,2020-05-14,Cuba
79,2020-05-15,Cuba
79,2020-05-16,Cuba
79,2020-05-17,Cuba
79,2020-05-18,Cuba
79,2020-05-19,Cuba
79,2020-05-20,Cuba
80,2020-05-21,Cuba
81,2020-05-22,Cuba
81,2020-05-23,Cuba
82,2020-05-24,Cuba
82,2020-05-25,Cuba
82,2020-05-26,Cuba
82,2020-05-27,Cuba
82,2020-05-28,Cuba
82,2020-05-29,Cuba
83,2020-05-30,Cuba
83,2020-05-31,Cuba
83,2020-06-01,Cuba
83,2020-06-02,Cuba
83,2020-06-03,Cuba
83,2020-06-04,Cuba
83,2020-06-05,Cuba
83,2020-06-06,Cuba
83,2020-06-07,Cuba
83,2020-06-08,Cuba
83,2020-06-09,Cuba
83,2020-06-10,Cuba
84,2020-06-11,Cuba
84,2020-06-12,Cuba
84,2020-06-13,Cuba
84,2020-06-14,Cuba
84,2020-06-15,Cuba
84,2020-06-16,Cuba
84,2020-06-17,Cuba
85,2020-06-18,Cuba
85,2020-06-19,Cuba
85,2020-06-20,Cuba
85,2020-06-21,Cuba
85,2020-06-22,Cuba
85,2020-06-23,Cuba
85,2020-06-24,Cuba
85,2020-06-25,Cuba
85,2020-06-26,Cuba
86,2020-06-27,Cuba
86,2020-06-28,Cuba
86,2020-06-29,Cuba
86,2020-06-30,Cuba
86,2020-07-01,Cuba
86,2020-07-02,Cuba
86,2020-07-03,Cuba
86,2020-07-04,Cuba
86,2020-07-05,Cuba
86,2020-07-06,Cuba
86,2020-07-07,Cuba
86,2020-07-08,Cuba
86,2020-07-09,Cuba
86,2020-07-10,Cuba
87,2020-07-11,Cuba
87,2020-07-12,Cuba
87,2020-07-13,Cuba
87,2020-07-14,Cuba
87,2020-07-15,Cuba
87,2020-07-16,Cuba
87,2020-07-17,Cuba
87,2020-07-18,Cuba
87,2020-07-19,Cuba
87,2020-07-20,Cuba
87,2020-07-21,Cuba
87,2020-07-22,Cuba
87,2020-07-23,Cuba
87,2020-07-24,Cuba
87,2020-07-25,Cuba
87,2020-07-26,Cuba
87,2020-07-27,Cuba
87,2020-07-28,Cuba
87,2020-07-29,Cuba
87,2020-07-30,Cuba
87,2020-07-31,Cuba
87,2020-08-01,Cuba
87,2020-08-02,Cuba
87,2020-08-03,Cuba
88,2020-08-04,Cuba
88,2020-08-05,Cuba
88,2020-08-06,Cuba
88,2020-08-07,Cuba
88,2020-08-08,Cuba
88,2020-08-09,Cuba
88,2020-08-10,Cuba
