Deaths,CreationDate,Name
1,2020-03-22,Cyprus
1,2020-03-23,Cyprus
3,2020-03-24,Cyprus
3,2020-03-25,Cyprus
3,2020-03-26,Cyprus
5,2020-03-27,Cyprus
5,2020-03-28,Cyprus
5,2020-03-29,Cyprus
7,2020-03-30,Cyprus
8,2020-03-31,Cyprus
9,2020-04-01,Cyprus
10,2020-04-02,Cyprus
11,2020-04-03,Cyprus
11,2020-04-04,Cyprus
9,2020-04-05,Cyprus
9,2020-04-06,Cyprus
9,2020-04-07,Cyprus
9,2020-04-08,Cyprus
10,2020-04-09,Cyprus
10,2020-04-10,Cyprus
10,2020-04-11,Cyprus
11,2020-04-12,Cyprus
12,2020-04-13,Cyprus
12,2020-04-14,Cyprus
12,2020-04-15,Cyprus
12,2020-04-16,Cyprus
12,2020-04-17,Cyprus
12,2020-04-18,Cyprus
12,2020-04-19,Cyprus
12,2020-04-20,Cyprus
12,2020-04-21,Cyprus
13,2020-04-22,Cyprus
13,2020-04-23,Cyprus
14,2020-04-24,Cyprus
14,2020-04-25,Cyprus
14,2020-04-26,Cyprus
15,2020-04-27,Cyprus
15,2020-04-28,Cyprus
15,2020-04-29,Cyprus
15,2020-04-30,Cyprus
15,2020-05-01,Cyprus
15,2020-05-02,Cyprus
15,2020-05-03,Cyprus
15,2020-05-04,Cyprus
15,2020-05-05,Cyprus
15,2020-05-06,Cyprus
15,2020-05-07,Cyprus
15,2020-05-08,Cyprus
15,2020-05-09,Cyprus
16,2020-05-10,Cyprus
16,2020-05-11,Cyprus
16,2020-05-12,Cyprus
17,2020-05-13,Cyprus
17,2020-05-14,Cyprus
17,2020-05-15,Cyprus
17,2020-05-16,Cyprus
17,2020-05-17,Cyprus
17,2020-05-18,Cyprus
17,2020-05-19,Cyprus
17,2020-05-20,Cyprus
17,2020-05-21,Cyprus
17,2020-05-22,Cyprus
17,2020-05-23,Cyprus
17,2020-05-24,Cyprus
17,2020-05-25,Cyprus
17,2020-05-26,Cyprus
17,2020-05-27,Cyprus
17,2020-05-28,Cyprus
17,2020-05-29,Cyprus
17,2020-05-30,Cyprus
17,2020-05-31,Cyprus
17,2020-06-01,Cyprus
17,2020-06-02,Cyprus
17,2020-06-03,Cyprus
17,2020-06-04,Cyprus
17,2020-06-05,Cyprus
18,2020-06-06,Cyprus
18,2020-06-07,Cyprus
18,2020-06-08,Cyprus
18,2020-06-09,Cyprus
18,2020-06-10,Cyprus
18,2020-06-11,Cyprus
18,2020-06-12,Cyprus
18,2020-06-13,Cyprus
18,2020-06-14,Cyprus
18,2020-06-15,Cyprus
18,2020-06-16,Cyprus
18,2020-06-17,Cyprus
19,2020-06-18,Cyprus
19,2020-06-19,Cyprus
19,2020-06-20,Cyprus
19,2020-06-21,Cyprus
19,2020-06-22,Cyprus
19,2020-06-23,Cyprus
19,2020-06-24,Cyprus
19,2020-06-25,Cyprus
19,2020-06-26,Cyprus
19,2020-06-27,Cyprus
19,2020-06-28,Cyprus
19,2020-06-29,Cyprus
19,2020-06-30,Cyprus
19,2020-07-01,Cyprus
19,2020-07-02,Cyprus
19,2020-07-03,Cyprus
19,2020-07-04,Cyprus
19,2020-07-05,Cyprus
19,2020-07-06,Cyprus
19,2020-07-07,Cyprus
19,2020-07-08,Cyprus
19,2020-07-09,Cyprus
19,2020-07-10,Cyprus
19,2020-07-11,Cyprus
19,2020-07-12,Cyprus
19,2020-07-13,Cyprus
19,2020-07-14,Cyprus
19,2020-07-15,Cyprus
19,2020-07-16,Cyprus
19,2020-07-17,Cyprus
19,2020-07-18,Cyprus
19,2020-07-19,Cyprus
19,2020-07-20,Cyprus
19,2020-07-21,Cyprus
19,2020-07-22,Cyprus
19,2020-07-23,Cyprus
19,2020-07-24,Cyprus
19,2020-07-25,Cyprus
19,2020-07-26,Cyprus
19,2020-07-27,Cyprus
19,2020-07-28,Cyprus
19,2020-07-29,Cyprus
19,2020-07-30,Cyprus
19,2020-07-31,Cyprus
19,2020-08-01,Cyprus
19,2020-08-02,Cyprus
19,2020-08-03,Cyprus
19,2020-08-04,Cyprus
19,2020-08-05,Cyprus
19,2020-08-06,Cyprus
19,2020-08-07,Cyprus
19,2020-08-08,Cyprus
19,2020-08-09,Cyprus
19,2020-08-10,Cyprus
20,2020-08-11,Cyprus
20,2020-08-12,Cyprus
20,2020-08-13,Cyprus
20,2020-08-14,Cyprus
20,2020-08-15,Cyprus
20,2020-08-16,Cyprus
20,2020-08-17,Cyprus
20,2020-08-18,Cyprus
20,2020-08-19,Cyprus
20,2020-08-20,Cyprus
20,2020-08-21,Cyprus
20,2020-08-22,Cyprus
20,2020-08-23,Cyprus
20,2020-08-24,Cyprus
20,2020-08-25,Cyprus
20,2020-08-26,Cyprus
20,2020-08-27,Cyprus
20,2020-08-28,Cyprus
20,2020-08-29,Cyprus
20,2020-08-30,Cyprus
20,2020-08-31,Cyprus
21,2020-09-01,Cyprus
21,2020-09-02,Cyprus
21,2020-09-03,Cyprus
21,2020-09-04,Cyprus
21,2020-09-05,Cyprus
21,2020-09-06,Cyprus
22,2020-09-07,Cyprus
22,2020-09-08,Cyprus
22,2020-09-09,Cyprus
22,2020-09-10,Cyprus
22,2020-09-11,Cyprus
22,2020-09-12,Cyprus
22,2020-09-13,Cyprus
22,2020-09-14,Cyprus
22,2020-09-15,Cyprus
22,2020-09-16,Cyprus
22,2020-09-17,Cyprus
22,2020-09-18,Cyprus
22,2020-09-19,Cyprus
22,2020-09-20,Cyprus
22,2020-09-21,Cyprus
22,2020-09-22,Cyprus
22,2020-09-23,Cyprus
22,2020-09-24,Cyprus
22,2020-09-25,Cyprus
22,2020-09-26,Cyprus
22,2020-09-27,Cyprus
22,2020-09-28,Cyprus
22,2020-09-29,Cyprus
22,2020-09-30,Cyprus
22,2020-10-01,Cyprus
22,2020-10-02,Cyprus
22,2020-10-03,Cyprus
22,2020-10-04,Cyprus
22,2020-10-05,Cyprus
23,2020-10-06,Cyprus
24,2020-10-07,Cyprus
24,2020-10-08,Cyprus
25,2020-10-09,Cyprus
25,2020-10-10,Cyprus
25,2020-10-11,Cyprus
25,2020-10-12,Cyprus
25,2020-10-13,Cyprus
25,2020-10-14,Cyprus
25,2020-10-15,Cyprus
25,2020-10-16,Cyprus
25,2020-10-17,Cyprus
25,2020-10-18,Cyprus
25,2020-10-19,Cyprus
25,2020-10-20,Cyprus
25,2020-10-21,Cyprus
25,2020-10-22,Cyprus
25,2020-10-23,Cyprus
25,2020-10-24,Cyprus
25,2020-10-25,Cyprus
25,2020-10-26,Cyprus
25,2020-10-27,Cyprus
25,2020-10-28,Cyprus
25,2020-10-29,Cyprus
25,2020-10-30,Cyprus
26,2020-10-31,Cyprus
26,2020-11-01,Cyprus
27,2020-11-02,Cyprus
27,2020-11-03,Cyprus
27,2020-11-04,Cyprus
27,2020-11-05,Cyprus
27,2020-11-06,Cyprus
35,2020-11-07,Cyprus
28,2020-11-08,Cyprus
28,2020-11-09,Cyprus
29,2020-11-10,Cyprus
33,2020-11-11,Cyprus
34,2020-11-12,Cyprus
38,2020-11-13,Cyprus
39,2020-11-14,Cyprus
39,2020-11-15,Cyprus
40,2020-11-16,Cyprus
40,2020-11-17,Cyprus
41,2020-11-18,Cyprus
41,2020-11-19,Cyprus
43,2020-11-20,Cyprus
43,2020-11-21,Cyprus
44,2020-11-22,Cyprus
44,2020-11-23,Cyprus
46,2020-11-24,Cyprus
47,2020-11-25,Cyprus
48,2020-11-26,Cyprus
48,2020-11-27,Cyprus
48,2020-11-28,Cyprus
48,2020-11-29,Cyprus
49,2020-11-30,Cyprus
49,2020-12-01,Cyprus
52,2020-12-02,Cyprus
54,2020-12-03,Cyprus
57,2020-12-04,Cyprus
57,2020-12-05,Cyprus
61,2020-12-06,Cyprus
63,2020-12-07,Cyprus
68,2020-12-08,Cyprus
68,2020-12-09,Cyprus
70,2020-12-10,Cyprus
70,2020-12-11,Cyprus
75,2020-12-12,Cyprus
78,2020-12-13,Cyprus
82,2020-12-14,Cyprus
84,2020-12-15,Cyprus
85,2020-12-16,Cyprus
85,2020-12-17,Cyprus
85,2020-12-18,Cyprus
89,2020-12-19,Cyprus
91,2020-12-20,Cyprus
96,2020-12-21,Cyprus
96,2020-12-22,Cyprus
104,2020-12-23,Cyprus
107,2020-12-24,Cyprus
109,2020-12-25,Cyprus
111,2020-12-26,Cyprus
112,2020-12-27,Cyprus
113,2020-12-28,Cyprus
117,2020-12-29,Cyprus
119,2020-12-30,Cyprus
119,2020-12-31,Cyprus
127,2021-01-01,Cyprus
129,2021-01-02,Cyprus
131,2021-01-03,Cyprus
133,2021-01-04,Cyprus
134,2021-01-05,Cyprus
138,2021-01-06,Cyprus
140,2021-01-07,Cyprus
141,2021-01-08,Cyprus
147,2021-01-09,Cyprus
148,2021-01-10,Cyprus
153,2021-01-11,Cyprus
157,2021-01-12,Cyprus
163,2021-01-13,Cyprus
163,2021-01-14,Cyprus
166,2021-01-15,Cyprus
167,2021-01-16,Cyprus
170,2021-01-17,Cyprus
175,2021-01-18,Cyprus
176,2021-01-19,Cyprus
176,2021-01-20,Cyprus
178,2021-01-21,Cyprus
179,2021-01-22,Cyprus
183,2021-01-23,Cyprus
186,2021-01-24,Cyprus
188,2021-01-25,Cyprus
190,2021-01-26,Cyprus
193,2021-01-27,Cyprus
197,2021-01-28,Cyprus
197,2021-01-29,Cyprus
197,2021-01-30,Cyprus
199,2021-01-31,Cyprus
202,2021-02-01,Cyprus
202,2021-02-02,Cyprus
203,2021-02-03,Cyprus
208,2021-02-04,Cyprus
210,2021-02-05,Cyprus
211,2021-02-06,Cyprus
212,2021-02-07,Cyprus
214,2021-02-08,Cyprus
214,2021-02-09,Cyprus
217,2021-02-10,Cyprus
218,2021-02-11,Cyprus
219,2021-02-12,Cyprus
220,2021-02-13,Cyprus
221,2021-02-14,Cyprus
222,2021-02-15,Cyprus
225,2021-02-16,Cyprus
227,2021-02-17,Cyprus
228,2021-02-18,Cyprus
229,2021-02-19,Cyprus
229,2021-02-20,Cyprus
229,2021-02-21,Cyprus
230,2021-02-22,Cyprus
230,2021-02-23,Cyprus
231,2021-02-24,Cyprus
231,2021-02-25,Cyprus
231,2021-02-26,Cyprus
231,2021-02-27,Cyprus
231,2021-02-28,Cyprus
231,2021-03-01,Cyprus
