Deaths,CreationDate,Name
1,2020-03-22,Czechia
1,2020-03-23,Czechia
3,2020-03-24,Czechia
6,2020-03-25,Czechia
9,2020-03-26,Czechia
9,2020-03-27,Czechia
11,2020-03-28,Czechia
16,2020-03-29,Czechia
23,2020-03-30,Czechia
31,2020-03-31,Czechia
39,2020-04-01,Czechia
44,2020-04-02,Czechia
53,2020-04-03,Czechia
59,2020-04-04,Czechia
67,2020-04-05,Czechia
78,2020-04-06,Czechia
88,2020-04-07,Czechia
99,2020-04-08,Czechia
112,2020-04-09,Czechia
119,2020-04-10,Czechia
129,2020-04-11,Czechia
138,2020-04-12,Czechia
143,2020-04-13,Czechia
161,2020-04-14,Czechia
166,2020-04-15,Czechia
169,2020-04-16,Czechia
173,2020-04-17,Czechia
181,2020-04-18,Czechia
186,2020-04-19,Czechia
194,2020-04-20,Czechia
201,2020-04-21,Czechia
208,2020-04-22,Czechia
210,2020-04-23,Czechia
214,2020-04-24,Czechia
218,2020-04-25,Czechia
220,2020-04-26,Czechia
223,2020-04-27,Czechia
227,2020-04-28,Czechia
227,2020-04-29,Czechia
236,2020-04-30,Czechia
240,2020-05-01,Czechia
245,2020-05-02,Czechia
248,2020-05-03,Czechia
252,2020-05-04,Czechia
257,2020-05-05,Czechia
262,2020-05-06,Czechia
270,2020-05-07,Czechia
273,2020-05-08,Czechia
276,2020-05-09,Czechia
280,2020-05-10,Czechia
282,2020-05-11,Czechia
283,2020-05-12,Czechia
290,2020-05-13,Czechia
293,2020-05-14,Czechia
295,2020-05-15,Czechia
296,2020-05-16,Czechia
298,2020-05-17,Czechia
297,2020-05-18,Czechia
302,2020-05-19,Czechia
304,2020-05-20,Czechia
306,2020-05-21,Czechia
312,2020-05-22,Czechia
314,2020-05-23,Czechia
315,2020-05-24,Czechia
317,2020-05-25,Czechia
317,2020-05-26,Czechia
317,2020-05-27,Czechia
319,2020-05-28,Czechia
319,2020-05-29,Czechia
319,2020-05-30,Czechia
320,2020-05-31,Czechia
321,2020-06-01,Czechia
323,2020-06-02,Czechia
325,2020-06-03,Czechia
326,2020-06-04,Czechia
327,2020-06-05,Czechia
327,2020-06-06,Czechia
327,2020-06-07,Czechia
328,2020-06-08,Czechia
328,2020-06-09,Czechia
330,2020-06-10,Czechia
328,2020-06-11,Czechia
329,2020-06-12,Czechia
328,2020-06-13,Czechia
329,2020-06-14,Czechia
330,2020-06-15,Czechia
331,2020-06-16,Czechia
333,2020-06-17,Czechia
334,2020-06-18,Czechia
335,2020-06-19,Czechia
336,2020-06-20,Czechia
336,2020-06-21,Czechia
336,2020-06-22,Czechia
339,2020-06-23,Czechia
343,2020-06-24,Czechia
345,2020-06-25,Czechia
349,2020-06-26,Czechia
349,2020-06-27,Czechia
348,2020-06-28,Czechia
348,2020-06-29,Czechia
349,2020-06-30,Czechia
349,2020-07-01,Czechia
353,2020-07-02,Czechia
353,2020-07-03,Czechia
351,2020-07-04,Czechia
348,2020-07-05,Czechia
350,2020-07-06,Czechia
351,2020-07-07,Czechia
351,2020-07-08,Czechia
352,2020-07-09,Czechia
352,2020-07-10,Czechia
352,2020-07-11,Czechia
352,2020-07-12,Czechia
353,2020-07-13,Czechia
355,2020-07-14,Czechia
355,2020-07-15,Czechia
355,2020-07-16,Czechia
358,2020-07-17,Czechia
358,2020-07-18,Czechia
359,2020-07-19,Czechia
359,2020-07-20,Czechia
360,2020-07-21,Czechia
364,2020-07-22,Czechia
365,2020-07-23,Czechia
369,2020-07-24,Czechia
369,2020-07-25,Czechia
371,2020-07-26,Czechia
373,2020-07-27,Czechia
374,2020-07-28,Czechia
374,2020-07-29,Czechia
379,2020-07-30,Czechia
382,2020-07-31,Czechia
383,2020-08-01,Czechia
384,2020-08-02,Czechia
386,2020-08-03,Czechia
383,2020-08-04,Czechia
388,2020-08-05,Czechia
390,2020-08-06,Czechia
389,2020-08-07,Czechia
389,2020-08-08,Czechia
390,2020-08-09,Czechia
390,2020-08-10,Czechia
391,2020-08-11,Czechia
391,2020-08-12,Czechia
391,2020-08-13,Czechia
394,2020-08-14,Czechia
395,2020-08-15,Czechia
397,2020-08-16,Czechia
399,2020-08-17,Czechia
401,2020-08-18,Czechia
404,2020-08-19,Czechia
406,2020-08-20,Czechia
411,2020-08-21,Czechia
411,2020-08-22,Czechia
412,2020-08-23,Czechia
415,2020-08-24,Czechia
416,2020-08-25,Czechia
418,2020-08-26,Czechia
418,2020-08-27,Czechia
419,2020-08-28,Czechia
421,2020-08-29,Czechia
423,2020-08-30,Czechia
424,2020-08-31,Czechia
425,2020-09-01,Czechia
425,2020-09-02,Czechia
426,2020-09-03,Czechia
429,2020-09-04,Czechia
431,2020-09-05,Czechia
436,2020-09-06,Czechia
437,2020-09-07,Czechia
441,2020-09-08,Czechia
444,2020-09-09,Czechia
448,2020-09-10,Czechia
