Deaths,CreationDate,Name
1,2020-03-14,Denmark
2,2020-03-15,Denmark
3,2020-03-16,Denmark
4,2020-03-17,Denmark
4,2020-03-18,Denmark
6,2020-03-19,Denmark
9,2020-03-20,Denmark
13,2020-03-21,Denmark
13,2020-03-22,Denmark
24,2020-03-23,Denmark
32,2020-03-24,Denmark
34,2020-03-25,Denmark
41,2020-03-26,Denmark
52,2020-03-27,Denmark
65,2020-03-28,Denmark
72,2020-03-29,Denmark
77,2020-03-30,Denmark
90,2020-03-31,Denmark
104,2020-04-01,Denmark
123,2020-04-02,Denmark
139,2020-04-03,Denmark
161,2020-04-04,Denmark
179,2020-04-05,Denmark
187,2020-04-06,Denmark
203,2020-04-07,Denmark
218,2020-04-08,Denmark
237,2020-04-09,Denmark
247,2020-04-10,Denmark
260,2020-04-11,Denmark
273,2020-04-12,Denmark
285,2020-04-13,Denmark
299,2020-04-14,Denmark
309,2020-04-15,Denmark
321,2020-04-16,Denmark
336,2020-04-17,Denmark
346,2020-04-18,Denmark
355,2020-04-19,Denmark
364,2020-04-20,Denmark
370,2020-04-21,Denmark
384,2020-04-22,Denmark
394,2020-04-23,Denmark
403,2020-04-24,Denmark
418,2020-04-25,Denmark
422,2020-04-26,Denmark
427,2020-04-27,Denmark
434,2020-04-28,Denmark
443,2020-04-29,Denmark
452,2020-04-30,Denmark
460,2020-05-01,Denmark
475,2020-05-02,Denmark
484,2020-05-03,Denmark
493,2020-05-04,Denmark
503,2020-05-05,Denmark
506,2020-05-06,Denmark
514,2020-05-07,Denmark
522,2020-05-08,Denmark
526,2020-05-09,Denmark
529,2020-05-10,Denmark
533,2020-05-11,Denmark
527,2020-05-12,Denmark
533,2020-05-13,Denmark
537,2020-05-14,Denmark
537,2020-05-15,Denmark
543,2020-05-16,Denmark
547,2020-05-17,Denmark
548,2020-05-18,Denmark
551,2020-05-19,Denmark
554,2020-05-20,Denmark
561,2020-05-21,Denmark
561,2020-05-22,Denmark
561,2020-05-23,Denmark
562,2020-05-24,Denmark
563,2020-05-25,Denmark
563,2020-05-26,Denmark
565,2020-05-27,Denmark
568,2020-05-28,Denmark
568,2020-05-29,Denmark
571,2020-05-30,Denmark
574,2020-05-31,Denmark
576,2020-06-01,Denmark
580,2020-06-02,Denmark
580,2020-06-03,Denmark
582,2020-06-04,Denmark
586,2020-06-05,Denmark
587,2020-06-06,Denmark
589,2020-06-07,Denmark
