Deaths,CreationDate,Name
1,2020-03-17,Dominican Republica
1,2020-03-18,Dominican Republica
2,2020-03-19,Dominican Republica
2,2020-03-20,Dominican Republica
2,2020-03-21,Dominican Republica
3,2020-03-22,Dominican Republica
3,2020-03-23,Dominican Republica
6,2020-03-24,Dominican Republica
10,2020-03-25,Dominican Republica
10,2020-03-26,Dominican Republica
20,2020-03-27,Dominican Republica
28,2020-03-28,Dominican Republica
39,2020-03-29,Dominican Republica
42,2020-03-30,Dominican Republica
51,2020-03-31,Dominican Republica
57,2020-04-01,Dominican Republica
60,2020-04-02,Dominican Republica
68,2020-04-03,Dominican Republica
68,2020-04-04,Dominican Republica
82,2020-04-05,Dominican Republica
86,2020-04-06,Dominican Republica
98,2020-04-07,Dominican Republica
108,2020-04-08,Dominican Republica
118,2020-04-09,Dominican Republica
126,2020-04-10,Dominican Republica
135,2020-04-11,Dominican Republica
173,2020-04-12,Dominican Republica
177,2020-04-13,Dominican Republica
183,2020-04-14,Dominican Republica
189,2020-04-15,Dominican Republica
196,2020-04-16,Dominican Republica
200,2020-04-17,Dominican Republica
217,2020-04-18,Dominican Republica
226,2020-04-19,Dominican Republica
235,2020-04-20,Dominican Republica
245,2020-04-21,Dominican Republica
260,2020-04-22,Dominican Republica
265,2020-04-23,Dominican Republica
267,2020-04-24,Dominican Republica
273,2020-04-25,Dominican Republica
278,2020-04-26,Dominican Republica
282,2020-04-27,Dominican Republica
286,2020-04-28,Dominican Republica
293,2020-04-29,Dominican Republica
301,2020-04-30,Dominican Republica
313,2020-05-01,Dominican Republica
326,2020-05-02,Dominican Republica
333,2020-05-03,Dominican Republica
346,2020-05-04,Dominican Republica
354,2020-05-05,Dominican Republica
362,2020-05-06,Dominican Republica
373,2020-05-07,Dominican Republica
380,2020-05-08,Dominican Republica
385,2020-05-09,Dominican Republica
388,2020-05-10,Dominican Republica
393,2020-05-11,Dominican Republica
402,2020-05-12,Dominican Republica
409,2020-05-13,Dominican Republica
422,2020-05-14,Dominican Republica
424,2020-05-15,Dominican Republica
428,2020-05-16,Dominican Republica
428,2020-05-17,Dominican Republica
434,2020-05-18,Dominican Republica
441,2020-05-19,Dominican Republica
446,2020-05-20,Dominican Republica
448,2020-05-21,Dominican Republica
456,2020-05-22,Dominican Republica
458,2020-05-23,Dominican Republica
458,2020-05-24,Dominican Republica
460,2020-05-25,Dominican Republica
468,2020-05-26,Dominican Republica
474,2020-05-27,Dominican Republica
485,2020-05-28,Dominican Republica
488,2020-05-29,Dominican Republica
498,2020-05-30,Dominican Republica
502,2020-05-31,Dominican Republica
502,2020-06-01,Dominican Republica
515,2020-06-02,Dominican Republica
516,2020-06-03,Dominican Republica
520,2020-06-04,Dominican Republica
525,2020-06-05,Dominican Republica
536,2020-06-06,Dominican Republica
538,2020-06-07,Dominican Republica
539,2020-06-08,Dominican Republica
544,2020-06-09,Dominican Republica
550,2020-06-10,Dominican Republica
561,2020-06-11,Dominican Republica
568,2020-06-12,Dominican Republica
577,2020-06-13,Dominican Republica
592,2020-06-14,Dominican Republica
605,2020-06-15,Dominican Republica
615,2020-06-16,Dominican Republica
633,2020-06-17,Dominican Republica
635,2020-06-18,Dominican Republica
647,2020-06-19,Dominican Republica
655,2020-06-20,Dominican Republica
662,2020-06-21,Dominican Republica
669,2020-06-22,Dominican Republica
675,2020-06-23,Dominican Republica
691,2020-06-24,Dominican Republica
698,2020-06-25,Dominican Republica
712,2020-06-26,Dominican Republica
718,2020-06-27,Dominican Republica
726,2020-06-28,Dominican Republica
733,2020-06-29,Dominican Republica
747,2020-06-30,Dominican Republica
754,2020-07-01,Dominican Republica
765,2020-07-02,Dominican Republica
775,2020-07-03,Dominican Republica
786,2020-07-04,Dominican Republica
794,2020-07-05,Dominican Republica
804,2020-07-06,Dominican Republica
821,2020-07-07,Dominican Republica
829,2020-07-08,Dominican Republica
842,2020-07-09,Dominican Republica
864,2020-07-10,Dominican Republica
880,2020-07-11,Dominican Republica
897,2020-07-12,Dominican Republica
903,2020-07-13,Dominican Republica
910,2020-07-14,Dominican Republica
929,2020-07-15,Dominican Republica
941,2020-07-16,Dominican Republica
942,2020-07-17,Dominican Republica
971,2020-07-18,Dominican Republica
981,2020-07-19,Dominican Republica
993,2020-07-20,Dominican Republica
999,2020-07-21,Dominican Republica
1005,2020-07-22,Dominican Republica
1006,2020-07-23,Dominican Republica
1036,2020-07-24,Dominican Republica
1055,2020-07-25,Dominican Republica
1063,2020-07-26,Dominican Republica
1083,2020-07-27,Dominican Republica
1101,2020-07-28,Dominican Republica
1123,2020-07-29,Dominican Republica
1146,2020-07-30,Dominican Republica
1160,2020-07-31,Dominican Republica
1170,2020-08-01,Dominican Republica
1178,2020-08-02,Dominican Republica
1183,2020-08-03,Dominican Republica
1213,2020-08-04,Dominican Republica
1222,2020-08-05,Dominican Republica
1246,2020-08-06,Dominican Republica
1259,2020-08-07,Dominican Republica
1289,2020-08-08,Dominican Republica
1309,2020-08-09,Dominican Republica
1328,2020-08-10,Dominican Republica
1346,2020-08-11,Dominican Republica
1371,2020-08-12,Dominican Republica
1393,2020-08-13,Dominican Republica
1409,2020-08-14,Dominican Republica
1438,2020-08-15,Dominican Republica
1453,2020-08-16,Dominican Republica
1481,2020-08-17,Dominican Republica
1489,2020-08-18,Dominican Republica
1501,2020-08-19,Dominican Republica
1505,2020-08-20,Dominican Republica
1533,2020-08-21,Dominican Republica
1554,2020-08-22,Dominican Republica
1567,2020-08-23,Dominican Republica
1573,2020-08-24,Dominican Republica
1585,2020-08-25,Dominican Republica
1613,2020-08-26,Dominican Republica
1630,2020-08-27,Dominican Republica
1648,2020-08-28,Dominican Republica
1673,2020-08-29,Dominican Republica
1681,2020-08-30,Dominican Republica
1710,2020-08-31,Dominican Republica
1738,2020-09-01,Dominican Republica
1765,2020-09-02,Dominican Republica
1801,2020-09-03,Dominican Republica
1801,2020-09-04,Dominican Republica
1840,2020-09-05,Dominican Republica
1845,2020-09-06,Dominican Republica
1864,2020-09-07,Dominican Republica
1889,2020-09-08,Dominican Republica
1914,2020-09-09,Dominican Republica
1926,2020-09-10,Dominican Republica
1941,2020-09-11,Dominican Republica
1953,2020-09-12,Dominican Republica
1968,2020-09-13,Dominican Republica
1984,2020-09-14,Dominican Republica
1998,2020-09-15,Dominican Republica
2009,2020-09-16,Dominican Republica
2022,2020-09-17,Dominican Republica
2034,2020-09-18,Dominican Republica
2044,2020-09-19,Dominican Republica
2047,2020-09-20,Dominican Republica
2054,2020-09-21,Dominican Republica
2064,2020-09-22,Dominican Republica
2074,2020-09-23,Dominican Republica
2076,2020-09-24,Dominican Republica
2087,2020-09-25,Dominican Republica
2093,2020-09-26,Dominican Republica
2095,2020-09-27,Dominican Republica
2098,2020-09-28,Dominican Republica
2101,2020-09-29,Dominican Republica
2105,2020-09-30,Dominican Republica
2108,2020-10-01,Dominican Republica
2117,2020-10-02,Dominican Republica
2128,2020-10-03,Dominican Republica
2134,2020-10-04,Dominican Republica
2144,2020-10-05,Dominican Republica
2149,2020-10-06,Dominican Republica
2159,2020-10-07,Dominican Republica
2163,2020-10-08,Dominican Republica
2165,2020-10-09,Dominican Republica
2167,2020-10-10,Dominican Republica
2173,2020-10-11,Dominican Republica
2179,2020-10-12,Dominican Republica
2183,2020-10-13,Dominican Republica
2186,2020-10-14,Dominican Republica
2189,2020-10-15,Dominican Republica
2192,2020-10-16,Dominican Republica
2195,2020-10-17,Dominican Republica
2199,2020-10-18,Dominican Republica
2203,2020-10-19,Dominican Republica
2204,2020-10-20,Dominican Republica
2206,2020-10-21,Dominican Republica
2212,2020-10-22,Dominican Republica
2212,2020-10-23,Dominican Republica
2220,2020-10-24,Dominican Republica
2223,2020-10-25,Dominican Republica
2225,2020-10-26,Dominican Republica
2226,2020-10-27,Dominican Republica
2232,2020-10-28,Dominican Republica
2234,2020-10-29,Dominican Republica
2236,2020-10-30,Dominican Republica
2245,2020-10-31,Dominican Republica
2249,2020-11-01,Dominican Republica
2250,2020-11-02,Dominican Republica
2252,2020-11-03,Dominican Republica
2257,2020-11-04,Dominican Republica
2260,2020-11-05,Dominican Republica
2261,2020-11-06,Dominican Republica
2263,2020-11-07,Dominican Republica
2265,2020-11-08,Dominican Republica
