Deaths,CreationDate,Name
2,2020-03-14,Ecuador
2,2020-03-15,Ecuador
2,2020-03-16,Ecuador
2,2020-03-17,Ecuador
2,2020-03-18,Ecuador
3,2020-03-19,Ecuador
5,2020-03-20,Ecuador
7,2020-03-21,Ecuador
14,2020-03-22,Ecuador
18,2020-03-23,Ecuador
27,2020-03-24,Ecuador
28,2020-03-25,Ecuador
34,2020-03-26,Ecuador
36,2020-03-27,Ecuador
48,2020-03-28,Ecuador
58,2020-03-29,Ecuador
60,2020-03-30,Ecuador
75,2020-03-31,Ecuador
93,2020-04-01,Ecuador
120,2020-04-02,Ecuador
145,2020-04-03,Ecuador
172,2020-04-04,Ecuador
180,2020-04-05,Ecuador
191,2020-04-06,Ecuador
191,2020-04-07,Ecuador
242,2020-04-08,Ecuador
272,2020-04-09,Ecuador
297,2020-04-10,Ecuador
315,2020-04-11,Ecuador
333,2020-04-12,Ecuador
355,2020-04-13,Ecuador
369,2020-04-14,Ecuador
388,2020-04-15,Ecuador
403,2020-04-16,Ecuador
421,2020-04-17,Ecuador
456,2020-04-18,Ecuador
474,2020-04-19,Ecuador
507,2020-04-20,Ecuador
520,2020-04-21,Ecuador
537,2020-04-22,Ecuador
560,2020-04-23,Ecuador
576,2020-04-24,Ecuador
576,2020-04-25,Ecuador
576,2020-04-26,Ecuador
663,2020-04-27,Ecuador
871,2020-04-28,Ecuador
883,2020-04-29,Ecuador
900,2020-04-30,Ecuador
1063,2020-05-01,Ecuador
1371,2020-05-02,Ecuador
1564,2020-05-03,Ecuador
1569,2020-05-04,Ecuador
1569,2020-05-05,Ecuador
1618,2020-05-06,Ecuador
1654,2020-05-07,Ecuador
1704,2020-05-08,Ecuador
1717,2020-05-09,Ecuador
2127,2020-05-10,Ecuador
2145,2020-05-11,Ecuador
2327,2020-05-12,Ecuador
2334,2020-05-13,Ecuador
2338,2020-05-14,Ecuador
2594,2020-05-15,Ecuador
2688,2020-05-16,Ecuador
2736,2020-05-17,Ecuador
2799,2020-05-18,Ecuador
2839,2020-05-19,Ecuador
2888,2020-05-20,Ecuador
2939,2020-05-21,Ecuador
3056,2020-05-22,Ecuador
3096,2020-05-23,Ecuador
3108,2020-05-24,Ecuador
3203,2020-05-25,Ecuador
3203,2020-05-26,Ecuador
3275,2020-05-27,Ecuador
3313,2020-05-28,Ecuador
3334,2020-05-29,Ecuador
3334,2020-05-30,Ecuador
3358,2020-05-31,Ecuador
3358,2020-06-01,Ecuador
3438,2020-06-02,Ecuador
3486,2020-06-03,Ecuador
3486,2020-06-04,Ecuador
3534,2020-06-05,Ecuador
3608,2020-06-06,Ecuador
3621,2020-06-07,Ecuador
3642,2020-06-08,Ecuador
3690,2020-06-09,Ecuador
3720,2020-06-10,Ecuador
3720,2020-06-11,Ecuador
3828,2020-06-12,Ecuador
3874,2020-06-13,Ecuador
3896,2020-06-14,Ecuador
3929,2020-06-15,Ecuador
3970,2020-06-16,Ecuador
4007,2020-06-17,Ecuador
4087,2020-06-18,Ecuador
4156,2020-06-19,Ecuador
4156,2020-06-20,Ecuador
4223,2020-06-21,Ecuador
4223,2020-06-22,Ecuador
4274,2020-06-23,Ecuador
4274,2020-06-24,Ecuador
4343,2020-06-25,Ecuador
4406,2020-06-26,Ecuador
4424,2020-06-27,Ecuador
4429,2020-06-28,Ecuador
4502,2020-06-29,Ecuador
4527,2020-06-30,Ecuador
4576,2020-07-01,Ecuador
4639,2020-07-02,Ecuador
4700,2020-07-03,Ecuador
4769,2020-07-04,Ecuador
4781,2020-07-05,Ecuador
4821,2020-07-06,Ecuador
4873,2020-07-07,Ecuador
4873,2020-07-08,Ecuador
4900,2020-07-09,Ecuador
4939,2020-07-10,Ecuador
5031,2020-07-11,Ecuador
5047,2020-07-12,Ecuador
5063,2020-07-13,Ecuador
