Deaths,CreationDate,Name
1,2020-03-08,Egypt
1,2020-03-09,Egypt
1,2020-03-10,Egypt
1,2020-03-11,Egypt
1,2020-03-12,Egypt
2,2020-03-13,Egypt
2,2020-03-14,Egypt
2,2020-03-15,Egypt
2,2020-03-16,Egypt
4,2020-03-17,Egypt
6,2020-03-18,Egypt
6,2020-03-19,Egypt
8,2020-03-20,Egypt
10,2020-03-21,Egypt
14,2020-03-22,Egypt
19,2020-03-23,Egypt
20,2020-03-24,Egypt
21,2020-03-25,Egypt
24,2020-03-26,Egypt
30,2020-03-27,Egypt
36,2020-03-28,Egypt
40,2020-03-29,Egypt
41,2020-03-30,Egypt
46,2020-03-31,Egypt
52,2020-04-01,Egypt
58,2020-04-02,Egypt
66,2020-04-03,Egypt
71,2020-04-04,Egypt
78,2020-04-05,Egypt
85,2020-04-06,Egypt
94,2020-04-07,Egypt
103,2020-04-08,Egypt
118,2020-04-09,Egypt
135,2020-04-10,Egypt
146,2020-04-11,Egypt
159,2020-04-12,Egypt
164,2020-04-13,Egypt
178,2020-04-14,Egypt
183,2020-04-15,Egypt
196,2020-04-16,Egypt
205,2020-04-17,Egypt
224,2020-04-18,Egypt
239,2020-04-19,Egypt
250,2020-04-20,Egypt
264,2020-04-21,Egypt
276,2020-04-22,Egypt
287,2020-04-23,Egypt
294,2020-04-24,Egypt
307,2020-04-25,Egypt
317,2020-04-26,Egypt
337,2020-04-27,Egypt
359,2020-04-28,Egypt
380,2020-04-29,Egypt
392,2020-04-30,Egypt
406,2020-05-01,Egypt
415,2020-05-02,Egypt
429,2020-05-03,Egypt
436,2020-05-04,Egypt
452,2020-05-05,Egypt
469,2020-05-06,Egypt
482,2020-05-07,Egypt
503,2020-05-08,Egypt
514,2020-05-09,Egypt
525,2020-05-10,Egypt
533,2020-05-11,Egypt
544,2020-05-12,Egypt
556,2020-05-13,Egypt
571,2020-05-14,Egypt
592,2020-05-15,Egypt
612,2020-05-16,Egypt
630,2020-05-17,Egypt
645,2020-05-18,Egypt
659,2020-05-19,Egypt
680,2020-05-20,Egypt
696,2020-05-21,Egypt
707,2020-05-22,Egypt
735,2020-05-23,Egypt
764,2020-05-24,Egypt
783,2020-05-25,Egypt
797,2020-05-26,Egypt
816,2020-05-27,Egypt
845,2020-05-28,Egypt
879,2020-05-29,Egypt
913,2020-05-30,Egypt
959,2020-05-31,Egypt
1005,2020-06-01,Egypt
1052,2020-06-02,Egypt
1088,2020-06-03,Egypt
1126,2020-06-04,Egypt
1166,2020-06-05,Egypt
1198,2020-06-06,Egypt
1237,2020-06-07,Egypt
1271,2020-06-08,Egypt
1306,2020-06-09,Egypt
1342,2020-06-10,Egypt
1377,2020-06-11,Egypt
1422,2020-06-12,Egypt
1484,2020-06-13,Egypt
1575,2020-06-14,Egypt
1672,2020-06-15,Egypt
1766,2020-06-16,Egypt
1850,2020-06-17,Egypt
1938,2020-06-18,Egypt
2017,2020-06-19,Egypt
2106,2020-06-20,Egypt
2193,2020-06-21,Egypt
2278,2020-06-22,Egypt
2365,2020-06-23,Egypt
