Deaths,CreationDate,Name
1,2020-03-31,El Salvador
1,2020-04-01,El Salvador
2,2020-04-02,El Salvador
2,2020-04-03,El Salvador
3,2020-04-04,El Salvador
3,2020-04-05,El Salvador
4,2020-04-06,El Salvador
4,2020-04-07,El Salvador
5,2020-04-08,El Salvador
6,2020-04-09,El Salvador
6,2020-04-10,El Salvador
6,2020-04-11,El Salvador
6,2020-04-12,El Salvador
6,2020-04-13,El Salvador
6,2020-04-14,El Salvador
6,2020-04-15,El Salvador
6,2020-04-16,El Salvador
7,2020-04-17,El Salvador
7,2020-04-18,El Salvador
7,2020-04-19,El Salvador
7,2020-04-20,El Salvador
7,2020-04-21,El Salvador
7,2020-04-22,El Salvador
8,2020-04-23,El Salvador
8,2020-04-24,El Salvador
8,2020-04-25,El Salvador
8,2020-04-26,El Salvador
8,2020-04-27,El Salvador
8,2020-04-28,El Salvador
9,2020-04-29,El Salvador
10,2020-04-30,El Salvador
10,2020-05-01,El Salvador
11,2020-05-02,El Salvador
11,2020-05-03,El Salvador
13,2020-05-04,El Salvador
14,2020-05-05,El Salvador
15,2020-05-06,El Salvador
15,2020-05-07,El Salvador
16,2020-05-08,El Salvador
17,2020-05-09,El Salvador
17,2020-05-10,El Salvador
18,2020-05-11,El Salvador
20,2020-05-12,El Salvador
20,2020-05-13,El Salvador
23,2020-05-14,El Salvador
25,2020-05-15,El Salvador
26,2020-05-16,El Salvador
30,2020-05-17,El Salvador
30,2020-05-18,El Salvador
30,2020-05-19,El Salvador
31,2020-05-20,El Salvador
33,2020-05-21,El Salvador
33,2020-05-22,El Salvador
33,2020-05-23,El Salvador
35,2020-05-24,El Salvador
35,2020-05-25,El Salvador
36,2020-05-26,El Salvador
39,2020-05-27,El Salvador
39,2020-05-28,El Salvador
42,2020-05-29,El Salvador
46,2020-05-30,El Salvador
46,2020-05-31,El Salvador
46,2020-06-01,El Salvador
49,2020-06-02,El Salvador
51,2020-06-03,El Salvador
52,2020-06-04,El Salvador
53,2020-06-05,El Salvador
53,2020-06-06,El Salvador
53,2020-06-07,El Salvador
56,2020-06-08,El Salvador
60,2020-06-09,El Salvador
64,2020-06-10,El Salvador
68,2020-06-11,El Salvador
68,2020-06-12,El Salvador
72,2020-06-13,El Salvador
74,2020-06-14,El Salvador
74,2020-06-15,El Salvador
