Deaths,CreationDate,Name
1,2020-12-22,Eritrea
1,2020-12-23,Eritrea
1,2020-12-24,Eritrea
1,2020-12-25,Eritrea
1,2020-12-26,Eritrea
1,2020-12-27,Eritrea
1,2020-12-28,Eritrea
1,2020-12-29,Eritrea
1,2020-12-30,Eritrea
3,2020-12-31,Eritrea
3,2021-01-01,Eritrea
3,2021-01-02,Eritrea
3,2021-01-03,Eritrea
3,2021-01-04,Eritrea
3,2021-01-05,Eritrea
3,2021-01-06,Eritrea
3,2021-01-07,Eritrea
6,2021-01-08,Eritrea
6,2021-01-09,Eritrea
6,2021-01-10,Eritrea
6,2021-01-11,Eritrea
6,2021-01-12,Eritrea
6,2021-01-13,Eritrea
6,2021-01-14,Eritrea
6,2021-01-15,Eritrea
6,2021-01-16,Eritrea
6,2021-01-17,Eritrea
6,2021-01-18,Eritrea
6,2021-01-19,Eritrea
6,2021-01-20,Eritrea
6,2021-01-21,Eritrea
6,2021-01-22,Eritrea
6,2021-01-23,Eritrea
6,2021-01-24,Eritrea
7,2021-01-25,Eritrea
7,2021-01-26,Eritrea
7,2021-01-27,Eritrea
7,2021-01-28,Eritrea
7,2021-01-29,Eritrea
7,2021-01-30,Eritrea
7,2021-01-31,Eritrea
7,2021-02-01,Eritrea
7,2021-02-02,Eritrea
7,2021-02-03,Eritrea
7,2021-02-04,Eritrea
7,2021-02-05,Eritrea
7,2021-02-06,Eritrea
7,2021-02-07,Eritrea
7,2021-02-08,Eritrea
7,2021-02-09,Eritrea
7,2021-02-10,Eritrea
7,2021-02-11,Eritrea
7,2021-02-12,Eritrea
7,2021-02-13,Eritrea
7,2021-02-14,Eritrea
7,2021-02-15,Eritrea
7,2021-02-16,Eritrea
7,2021-02-17,Eritrea
7,2021-02-18,Eritrea
7,2021-02-19,Eritrea
7,2021-02-20,Eritrea
7,2021-02-21,Eritrea
7,2021-02-22,Eritrea
7,2021-02-23,Eritrea
7,2021-02-24,Eritrea
7,2021-02-25,Eritrea
7,2021-02-26,Eritrea
7,2021-02-27,Eritrea
7,2021-02-28,Eritrea
7,2021-03-01,Eritrea
7,2021-03-02,Eritrea
7,2021-03-03,Eritrea
7,2021-03-04,Eritrea
7,2021-03-05,Eritrea
7,2021-03-06,Eritrea
7,2021-03-07,Eritrea
7,2021-03-08,Eritrea
7,2021-03-09,Eritrea
7,2021-03-10,Eritrea
7,2021-03-11,Eritrea
7,2021-03-12,Eritrea
7,2021-03-13,Eritrea
7,2021-03-14,Eritrea
7,2021-03-15,Eritrea
7,2021-03-16,Eritrea
7,2021-03-17,Eritrea
7,2021-03-18,Eritrea
7,2021-03-19,Eritrea
7,2021-03-20,Eritrea
7,2021-03-21,Eritrea
7,2021-03-22,Eritrea
7,2021-03-23,Eritrea
8,2021-03-24,Eritrea
9,2021-03-25,Eritrea
9,2021-03-26,Eritrea
9,2021-03-27,Eritrea
9,2021-03-28,Eritrea
9,2021-03-29,Eritrea
9,2021-03-30,Eritrea
10,2021-03-31,Eritrea
10,2021-04-01,Eritrea
10,2021-04-02,Eritrea
10,2021-04-03,Eritrea
10,2021-04-04,Eritrea
10,2021-04-05,Eritrea
10,2021-04-06,Eritrea
10,2021-04-07,Eritrea
10,2021-04-08,Eritrea
10,2021-04-09,Eritrea
10,2021-04-10,Eritrea
10,2021-04-11,Eritrea
10,2021-04-12,Eritrea
10,2021-04-13,Eritrea
10,2021-04-14,Eritrea
10,2021-04-15,Eritrea
10,2021-04-16,Eritrea
10,2021-04-17,Eritrea
10,2021-04-18,Eritrea
10,2021-04-19,Eritrea
10,2021-04-20,Eritrea
10,2021-04-21,Eritrea
10,2021-04-22,Eritrea
10,2021-04-23,Eritrea
10,2021-04-24,Eritrea
10,2021-04-25,Eritrea
10,2021-04-26,Eritrea
10,2021-04-27,Eritrea
10,2021-04-28,Eritrea
10,2021-04-29,Eritrea
10,2021-04-30,Eritrea
10,2021-05-01,Eritrea
10,2021-05-02,Eritrea
12,2021-05-03,Eritrea
12,2021-05-04,Eritrea
12,2021-05-05,Eritrea
12,2021-05-06,Eritrea
12,2021-05-07,Eritrea
12,2021-05-08,Eritrea
12,2021-05-09,Eritrea
12,2021-05-10,Eritrea
12,2021-05-11,Eritrea
12,2021-05-12,Eritrea
12,2021-05-13,Eritrea
12,2021-05-14,Eritrea
12,2021-05-15,Eritrea
12,2021-05-16,Eritrea
14,2021-05-17,Eritrea
14,2021-05-18,Eritrea
14,2021-05-19,Eritrea
14,2021-05-20,Eritrea
14,2021-05-21,Eritrea
14,2021-05-22,Eritrea
14,2021-05-23,Eritrea
14,2021-05-24,Eritrea
14,2021-05-25,Eritrea
