Deaths,CreationDate,Name
1,2020-03-25,Estonia
1,2020-03-26,Estonia
1,2020-03-27,Estonia
1,2020-03-28,Estonia
3,2020-03-29,Estonia
3,2020-03-30,Estonia
4,2020-03-31,Estonia
5,2020-04-01,Estonia
11,2020-04-02,Estonia
12,2020-04-03,Estonia
13,2020-04-04,Estonia
15,2020-04-05,Estonia
19,2020-04-06,Estonia
21,2020-04-07,Estonia
24,2020-04-08,Estonia
24,2020-04-09,Estonia
24,2020-04-10,Estonia
24,2020-04-11,Estonia
25,2020-04-12,Estonia
28,2020-04-13,Estonia
31,2020-04-14,Estonia
35,2020-04-15,Estonia
36,2020-04-16,Estonia
38,2020-04-17,Estonia
38,2020-04-18,Estonia
40,2020-04-19,Estonia
40,2020-04-20,Estonia
43,2020-04-21,Estonia
44,2020-04-22,Estonia
45,2020-04-23,Estonia
46,2020-04-24,Estonia
46,2020-04-25,Estonia
49,2020-04-26,Estonia
50,2020-04-27,Estonia
50,2020-04-28,Estonia
50,2020-04-29,Estonia
52,2020-04-30,Estonia
52,2020-05-01,Estonia
53,2020-05-02,Estonia
55,2020-05-03,Estonia
55,2020-05-04,Estonia
55,2020-05-05,Estonia
55,2020-05-06,Estonia
56,2020-05-07,Estonia
56,2020-05-08,Estonia
60,2020-05-09,Estonia
60,2020-05-10,Estonia
61,2020-05-11,Estonia
61,2020-05-12,Estonia
61,2020-05-13,Estonia
62,2020-05-14,Estonia
63,2020-05-15,Estonia
63,2020-05-16,Estonia
63,2020-05-17,Estonia
64,2020-05-18,Estonia
64,2020-05-19,Estonia
64,2020-05-20,Estonia
64,2020-05-21,Estonia
64,2020-05-22,Estonia
64,2020-05-23,Estonia
64,2020-05-24,Estonia
65,2020-05-25,Estonia
65,2020-05-26,Estonia
66,2020-05-27,Estonia
66,2020-05-28,Estonia
67,2020-05-29,Estonia
67,2020-05-30,Estonia
68,2020-05-31,Estonia
68,2020-06-01,Estonia
68,2020-06-02,Estonia
69,2020-06-03,Estonia
69,2020-06-04,Estonia
69,2020-06-05,Estonia
69,2020-06-06,Estonia
69,2020-06-07,Estonia
69,2020-06-08,Estonia
69,2020-06-09,Estonia
69,2020-06-10,Estonia
69,2020-06-11,Estonia
69,2020-06-12,Estonia
69,2020-06-13,Estonia
69,2020-06-14,Estonia
69,2020-06-15,Estonia
69,2020-06-16,Estonia
69,2020-06-17,Estonia
69,2020-06-18,Estonia
69,2020-06-19,Estonia
69,2020-06-20,Estonia
69,2020-06-21,Estonia
69,2020-06-22,Estonia
69,2020-06-23,Estonia
69,2020-06-24,Estonia
69,2020-06-25,Estonia
69,2020-06-26,Estonia
69,2020-06-27,Estonia
69,2020-06-28,Estonia
69,2020-06-29,Estonia
69,2020-06-30,Estonia
69,2020-07-01,Estonia
69,2020-07-02,Estonia
69,2020-07-03,Estonia
69,2020-07-04,Estonia
69,2020-07-05,Estonia
69,2020-07-06,Estonia
69,2020-07-07,Estonia
69,2020-07-08,Estonia
69,2020-07-09,Estonia
69,2020-07-10,Estonia
69,2020-07-11,Estonia
69,2020-07-12,Estonia
69,2020-07-13,Estonia
69,2020-07-14,Estonia
69,2020-07-15,Estonia
69,2020-07-16,Estonia
69,2020-07-17,Estonia
69,2020-07-18,Estonia
69,2020-07-19,Estonia
69,2020-07-20,Estonia
69,2020-07-21,Estonia
69,2020-07-22,Estonia
69,2020-07-23,Estonia
69,2020-07-24,Estonia
69,2020-07-25,Estonia
69,2020-07-26,Estonia
69,2020-07-27,Estonia
69,2020-07-28,Estonia
69,2020-07-29,Estonia
69,2020-07-30,Estonia
69,2020-07-31,Estonia
69,2020-08-01,Estonia
63,2020-08-02,Estonia
63,2020-08-03,Estonia
63,2020-08-04,Estonia
63,2020-08-05,Estonia
63,2020-08-06,Estonia
63,2020-08-07,Estonia
63,2020-08-08,Estonia
63,2020-08-09,Estonia
63,2020-08-10,Estonia
63,2020-08-11,Estonia
63,2020-08-12,Estonia
