Deaths,CreationDate,Name
1,2020-04-16,Eswatini
1,2020-04-17,Eswatini
1,2020-04-18,Eswatini
1,2020-04-19,Eswatini
1,2020-04-20,Eswatini
1,2020-04-21,Eswatini
1,2020-04-22,Eswatini
1,2020-04-23,Eswatini
1,2020-04-24,Eswatini
1,2020-04-25,Eswatini
1,2020-04-26,Eswatini
1,2020-04-27,Eswatini
1,2020-04-28,Eswatini
1,2020-04-29,Eswatini
1,2020-04-30,Eswatini
1,2020-05-01,Eswatini
1,2020-05-02,Eswatini
1,2020-05-03,Eswatini
1,2020-05-04,Eswatini
1,2020-05-05,Eswatini
2,2020-05-06,Eswatini
2,2020-05-07,Eswatini
2,2020-05-08,Eswatini
2,2020-05-09,Eswatini
2,2020-05-10,Eswatini
2,2020-05-11,Eswatini
2,2020-05-12,Eswatini
2,2020-05-13,Eswatini
2,2020-05-14,Eswatini
2,2020-05-15,Eswatini
2,2020-05-16,Eswatini
2,2020-05-17,Eswatini
2,2020-05-18,Eswatini
2,2020-05-19,Eswatini
2,2020-05-20,Eswatini
2,2020-05-21,Eswatini
2,2020-05-22,Eswatini
2,2020-05-23,Eswatini
2,2020-05-24,Eswatini
2,2020-05-25,Eswatini
2,2020-05-26,Eswatini
2,2020-05-27,Eswatini
2,2020-05-28,Eswatini
2,2020-05-29,Eswatini
2,2020-05-30,Eswatini
2,2020-05-31,Eswatini
3,2020-06-01,Eswatini
3,2020-06-02,Eswatini
3,2020-06-03,Eswatini
3,2020-06-04,Eswatini
3,2020-06-05,Eswatini
3,2020-06-06,Eswatini
3,2020-06-07,Eswatini
3,2020-06-08,Eswatini
3,2020-06-09,Eswatini
3,2020-06-10,Eswatini
3,2020-06-11,Eswatini
3,2020-06-12,Eswatini
3,2020-06-13,Eswatini
4,2020-06-14,Eswatini
4,2020-06-15,Eswatini
4,2020-06-16,Eswatini
4,2020-06-17,Eswatini
4,2020-06-18,Eswatini
4,2020-06-19,Eswatini
5,2020-06-20,Eswatini
5,2020-06-21,Eswatini
6,2020-06-22,Eswatini
7,2020-06-23,Eswatini
7,2020-06-24,Eswatini
8,2020-06-25,Eswatini
8,2020-06-26,Eswatini
8,2020-06-27,Eswatini
11,2020-06-28,Eswatini
11,2020-06-29,Eswatini
11,2020-06-30,Eswatini
11,2020-07-01,Eswatini
11,2020-07-02,Eswatini
13,2020-07-03,Eswatini
13,2020-07-04,Eswatini
13,2020-07-05,Eswatini
13,2020-07-06,Eswatini
14,2020-07-07,Eswatini
14,2020-07-08,Eswatini
17,2020-07-09,Eswatini
18,2020-07-10,Eswatini
18,2020-07-11,Eswatini
20,2020-07-12,Eswatini
20,2020-07-13,Eswatini
20,2020-07-14,Eswatini
20,2020-07-15,Eswatini
21,2020-07-16,Eswatini
21,2020-07-17,Eswatini
21,2020-07-18,Eswatini
21,2020-07-19,Eswatini
23,2020-07-20,Eswatini
24,2020-07-21,Eswatini
25,2020-07-22,Eswatini
28,2020-07-23,Eswatini
28,2020-07-24,Eswatini
28,2020-07-25,Eswatini
32,2020-07-26,Eswatini
34,2020-07-27,Eswatini
39,2020-07-28,Eswatini
40,2020-07-29,Eswatini
40,2020-07-30,Eswatini
41,2020-07-31,Eswatini
43,2020-08-01,Eswatini
43,2020-08-02,Eswatini
45,2020-08-03,Eswatini
49,2020-08-04,Eswatini
53,2020-08-05,Eswatini
55,2020-08-06,Eswatini
56,2020-08-07,Eswatini
56,2020-08-08,Eswatini
58,2020-08-09,Eswatini
61,2020-08-10,Eswatini
63,2020-08-11,Eswatini
63,2020-08-12,Eswatini
65,2020-08-13,Eswatini
68,2020-08-14,Eswatini
69,2020-08-15,Eswatini
70,2020-08-16,Eswatini
73,2020-08-17,Eswatini
76,2020-08-18,Eswatini
79,2020-08-19,Eswatini
81,2020-08-20,Eswatini
81,2020-08-21,Eswatini
83,2020-08-22,Eswatini
85,2020-08-23,Eswatini
85,2020-08-24,Eswatini
86,2020-08-25,Eswatini
88,2020-08-26,Eswatini
89,2020-08-27,Eswatini
91,2020-08-28,Eswatini
91,2020-08-29,Eswatini
91,2020-08-30,Eswatini
91,2020-08-31,Eswatini
94,2020-09-01,Eswatini
94,2020-09-02,Eswatini
94,2020-09-03,Eswatini
94,2020-09-04,Eswatini
94,2020-09-05,Eswatini
94,2020-09-06,Eswatini
94,2020-09-07,Eswatini
96,2020-09-08,Eswatini
97,2020-09-09,Eswatini
98,2020-09-10,Eswatini
98,2020-09-11,Eswatini
98,2020-09-12,Eswatini
98,2020-09-13,Eswatini
101,2020-09-14,Eswatini
101,2020-09-15,Eswatini
101,2020-09-16,Eswatini
103,2020-09-17,Eswatini
103,2020-09-18,Eswatini
104,2020-09-19,Eswatini
104,2020-09-20,Eswatini
104,2020-09-21,Eswatini
106,2020-09-22,Eswatini
108,2020-09-23,Eswatini
108,2020-09-24,Eswatini
108,2020-09-25,Eswatini
108,2020-09-26,Eswatini
108,2020-09-27,Eswatini
108,2020-09-28,Eswatini
108,2020-09-29,Eswatini
109,2020-09-30,Eswatini
111,2020-10-01,Eswatini
111,2020-10-02,Eswatini
111,2020-10-03,Eswatini
111,2020-10-04,Eswatini
112,2020-10-05,Eswatini
112,2020-10-06,Eswatini
113,2020-10-07,Eswatini
113,2020-10-08,Eswatini
113,2020-10-09,Eswatini
113,2020-10-10,Eswatini
113,2020-10-11,Eswatini
113,2020-10-12,Eswatini
114,2020-10-13,Eswatini
114,2020-10-14,Eswatini
115,2020-10-15,Eswatini
115,2020-10-16,Eswatini
115,2020-10-17,Eswatini
116,2020-10-18,Eswatini
116,2020-10-19,Eswatini
116,2020-10-20,Eswatini
116,2020-10-21,Eswatini
116,2020-10-22,Eswatini
116,2020-10-23,Eswatini
116,2020-10-24,Eswatini
116,2020-10-25,Eswatini
116,2020-10-26,Eswatini
116,2020-10-27,Eswatini
116,2020-10-28,Eswatini
117,2020-10-29,Eswatini
117,2020-10-30,Eswatini
117,2020-10-31,Eswatini
117,2020-11-01,Eswatini
117,2020-11-02,Eswatini
117,2020-11-03,Eswatini
117,2020-11-04,Eswatini
117,2020-11-05,Eswatini
117,2020-11-06,Eswatini
117,2020-11-07,Eswatini
117,2020-11-08,Eswatini
117,2020-11-09,Eswatini
117,2020-11-10,Eswatini
117,2020-11-11,Eswatini
117,2020-11-12,Eswatini
118,2020-11-13,Eswatini
119,2020-11-14,Eswatini
119,2020-11-15,Eswatini
119,2020-11-16,Eswatini
119,2020-11-17,Eswatini
119,2020-11-18,Eswatini
119,2020-11-19,Eswatini
119,2020-11-20,Eswatini
119,2020-11-21,Eswatini
120,2020-11-22,Eswatini
120,2020-11-23,Eswatini
120,2020-11-24,Eswatini
120,2020-11-25,Eswatini
120,2020-11-26,Eswatini
120,2020-11-27,Eswatini
121,2020-11-28,Eswatini
121,2020-11-29,Eswatini
122,2020-11-30,Eswatini
122,2020-12-01,Eswatini
122,2020-12-02,Eswatini
122,2020-12-03,Eswatini
122,2020-12-04,Eswatini
122,2020-12-05,Eswatini
122,2020-12-06,Eswatini
123,2020-12-07,Eswatini
124,2020-12-08,Eswatini
125,2020-12-09,Eswatini
126,2020-12-10,Eswatini
126,2020-12-11,Eswatini
127,2020-12-12,Eswatini
127,2020-12-13,Eswatini
130,2020-12-14,Eswatini
132,2020-12-15,Eswatini
135,2020-12-16,Eswatini
135,2020-12-17,Eswatini
136,2020-12-18,Eswatini
137,2020-12-19,Eswatini
140,2020-12-20,Eswatini
141,2020-12-21,Eswatini
142,2020-12-22,Eswatini
153,2020-12-23,Eswatini
154,2020-12-24,Eswatini
154,2020-12-25,Eswatini
163,2020-12-26,Eswatini
165,2020-12-27,Eswatini
167,2020-12-28,Eswatini
175,2020-12-29,Eswatini
184,2020-12-30,Eswatini
205,2020-12-31,Eswatini
216,2021-01-01,Eswatini
227,2021-01-02,Eswatini
231,2021-01-03,Eswatini
244,2021-01-04,Eswatini
252,2021-01-05,Eswatini
261,2021-01-06,Eswatini
268,2021-01-07,Eswatini
279,2021-01-08,Eswatini
291,2021-01-09,Eswatini
295,2021-01-10,Eswatini
298,2021-01-11,Eswatini
319,2021-01-12,Eswatini
332,2021-01-13,Eswatini
335,2021-01-14,Eswatini
343,2021-01-15,Eswatini
360,2021-01-16,Eswatini
376,2021-01-17,Eswatini
384,2021-01-18,Eswatini
403,2021-01-19,Eswatini
427,2021-01-20,Eswatini
441,2021-01-21,Eswatini
458,2021-01-22,Eswatini
458,2021-01-23,Eswatini
479,2021-01-24,Eswatini
493,2021-01-25,Eswatini
517,2021-01-26,Eswatini
522,2021-01-27,Eswatini
538,2021-01-28,Eswatini
551,2021-01-29,Eswatini
562,2021-01-30,Eswatini
565,2021-01-31,Eswatini
574,2021-02-01,Eswatini
583,2021-02-02,Eswatini
585,2021-02-03,Eswatini
591,2021-02-04,Eswatini
600,2021-02-05,Eswatini
604,2021-02-06,Eswatini
604,2021-02-07,Eswatini
607,2021-02-08,Eswatini
610,2021-02-09,Eswatini
616,2021-02-10,Eswatini
619,2021-02-11,Eswatini
630,2021-02-12,Eswatini
630,2021-02-13,Eswatini
630,2021-02-14,Eswatini
634,2021-02-15,Eswatini
634,2021-02-16,Eswatini
637,2021-02-17,Eswatini
640,2021-02-18,Eswatini
644,2021-02-19,Eswatini
645,2021-02-20,Eswatini
645,2021-02-21,Eswatini
645,2021-02-22,Eswatini
647,2021-02-23,Eswatini
649,2021-02-24,Eswatini
650,2021-02-25,Eswatini
650,2021-02-26,Eswatini
650,2021-02-27,Eswatini
652,2021-02-28,Eswatini
652,2021-03-01,Eswatini
652,2021-03-02,Eswatini
652,2021-03-03,Eswatini
654,2021-03-04,Eswatini
654,2021-03-05,Eswatini
658,2021-03-06,Eswatini
658,2021-03-07,Eswatini
658,2021-03-08,Eswatini
658,2021-03-09,Eswatini
658,2021-03-10,Eswatini
659,2021-03-11,Eswatini
659,2021-03-12,Eswatini
661,2021-03-13,Eswatini
661,2021-03-14,Eswatini
663,2021-03-15,Eswatini
663,2021-03-16,Eswatini
663,2021-03-17,Eswatini
664,2021-03-18,Eswatini
664,2021-03-19,Eswatini
665,2021-03-20,Eswatini
665,2021-03-21,Eswatini
665,2021-03-22,Eswatini
665,2021-03-23,Eswatini
666,2021-03-24,Eswatini
666,2021-03-25,Eswatini
666,2021-03-26,Eswatini
666,2021-03-27,Eswatini
667,2021-03-28,Eswatini
667,2021-03-29,Eswatini
667,2021-03-30,Eswatini
