Deaths,CreationDate,Name
2,2020-04-05,Ethiopia
2,2020-04-06,Ethiopia
2,2020-04-07,Ethiopia
2,2020-04-08,Ethiopia
2,2020-04-09,Ethiopia
3,2020-04-10,Ethiopia
3,2020-04-11,Ethiopia
3,2020-04-12,Ethiopia
3,2020-04-13,Ethiopia
3,2020-04-14,Ethiopia
3,2020-04-15,Ethiopia
3,2020-04-16,Ethiopia
3,2020-04-17,Ethiopia
3,2020-04-18,Ethiopia
3,2020-04-19,Ethiopia
3,2020-04-20,Ethiopia
3,2020-04-21,Ethiopia
3,2020-04-22,Ethiopia
3,2020-04-23,Ethiopia
3,2020-04-24,Ethiopia
3,2020-04-25,Ethiopia
3,2020-04-26,Ethiopia
3,2020-04-27,Ethiopia
3,2020-04-28,Ethiopia
3,2020-04-29,Ethiopia
3,2020-04-30,Ethiopia
3,2020-05-01,Ethiopia
3,2020-05-02,Ethiopia
3,2020-05-03,Ethiopia
3,2020-05-04,Ethiopia
4,2020-05-05,Ethiopia
4,2020-05-06,Ethiopia
4,2020-05-07,Ethiopia
4,2020-05-08,Ethiopia
5,2020-05-09,Ethiopia
5,2020-05-10,Ethiopia
5,2020-05-11,Ethiopia
5,2020-05-12,Ethiopia
5,2020-05-13,Ethiopia
5,2020-05-14,Ethiopia
5,2020-05-15,Ethiopia
5,2020-05-16,Ethiopia
5,2020-05-17,Ethiopia
5,2020-05-18,Ethiopia
5,2020-05-19,Ethiopia
5,2020-05-20,Ethiopia
5,2020-05-21,Ethiopia
5,2020-05-22,Ethiopia
5,2020-05-23,Ethiopia
5,2020-05-24,Ethiopia
5,2020-05-25,Ethiopia
6,2020-05-26,Ethiopia
6,2020-05-27,Ethiopia
7,2020-05-28,Ethiopia
8,2020-05-29,Ethiopia
8,2020-05-30,Ethiopia
11,2020-05-31,Ethiopia
12,2020-06-01,Ethiopia
14,2020-06-02,Ethiopia
17,2020-06-03,Ethiopia
18,2020-06-04,Ethiopia
19,2020-06-05,Ethiopia
20,2020-06-06,Ethiopia
27,2020-06-07,Ethiopia
27,2020-06-08,Ethiopia
32,2020-06-09,Ethiopia
35,2020-06-10,Ethiopia
40,2020-06-11,Ethiopia
47,2020-06-12,Ethiopia
55,2020-06-13,Ethiopia
57,2020-06-14,Ethiopia
60,2020-06-15,Ethiopia
61,2020-06-16,Ethiopia
63,2020-06-17,Ethiopia
65,2020-06-18,Ethiopia
72,2020-06-19,Ethiopia
72,2020-06-20,Ethiopia
74,2020-06-21,Ethiopia
75,2020-06-22,Ethiopia
75,2020-06-23,Ethiopia
78,2020-06-24,Ethiopia
81,2020-06-25,Ethiopia
89,2020-06-26,Ethiopia
94,2020-06-27,Ethiopia
98,2020-06-28,Ethiopia
103,2020-06-29,Ethiopia
103,2020-06-30,Ethiopia
103,2020-07-01,Ethiopia
103,2020-07-02,Ethiopia
103,2020-07-03,Ethiopia
103,2020-07-04,Ethiopia
103,2020-07-05,Ethiopia
103,2020-07-06,Ethiopia
103,2020-07-07,Ethiopia
120,2020-07-08,Ethiopia
120,2020-07-09,Ethiopia
124,2020-07-10,Ethiopia
124,2020-07-11,Ethiopia
127,2020-07-12,Ethiopia
128,2020-07-13,Ethiopia
139,2020-07-14,Ethiopia
146,2020-07-15,Ethiopia
148,2020-07-16,Ethiopia
150,2020-07-17,Ethiopia
163,2020-07-18,Ethiopia
167,2020-07-19,Ethiopia
170,2020-07-20,Ethiopia
180,2020-07-21,Ethiopia
188,2020-07-22,Ethiopia
197,2020-07-23,Ethiopia
200,2020-07-24,Ethiopia
209,2020-07-25,Ethiopia
223,2020-07-26,Ethiopia
228,2020-07-27,Ethiopia
239,2020-07-28,Ethiopia
253,2020-07-29,Ethiopia
263,2020-07-30,Ethiopia
274,2020-07-31,Ethiopia
284,2020-08-01,Ethiopia
310,2020-08-02,Ethiopia
336,2020-08-03,Ethiopia
343,2020-08-04,Ethiopia
356,2020-08-05,Ethiopia
365,2020-08-06,Ethiopia
380,2020-08-07,Ethiopia
390,2020-08-08,Ethiopia
407,2020-08-09,Ethiopia
420,2020-08-10,Ethiopia
440,2020-08-11,Ethiopia
463,2020-08-12,Ethiopia
479,2020-08-13,Ethiopia
492,2020-08-14,Ethiopia
509,2020-08-15,Ethiopia
528,2020-08-16,Ethiopia
544,2020-08-17,Ethiopia
572,2020-08-18,Ethiopia
600,2020-08-19,Ethiopia
620,2020-08-20,Ethiopia
637,2020-08-21,Ethiopia
662,2020-08-22,Ethiopia
678,2020-08-23,Ethiopia
692,2020-08-24,Ethiopia
709,2020-08-25,Ethiopia
725,2020-08-26,Ethiopia
745,2020-08-27,Ethiopia
758,2020-08-28,Ethiopia
770,2020-08-29,Ethiopia
793,2020-08-30,Ethiopia
809,2020-08-31,Ethiopia
828,2020-09-01,Ethiopia
846,2020-09-02,Ethiopia
856,2020-09-03,Ethiopia
880,2020-09-04,Ethiopia
897,2020-09-05,Ethiopia
918,2020-09-06,Ethiopia
933,2020-09-07,Ethiopia
949,2020-09-08,Ethiopia
966,2020-09-09,Ethiopia
974,2020-09-10,Ethiopia
986,2020-09-11,Ethiopia
996,2020-09-12,Ethiopia
1013,2020-09-13,Ethiopia
1022,2020-09-14,Ethiopia
1035,2020-09-15,Ethiopia
1045,2020-09-16,Ethiopia
1060,2020-09-17,Ethiopia
1072,2020-09-18,Ethiopia
1089,2020-09-19,Ethiopia
1096,2020-09-20,Ethiopia
1108,2020-09-21,Ethiopia
1127,2020-09-22,Ethiopia
1141,2020-09-23,Ethiopia
1148,2020-09-24,Ethiopia
1155,2020-09-25,Ethiopia
1165,2020-09-26,Ethiopia
1170,2020-09-27,Ethiopia
1177,2020-09-28,Ethiopia
1191,2020-09-29,Ethiopia
1198,2020-09-30,Ethiopia
1205,2020-10-01,Ethiopia
1208,2020-10-02,Ethiopia
1214,2020-10-03,Ethiopia
1222,2020-10-04,Ethiopia
1230,2020-10-05,Ethiopia
1238,2020-10-06,Ethiopia
1255,2020-10-07,Ethiopia
1262,2020-10-08,Ethiopia
1271,2020-10-09,Ethiopia
1277,2020-10-10,Ethiopia
1287,2020-10-11,Ethiopia
1301,2020-10-12,Ethiopia
1305,2020-10-13,Ethiopia
1312,2020-10-14,Ethiopia
1325,2020-10-15,Ethiopia
1337,2020-10-16,Ethiopia
1346,2020-10-17,Ethiopia
1352,2020-10-18,Ethiopia
1365,2020-10-19,Ethiopia
1371,2020-10-20,Ethiopia
1384,2020-10-21,Ethiopia
1396,2020-10-22,Ethiopia
1400,2020-10-23,Ethiopia
1419,2020-10-24,Ethiopia
1426,2020-10-25,Ethiopia
1437,2020-10-26,Ethiopia
1445,2020-10-27,Ethiopia
1451,2020-10-28,Ethiopia
1457,2020-10-29,Ethiopia
1464,2020-10-30,Ethiopia
1469,2020-10-31,Ethiopia
1478,2020-11-01,Ethiopia
1489,2020-11-02,Ethiopia
1494,2020-11-03,Ethiopia
1503,2020-11-04,Ethiopia
1508,2020-11-05,Ethiopia
1512,2020-11-06,Ethiopia
1518,2020-11-07,Ethiopia
1523,2020-11-08,Ethiopia
1530,2020-11-09,Ethiopia
1537,2020-11-10,Ethiopia
1545,2020-11-11,Ethiopia
1554,2020-11-12,Ethiopia
1558,2020-11-13,Ethiopia
1565,2020-11-14,Ethiopia
1569,2020-11-15,Ethiopia
1581,2020-11-16,Ethiopia
1588,2020-11-17,Ethiopia
1601,2020-11-18,Ethiopia
1607,2020-11-19,Ethiopia
1620,2020-11-20,Ethiopia
1636,2020-11-21,Ethiopia
1647,2020-11-22,Ethiopia
1651,2020-11-23,Ethiopia
1661,2020-11-24,Ethiopia
1664,2020-11-25,Ethiopia
1672,2020-11-26,Ethiopia
1686,2020-11-27,Ethiopia
1695,2020-11-28,Ethiopia
1700,2020-11-29,Ethiopia
1706,2020-11-30,Ethiopia
1709,2020-12-01,Ethiopia
1715,2020-12-02,Ethiopia
1724,2020-12-03,Ethiopia
1734,2020-12-04,Ethiopia
1745,2020-12-05,Ethiopia
1747,2020-12-06,Ethiopia
1755,2020-12-07,Ethiopia
1766,2020-12-08,Ethiopia
1769,2020-12-09,Ethiopia
1779,2020-12-10,Ethiopia
1791,2020-12-11,Ethiopia
1803,2020-12-12,Ethiopia
1806,2020-12-13,Ethiopia
1809,2020-12-14,Ethiopia
1813,2020-12-15,Ethiopia
1818,2020-12-16,Ethiopia
1831,2020-12-17,Ethiopia
1843,2020-12-18,Ethiopia
1846,2020-12-19,Ethiopia
1853,2020-12-20,Ethiopia
1861,2020-12-21,Ethiopia
1864,2020-12-22,Ethiopia
1870,2020-12-23,Ethiopia
1882,2020-12-24,Ethiopia
1897,2020-12-25,Ethiopia
1901,2020-12-26,Ethiopia
1909,2020-12-27,Ethiopia
1912,2020-12-28,Ethiopia
1913,2020-12-29,Ethiopia
1918,2020-12-30,Ethiopia
1923,2020-12-31,Ethiopia
1937,2021-01-01,Ethiopia
1944,2021-01-02,Ethiopia
1948,2021-01-03,Ethiopia
1950,2021-01-04,Ethiopia
1963,2021-01-05,Ethiopia
1965,2021-01-06,Ethiopia
1966,2021-01-07,Ethiopia
1974,2021-01-08,Ethiopia
1985,2021-01-09,Ethiopia
1994,2021-01-10,Ethiopia
2003,2021-01-11,Ethiopia
2004,2021-01-12,Ethiopia
2006,2021-01-13,Ethiopia
2008,2021-01-14,Ethiopia
2023,2021-01-15,Ethiopia
2029,2021-01-16,Ethiopia
2030,2021-01-17,Ethiopia
2033,2021-01-18,Ethiopia
2037,2021-01-19,Ethiopia
2044,2021-01-20,Ethiopia
2057,2021-01-21,Ethiopia
2060,2021-01-22,Ethiopia
2063,2021-01-23,Ethiopia
2066,2021-01-24,Ethiopia
2071,2021-01-25,Ethiopia
2075,2021-01-26,Ethiopia
2083,2021-01-27,Ethiopia
2085,2021-01-28,Ethiopia
2087,2021-01-29,Ethiopia
2091,2021-01-30,Ethiopia
2093,2021-01-31,Ethiopia
2103,2021-02-01,Ethiopia
2116,2021-02-02,Ethiopia
2122,2021-02-03,Ethiopia
2126,2021-02-04,Ethiopia
2136,2021-02-05,Ethiopia
2145,2021-02-06,Ethiopia
2148,2021-02-07,Ethiopia
2156,2021-02-08,Ethiopia
2158,2021-02-09,Ethiopia
2167,2021-02-10,Ethiopia
2171,2021-02-11,Ethiopia
2177,2021-02-12,Ethiopia
2181,2021-02-13,Ethiopia
2194,2021-02-14,Ethiopia
2209,2021-02-15,Ethiopia
2223,2021-02-16,Ethiopia
2237,2021-02-17,Ethiopia
2249,2021-02-18,Ethiopia
2259,2021-02-19,Ethiopia
2271,2021-02-20,Ethiopia
2279,2021-02-21,Ethiopia
2293,2021-02-22,Ethiopia
2305,2021-02-23,Ethiopia
2316,2021-02-24,Ethiopia
2321,2021-02-25,Ethiopia
2340,2021-02-26,Ethiopia
2354,2021-02-27,Ethiopia
2365,2021-02-28,Ethiopia
2373,2021-03-01,Ethiopia
2386,2021-03-02,Ethiopia
2391,2021-03-03,Ethiopia
2394,2021-03-04,Ethiopia
2404,2021-03-05,Ethiopia
2420,2021-03-06,Ethiopia
2429,2021-03-07,Ethiopia
2442,2021-03-08,Ethiopia
2451,2021-03-09,Ethiopia
2466,2021-03-10,Ethiopia
2483,2021-03-11,Ethiopia
2510,2021-03-12,Ethiopia
2540,2021-03-13,Ethiopia
2550,2021-03-14,Ethiopia
2555,2021-03-15,Ethiopia
2573,2021-03-16,Ethiopia
2592,2021-03-17,Ethiopia
2602,2021-03-18,Ethiopia
2618,2021-03-19,Ethiopia
2647,2021-03-20,Ethiopia
2659,2021-03-21,Ethiopia
2674,2021-03-22,Ethiopia
2693,2021-03-23,Ethiopia
2718,2021-03-24,Ethiopia
2741,2021-03-25,Ethiopia
2769,2021-03-26,Ethiopia
2784,2021-03-27,Ethiopia
2801,2021-03-28,Ethiopia
2825,2021-03-29,Ethiopia
2841,2021-03-30,Ethiopia
2865,2021-03-31,Ethiopia
2890,2021-04-01,Ethiopia
2915,2021-04-02,Ethiopia
2936,2021-04-03,Ethiopia
2963,2021-04-04,Ethiopia
3000,2021-04-05,Ethiopia
3025,2021-04-06,Ethiopia
3058,2021-04-07,Ethiopia
3078,2021-04-08,Ethiopia
3111,2021-04-09,Ethiopia
3146,2021-04-10,Ethiopia
3174,2021-04-11,Ethiopia
3208,2021-04-12,Ethiopia
3230,2021-04-13,Ethiopia
3252,2021-04-14,Ethiopia
3285,2021-04-15,Ethiopia
3300,2021-04-16,Ethiopia
3328,2021-04-17,Ethiopia
3370,2021-04-18,Ethiopia
3392,2021-04-19,Ethiopia
3439,2021-04-20,Ethiopia
3474,2021-04-21,Ethiopia
3496,2021-04-22,Ethiopia
3511,2021-04-23,Ethiopia
3531,2021-04-24,Ethiopia
3551,2021-04-25,Ethiopia
3570,2021-04-26,Ethiopia
3605,2021-04-27,Ethiopia
3639,2021-04-28,Ethiopia
3658,2021-04-29,Ethiopia
3688,2021-04-30,Ethiopia
3709,2021-05-01,Ethiopia
3726,2021-05-02,Ethiopia
3757,2021-05-03,Ethiopia
3772,2021-05-04,Ethiopia
3795,2021-05-05,Ethiopia
3822,2021-05-06,Ethiopia
3840,2021-05-07,Ethiopia
3871,2021-05-08,Ethiopia
3888,2021-05-09,Ethiopia
3897,2021-05-10,Ethiopia
3911,2021-05-11,Ethiopia
3938,2021-05-12,Ethiopia
3951,2021-05-13,Ethiopia
3964,2021-05-14,Ethiopia
3976,2021-05-15,Ethiopia
3996,2021-05-16,Ethiopia
4008,2021-05-17,Ethiopia
4021,2021-05-18,Ethiopia
4038,2021-05-19,Ethiopia
4048,2021-05-20,Ethiopia
4060,2021-05-21,Ethiopia
4068,2021-05-22,Ethiopia
4076,2021-05-23,Ethiopia
4084,2021-05-24,Ethiopia
4093,2021-05-25,Ethiopia
