Deaths,CreationDate,Name
1,2021-01-06,Faroe Islands
1,2021-01-07,Faroe Islands
1,2021-01-08,Faroe Islands
1,2021-01-09,Faroe Islands
1,2021-01-10,Faroe Islands
1,2021-01-11,Faroe Islands
1,2021-01-12,Faroe Islands
1,2021-01-13,Faroe Islands
1,2021-01-14,Faroe Islands
1,2021-01-15,Faroe Islands
1,2021-01-16,Faroe Islands
1,2021-01-17,Faroe Islands
1,2021-01-18,Faroe Islands
1,2021-01-19,Faroe Islands
1,2021-01-20,Faroe Islands
1,2021-01-21,Faroe Islands
1,2021-01-22,Faroe Islands
1,2021-01-23,Faroe Islands
1,2021-01-24,Faroe Islands
1,2021-01-25,Faroe Islands
1,2021-01-26,Faroe Islands
1,2021-01-27,Faroe Islands
1,2021-01-28,Faroe Islands
1,2021-01-29,Faroe Islands
1,2021-01-30,Faroe Islands
1,2021-01-31,Faroe Islands
1,2021-02-01,Faroe Islands
1,2021-02-02,Faroe Islands
1,2021-02-03,Faroe Islands
1,2021-02-04,Faroe Islands
1,2021-02-05,Faroe Islands
1,2021-02-06,Faroe Islands
1,2021-02-07,Faroe Islands
1,2021-02-08,Faroe Islands
1,2021-02-09,Faroe Islands
1,2021-02-10,Faroe Islands
1,2021-02-11,Faroe Islands
1,2021-02-12,Faroe Islands
1,2021-02-13,Faroe Islands
1,2021-02-14,Faroe Islands
1,2021-02-15,Faroe Islands
1,2021-02-16,Faroe Islands
1,2021-02-17,Faroe Islands
1,2021-02-18,Faroe Islands
1,2021-02-19,Faroe Islands
1,2021-02-20,Faroe Islands
1,2021-02-21,Faroe Islands
1,2021-02-22,Faroe Islands
1,2021-02-23,Faroe Islands
1,2021-02-24,Faroe Islands
1,2021-02-25,Faroe Islands
1,2021-02-26,Faroe Islands
1,2021-02-27,Faroe Islands
1,2021-02-28,Faroe Islands
1,2021-03-01,Faroe Islands
1,2021-03-02,Faroe Islands
1,2021-03-03,Faroe Islands
1,2021-03-04,Faroe Islands
1,2021-03-05,Faroe Islands
1,2021-03-06,Faroe Islands
1,2021-03-07,Faroe Islands
1,2021-03-08,Faroe Islands
1,2021-03-09,Faroe Islands
1,2021-03-10,Faroe Islands
1,2021-03-11,Faroe Islands
1,2021-03-12,Faroe Islands
1,2021-03-13,Faroe Islands
1,2021-03-14,Faroe Islands
1,2021-03-15,Faroe Islands
1,2021-03-16,Faroe Islands
1,2021-03-17,Faroe Islands
1,2021-03-18,Faroe Islands
1,2021-03-19,Faroe Islands
1,2021-03-20,Faroe Islands
1,2021-03-21,Faroe Islands
1,2021-03-22,Faroe Islands
1,2021-03-23,Faroe Islands
1,2021-03-24,Faroe Islands
1,2021-03-25,Faroe Islands
1,2021-03-26,Faroe Islands
1,2021-03-27,Faroe Islands
1,2021-03-28,Faroe Islands
1,2021-03-29,Faroe Islands
1,2021-03-30,Faroe Islands
1,2021-03-31,Faroe Islands
1,2021-04-01,Faroe Islands
1,2021-04-02,Faroe Islands
1,2021-04-03,Faroe Islands
1,2021-04-04,Faroe Islands
1,2021-04-05,Faroe Islands
1,2021-04-06,Faroe Islands
1,2021-04-07,Faroe Islands
1,2021-04-08,Faroe Islands
1,2021-04-09,Faroe Islands
1,2021-04-10,Faroe Islands
1,2021-04-11,Faroe Islands
1,2021-04-12,Faroe Islands
1,2021-04-13,Faroe Islands
1,2021-04-14,Faroe Islands
1,2021-04-15,Faroe Islands
1,2021-04-16,Faroe Islands
1,2021-04-17,Faroe Islands
1,2021-04-18,Faroe Islands
1,2021-04-19,Faroe Islands
1,2021-04-20,Faroe Islands
1,2021-04-21,Faroe Islands
1,2021-04-22,Faroe Islands
1,2021-04-23,Faroe Islands
1,2021-04-24,Faroe Islands
1,2021-04-25,Faroe Islands
1,2021-04-26,Faroe Islands
1,2021-04-27,Faroe Islands
1,2021-04-28,Faroe Islands
1,2021-04-29,Faroe Islands
1,2021-04-30,Faroe Islands
1,2021-05-01,Faroe Islands
1,2021-05-02,Faroe Islands
1,2021-05-03,Faroe Islands
1,2021-05-04,Faroe Islands
1,2021-05-05,Faroe Islands
1,2021-05-06,Faroe Islands
1,2021-05-07,Faroe Islands
1,2021-05-08,Faroe Islands
1,2021-05-09,Faroe Islands
1,2021-05-10,Faroe Islands
1,2021-05-11,Faroe Islands
1,2021-05-12,Faroe Islands
1,2021-05-13,Faroe Islands
1,2021-05-14,Faroe Islands
1,2021-05-15,Faroe Islands
1,2021-05-16,Faroe Islands
1,2021-05-17,Faroe Islands
1,2021-05-18,Faroe Islands
1,2021-05-19,Faroe Islands
1,2021-05-20,Faroe Islands
1,2021-05-21,Faroe Islands
1,2021-05-22,Faroe Islands
1,2021-05-23,Faroe Islands
1,2021-05-24,Faroe Islands
1,2021-05-25,Faroe Islands
