Deaths,CreationDate,Name
1,2020-03-21,Finland
1,2020-03-22,Finland
1,2020-03-23,Finland
1,2020-03-24,Finland
3,2020-03-25,Finland
5,2020-03-26,Finland
7,2020-03-27,Finland
9,2020-03-28,Finland
11,2020-03-29,Finland
13,2020-03-30,Finland
17,2020-03-31,Finland
17,2020-04-01,Finland
19,2020-04-02,Finland
20,2020-04-03,Finland
25,2020-04-04,Finland
28,2020-04-05,Finland
27,2020-04-06,Finland
34,2020-04-07,Finland
40,2020-04-08,Finland
42,2020-04-09,Finland
48,2020-04-10,Finland
49,2020-04-11,Finland
56,2020-04-12,Finland
59,2020-04-13,Finland
64,2020-04-14,Finland
72,2020-04-15,Finland
75,2020-04-16,Finland
82,2020-04-17,Finland
90,2020-04-18,Finland
94,2020-04-19,Finland
98,2020-04-20,Finland
141,2020-04-21,Finland
149,2020-04-22,Finland
172,2020-04-23,Finland
177,2020-04-24,Finland
186,2020-04-25,Finland
190,2020-04-26,Finland
193,2020-04-27,Finland
199,2020-04-28,Finland
206,2020-04-29,Finland
211,2020-04-30,Finland
218,2020-05-01,Finland
220,2020-05-02,Finland
230,2020-05-03,Finland
240,2020-05-04,Finland
246,2020-05-05,Finland
252,2020-05-06,Finland
255,2020-05-07,Finland
260,2020-05-08,Finland
265,2020-05-09,Finland
267,2020-05-10,Finland
271,2020-05-11,Finland
275,2020-05-12,Finland
284,2020-05-13,Finland
287,2020-05-14,Finland
293,2020-05-15,Finland
297,2020-05-16,Finland
298,2020-05-17,Finland
300,2020-05-18,Finland
301,2020-05-19,Finland
304,2020-05-20,Finland
306,2020-05-21,Finland
306,2020-05-22,Finland
306,2020-05-23,Finland
307,2020-05-24,Finland
308,2020-05-25,Finland
312,2020-05-26,Finland
313,2020-05-27,Finland
313,2020-05-28,Finland
314,2020-05-29,Finland
316,2020-05-30,Finland
320,2020-05-31,Finland
318,2020-06-01,Finland
320,2020-06-02,Finland
321,2020-06-03,Finland
322,2020-06-04,Finland
322,2020-06-05,Finland
322,2020-06-06,Finland
323,2020-06-07,Finland
323,2020-06-08,Finland
324,2020-06-09,Finland
324,2020-06-10,Finland
325,2020-06-11,Finland
325,2020-06-12,Finland
325,2020-06-13,Finland
326,2020-06-14,Finland
326,2020-06-15,Finland
326,2020-06-16,Finland
326,2020-06-17,Finland
326,2020-06-18,Finland
326,2020-06-19,Finland
326,2020-06-20,Finland
326,2020-06-21,Finland
327,2020-06-22,Finland
327,2020-06-23,Finland
327,2020-06-24,Finland
327,2020-06-25,Finland
328,2020-06-26,Finland
328,2020-06-27,Finland
328,2020-06-28,Finland
328,2020-06-29,Finland
328,2020-06-30,Finland
328,2020-07-01,Finland
328,2020-07-02,Finland
329,2020-07-03,Finland
329,2020-07-04,Finland
329,2020-07-05,Finland
329,2020-07-06,Finland
329,2020-07-07,Finland
329,2020-07-08,Finland
329,2020-07-09,Finland
329,2020-07-10,Finland
329,2020-07-11,Finland
329,2020-07-12,Finland
329,2020-07-13,Finland
329,2020-07-14,Finland
328,2020-07-15,Finland
328,2020-07-16,Finland
328,2020-07-17,Finland
328,2020-07-18,Finland
328,2020-07-19,Finland
328,2020-07-20,Finland
328,2020-07-21,Finland
328,2020-07-22,Finland
328,2020-07-23,Finland
329,2020-07-24,Finland
329,2020-07-25,Finland
329,2020-07-26,Finland
329,2020-07-27,Finland
329,2020-07-28,Finland
329,2020-07-29,Finland
329,2020-07-30,Finland
329,2020-07-31,Finland
329,2020-08-01,Finland
329,2020-08-02,Finland
329,2020-08-03,Finland
331,2020-08-04,Finland
331,2020-08-05,Finland
331,2020-08-06,Finland
331,2020-08-07,Finland
331,2020-08-08,Finland
331,2020-08-09,Finland
333,2020-08-10,Finland
333,2020-08-11,Finland
333,2020-08-12,Finland
333,2020-08-13,Finland
333,2020-08-14,Finland
333,2020-08-15,Finland
333,2020-08-16,Finland
334,2020-08-17,Finland
334,2020-08-18,Finland
334,2020-08-19,Finland
334,2020-08-20,Finland
334,2020-08-21,Finland
334,2020-08-22,Finland
334,2020-08-23,Finland
335,2020-08-24,Finland
335,2020-08-25,Finland
335,2020-08-26,Finland
335,2020-08-27,Finland
335,2020-08-28,Finland
335,2020-08-29,Finland
335,2020-08-30,Finland
336,2020-08-31,Finland
336,2020-09-01,Finland
336,2020-09-02,Finland
336,2020-09-03,Finland
336,2020-09-04,Finland
336,2020-09-05,Finland
336,2020-09-06,Finland
336,2020-09-07,Finland
336,2020-09-08,Finland
337,2020-09-09,Finland
337,2020-09-10,Finland
337,2020-09-11,Finland
337,2020-09-12,Finland
337,2020-09-13,Finland
337,2020-09-14,Finland
339,2020-09-15,Finland
339,2020-09-16,Finland
339,2020-09-17,Finland
339,2020-09-18,Finland
339,2020-09-19,Finland
339,2020-09-20,Finland
341,2020-09-21,Finland
341,2020-09-22,Finland
343,2020-09-23,Finland
343,2020-09-24,Finland
343,2020-09-25,Finland
343,2020-09-26,Finland
343,2020-09-27,Finland
345,2020-09-28,Finland
