Deaths,CreationDate,Name
1,2020-02-15,France
1,2020-02-16,France
1,2020-02-17,France
1,2020-02-18,France
1,2020-02-19,France
1,2020-02-20,France
1,2020-02-21,France
1,2020-02-22,France
1,2020-02-23,France
1,2020-02-24,France
1,2020-02-25,France
2,2020-02-26,France
2,2020-02-27,France
2,2020-02-28,France
2,2020-02-29,France
2,2020-03-01,France
3,2020-03-02,France
4,2020-03-03,France
4,2020-03-04,France
7,2020-03-05,France
9,2020-03-06,France
16,2020-03-07,France
19,2020-03-08,France
25,2020-03-09,France
33,2020-03-10,France
48,2020-03-11,France
48,2020-03-12,France
79,2020-03-13,France
91,2020-03-14,France
91,2020-03-15,France
148,2020-03-16,France
148,2020-03-17,France
148,2020-03-18,France
243,2020-03-19,France
450,2020-03-20,France
562,2020-03-21,France
674,2020-03-22,France
860,2020-03-23,France
1100,2020-03-24,France
1331,2020-03-25,France
1695,2020-03-26,France
1994,2020-03-27,France
2311,2020-03-28,France
2603,2020-03-29,France
3020,2020-03-30,France
3517,2020-03-31,France
4767,2020-04-01,France
5376,2020-04-02,France
6496,2020-04-03,France
7548,2020-04-04,France
8066,2020-04-05,France
8899,2020-04-06,France
10315,2020-04-07,France
10856,2020-04-08,France
12196,2020-04-09,France
13181,2020-04-10,France
13816,2020-04-11,France
14377,2020-04-12,France
14950,2020-04-13,France
15693,2020-04-14,France
17129,2020-04-15,France
17882,2020-04-16,France
18642,2020-04-17,France
19283,2020-04-18,France
19668,2020-04-19,France
20214,2020-04-20,France
20736,2020-04-21,France
21280,2020-04-22,France
21796,2020-04-23,France
22185,2020-04-24,France
22554,2020-04-25,France
22796,2020-04-26,France
23233,2020-04-27,France
23600,2020-04-28,France
24026,2020-04-29,France
24315,2020-04-30,France
24532,2020-05-01,France
24729,2020-05-02,France
24862,2020-05-03,France
25168,2020-05-04,France
25498,2020-05-05,France
25772,2020-05-06,France
25950,2020-05-07,France
26192,2020-05-08,France
26271,2020-05-09,France
26341,2020-05-10,France
26604,2020-05-11,France
26951,2020-05-12,France
27034,2020-05-13,France
27383,2020-05-14,France
27485,2020-05-15,France
27581,2020-05-16,France
28064,2020-05-17,France
28193,2020-05-18,France
27976,2020-05-19,France
28085,2020-05-20,France
28167,2020-05-21,France
28315,2020-05-22,France
28401,2020-05-23,France
28319,2020-05-24,France
28408,2020-05-25,France
28545,2020-05-26,France
28546,2020-05-27,France
28612,2020-05-28,France
28663,2020-05-29,France
28720,2020-05-30,France
28751,2020-05-31,France
28780,2020-06-01,France
28886,2020-06-02,France
28967,2020-06-03,France
29011,2020-06-04,France
29056,2020-06-05,France
29087,2020-06-06,France
29100,2020-06-07,France
29154,2020-06-08,France
29239,2020-06-09,France
29260,2020-06-10,France
29287,2020-06-11,France
29315,2020-06-12,France
29339,2020-06-13,France
29347,2020-06-14,France
29375,2020-06-15,France
29487,2020-06-16,France
29512,2020-06-17,France
29540,2020-06-18,France
29554,2020-06-19,France
29570,2020-06-20,France
29575,2020-06-21,France
29597,2020-06-22,France
29651,2020-06-23,France
29662,2020-06-24,France
29679,2020-06-25,France
29704,2020-06-26,France
29704,2020-06-27,France
29704,2020-06-28,France
29736,2020-06-29,France
29763,2020-06-30,France
29781,2020-07-01,France
29794,2020-07-02,France
29812,2020-07-03,France
29812,2020-07-04,France
29812,2020-07-05,France
29838,2020-07-06,France
29847,2020-07-07,France
29877,2020-07-08,France
29890,2020-07-09,France
29914,2020-07-10,France
29914,2020-07-11,France
29914,2020-07-12,France
29934,2020-07-13,France
29934,2020-07-14,France
30020,2020-07-15,France
30036,2020-07-16,France
30049,2020-07-17,France
30049,2020-07-18,France
30049,2020-07-19,France
30071,2020-07-20,France
30057,2020-07-21,France
30063,2020-07-22,France
30073,2020-07-23,France
30082,2020-07-24,France
30082,2020-07-25,France
30082,2020-07-26,France
30098,2020-07-27,France
30110,2020-07-28,France
30123,2020-07-29,France
30139,2020-07-30,France
30150,2020-07-31,France
30150,2020-08-01,France
30150,2020-08-02,France
30179,2020-08-03,France
30180,2020-08-04,France
30188,2020-08-05,France
30192,2020-08-06,France
30204,2020-08-07,France
30204,2020-08-08,France
30204,2020-08-09,France
30218,2020-08-10,France
30231,2020-08-11,France
30248,2020-08-12,France
30264,2020-08-13,France
30281,2020-08-14,France
30282,2020-08-15,France
30283,2020-08-16,France
30302,2020-08-17,France
30323,2020-08-18,France
30340,2020-08-19,France
30351,2020-08-20,France
30374,2020-08-21,France
30382,2020-08-22,France
30382,2020-08-23,France
30397,2020-08-24,France
30416,2020-08-25,France
30416,2020-08-26,France
30448,2020-08-27,France
30465,2020-08-28,France
30471,2020-08-29,France
30474,2020-08-30,France
30501,2020-08-31,France
30525,2020-09-01,France
30547,2020-09-02,France
30564,2020-09-03,France
30542,2020-09-04,France
30553,2020-09-05,France
30555,2020-09-06,France
30578,2020-09-07,France
30616,2020-09-08,France
30643,2020-09-09,France
30661,2020-09-10,France
30740,2020-09-11,France
30757,2020-09-12,France
30761,2020-09-13,France
30795,2020-09-14,France
30844,2020-09-15,France
30889,2020-09-16,France
30936,2020-09-17,France
31090,2020-09-18,France
31115,2020-09-19,France
31126,2020-09-20,France
31179,2020-09-21,France
31256,2020-09-22,France
31283,2020-09-23,France
31333,2020-09-24,France
31483,2020-09-25,France
31522,2020-09-26,France
31549,2020-09-27,France
31630,2020-09-28,France
31701,2020-09-29,France
31761,2020-09-30,France
31817,2020-10-01,France
31952,2020-10-02,France
31977,2020-10-03,France
32009,2020-10-04,France
32078,2020-10-05,France
32143,2020-10-06,France
32222,2020-10-07,France
32295,2020-10-08,France
32404,2020-10-09,France
32439,2020-10-10,France
32485,2020-10-11,France
32580,2020-10-12,France
32687,2020-10-13,France
32791,2020-10-14,France
32876,2020-10-15,France
33054,2020-10-16,France
33127,2020-10-17,France
33212,2020-10-18,France
33358,2020-10-19,France
33620,2020-10-20,France
33782,2020-10-21,France
33936,2020-10-22,France
34234,2020-10-23,France
34370,2020-10-24,France
