Deaths,CreationDate,Name
1,2020-03-23,Gambia
1,2020-03-24,Gambia
1,2020-03-25,Gambia
1,2020-03-26,Gambia
1,2020-03-27,Gambia
1,2020-03-28,Gambia
1,2020-03-29,Gambia
1,2020-03-30,Gambia
1,2020-03-31,Gambia
1,2020-04-01,Gambia
1,2020-04-02,Gambia
1,2020-04-03,Gambia
1,2020-04-04,Gambia
1,2020-04-05,Gambia
1,2020-04-06,Gambia
1,2020-04-07,Gambia
1,2020-04-08,Gambia
1,2020-04-09,Gambia
1,2020-04-10,Gambia
1,2020-04-11,Gambia
1,2020-04-12,Gambia
1,2020-04-13,Gambia
1,2020-04-14,Gambia
1,2020-04-15,Gambia
1,2020-04-16,Gambia
1,2020-04-17,Gambia
1,2020-04-18,Gambia
1,2020-04-19,Gambia
1,2020-04-20,Gambia
1,2020-04-21,Gambia
1,2020-04-22,Gambia
1,2020-04-23,Gambia
1,2020-04-24,Gambia
1,2020-04-25,Gambia
1,2020-04-26,Gambia
1,2020-04-27,Gambia
1,2020-04-28,Gambia
1,2020-04-29,Gambia
1,2020-04-30,Gambia
1,2020-05-01,Gambia
1,2020-05-02,Gambia
1,2020-05-03,Gambia
1,2020-05-04,Gambia
1,2020-05-05,Gambia
1,2020-05-06,Gambia
1,2020-05-07,Gambia
1,2020-05-08,Gambia
1,2020-05-09,Gambia
1,2020-05-10,Gambia
1,2020-05-11,Gambia
1,2020-05-12,Gambia
1,2020-05-13,Gambia
1,2020-05-14,Gambia
1,2020-05-15,Gambia
1,2020-05-16,Gambia
1,2020-05-17,Gambia
1,2020-05-18,Gambia
1,2020-05-19,Gambia
1,2020-05-20,Gambia
1,2020-05-21,Gambia
1,2020-05-22,Gambia
1,2020-05-23,Gambia
1,2020-05-24,Gambia
1,2020-05-25,Gambia
1,2020-05-26,Gambia
1,2020-05-27,Gambia
1,2020-05-28,Gambia
1,2020-05-29,Gambia
1,2020-05-30,Gambia
1,2020-05-31,Gambia
1,2020-06-01,Gambia
1,2020-06-02,Gambia
1,2020-06-03,Gambia
1,2020-06-04,Gambia
1,2020-06-05,Gambia
1,2020-06-06,Gambia
1,2020-06-07,Gambia
1,2020-06-08,Gambia
1,2020-06-09,Gambia
1,2020-06-10,Gambia
1,2020-06-11,Gambia
1,2020-06-12,Gambia
1,2020-06-13,Gambia
1,2020-06-14,Gambia
1,2020-06-15,Gambia
1,2020-06-16,Gambia
1,2020-06-17,Gambia
1,2020-06-18,Gambia
1,2020-06-19,Gambia
2,2020-06-20,Gambia
2,2020-06-21,Gambia
2,2020-06-22,Gambia
2,2020-06-23,Gambia
2,2020-06-24,Gambia
2,2020-06-25,Gambia
2,2020-06-26,Gambia
2,2020-06-27,Gambia
2,2020-06-28,Gambia
2,2020-06-29,Gambia
2,2020-06-30,Gambia
2,2020-07-01,Gambia
2,2020-07-02,Gambia
2,2020-07-03,Gambia
2,2020-07-04,Gambia
2,2020-07-05,Gambia
3,2020-07-06,Gambia
3,2020-07-07,Gambia
3,2020-07-08,Gambia
3,2020-07-09,Gambia
3,2020-07-10,Gambia
3,2020-07-11,Gambia
3,2020-07-12,Gambia
3,2020-07-13,Gambia
3,2020-07-14,Gambia
3,2020-07-15,Gambia
3,2020-07-16,Gambia
3,2020-07-17,Gambia
4,2020-07-18,Gambia
4,2020-07-19,Gambia
4,2020-07-20,Gambia
4,2020-07-21,Gambia
5,2020-07-22,Gambia
5,2020-07-23,Gambia
6,2020-07-24,Gambia
6,2020-07-25,Gambia
6,2020-07-26,Gambia
8,2020-07-27,Gambia
8,2020-07-28,Gambia
8,2020-07-29,Gambia
8,2020-07-30,Gambia
9,2020-07-31,Gambia
9,2020-08-01,Gambia
9,2020-08-02,Gambia
9,2020-08-03,Gambia
14,2020-08-04,Gambia
16,2020-08-05,Gambia
16,2020-08-06,Gambia
19,2020-08-07,Gambia
19,2020-08-08,Gambia
23,2020-08-09,Gambia
23,2020-08-10,Gambia
32,2020-08-11,Gambia
33,2020-08-12,Gambia
43,2020-08-13,Gambia
50,2020-08-14,Gambia
54,2020-08-15,Gambia
63,2020-08-16,Gambia
63,2020-08-17,Gambia
63,2020-08-18,Gambia
77,2020-08-19,Gambia
81,2020-08-20,Gambia
84,2020-08-21,Gambia
84,2020-08-22,Gambia
87,2020-08-23,Gambia
87,2020-08-24,Gambia
90,2020-08-25,Gambia
93,2020-08-26,Gambia
93,2020-08-27,Gambia
96,2020-08-28,Gambia
96,2020-08-29,Gambia
96,2020-08-30,Gambia
96,2020-08-31,Gambia
96,2020-09-01,Gambia
97,2020-09-02,Gambia
99,2020-09-03,Gambia
99,2020-09-04,Gambia
99,2020-09-05,Gambia
99,2020-09-06,Gambia
99,2020-09-07,Gambia
99,2020-09-08,Gambia
99,2020-09-09,Gambia
100,2020-09-10,Gambia
100,2020-09-11,Gambia
102,2020-09-12,Gambia
103,2020-09-13,Gambia
103,2020-09-14,Gambia
105,2020-09-15,Gambia
107,2020-09-16,Gambia
107,2020-09-17,Gambia
108,2020-09-18,Gambia
108,2020-09-19,Gambia
108,2020-09-20,Gambia
108,2020-09-21,Gambia
110,2020-09-22,Gambia
110,2020-09-23,Gambia
110,2020-09-24,Gambia
110,2020-09-25,Gambia
110,2020-09-26,Gambia
111,2020-09-27,Gambia
111,2020-09-28,Gambia
112,2020-09-29,Gambia
112,2020-09-30,Gambia
113,2020-10-01,Gambia
115,2020-10-02,Gambia
115,2020-10-03,Gambia
