Deaths,CreationDate,Name
1,2020-04-04,Georgia
2,2020-04-05,Georgia
2,2020-04-06,Georgia
3,2020-04-07,Georgia
3,2020-04-08,Georgia
3,2020-04-09,Georgia
3,2020-04-10,Georgia
3,2020-04-11,Georgia
3,2020-04-12,Georgia
3,2020-04-13,Georgia
3,2020-04-14,Georgia
3,2020-04-15,Georgia
3,2020-04-16,Georgia
3,2020-04-17,Georgia
4,2020-04-18,Georgia
4,2020-04-19,Georgia
4,2020-04-20,Georgia
4,2020-04-21,Georgia
5,2020-04-22,Georgia
5,2020-04-23,Georgia
5,2020-04-24,Georgia
5,2020-04-25,Georgia
6,2020-04-26,Georgia
6,2020-04-27,Georgia
6,2020-04-28,Georgia
6,2020-04-29,Georgia
6,2020-04-30,Georgia
7,2020-05-01,Georgia
8,2020-05-02,Georgia
9,2020-05-03,Georgia
9,2020-05-04,Georgia
9,2020-05-05,Georgia
9,2020-05-06,Georgia
9,2020-05-07,Georgia
10,2020-05-08,Georgia
10,2020-05-09,Georgia
10,2020-05-10,Georgia
11,2020-05-11,Georgia
11,2020-05-12,Georgia
11,2020-05-13,Georgia
12,2020-05-14,Georgia
12,2020-05-15,Georgia
12,2020-05-16,Georgia
12,2020-05-17,Georgia
12,2020-05-18,Georgia
12,2020-05-19,Georgia
12,2020-05-20,Georgia
12,2020-05-21,Georgia
12,2020-05-22,Georgia
12,2020-05-23,Georgia
12,2020-05-24,Georgia
12,2020-05-25,Georgia
12,2020-05-26,Georgia
12,2020-05-27,Georgia
12,2020-05-28,Georgia
12,2020-05-29,Georgia
12,2020-05-30,Georgia
12,2020-05-31,Georgia
12,2020-06-01,Georgia
13,2020-06-02,Georgia
13,2020-06-03,Georgia
13,2020-06-04,Georgia
13,2020-06-05,Georgia
13,2020-06-06,Georgia
13,2020-06-07,Georgia
13,2020-06-08,Georgia
13,2020-06-09,Georgia
13,2020-06-10,Georgia
13,2020-06-11,Georgia
13,2020-06-12,Georgia
14,2020-06-13,Georgia
14,2020-06-14,Georgia
14,2020-06-15,Georgia
14,2020-06-16,Georgia
14,2020-06-17,Georgia
14,2020-06-18,Georgia
14,2020-06-19,Georgia
14,2020-06-20,Georgia
14,2020-06-21,Georgia
14,2020-06-22,Georgia
14,2020-06-23,Georgia
14,2020-06-24,Georgia
14,2020-06-25,Georgia
14,2020-06-26,Georgia
14,2020-06-27,Georgia
15,2020-06-28,Georgia
15,2020-06-29,Georgia
15,2020-06-30,Georgia
15,2020-07-01,Georgia
15,2020-07-02,Georgia
15,2020-07-03,Georgia
15,2020-07-04,Georgia
15,2020-07-05,Georgia
15,2020-07-06,Georgia
15,2020-07-07,Georgia
15,2020-07-08,Georgia
15,2020-07-09,Georgia
15,2020-07-10,Georgia
15,2020-07-11,Georgia
15,2020-07-12,Georgia
15,2020-07-13,Georgia
15,2020-07-14,Georgia
15,2020-07-15,Georgia
15,2020-07-16,Georgia
15,2020-07-17,Georgia
15,2020-07-18,Georgia
15,2020-07-19,Georgia
16,2020-07-20,Georgia
16,2020-07-21,Georgia
16,2020-07-22,Georgia
16,2020-07-23,Georgia
16,2020-07-24,Georgia
16,2020-07-25,Georgia
16,2020-07-26,Georgia
16,2020-07-27,Georgia
16,2020-07-28,Georgia
17,2020-07-29,Georgia
17,2020-07-30,Georgia
17,2020-07-31,Georgia
17,2020-08-01,Georgia
17,2020-08-02,Georgia
17,2020-08-03,Georgia
17,2020-08-04,Georgia
17,2020-08-05,Georgia
17,2020-08-06,Georgia
17,2020-08-07,Georgia
17,2020-08-08,Georgia
17,2020-08-09,Georgia
17,2020-08-10,Georgia
17,2020-08-11,Georgia
17,2020-08-12,Georgia
17,2020-08-13,Georgia
17,2020-08-14,Georgia
17,2020-08-15,Georgia
17,2020-08-16,Georgia
17,2020-08-17,Georgia
17,2020-08-18,Georgia
17,2020-08-19,Georgia
17,2020-08-20,Georgia
17,2020-08-21,Georgia
17,2020-08-22,Georgia
17,2020-08-23,Georgia
18,2020-08-24,Georgia
19,2020-08-25,Georgia
19,2020-08-26,Georgia
19,2020-08-27,Georgia
19,2020-08-28,Georgia
19,2020-08-29,Georgia
19,2020-08-30,Georgia
19,2020-08-31,Georgia
19,2020-09-01,Georgia
19,2020-09-02,Georgia
19,2020-09-03,Georgia
19,2020-09-04,Georgia
19,2020-09-05,Georgia
19,2020-09-06,Georgia
19,2020-09-07,Georgia
19,2020-09-08,Georgia
19,2020-09-09,Georgia
19,2020-09-10,Georgia
19,2020-09-11,Georgia
19,2020-09-12,Georgia
19,2020-09-13,Georgia
19,2020-09-14,Georgia
19,2020-09-15,Georgia
19,2020-09-16,Georgia
19,2020-09-17,Georgia
19,2020-09-18,Georgia
19,2020-09-19,Georgia
19,2020-09-20,Georgia
20,2020-09-21,Georgia
23,2020-09-22,Georgia
25,2020-09-23,Georgia
26,2020-09-24,Georgia
27,2020-09-25,Georgia
28,2020-09-26,Georgia
28,2020-09-27,Georgia
32,2020-09-28,Georgia
36,2020-09-29,Georgia
39,2020-09-30,Georgia
41,2020-10-01,Georgia
46,2020-10-02,Georgia
48,2020-10-03,Georgia
50,2020-10-04,Georgia
54,2020-10-05,Georgia
58,2020-10-06,Georgia
63,2020-10-07,Georgia
66,2020-10-08,Georgia
72,2020-10-09,Georgia
78,2020-10-10,Georgia
85,2020-10-11,Georgia
93,2020-10-12,Georgia
102,2020-10-13,Georgia
109,2020-10-14,Georgia
113,2020-10-15,Georgia
124,2020-10-16,Georgia
128,2020-10-17,Georgia
136,2020-10-18,Georgia
143,2020-10-19,Georgia
158,2020-10-20,Georgia
172,2020-10-21,Georgia
178,2020-10-22,Georgia
183,2020-10-23,Georgia
193,2020-10-24,Georgia
201,2020-10-25,Georgia
215,2020-10-26,Georgia
238,2020-10-27,Georgia
253,2020-10-28,Georgia
273,2020-10-29,Georgia
285,2020-10-30,Georgia
307,2020-10-31,Georgia
335,2020-11-01,Georgia
342,2020-11-02,Georgia
362,2020-11-03,Georgia
381,2020-11-04,Georgia
401,2020-11-05,Georgia
423,2020-11-06,Georgia
441,2020-11-07,Georgia
475,2020-11-08,Georgia
499,2020-11-09,Georgia
521,2020-11-10,Georgia
566,2020-11-11,Georgia
599,2020-11-12,Georgia
636,2020-11-13,Georgia
669,2020-11-14,Georgia
703,2020-11-15,Georgia
733,2020-11-16,Georgia
778,2020-11-17,Georgia
815,2020-11-18,Georgia
853,2020-11-19,Georgia
894,2020-11-20,Georgia
927,2020-11-21,Georgia
976,2020-11-22,Georgia
1012,2020-11-23,Georgia
1051,2020-11-24,Georgia
1085,2020-11-25,Georgia
1124,2020-11-26,Georgia
1161,2020-11-27,Georgia
1195,2020-11-28,Georgia
1230,2020-11-29,Georgia
1267,2020-11-30,Georgia
1303,2020-12-01,Georgia
1342,2020-12-02,Georgia
1387,2020-12-03,Georgia
1425,2020-12-04,Georgia
1462,2020-12-05,Georgia
1504,2020-12-06,Georgia
1540,2020-12-07,Georgia
1576,2020-12-08,Georgia
1614,2020-12-09,Georgia
1657,2020-12-10,Georgia
1694,2020-12-11,Georgia
1744,2020-12-12,Georgia
1790,2020-12-13,Georgia
1839,2020-12-14,Georgia
1883,2020-12-15,Georgia
1922,2020-12-16,Georgia
1953,2020-12-17,Georgia
2002,2020-12-18,Georgia
2055,2020-12-19,Georgia
2094,2020-12-20,Georgia
2140,2020-12-21,Georgia
2182,2020-12-22,Georgia
2233,2020-12-23,Georgia
2276,2020-12-24,Georgia
2313,2020-12-25,Georgia
2352,2020-12-26,Georgia
2377,2020-12-27,Georgia
2418,2020-12-28,Georgia
2443,2020-12-29,Georgia
2481,2020-12-30,Georgia
2505,2020-12-31,Georgia
2528,2021-01-01,Georgia
2572,2021-01-02,Georgia
2603,2021-01-03,Georgia
2628,2021-01-04,Georgia
2646,2021-01-05,Georgia
2666,2021-01-06,Georgia
2694,2021-01-07,Georgia
2728,2021-01-08,Georgia
2750,2021-01-09,Georgia
2773,2021-01-10,Georgia
2796,2021-01-11,Georgia
2820,2021-01-12,Georgia
2846,2021-01-13,Georgia
2867,2021-01-14,Georgia
2893,2021-01-15,Georgia
2916,2021-01-16,Georgia
2933,2021-01-17,Georgia
2958,2021-01-18,Georgia
2973,2021-01-19,Georgia
2987,2021-01-20,Georgia
2998,2021-01-21,Georgia
3022,2021-01-22,Georgia
3038,2021-01-23,Georgia
3055,2021-01-24,Georgia
3071,2021-01-25,Georgia
3096,2021-01-26,Georgia
3108,2021-01-27,Georgia
3127,2021-01-28,Georgia
3148,2021-01-29,Georgia
3159,2021-01-30,Georgia
3178,2021-01-31,Georgia
3194,2021-02-01,Georgia
3208,2021-02-02,Georgia
3221,2021-02-03,Georgia
3240,2021-02-04,Georgia
3258,2021-02-05,Georgia
3269,2021-02-06,Georgia
3283,2021-02-07,Georgia
3298,2021-02-08,Georgia
3306,2021-02-09,Georgia
3311,2021-02-10,Georgia
3321,2021-02-11,Georgia
3336,2021-02-12,Georgia
3343,2021-02-13,Georgia
3352,2021-02-14,Georgia
3363,2021-02-15,Georgia
3377,2021-02-16,Georgia
3390,2021-02-17,Georgia
3399,2021-02-18,Georgia
3406,2021-02-19,Georgia
3425,2021-02-20,Georgia
3435,2021-02-21,Georgia
3447,2021-02-22,Georgia
3457,2021-02-23,Georgia
3463,2021-02-24,Georgia
3475,2021-02-25,Georgia
3485,2021-02-26,Georgia
3499,2021-02-27,Georgia
3510,2021-02-28,Georgia
3520,2021-03-01,Georgia
3532,2021-03-02,Georgia
3541,2021-03-03,Georgia
3553,2021-03-04,Georgia
3563,2021-03-05,Georgia
3567,2021-03-06,Georgia
3576,2021-03-07,Georgia
3591,2021-03-08,Georgia
3601,2021-03-09,Georgia
3613,2021-03-10,Georgia
3622,2021-03-11,Georgia
3634,2021-03-12,Georgia
3643,2021-03-13,Georgia
3648,2021-03-14,Georgia
3650,2021-03-15,Georgia
3658,2021-03-16,Georgia
3665,2021-03-17,Georgia
3674,2021-03-18,Georgia
3683,2021-03-19,Georgia
3691,2021-03-20,Georgia
3700,2021-03-21,Georgia
3710,2021-03-22,Georgia
3714,2021-03-23,Georgia
3722,2021-03-24,Georgia
3732,2021-03-25,Georgia
3738,2021-03-26,Georgia
3746,2021-03-27,Georgia
3751,2021-03-28,Georgia
3765,2021-03-29,Georgia
3773,2021-03-30,Georgia
3778,2021-03-31,Georgia
3785,2021-04-01,Georgia
3798,2021-04-02,Georgia
3804,2021-04-03,Georgia
3811,2021-04-04,Georgia
3822,2021-04-05,Georgia
3832,2021-04-06,Georgia
3840,2021-04-07,Georgia
3849,2021-04-08,Georgia
3858,2021-04-09,Georgia
3869,2021-04-10,Georgia
3877,2021-04-11,Georgia
3883,2021-04-12,Georgia
3894,2021-04-13,Georgia
3901,2021-04-14,Georgia
3908,2021-04-15,Georgia
3916,2021-04-16,Georgia
3925,2021-04-17,Georgia
3939,2021-04-18,Georgia
3949,2021-04-19,Georgia
3959,2021-04-20,Georgia
3971,2021-04-21,Georgia
3981,2021-04-22,Georgia
3992,2021-04-23,Georgia
4007,2021-04-24,Georgia
4025,2021-04-25,Georgia
4043,2021-04-26,Georgia
4060,2021-04-27,Georgia
4077,2021-04-28,Georgia
4095,2021-04-29,Georgia
4110,2021-04-30,Georgia
4130,2021-05-01,Georgia
4151,2021-05-02,Georgia
4163,2021-05-03,Georgia
4183,2021-05-04,Georgia
4207,2021-05-05,Georgia
4227,2021-05-06,Georgia
4245,2021-05-07,Georgia
4263,2021-05-08,Georgia
4281,2021-05-09,Georgia
4305,2021-05-10,Georgia
4336,2021-05-11,Georgia
4363,2021-05-12,Georgia
4379,2021-05-13,Georgia
4397,2021-05-14,Georgia
4426,2021-05-15,Georgia
4442,2021-05-16,Georgia
4469,2021-05-17,Georgia
4499,2021-05-18,Georgia
4519,2021-05-19,Georgia
4540,2021-05-20,Georgia
4569,2021-05-21,Georgia
4602,2021-05-22,Georgia
4622,2021-05-23,Georgia
4639,2021-05-24,Georgia
4654,2021-05-25,Georgia
