Deaths,CreationDate,Name
2,2020-03-09,Germany
2,2020-03-10,Germany
3,2020-03-11,Germany
3,2020-03-12,Germany
7,2020-03-13,Germany
9,2020-03-14,Germany
11,2020-03-15,Germany
17,2020-03-16,Germany
24,2020-03-17,Germany
28,2020-03-18,Germany
44,2020-03-19,Germany
67,2020-03-20,Germany
84,2020-03-21,Germany
94,2020-03-22,Germany
123,2020-03-23,Germany
157,2020-03-24,Germany
206,2020-03-25,Germany
267,2020-03-26,Germany
342,2020-03-27,Germany
433,2020-03-28,Germany
533,2020-03-29,Germany
645,2020-03-30,Germany
775,2020-03-31,Germany
920,2020-04-01,Germany
1107,2020-04-02,Germany
1275,2020-04-03,Germany
1444,2020-04-04,Germany
1584,2020-04-05,Germany
1810,2020-04-06,Germany
2016,2020-04-07,Germany
2349,2020-04-08,Germany
2607,2020-04-09,Germany
2767,2020-04-10,Germany
2736,2020-04-11,Germany
3022,2020-04-12,Germany
3194,2020-04-13,Germany
3294,2020-04-14,Germany
3804,2020-04-15,Germany
4052,2020-04-16,Germany
4352,2020-04-17,Germany
4459,2020-04-18,Germany
4586,2020-04-19,Germany
4862,2020-04-20,Germany
5033,2020-04-21,Germany
5279,2020-04-22,Germany
5575,2020-04-23,Germany
5760,2020-04-24,Germany
5877,2020-04-25,Germany
5976,2020-04-26,Germany
6126,2020-04-27,Germany
6314,2020-04-28,Germany
6467,2020-04-29,Germany
6623,2020-04-30,Germany
6736,2020-05-01,Germany
6812,2020-05-02,Germany
6866,2020-05-03,Germany
6993,2020-05-04,Germany
6993,2020-05-05,Germany
7275,2020-05-06,Germany
7392,2020-05-07,Germany
7510,2020-05-08,Germany
7549,2020-05-09,Germany
7569,2020-05-10,Germany
7661,2020-05-11,Germany
7738,2020-05-12,Germany
7861,2020-05-13,Germany
7884,2020-05-14,Germany
7897,2020-05-15,Germany
7938,2020-05-16,Germany
7962,2020-05-17,Germany
8003,2020-05-18,Germany
8081,2020-05-19,Germany
8144,2020-05-20,Germany
8203,2020-05-21,Germany
8228,2020-05-22,Germany
8261,2020-05-23,Germany
8283,2020-05-24,Germany
8309,2020-05-25,Germany
8372,2020-05-26,Germany
8428,2020-05-27,Germany
8470,2020-05-28,Germany
8504,2020-05-29,Germany
8530,2020-05-30,Germany
8540,2020-05-31,Germany
8555,2020-06-01,Germany
8563,2020-06-02,Germany
8602,2020-06-03,Germany
8635,2020-06-04,Germany
8658,2020-06-05,Germany
8673,2020-06-06,Germany
8685,2020-06-07,Germany
8695,2020-06-08,Germany
8736,2020-06-09,Germany
8752,2020-06-10,Germany
8772,2020-06-11,Germany
8783,2020-06-12,Germany
8793,2020-06-13,Germany
8801,2020-06-14,Germany
8807,2020-06-15,Germany
8820,2020-06-16,Germany
8851,2020-06-17,Germany
8875,2020-06-18,Germany
8887,2020-06-19,Germany
8895,2020-06-20,Germany
8895,2020-06-21,Germany
8899,2020-06-22,Germany
8914,2020-06-23,Germany
8928,2020-06-24,Germany
8940,2020-06-25,Germany
8965,2020-06-26,Germany
8968,2020-06-27,Germany
8968,2020-06-28,Germany
8976,2020-06-29,Germany
8990,2020-06-30,Germany
8995,2020-07-01,Germany
9006,2020-07-02,Germany
9010,2020-07-03,Germany
9020,2020-07-04,Germany
9023,2020-07-05,Germany
9022,2020-07-06,Germany
9032,2020-07-07,Germany
9046,2020-07-08,Germany
9057,2020-07-09,Germany
9063,2020-07-10,Germany
9070,2020-07-11,Germany
9071,2020-07-12,Germany
9074,2020-07-13,Germany
9078,2020-07-14,Germany
9080,2020-07-15,Germany
9087,2020-07-16,Germany
9088,2020-07-17,Germany
9091,2020-07-18,Germany
9092,2020-07-19,Germany
9094,2020-07-20,Germany
9099,2020-07-21,Germany
9102,2020-07-22,Germany
9110,2020-07-23,Germany
9120,2020-07-24,Germany
9124,2020-07-25,Germany
9124,2020-07-26,Germany
9125,2020-07-27,Germany
9131,2020-07-28,Germany
9135,2020-07-29,Germany
9144,2020-07-30,Germany
9147,2020-07-31,Germany
9154,2020-08-01,Germany
9154,2020-08-02,Germany
9154,2020-08-03,Germany
9163,2020-08-04,Germany
9179,2020-08-05,Germany
9181,2020-08-06,Germany
9195,2020-08-07,Germany
9201,2020-08-08,Germany
9202,2020-08-09,Germany
9203,2020-08-10,Germany
9208,2020-08-11,Germany
9213,2020-08-12,Germany
9217,2020-08-13,Germany
9230,2020-08-14,Germany
9235,2020-08-15,Germany
9235,2020-08-16,Germany
9236,2020-08-17,Germany
9241,2020-08-18,Germany
9249,2020-08-19,Germany
9263,2020-08-20,Germany
9266,2020-08-21,Germany
9272,2020-08-22,Germany
