Deaths,CreationDate,Name
1,2020-03-21,Ghana
1,2020-03-22,Ghana
2,2020-03-23,Ghana
2,2020-03-24,Ghana
4,2020-03-25,Ghana
4,2020-03-26,Ghana
4,2020-03-27,Ghana
5,2020-03-28,Ghana
5,2020-03-29,Ghana
5,2020-03-30,Ghana
5,2020-03-31,Ghana
5,2020-04-01,Ghana
5,2020-04-02,Ghana
5,2020-04-03,Ghana
5,2020-04-04,Ghana
5,2020-04-05,Ghana
5,2020-04-06,Ghana
5,2020-04-07,Ghana
6,2020-04-08,Ghana
6,2020-04-09,Ghana
6,2020-04-10,Ghana
8,2020-04-11,Ghana
8,2020-04-12,Ghana
8,2020-04-13,Ghana
8,2020-04-14,Ghana
8,2020-04-15,Ghana
8,2020-04-16,Ghana
8,2020-04-17,Ghana
9,2020-04-18,Ghana
9,2020-04-19,Ghana
9,2020-04-20,Ghana
9,2020-04-21,Ghana
9,2020-04-22,Ghana
9,2020-04-23,Ghana
10,2020-04-24,Ghana
10,2020-04-25,Ghana
11,2020-04-26,Ghana
11,2020-04-27,Ghana
16,2020-04-28,Ghana
16,2020-04-29,Ghana
17,2020-04-30,Ghana
17,2020-05-01,Ghana
18,2020-05-02,Ghana
18,2020-05-03,Ghana
18,2020-05-04,Ghana
18,2020-05-05,Ghana
18,2020-05-06,Ghana
18,2020-05-07,Ghana
18,2020-05-08,Ghana
22,2020-05-09,Ghana
22,2020-05-10,Ghana
22,2020-05-11,Ghana
22,2020-05-12,Ghana
24,2020-05-13,Ghana
24,2020-05-14,Ghana
28,2020-05-15,Ghana
29,2020-05-16,Ghana
29,2020-05-17,Ghana
29,2020-05-18,Ghana
31,2020-05-19,Ghana
31,2020-05-20,Ghana
31,2020-05-21,Ghana
31,2020-05-22,Ghana
31,2020-05-23,Ghana
32,2020-05-24,Ghana
32,2020-05-25,Ghana
34,2020-05-26,Ghana
34,2020-05-27,Ghana
34,2020-05-28,Ghana
34,2020-05-29,Ghana
35,2020-05-30,Ghana
36,2020-05-31,Ghana
36,2020-06-01,Ghana
38,2020-06-02,Ghana
38,2020-06-03,Ghana
38,2020-06-04,Ghana
42,2020-06-05,Ghana
44,2020-06-06,Ghana
44,2020-06-07,Ghana
48,2020-06-08,Ghana
48,2020-06-09,Ghana
48,2020-06-10,Ghana
48,2020-06-11,Ghana
48,2020-06-12,Ghana
48,2020-06-13,Ghana
54,2020-06-14,Ghana
54,2020-06-15,Ghana
58,2020-06-16,Ghana
66,2020-06-17,Ghana
66,2020-06-18,Ghana
70,2020-06-19,Ghana
85,2020-06-20,Ghana
85,2020-06-21,Ghana
85,2020-06-22,Ghana
95,2020-06-23,Ghana
95,2020-06-24,Ghana
95,2020-06-25,Ghana
103,2020-06-26,Ghana
103,2020-06-27,Ghana
112,2020-06-28,Ghana
112,2020-06-29,Ghana
112,2020-06-30,Ghana
117,2020-07-01,Ghana
117,2020-07-02,Ghana
117,2020-07-03,Ghana
117,2020-07-04,Ghana
122,2020-07-05,Ghana
129,2020-07-06,Ghana
129,2020-07-07,Ghana
129,2020-07-08,Ghana
129,2020-07-09,Ghana
135,2020-07-10,Ghana
135,2020-07-11,Ghana
139,2020-07-12,Ghana
139,2020-07-13,Ghana
139,2020-07-14,Ghana
139,2020-07-15,Ghana
139,2020-07-16,Ghana
144,2020-07-17,Ghana
145,2020-07-18,Ghana
148,2020-07-19,Ghana
153,2020-07-20,Ghana
153,2020-07-21,Ghana
153,2020-07-22,Ghana
153,2020-07-23,Ghana
161,2020-07-24,Ghana
161,2020-07-25,Ghana
168,2020-07-26,Ghana
168,2020-07-27,Ghana
168,2020-07-28,Ghana
175,2020-07-29,Ghana
175,2020-07-30,Ghana
182,2020-07-31,Ghana
182,2020-08-01,Ghana
182,2020-08-02,Ghana
191,2020-08-03,Ghana
191,2020-08-04,Ghana
199,2020-08-05,Ghana
199,2020-08-06,Ghana
206,2020-08-07,Ghana
206,2020-08-08,Ghana
215,2020-08-09,Ghana
215,2020-08-10,Ghana
215,2020-08-11,Ghana
223,2020-08-12,Ghana
223,2020-08-13,Ghana
223,2020-08-14,Ghana
231,2020-08-15,Ghana
231,2020-08-16,Ghana
239,2020-08-17,Ghana
248,2020-08-18,Ghana
256,2020-08-19,Ghana
261,2020-08-20,Ghana
261,2020-08-21,Ghana
261,2020-08-22,Ghana
261,2020-08-23,Ghana
263,2020-08-24,Ghana
270,2020-08-25,Ghana
270,2020-08-26,Ghana
270,2020-08-27,Ghana
270,2020-08-28,Ghana
270,2020-08-29,Ghana
276,2020-08-30,Ghana
276,2020-08-31,Ghana
276,2020-09-01,Ghana
276,2020-09-02,Ghana
280,2020-09-03,Ghana
283,2020-09-04,Ghana
283,2020-09-05,Ghana
283,2020-09-06,Ghana
283,2020-09-07,Ghana
283,2020-09-08,Ghana
283,2020-09-09,Ghana
283,2020-09-10,Ghana
285,2020-09-11,Ghana
286,2020-09-12,Ghana
286,2020-09-13,Ghana
294,2020-09-14,Ghana
294,2020-09-15,Ghana
294,2020-09-16,Ghana
294,2020-09-17,Ghana
295,2020-09-18,Ghana
297,2020-09-19,Ghana
297,2020-09-20,Ghana
297,2020-09-21,Ghana
297,2020-09-22,Ghana
299,2020-09-23,Ghana
299,2020-09-24,Ghana
299,2020-09-25,Ghana
299,2020-09-26,Ghana
299,2020-09-27,Ghana
299,2020-09-28,Ghana
301,2020-09-29,Ghana
301,2020-09-30,Ghana
301,2020-10-01,Ghana
301,2020-10-02,Ghana
303,2020-10-03,Ghana
303,2020-10-04,Ghana
303,2020-10-05,Ghana
303,2020-10-06,Ghana
303,2020-10-07,Ghana
306,2020-10-08,Ghana
306,2020-10-09,Ghana
306,2020-10-10,Ghana
306,2020-10-11,Ghana
308,2020-10-12,Ghana
