Deaths,CreationDate,Name
1,2020-03-11,Greece
1,2020-03-12,Greece
1,2020-03-13,Greece
3,2020-03-14,Greece
4,2020-03-15,Greece
4,2020-03-16,Greece
5,2020-03-17,Greece
5,2020-03-18,Greece
6,2020-03-19,Greece
6,2020-03-20,Greece
13,2020-03-21,Greece
15,2020-03-22,Greece
17,2020-03-23,Greece
20,2020-03-24,Greece
22,2020-03-25,Greece
26,2020-03-26,Greece
28,2020-03-27,Greece
32,2020-03-28,Greece
38,2020-03-29,Greece
43,2020-03-30,Greece
49,2020-03-31,Greece
50,2020-04-01,Greece
53,2020-04-02,Greece
63,2020-04-03,Greece
68,2020-04-04,Greece
73,2020-04-05,Greece
79,2020-04-06,Greece
81,2020-04-07,Greece
83,2020-04-08,Greece
87,2020-04-09,Greece
92,2020-04-10,Greece
93,2020-04-11,Greece
98,2020-04-12,Greece
99,2020-04-13,Greece
101,2020-04-14,Greece
102,2020-04-15,Greece
105,2020-04-16,Greece
108,2020-04-17,Greece
110,2020-04-18,Greece
113,2020-04-19,Greece
116,2020-04-20,Greece
121,2020-04-21,Greece
121,2020-04-22,Greece
125,2020-04-23,Greece
130,2020-04-24,Greece
130,2020-04-25,Greece
134,2020-04-26,Greece
136,2020-04-27,Greece
138,2020-04-28,Greece
139,2020-04-29,Greece
140,2020-04-30,Greece
140,2020-05-01,Greece
143,2020-05-02,Greece
144,2020-05-03,Greece
146,2020-05-04,Greece
146,2020-05-05,Greece
147,2020-05-06,Greece
148,2020-05-07,Greece
150,2020-05-08,Greece
151,2020-05-09,Greece
151,2020-05-10,Greece
151,2020-05-11,Greece
152,2020-05-12,Greece
155,2020-05-13,Greece
156,2020-05-14,Greece
160,2020-05-15,Greece
162,2020-05-16,Greece
163,2020-05-17,Greece
165,2020-05-18,Greece
165,2020-05-19,Greece
166,2020-05-20,Greece
168,2020-05-21,Greece
169,2020-05-22,Greece
171,2020-05-23,Greece
171,2020-05-24,Greece
172,2020-05-25,Greece
173,2020-05-26,Greece
173,2020-05-27,Greece
175,2020-05-28,Greece
175,2020-05-29,Greece
175,2020-05-30,Greece
