Deaths,CreationDate,Name
1,2020-03-22,Guam
1,2020-03-23,Guam
1,2020-03-24,Guam
1,2020-03-25,Guam
1,2020-03-26,Guam
1,2020-03-27,Guam
1,2020-03-28,Guam
1,2020-03-29,Guam
1,2020-03-30,Guam
2,2020-03-31,Guam
3,2020-04-01,Guam
3,2020-04-02,Guam
4,2020-04-03,Guam
4,2020-04-04,Guam
4,2020-04-05,Guam
4,2020-04-06,Guam
4,2020-04-07,Guam
4,2020-04-08,Guam
4,2020-04-09,Guam
4,2020-04-10,Guam
5,2020-04-11,Guam
5,2020-04-12,Guam
5,2020-04-13,Guam
5,2020-04-14,Guam
5,2020-04-15,Guam
5,2020-04-16,Guam
5,2020-04-17,Guam
5,2020-04-18,Guam
5,2020-04-19,Guam
5,2020-04-20,Guam
5,2020-04-21,Guam
5,2020-04-22,Guam
5,2020-04-23,Guam
5,2020-04-24,Guam
5,2020-04-25,Guam
5,2020-04-26,Guam
5,2020-04-27,Guam
5,2020-04-28,Guam
5,2020-04-29,Guam
5,2020-04-30,Guam
5,2020-05-01,Guam
5,2020-05-02,Guam
5,2020-05-03,Guam
5,2020-05-04,Guam
5,2020-05-05,Guam
5,2020-05-06,Guam
5,2020-05-07,Guam
5,2020-05-08,Guam
5,2020-05-09,Guam
5,2020-05-10,Guam
5,2020-05-11,Guam
5,2020-05-12,Guam
5,2020-05-13,Guam
5,2020-05-14,Guam
5,2020-05-15,Guam
5,2020-05-16,Guam
5,2020-05-17,Guam
5,2020-05-18,Guam
5,2020-05-19,Guam
5,2020-05-20,Guam
5,2020-05-21,Guam
5,2020-05-22,Guam
5,2020-05-23,Guam
5,2020-05-24,Guam
5,2020-05-25,Guam
5,2020-05-26,Guam
5,2020-05-27,Guam
5,2020-05-28,Guam
5,2020-05-29,Guam
5,2020-05-30,Guam
5,2020-05-31,Guam
5,2020-06-01,Guam
5,2020-06-02,Guam
5,2020-06-03,Guam
5,2020-06-04,Guam
5,2020-06-05,Guam
5,2020-06-06,Guam
5,2020-06-07,Guam
5,2020-06-08,Guam
5,2020-06-09,Guam
5,2020-06-10,Guam
5,2020-06-11,Guam
5,2020-06-12,Guam
5,2020-06-13,Guam
5,2020-06-14,Guam
5,2020-06-15,Guam
5,2020-06-16,Guam
5,2020-06-17,Guam
5,2020-06-18,Guam
5,2020-06-19,Guam
5,2020-06-20,Guam
5,2020-06-21,Guam
5,2020-06-22,Guam
5,2020-06-23,Guam
5,2020-06-24,Guam
5,2020-06-25,Guam
5,2020-06-26,Guam
5,2020-06-27,Guam
5,2020-06-28,Guam
5,2020-06-29,Guam
5,2020-06-30,Guam
5,2020-07-01,Guam
5,2020-07-02,Guam
5,2020-07-03,Guam
5,2020-07-04,Guam
5,2020-07-05,Guam
5,2020-07-06,Guam
5,2020-07-07,Guam
5,2020-07-08,Guam
5,2020-07-09,Guam
5,2020-07-10,Guam
5,2020-07-11,Guam
5,2020-07-12,Guam
5,2020-07-13,Guam
5,2020-07-14,Guam
5,2020-07-15,Guam
5,2020-07-16,Guam
5,2020-07-17,Guam
5,2020-07-18,Guam
5,2020-07-19,Guam
5,2020-07-20,Guam
5,2020-07-21,Guam
5,2020-07-22,Guam
5,2020-07-23,Guam
5,2020-07-24,Guam
5,2020-07-25,Guam
5,2020-07-26,Guam
5,2020-07-27,Guam
5,2020-07-28,Guam
5,2020-07-29,Guam
5,2020-07-30,Guam
5,2020-07-31,Guam
5,2020-08-01,Guam
5,2020-08-02,Guam
5,2020-08-03,Guam
5,2020-08-04,Guam
5,2020-08-05,Guam
5,2020-08-06,Guam
5,2020-08-07,Guam
5,2020-08-08,Guam
5,2020-08-09,Guam
5,2020-08-10,Guam
5,2020-08-11,Guam
5,2020-08-12,Guam
5,2020-08-13,Guam
5,2020-08-14,Guam
5,2020-08-15,Guam
5,2020-08-16,Guam
5,2020-08-17,Guam
5,2020-08-18,Guam
5,2020-08-19,Guam
6,2020-08-20,Guam
7,2020-08-21,Guam
7,2020-08-22,Guam
7,2020-08-23,Guam
7,2020-08-24,Guam
7,2020-08-25,Guam
9,2020-08-26,Guam
10,2020-08-27,Guam
10,2020-08-28,Guam
10,2020-08-29,Guam
10,2020-08-30,Guam
10,2020-08-31,Guam
13,2020-09-01,Guam
13,2020-09-02,Guam
13,2020-09-03,Guam
14,2020-09-04,Guam
15,2020-09-05,Guam
15,2020-09-06,Guam
15,2020-09-07,Guam
19,2020-09-08,Guam
20,2020-09-09,Guam
22,2020-09-10,Guam
23,2020-09-11,Guam
25,2020-09-12,Guam
25,2020-09-13,Guam
26,2020-09-14,Guam
28,2020-09-15,Guam
29,2020-09-16,Guam
31,2020-09-17,Guam
31,2020-09-18,Guam
34,2020-09-19,Guam
34,2020-09-20,Guam
35,2020-09-21,Guam
37,2020-09-22,Guam
37,2020-09-23,Guam
38,2020-09-24,Guam
39,2020-09-25,Guam
42,2020-09-26,Guam
42,2020-09-27,Guam
46,2020-09-28,Guam
47,2020-09-29,Guam
49,2020-09-30,Guam
49,2020-10-01,Guam
50,2020-10-02,Guam
51,2020-10-03,Guam
51,2020-10-04,Guam
55,2020-10-05,Guam
55,2020-10-06,Guam
57,2020-10-07,Guam
58,2020-10-08,Guam
58,2020-10-09,Guam
58,2020-10-10,Guam
60,2020-10-11,Guam
60,2020-10-12,Guam
61,2020-10-13,Guam
