Deaths,CreationDate,Name
1,2020-03-16,Guatemala
1,2020-03-17,Guatemala
1,2020-03-18,Guatemala
1,2020-03-19,Guatemala
1,2020-03-20,Guatemala
1,2020-03-21,Guatemala
1,2020-03-22,Guatemala
1,2020-03-23,Guatemala
1,2020-03-24,Guatemala
1,2020-03-25,Guatemala
1,2020-03-26,Guatemala
1,2020-03-27,Guatemala
1,2020-03-28,Guatemala
1,2020-03-29,Guatemala
1,2020-03-30,Guatemala
1,2020-03-31,Guatemala
1,2020-04-01,Guatemala
1,2020-04-02,Guatemala
1,2020-04-03,Guatemala
2,2020-04-04,Guatemala
2,2020-04-05,Guatemala
3,2020-04-06,Guatemala
3,2020-04-07,Guatemala
3,2020-04-08,Guatemala
3,2020-04-09,Guatemala
3,2020-04-10,Guatemala
3,2020-04-11,Guatemala
5,2020-04-12,Guatemala
5,2020-04-13,Guatemala
5,2020-04-14,Guatemala
5,2020-04-15,Guatemala
5,2020-04-16,Guatemala
7,2020-04-17,Guatemala
7,2020-04-18,Guatemala
7,2020-04-19,Guatemala
7,2020-04-20,Guatemala
7,2020-04-21,Guatemala
8,2020-04-22,Guatemala
11,2020-04-23,Guatemala
11,2020-04-24,Guatemala
13,2020-04-25,Guatemala
15,2020-04-26,Guatemala
15,2020-04-27,Guatemala
15,2020-04-28,Guatemala
16,2020-04-29,Guatemala
16,2020-04-30,Guatemala
16,2020-05-01,Guatemala
17,2020-05-02,Guatemala
17,2020-05-03,Guatemala
19,2020-05-04,Guatemala
19,2020-05-05,Guatemala
21,2020-05-06,Guatemala
23,2020-05-07,Guatemala
24,2020-05-08,Guatemala
24,2020-05-09,Guatemala
26,2020-05-10,Guatemala
26,2020-05-11,Guatemala
27,2020-05-12,Guatemala
29,2020-05-13,Guatemala
29,2020-05-14,Guatemala
30,2020-05-15,Guatemala
33,2020-05-16,Guatemala
33,2020-05-17,Guatemala
35,2020-05-18,Guatemala
43,2020-05-19,Guatemala
45,2020-05-20,Guatemala
48,2020-05-21,Guatemala
51,2020-05-22,Guatemala
55,2020-05-23,Guatemala
58,2020-05-24,Guatemala
59,2020-05-25,Guatemala
63,2020-05-26,Guatemala
68,2020-05-27,Guatemala
80,2020-05-28,Guatemala
90,2020-05-29,Guatemala
102,2020-05-30,Guatemala
108,2020-05-31,Guatemala
116,2020-06-01,Guatemala
123,2020-06-02,Guatemala
143,2020-06-03,Guatemala
158,2020-06-04,Guatemala
216,2020-06-05,Guatemala
230,2020-06-06,Guatemala
252,2020-06-07,Guatemala
267,2020-06-08,Guatemala
289,2020-06-09,Guatemala
316,2020-06-10,Guatemala
334,2020-06-11,Guatemala
351,2020-06-12,Guatemala
367,2020-06-13,Guatemala
384,2020-06-14,Guatemala
399,2020-06-15,Guatemala
418,2020-06-16,Guatemala
432,2020-06-17,Guatemala
449,2020-06-18,Guatemala
483,2020-06-19,Guatemala
514,2020-06-20,Guatemala
531,2020-06-21,Guatemala
547,2020-06-22,Guatemala
582,2020-06-23,Guatemala
601,2020-06-24,Guatemala
623,2020-06-25,Guatemala
672,2020-06-26,Guatemala
706,2020-06-27,Guatemala
727,2020-06-28,Guatemala
746,2020-06-29,Guatemala
773,2020-06-30,Guatemala
817,2020-07-01,Guatemala
843,2020-07-02,Guatemala
880,2020-07-03,Guatemala
920,2020-07-04,Guatemala
947,2020-07-05,Guatemala
981,2020-07-06,Guatemala
1004,2020-07-07,Guatemala
1053,2020-07-08,Guatemala
1092,2020-07-09,Guatemala
1139,2020-07-10,Guatemala
1172,2020-07-11,Guatemala
1219,2020-07-12,Guatemala
1244,2020-07-13,Guatemala
1302,2020-07-14,Guatemala
1350,2020-07-15,Guatemala
1404,2020-07-16,Guatemala
1443,2020-07-17,Guatemala
1449,2020-07-18,Guatemala
1485,2020-07-19,Guatemala
1502,2020-07-20,Guatemala
1531,2020-07-21,Guatemala
1573,2020-07-22,Guatemala
1632,2020-07-23,Guatemala
1669,2020-07-24,Guatemala
1699,2020-07-25,Guatemala
1734,2020-07-26,Guatemala
1761,2020-07-27,Guatemala
1782,2020-07-28,Guatemala
1835,2020-07-29,Guatemala
1867,2020-07-30,Guatemala
1924,2020-07-31,Guatemala
1959,2020-08-01,Guatemala
1995,2020-08-02,Guatemala
2013,2020-08-03,Guatemala
2037,2020-08-04,Guatemala
2072,2020-08-05,Guatemala
2119,2020-08-06,Guatemala
2168,2020-08-07,Guatemala
2197,2020-08-08,Guatemala
2211,2020-08-09,Guatemala
2222,2020-08-10,Guatemala
2233,2020-08-11,Guatemala
2267,2020-08-12,Guatemala
2296,2020-08-13,Guatemala
2341,2020-08-14,Guatemala
2355,2020-08-15,Guatemala
2379,2020-08-16,Guatemala
2389,2020-08-17,Guatemala
2419,2020-08-18,Guatemala
2467,2020-08-19,Guatemala
2506,2020-08-20,Guatemala
2532,2020-08-21,Guatemala
2580,2020-08-22,Guatemala
2594,2020-08-23,Guatemala
2611,2020-08-24,Guatemala
2630,2020-08-25,Guatemala
2662,2020-08-26,Guatemala
2685,2020-08-27,Guatemala
2709,2020-08-28,Guatemala
2728,2020-08-29,Guatemala
2740,2020-08-30,Guatemala
2760,2020-08-31,Guatemala
2778,2020-09-01,Guatemala
2790,2020-09-02,Guatemala
2804,2020-09-03,Guatemala
2825,2020-09-04,Guatemala
2845,2020-09-05,Guatemala
2852,2020-09-06,Guatemala
2862,2020-09-07,Guatemala
2890,2020-09-08,Guatemala
2897,2020-09-09,Guatemala
2918,2020-09-10,Guatemala
2929,2020-09-11,Guatemala
2949,2020-09-12,Guatemala
2957,2020-09-13,Guatemala
2972,2020-09-14,Guatemala
2984,2020-09-15,Guatemala
3009,2020-09-16,Guatemala
3036,2020-09-17,Guatemala
3076,2020-09-18,Guatemala
3105,2020-09-19,Guatemala
3119,2020-09-20,Guatemala
3124,2020-09-21,Guatemala
3137,2020-09-22,Guatemala
3154,2020-09-23,Guatemala
3170,2020-09-24,Guatemala
3186,2020-09-25,Guatemala
3213,2020-09-26,Guatemala
3229,2020-09-27,Guatemala
3234,2020-09-28,Guatemala
3238,2020-09-29,Guatemala
3246,2020-09-30,Guatemala
3261,2020-10-01,Guatemala
3267,2020-10-02,Guatemala
3285,2020-10-03,Guatemala
3293,2020-10-04,Guatemala
3302,2020-10-05,Guatemala
3310,2020-10-06,Guatemala
3335,2020-10-07,Guatemala
3347,2020-10-08,Guatemala
3356,2020-10-09,Guatemala
3365,2020-10-10,Guatemala
3384,2020-10-11,Guatemala
3387,2020-10-12,Guatemala
3410,2020-10-13,Guatemala
3430,2020-10-14,Guatemala
3453,2020-10-15,Guatemala
3478,2020-10-16,Guatemala
3515,2020-10-17,Guatemala
3530,2020-10-18,Guatemala
3541,2020-10-19,Guatemala
3546,2020-10-20,Guatemala
3567,2020-10-21,Guatemala
3580,2020-10-22,Guatemala
3594,2020-10-23,Guatemala
3609,2020-10-24,Guatemala
3644,2020-10-25,Guatemala
3651,2020-10-26,Guatemala
3665,2020-10-27,Guatemala
3682,2020-10-28,Guatemala
3704,2020-10-29,Guatemala
3714,2020-10-30,Guatemala
3729,2020-10-31,Guatemala
3738,2020-11-01,Guatemala
3738,2020-11-02,Guatemala
3748,2020-11-03,Guatemala
3752,2020-11-04,Guatemala
3766,2020-11-05,Guatemala
3794,2020-11-06,Guatemala
3811,2020-11-07,Guatemala
3821,2020-11-08,Guatemala
3823,2020-11-09,Guatemala
3832,2020-11-10,Guatemala
3845,2020-11-11,Guatemala
3858,2020-11-12,Guatemala
3880,2020-11-13,Guatemala
3920,2020-11-14,Guatemala
3932,2020-11-15,Guatemala
3938,2020-11-16,Guatemala
3947,2020-11-17,Guatemala
4008,2020-11-18,Guatemala
4050,2020-11-19,Guatemala
4067,2020-11-20,Guatemala
4074,2020-11-21,Guatemala
4076,2020-11-22,Guatemala
4092,2020-11-23,Guatemala
4099,2020-11-24,Guatemala
4107,2020-11-25,Guatemala
4133,2020-11-26,Guatemala
4141,2020-11-27,Guatemala
4161,2020-11-28,Guatemala
4166,2020-11-29,Guatemala
4171,2020-11-30,Guatemala
4178,2020-12-01,Guatemala
4191,2020-12-02,Guatemala
4209,2020-12-03,Guatemala
4224,2020-12-04,Guatemala
4239,2020-12-05,Guatemala
4250,2020-12-06,Guatemala
4274,2020-12-07,Guatemala
4286,2020-12-08,Guatemala
4311,2020-12-09,Guatemala
4345,2020-12-10,Guatemala
4376,2020-12-11,Guatemala
4405,2020-12-12,Guatemala
4423,2020-12-13,Guatemala
4445,2020-12-14,Guatemala
4476,2020-12-15,Guatemala
4510,2020-12-16,Guatemala
4551,2020-12-17,Guatemala
4589,2020-12-18,Guatemala
4624,2020-12-19,Guatemala
4656,2020-12-20,Guatemala
4688,2020-12-21,Guatemala
4718,2020-12-22,Guatemala
4739,2020-12-23,Guatemala
4749,2020-12-24,Guatemala
4757,2020-12-25,Guatemala
4763,2020-12-26,Guatemala
4768,2020-12-27,Guatemala
4773,2020-12-28,Guatemala
4781,2020-12-29,Guatemala
4803,2020-12-30,Guatemala
4813,2020-12-31,Guatemala
4820,2021-01-01,Guatemala
4827,2021-01-02,Guatemala
4833,2021-01-03,Guatemala
4835,2021-01-04,Guatemala
4859,2021-01-05,Guatemala
4899,2021-01-06,Guatemala
4928,2021-01-07,Guatemala
4972,2021-01-08,Guatemala
4999,2021-01-09,Guatemala
5025,2021-01-10,Guatemala
