Deaths,CreationDate,Name
1,2020-04-15,Guinea
1,2020-04-16,Guinea
3,2020-04-17,Guinea
3,2020-04-18,Guinea
5,2020-04-19,Guinea
5,2020-04-20,Guinea
6,2020-04-21,Guinea
6,2020-04-22,Guinea
6,2020-04-23,Guinea
6,2020-04-24,Guinea
7,2020-04-25,Guinea
7,2020-04-26,Guinea
7,2020-04-27,Guinea
7,2020-04-28,Guinea
7,2020-04-29,Guinea
7,2020-04-30,Guinea
7,2020-05-01,Guinea
7,2020-05-02,Guinea
7,2020-05-03,Guinea
9,2020-05-04,Guinea
10,2020-05-05,Guinea
11,2020-05-06,Guinea
11,2020-05-07,Guinea
11,2020-05-08,Guinea
11,2020-05-09,Guinea
11,2020-05-10,Guinea
11,2020-05-11,Guinea
11,2020-05-12,Guinea
14,2020-05-13,Guinea
15,2020-05-14,Guinea
15,2020-05-15,Guinea
16,2020-05-16,Guinea
16,2020-05-17,Guinea
16,2020-05-18,Guinea
18,2020-05-19,Guinea
18,2020-05-20,Guinea
18,2020-05-21,Guinea
19,2020-05-22,Guinea
20,2020-05-23,Guinea
20,2020-05-24,Guinea
20,2020-05-25,Guinea
20,2020-05-26,Guinea
20,2020-05-27,Guinea
22,2020-05-28,Guinea
22,2020-05-29,Guinea
23,2020-05-30,Guinea
23,2020-05-31,Guinea
23,2020-06-01,Guinea
23,2020-06-02,Guinea
23,2020-06-03,Guinea
23,2020-06-04,Guinea
23,2020-06-05,Guinea
23,2020-06-06,Guinea
23,2020-06-07,Guinea
23,2020-06-08,Guinea
23,2020-06-09,Guinea
23,2020-06-10,Guinea
23,2020-06-11,Guinea
24,2020-06-12,Guinea
25,2020-06-13,Guinea
25,2020-06-14,Guinea
26,2020-06-15,Guinea
26,2020-06-16,Guinea
26,2020-06-17,Guinea
26,2020-06-18,Guinea
27,2020-06-19,Guinea
27,2020-06-20,Guinea
27,2020-06-21,Guinea
27,2020-06-22,Guinea
28,2020-06-23,Guinea
29,2020-06-24,Guinea
29,2020-06-25,Guinea
29,2020-06-26,Guinea
30,2020-06-27,Guinea
31,2020-06-28,Guinea
31,2020-06-29,Guinea
33,2020-06-30,Guinea
33,2020-07-01,Guinea
33,2020-07-02,Guinea
33,2020-07-03,Guinea
34,2020-07-04,Guinea
34,2020-07-05,Guinea
34,2020-07-06,Guinea
34,2020-07-07,Guinea
34,2020-07-08,Guinea
36,2020-07-09,Guinea
37,2020-07-10,Guinea
37,2020-07-11,Guinea
37,2020-07-12,Guinea
37,2020-07-13,Guinea
38,2020-07-14,Guinea
38,2020-07-15,Guinea
39,2020-07-16,Guinea
39,2020-07-17,Guinea
39,2020-07-18,Guinea
39,2020-07-19,Guinea
40,2020-07-20,Guinea
41,2020-07-21,Guinea
41,2020-07-22,Guinea
42,2020-07-23,Guinea
42,2020-07-24,Guinea
42,2020-07-25,Guinea
43,2020-07-26,Guinea
45,2020-07-27,Guinea
46,2020-07-28,Guinea
46,2020-07-29,Guinea
46,2020-07-30,Guinea
46,2020-07-31,Guinea
46,2020-08-01,Guinea
46,2020-08-02,Guinea
46,2020-08-03,Guinea
48,2020-08-04,Guinea
49,2020-08-05,Guinea
49,2020-08-06,Guinea
50,2020-08-07,Guinea
50,2020-08-08,Guinea
50,2020-08-09,Guinea
50,2020-08-10,Guinea
50,2020-08-11,Guinea
50,2020-08-12,Guinea
50,2020-08-13,Guinea
50,2020-08-14,Guinea
50,2020-08-15,Guinea
51,2020-08-16,Guinea
51,2020-08-17,Guinea
52,2020-08-18,Guinea
53,2020-08-19,Guinea
53,2020-08-20,Guinea
53,2020-08-21,Guinea
53,2020-08-22,Guinea
53,2020-08-23,Guinea
55,2020-08-24,Guinea
57,2020-08-25,Guinea
57,2020-08-26,Guinea
58,2020-08-27,Guinea
59,2020-08-28,Guinea
59,2020-08-29,Guinea
59,2020-08-30,Guinea
59,2020-08-31,Guinea
59,2020-09-01,Guinea
59,2020-09-02,Guinea
61,2020-09-03,Guinea
61,2020-09-04,Guinea
61,2020-09-05,Guinea
61,2020-09-06,Guinea
62,2020-09-07,Guinea
63,2020-09-08,Guinea
63,2020-09-09,Guinea
63,2020-09-10,Guinea
63,2020-09-11,Guinea
63,2020-09-12,Guinea
63,2020-09-13,Guinea
63,2020-09-14,Guinea
63,2020-09-15,Guinea
63,2020-09-16,Guinea
63,2020-09-17,Guinea
63,2020-09-18,Guinea
63,2020-09-19,Guinea
64,2020-09-20,Guinea
65,2020-09-21,Guinea
65,2020-09-22,Guinea
65,2020-09-23,Guinea
65,2020-09-24,Guinea
65,2020-09-25,Guinea
65,2020-09-26,Guinea
66,2020-09-27,Guinea
66,2020-09-28,Guinea
66,2020-09-29,Guinea
66,2020-09-30,Guinea
66,2020-10-01,Guinea
66,2020-10-02,Guinea
66,2020-10-03,Guinea
66,2020-10-04,Guinea
67,2020-10-05,Guinea
68,2020-10-06,Guinea
68,2020-10-07,Guinea
68,2020-10-08,Guinea
68,2020-10-09,Guinea
69,2020-10-10,Guinea
69,2020-10-11,Guinea
70,2020-10-12,Guinea
70,2020-10-13,Guinea
70,2020-10-14,Guinea
70,2020-10-15,Guinea
70,2020-10-16,Guinea
70,2020-10-17,Guinea
70,2020-10-18,Guinea
70,2020-10-19,Guinea
70,2020-10-20,Guinea
70,2020-10-21,Guinea
71,2020-10-22,Guinea
71,2020-10-23,Guinea
71,2020-10-24,Guinea
71,2020-10-25,Guinea
71,2020-10-26,Guinea
71,2020-10-27,Guinea
71,2020-10-28,Guinea
71,2020-10-29,Guinea
72,2020-10-30,Guinea
72,2020-10-31,Guinea
73,2020-11-01,Guinea
73,2020-11-02,Guinea
73,2020-11-03,Guinea
73,2020-11-04,Guinea
73,2020-11-05,Guinea
73,2020-11-06,Guinea
73,2020-11-07,Guinea
74,2020-11-08,Guinea
74,2020-11-09,Guinea
74,2020-11-10,Guinea
74,2020-11-11,Guinea
74,2020-11-12,Guinea
74,2020-11-13,Guinea
74,2020-11-14,Guinea
75,2020-11-15,Guinea
75,2020-11-16,Guinea
75,2020-11-17,Guinea
75,2020-11-18,Guinea
75,2020-11-19,Guinea
75,2020-11-20,Guinea
75,2020-11-21,Guinea
75,2020-11-22,Guinea
75,2020-11-23,Guinea
75,2020-11-24,Guinea
76,2020-11-25,Guinea
76,2020-11-26,Guinea
76,2020-11-27,Guinea
76,2020-11-28,Guinea
76,2020-11-29,Guinea
76,2020-11-30,Guinea
76,2020-12-01,Guinea
76,2020-12-02,Guinea
76,2020-12-03,Guinea
76,2020-12-04,Guinea
76,2020-12-05,Guinea
76,2020-12-06,Guinea
79,2020-12-07,Guinea
79,2020-12-08,Guinea
79,2020-12-09,Guinea
79,2020-12-10,Guinea
79,2020-12-11,Guinea
79,2020-12-12,Guinea
79,2020-12-13,Guinea
80,2020-12-14,Guinea
80,2020-12-15,Guinea
80,2020-12-16,Guinea
80,2020-12-17,Guinea
80,2020-12-18,Guinea
80,2020-12-19,Guinea
80,2020-12-20,Guinea
80,2020-12-21,Guinea
80,2020-12-22,Guinea
80,2020-12-23,Guinea
80,2020-12-24,Guinea
80,2020-12-25,Guinea
80,2020-12-26,Guinea
80,2020-12-27,Guinea
80,2020-12-28,Guinea
80,2020-12-29,Guinea
80,2020-12-30,Guinea
81,2020-12-31,Guinea
81,2021-01-01,Guinea
81,2021-01-02,Guinea
81,2021-01-03,Guinea
81,2021-01-04,Guinea
81,2021-01-05,Guinea
81,2021-01-06,Guinea
81,2021-01-07,Guinea
81,2021-01-08,Guinea
81,2021-01-09,Guinea
81,2021-01-10,Guinea
81,2021-01-11,Guinea
81,2021-01-12,Guinea
81,2021-01-13,Guinea
81,2021-01-14,Guinea
81,2021-01-15,Guinea
81,2021-01-16,Guinea
81,2021-01-17,Guinea
81,2021-01-18,Guinea
81,2021-01-19,Guinea
81,2021-01-20,Guinea
81,2021-01-21,Guinea
81,2021-01-22,Guinea
81,2021-01-23,Guinea
81,2021-01-24,Guinea
81,2021-01-25,Guinea
82,2021-01-26,Guinea
82,2021-01-27,Guinea
82,2021-01-28,Guinea
82,2021-01-29,Guinea
82,2021-01-30,Guinea
82,2021-01-31,Guinea
83,2021-02-01,Guinea
83,2021-02-02,Guinea
83,2021-02-03,Guinea
84,2021-02-04,Guinea
84,2021-02-05,Guinea
84,2021-02-06,Guinea
84,2021-02-07,Guinea
84,2021-02-08,Guinea
84,2021-02-09,Guinea
84,2021-02-10,Guinea
84,2021-02-11,Guinea
84,2021-02-12,Guinea
84,2021-02-13,Guinea
85,2021-02-14,Guinea
85,2021-02-15,Guinea
85,2021-02-16,Guinea
85,2021-02-17,Guinea
85,2021-02-18,Guinea
86,2021-02-19,Guinea
86,2021-02-20,Guinea
86,2021-02-21,Guinea
86,2021-02-22,Guinea
87,2021-02-23,Guinea
88,2021-02-24,Guinea
88,2021-02-25,Guinea
89,2021-02-26,Guinea
89,2021-02-27,Guinea
89,2021-02-28,Guinea
89,2021-03-01,Guinea
91,2021-03-02,Guinea
92,2021-03-03,Guinea
93,2021-03-04,Guinea
93,2021-03-05,Guinea
93,2021-03-06,Guinea
95,2021-03-07,Guinea
97,2021-03-08,Guinea
97,2021-03-09,Guinea
101,2021-03-10,Guinea
101,2021-03-11,Guinea
102,2021-03-12,Guinea
102,2021-03-13,Guinea
102,2021-03-14,Guinea
103,2021-03-15,Guinea
104,2021-03-16,Guinea
106,2021-03-17,Guinea
106,2021-03-18,Guinea
108,2021-03-19,Guinea
108,2021-03-20,Guinea
111,2021-03-21,Guinea
113,2021-03-22,Guinea
113,2021-03-23,Guinea
113,2021-03-24,Guinea
113,2021-03-25,Guinea
116,2021-03-26,Guinea
116,2021-03-27,Guinea
120,2021-03-28,Guinea
123,2021-03-29,Guinea
125,2021-03-30,Guinea
125,2021-03-31,Guinea
127,2021-04-01,Guinea
128,2021-04-02,Guinea
129,2021-04-03,Guinea
130,2021-04-04,Guinea
130,2021-04-05,Guinea
130,2021-04-06,Guinea
131,2021-04-07,Guinea
131,2021-04-08,Guinea
132,2021-04-09,Guinea
133,2021-04-10,Guinea
134,2021-04-11,Guinea
136,2021-04-12,Guinea
136,2021-04-13,Guinea
136,2021-04-14,Guinea
136,2021-04-15,Guinea
138,2021-04-16,Guinea
138,2021-04-17,Guinea
138,2021-04-18,Guinea
138,2021-04-19,Guinea
139,2021-04-20,Guinea
139,2021-04-21,Guinea
139,2021-04-22,Guinea
139,2021-04-23,Guinea
140,2021-04-24,Guinea
140,2021-04-25,Guinea
141,2021-04-26,Guinea
141,2021-04-27,Guinea
141,2021-04-28,Guinea
144,2021-04-29,Guinea
144,2021-04-30,Guinea
144,2021-05-01,Guinea
145,2021-05-02,Guinea
146,2021-05-03,Guinea
146,2021-05-04,Guinea
148,2021-05-05,Guinea
148,2021-05-06,Guinea
149,2021-05-07,Guinea
150,2021-05-08,Guinea
150,2021-05-09,Guinea
150,2021-05-10,Guinea
151,2021-05-11,Guinea
151,2021-05-12,Guinea
151,2021-05-13,Guinea
151,2021-05-14,Guinea
151,2021-05-15,Guinea
151,2021-05-16,Guinea
152,2021-05-17,Guinea
