Deaths,CreationDate,Name
1,2020-03-12,Guyana
1,2020-03-13,Guyana
1,2020-03-14,Guyana
1,2020-03-15,Guyana
1,2020-03-16,Guyana
1,2020-03-17,Guyana
1,2020-03-18,Guyana
1,2020-03-19,Guyana
1,2020-03-20,Guyana
1,2020-03-21,Guyana
1,2020-03-22,Guyana
1,2020-03-23,Guyana
1,2020-03-24,Guyana
1,2020-03-25,Guyana
1,2020-03-26,Guyana
1,2020-03-27,Guyana
1,2020-03-28,Guyana
1,2020-03-29,Guyana
1,2020-03-30,Guyana
2,2020-03-31,Guyana
2,2020-04-01,Guyana
4,2020-04-02,Guyana
4,2020-04-03,Guyana
4,2020-04-04,Guyana
4,2020-04-05,Guyana
4,2020-04-06,Guyana
5,2020-04-07,Guyana
6,2020-04-08,Guyana
6,2020-04-09,Guyana
6,2020-04-10,Guyana
6,2020-04-11,Guyana
6,2020-04-12,Guyana
6,2020-04-13,Guyana
6,2020-04-14,Guyana
6,2020-04-15,Guyana
6,2020-04-16,Guyana
6,2020-04-17,Guyana
6,2020-04-18,Guyana
7,2020-04-19,Guyana
7,2020-04-20,Guyana
7,2020-04-21,Guyana
7,2020-04-22,Guyana
7,2020-04-23,Guyana
7,2020-04-24,Guyana
7,2020-04-25,Guyana
8,2020-04-26,Guyana
8,2020-04-27,Guyana
8,2020-04-28,Guyana
8,2020-04-29,Guyana
9,2020-04-30,Guyana
9,2020-05-01,Guyana
9,2020-05-02,Guyana
9,2020-05-03,Guyana
9,2020-05-04,Guyana
10,2020-05-05,Guyana
10,2020-05-06,Guyana
10,2020-05-07,Guyana
10,2020-05-08,Guyana
10,2020-05-09,Guyana
10,2020-05-10,Guyana
10,2020-05-11,Guyana
10,2020-05-12,Guyana
10,2020-05-13,Guyana
10,2020-05-14,Guyana
10,2020-05-15,Guyana
10,2020-05-16,Guyana
10,2020-05-17,Guyana
10,2020-05-18,Guyana
10,2020-05-19,Guyana
10,2020-05-20,Guyana
10,2020-05-21,Guyana
10,2020-05-22,Guyana
10,2020-05-23,Guyana
10,2020-05-24,Guyana
11,2020-05-25,Guyana
11,2020-05-26,Guyana
11,2020-05-27,Guyana
11,2020-05-28,Guyana
11,2020-05-29,Guyana
12,2020-05-30,Guyana
12,2020-05-31,Guyana
12,2020-06-01,Guyana
12,2020-06-02,Guyana
12,2020-06-03,Guyana
12,2020-06-04,Guyana
12,2020-06-05,Guyana
12,2020-06-06,Guyana
12,2020-06-07,Guyana
12,2020-06-08,Guyana
12,2020-06-09,Guyana
12,2020-06-10,Guyana
12,2020-06-11,Guyana
12,2020-06-12,Guyana
12,2020-06-13,Guyana
12,2020-06-14,Guyana
12,2020-06-15,Guyana
12,2020-06-16,Guyana
12,2020-06-17,Guyana
12,2020-06-18,Guyana
12,2020-06-19,Guyana
12,2020-06-20,Guyana
12,2020-06-21,Guyana
12,2020-06-22,Guyana
12,2020-06-23,Guyana
12,2020-06-24,Guyana
12,2020-06-25,Guyana
12,2020-06-26,Guyana
12,2020-06-27,Guyana
12,2020-06-28,Guyana
12,2020-06-29,Guyana
12,2020-06-30,Guyana
13,2020-07-01,Guyana
14,2020-07-02,Guyana
14,2020-07-03,Guyana
14,2020-07-04,Guyana
15,2020-07-05,Guyana
15,2020-07-06,Guyana
16,2020-07-07,Guyana
16,2020-07-08,Guyana
16,2020-07-09,Guyana
16,2020-07-10,Guyana
17,2020-07-11,Guyana
17,2020-07-12,Guyana
17,2020-07-13,Guyana
17,2020-07-14,Guyana
18,2020-07-15,Guyana
19,2020-07-16,Guyana
19,2020-07-17,Guyana
19,2020-07-18,Guyana
19,2020-07-19,Guyana
19,2020-07-20,Guyana
19,2020-07-21,Guyana
19,2020-07-22,Guyana
19,2020-07-23,Guyana
20,2020-07-24,Guyana
20,2020-07-25,Guyana
20,2020-07-26,Guyana
20,2020-07-27,Guyana
20,2020-07-28,Guyana
20,2020-07-29,Guyana
20,2020-07-30,Guyana
20,2020-07-31,Guyana
20,2020-08-01,Guyana
21,2020-08-02,Guyana
21,2020-08-03,Guyana
22,2020-08-04,Guyana
22,2020-08-05,Guyana
22,2020-08-06,Guyana
22,2020-08-07,Guyana
22,2020-08-08,Guyana
22,2020-08-09,Guyana
22,2020-08-10,Guyana
22,2020-08-11,Guyana
22,2020-08-12,Guyana
22,2020-08-13,Guyana
22,2020-08-14,Guyana
22,2020-08-15,Guyana
23,2020-08-16,Guyana
23,2020-08-17,Guyana
25,2020-08-18,Guyana
27,2020-08-19,Guyana
29,2020-08-20,Guyana
30,2020-08-21,Guyana
31,2020-08-22,Guyana
31,2020-08-23,Guyana
31,2020-08-24,Guyana
31,2020-08-25,Guyana
31,2020-08-26,Guyana
32,2020-08-27,Guyana
35,2020-08-28,Guyana
35,2020-08-29,Guyana
36,2020-08-30,Guyana
39,2020-08-31,Guyana
41,2020-09-01,Guyana
41,2020-09-02,Guyana
44,2020-09-03,Guyana
44,2020-09-04,Guyana
46,2020-09-05,Guyana
46,2020-09-06,Guyana
47,2020-09-07,Guyana
48,2020-09-08,Guyana
48,2020-09-09,Guyana
49,2020-09-10,Guyana
52,2020-09-11,Guyana
54,2020-09-12,Guyana
56,2020-09-13,Guyana
56,2020-09-14,Guyana
58,2020-09-15,Guyana
58,2020-09-16,Guyana
60,2020-09-17,Guyana
62,2020-09-18,Guyana
64,2020-09-19,Guyana
64,2020-09-20,Guyana
65,2020-09-21,Guyana
67,2020-09-22,Guyana
69,2020-09-23,Guyana
71,2020-09-24,Guyana
73,2020-09-25,Guyana
74,2020-09-26,Guyana
76,2020-09-27,Guyana
78,2020-09-28,Guyana
78,2020-09-29,Guyana
80,2020-09-30,Guyana
82,2020-10-01,Guyana
85,2020-10-02,Guyana
85,2020-10-03,Guyana
87,2020-10-04,Guyana
90,2020-10-05,Guyana
92,2020-10-06,Guyana
95,2020-10-07,Guyana
98,2020-10-08,Guyana
100,2020-10-09,Guyana
102,2020-10-10,Guyana
103,2020-10-11,Guyana
104,2020-10-12,Guyana
106,2020-10-13,Guyana
