Deaths,CreationDate,Name
1,2020-04-07,Haiti
1,2020-04-08,Haiti
1,2020-04-09,Haiti
2,2020-04-10,Haiti
2,2020-04-11,Haiti
2,2020-04-12,Haiti
2,2020-04-13,Haiti
3,2020-04-14,Haiti
3,2020-04-15,Haiti
3,2020-04-16,Haiti
3,2020-04-17,Haiti
3,2020-04-18,Haiti
3,2020-04-19,Haiti
3,2020-04-20,Haiti
3,2020-04-21,Haiti
3,2020-04-22,Haiti
4,2020-04-23,Haiti
3,2020-04-24,Haiti
5,2020-04-25,Haiti
6,2020-04-26,Haiti
6,2020-04-27,Haiti
6,2020-04-28,Haiti
6,2020-04-29,Haiti
6,2020-04-30,Haiti
7,2020-05-01,Haiti
8,2020-05-02,Haiti
8,2020-05-03,Haiti
8,2020-05-04,Haiti
9,2020-05-05,Haiti
11,2020-05-06,Haiti
12,2020-05-07,Haiti
12,2020-05-08,Haiti
12,2020-05-09,Haiti
12,2020-05-10,Haiti
12,2020-05-11,Haiti
13,2020-05-12,Haiti
16,2020-05-13,Haiti
18,2020-05-14,Haiti
18,2020-05-15,Haiti
20,2020-05-16,Haiti
20,2020-05-17,Haiti
20,2020-05-18,Haiti
20,2020-05-19,Haiti
21,2020-05-20,Haiti
22,2020-05-21,Haiti
22,2020-05-22,Haiti
25,2020-05-23,Haiti
25,2020-05-24,Haiti
26,2020-05-25,Haiti
27,2020-05-26,Haiti
31,2020-05-27,Haiti
33,2020-05-28,Haiti
34,2020-05-29,Haiti
35,2020-05-30,Haiti
35,2020-05-31,Haiti
41,2020-06-01,Haiti
44,2020-06-02,Haiti
45,2020-06-03,Haiti
48,2020-06-04,Haiti
50,2020-06-05,Haiti
50,2020-06-06,Haiti
50,2020-06-07,Haiti
50,2020-06-08,Haiti
51,2020-06-09,Haiti
54,2020-06-10,Haiti
56,2020-06-11,Haiti
58,2020-06-12,Haiti
64,2020-06-13,Haiti
64,2020-06-14,Haiti
70,2020-06-15,Haiti
73,2020-06-16,Haiti
76,2020-06-17,Haiti
80,2020-06-18,Haiti
82,2020-06-19,Haiti
84,2020-06-20,Haiti
87,2020-06-21,Haiti
88,2020-06-22,Haiti
88,2020-06-23,Haiti
88,2020-06-24,Haiti
