Deaths,CreationDate,Name
1,2020-03-26,Honduras
1,2020-03-27,Honduras
1,2020-03-28,Honduras
3,2020-03-29,Honduras
7,2020-03-30,Honduras
7,2020-03-31,Honduras
10,2020-04-01,Honduras
14,2020-04-02,Honduras
15,2020-04-03,Honduras
15,2020-04-04,Honduras
22,2020-04-05,Honduras
22,2020-04-06,Honduras
22,2020-04-07,Honduras
22,2020-04-08,Honduras
23,2020-04-09,Honduras
23,2020-04-10,Honduras
24,2020-04-11,Honduras
25,2020-04-12,Honduras
25,2020-04-13,Honduras
26,2020-04-14,Honduras
31,2020-04-15,Honduras
35,2020-04-16,Honduras
41,2020-04-17,Honduras
46,2020-04-18,Honduras
46,2020-04-19,Honduras
46,2020-04-20,Honduras
46,2020-04-21,Honduras
46,2020-04-22,Honduras
47,2020-04-23,Honduras
55,2020-04-24,Honduras
59,2020-04-25,Honduras
59,2020-04-26,Honduras
61,2020-04-27,Honduras
64,2020-04-28,Honduras
66,2020-04-29,Honduras
71,2020-04-30,Honduras
75,2020-05-01,Honduras
76,2020-05-02,Honduras
82,2020-05-03,Honduras
83,2020-05-04,Honduras
93,2020-05-05,Honduras
99,2020-05-06,Honduras
105,2020-05-07,Honduras
107,2020-05-08,Honduras
108,2020-05-09,Honduras
108,2020-05-10,Honduras
116,2020-05-11,Honduras
121,2020-05-12,Honduras
123,2020-05-13,Honduras
133,2020-05-14,Honduras
134,2020-05-15,Honduras
138,2020-05-16,Honduras
142,2020-05-17,Honduras
146,2020-05-18,Honduras
147,2020-05-19,Honduras
147,2020-05-20,Honduras
156,2020-05-21,Honduras
167,2020-05-22,Honduras
167,2020-05-23,Honduras
180,2020-05-24,Honduras
182,2020-05-25,Honduras
188,2020-05-26,Honduras
194,2020-05-27,Honduras
196,2020-05-28,Honduras
196,2020-05-29,Honduras
201,2020-05-30,Honduras
212,2020-05-31,Honduras
217,2020-06-01,Honduras
225,2020-06-02,Honduras
234,2020-06-03,Honduras
243,2020-06-04,Honduras
248,2020-06-05,Honduras
250,2020-06-06,Honduras
258,2020-06-07,Honduras
262,2020-06-08,Honduras
271,2020-06-09,Honduras
290,2020-06-10,Honduras
294,2020-06-11,Honduras
306,2020-06-12,Honduras
310,2020-06-13,Honduras
312,2020-06-14,Honduras
322,2020-06-15,Honduras
330,2020-06-16,Honduras
336,2020-06-17,Honduras
343,2020-06-18,Honduras
349,2020-06-19,Honduras
358,2020-06-20,Honduras
363,2020-06-21,Honduras
395,2020-06-22,Honduras
405,2020-06-23,Honduras
417,2020-06-24,Honduras
426,2020-06-25,Honduras
471,2020-06-26,Honduras
479,2020-06-27,Honduras
479,2020-06-28,Honduras
485,2020-06-29,Honduras
497,2020-06-30,Honduras
542,2020-07-01,Honduras
591,2020-07-02,Honduras
605,2020-07-03,Honduras
629,2020-07-04,Honduras
639,2020-07-05,Honduras
656,2020-07-06,Honduras
677,2020-07-07,Honduras
694,2020-07-08,Honduras
704,2020-07-09,Honduras
750,2020-07-10,Honduras
771,2020-07-11,Honduras
774,2020-07-12,Honduras
789,2020-07-13,Honduras
807,2020-07-14,Honduras
825,2020-07-15,Honduras
835,2020-07-16,Honduras
857,2020-07-17,Honduras
891,2020-07-18,Honduras
900,2020-07-19,Honduras
935,2020-07-20,Honduras
988,2020-07-21,Honduras
1006,2020-07-22,Honduras
1011,2020-07-23,Honduras
1061,2020-07-24,Honduras
1098,2020-07-25,Honduras
1116,2020-07-26,Honduras
1166,2020-07-27,Honduras
1214,2020-07-28,Honduras
1259,2020-07-29,Honduras
1312,2020-07-30,Honduras
1337,2020-07-31,Honduras
1368,2020-08-01,Honduras
1377,2020-08-02,Honduras
1384,2020-08-03,Honduras
1400,2020-08-04,Honduras
1423,2020-08-05,Honduras
1446,2020-08-06,Honduras
1465,2020-08-07,Honduras
1476,2020-08-08,Honduras
1495,2020-08-09,Honduras
1506,2020-08-10,Honduras
1515,2020-08-11,Honduras
1533,2020-08-12,Honduras
1542,2020-08-13,Honduras
1548,2020-08-14,Honduras
1567,2020-08-15,Honduras
1575,2020-08-16,Honduras
1583,2020-08-17,Honduras
1593,2020-08-18,Honduras
1608,2020-08-19,Honduras
1619,2020-08-20,Honduras
1632,2020-08-21,Honduras
1643,2020-08-22,Honduras
1654,2020-08-23,Honduras
1683,2020-08-24,Honduras
1703,2020-08-25,Honduras
1747,2020-08-26,Honduras
1803,2020-08-27,Honduras
1827,2020-08-28,Honduras
1842,2020-08-29,Honduras
1858,2020-08-30,Honduras
1873,2020-08-31,Honduras
1888,2020-09-01,Honduras
1924,2020-09-02,Honduras
1954,2020-09-03,Honduras
1984,2020-09-04,Honduras
2006,2020-09-05,Honduras
2007,2020-09-06,Honduras
2023,2020-09-07,Honduras
2034,2020-09-08,Honduras
2044,2020-09-09,Honduras
2049,2020-09-10,Honduras
2058,2020-09-11,Honduras
2065,2020-09-12,Honduras
2079,2020-09-13,Honduras
2087,2020-09-14,Honduras
2087,2020-09-15,Honduras
2102,2020-09-16,Honduras
2122,2020-09-17,Honduras
2146,2020-09-18,Honduras
2166,2020-09-19,Honduras
2184,2020-09-20,Honduras
2204,2020-09-21,Honduras
2206,2020-09-22,Honduras
2222,2020-09-23,Honduras
2249,2020-09-24,Honduras
2271,2020-09-25,Honduras
2288,2020-09-26,Honduras
2288,2020-09-27,Honduras
2301,2020-09-28,Honduras
2323,2020-09-29,Honduras
2353,2020-09-30,Honduras
2380,2020-10-01,Honduras
2386,2020-10-02,Honduras
2399,2020-10-03,Honduras
2422,2020-10-04,Honduras
2433,2020-10-05,Honduras
2447,2020-10-06,Honduras
2466,2020-10-07,Honduras
2477,2020-10-08,Honduras
2492,2020-10-09,Honduras
2504,2020-10-10,Honduras
2512,2020-10-11,Honduras
2521,2020-10-12,Honduras
2528,2020-10-13,Honduras
2533,2020-10-14,Honduras
2552,2020-10-15,Honduras
2556,2020-10-16,Honduras
2563,2020-10-17,Honduras
2568,2020-10-18,Honduras
2576,2020-10-19,Honduras
2582,2020-10-20,Honduras
2596,2020-10-21,Honduras
2604,2020-10-22,Honduras
2604,2020-10-23,Honduras
2617,2020-10-24,Honduras
2623,2020-10-25,Honduras
2633,2020-10-26,Honduras
2639,2020-10-27,Honduras
2652,2020-10-28,Honduras
2661,2020-10-29,Honduras
2669,2020-10-30,Honduras
2669,2020-10-31,Honduras
2675,2020-11-01,Honduras
2688,2020-11-02,Honduras
2706,2020-11-03,Honduras
2730,2020-11-04,Honduras
2736,2020-11-05,Honduras
2741,2020-11-06,Honduras
2745,2020-11-07,Honduras
2745,2020-11-08,Honduras
2765,2020-11-09,Honduras
2780,2020-11-10,Honduras
2797,2020-11-11,Honduras
2804,2020-11-12,Honduras
2820,2020-11-13,Honduras
2822,2020-11-14,Honduras
2823,2020-11-15,Honduras
2839,2020-11-16,Honduras
2839,2020-11-17,Honduras
2839,2020-11-18,Honduras
2839,2020-11-19,Honduras
2853,2020-11-20,Honduras
2857,2020-11-21,Honduras
2857,2020-11-22,Honduras
2869,2020-11-23,Honduras
2869,2020-11-24,Honduras
2888,2020-11-25,Honduras
2892,2020-11-26,Honduras
2899,2020-11-27,Honduras
2905,2020-11-28,Honduras
2909,2020-11-29,Honduras
2918,2020-11-30,Honduras
2918,2020-12-01,Honduras
2930,2020-12-02,Honduras
2938,2020-12-03,Honduras
2938,2020-12-04,Honduras
2941,2020-12-05,Honduras
2946,2020-12-06,Honduras
2946,2020-12-07,Honduras
2950,2020-12-08,Honduras
2961,2020-12-09,Honduras
2968,2020-12-10,Honduras
2971,2020-12-11,Honduras
2974,2020-12-12,Honduras
2975,2020-12-13,Honduras
2989,2020-12-14,Honduras
3001,2020-12-15,Honduras
3013,2020-12-16,Honduras
3021,2020-12-17,Honduras
3023,2020-12-18,Honduras
3023,2020-12-19,Honduras
3027,2020-12-20,Honduras
3034,2020-12-21,Honduras
3046,2020-12-22,Honduras
3054,2020-12-23,Honduras
3054,2020-12-24,Honduras
3061,2020-12-25,Honduras
3065,2020-12-26,Honduras
3065,2020-12-27,Honduras
3066,2020-12-28,Honduras
3111,2020-12-29,Honduras
3111,2020-12-30,Honduras
3130,2020-12-31,Honduras
3160,2021-01-01,Honduras
3173,2021-01-02,Honduras
3180,2021-01-03,Honduras
3181,2021-01-04,Honduras
3186,2021-01-05,Honduras
3192,2021-01-06,Honduras
3200,2021-01-07,Honduras
3244,2021-01-08,Honduras
3264,2021-01-09,Honduras
3273,2021-01-10,Honduras
3285,2021-01-11,Honduras
3294,2021-01-12,Honduras
3320,2021-01-13,Honduras
3335,2021-01-14,Honduras
3344,2021-01-15,Honduras
3348,2021-01-16,Honduras
3354,2021-01-17,Honduras
3368,2021-01-18,Honduras
3391,2021-01-19,Honduras
3406,2021-01-20,Honduras
3422,2021-01-21,Honduras
3439,2021-01-22,Honduras
3441,2021-01-23,Honduras
3447,2021-01-24,Honduras
3462,2021-01-25,Honduras
3486,2021-01-26,Honduras
3512,2021-01-27,Honduras
3549,2021-01-28,Honduras
3575,2021-01-29,Honduras
3592,2021-01-30,Honduras
