Deaths,CreationDate,Name
1,2020-02-04,Hong Kong
1,2020-02-05,Hong Kong
1,2020-02-06,Hong Kong
1,2020-02-07,Hong Kong
1,2020-02-08,Hong Kong
1,2020-02-09,Hong Kong
1,2020-02-10,Hong Kong
1,2020-02-11,Hong Kong
1,2020-02-12,Hong Kong
1,2020-02-13,Hong Kong
1,2020-02-14,Hong Kong
1,2020-02-15,Hong Kong
1,2020-02-16,Hong Kong
1,2020-02-17,Hong Kong
1,2020-02-18,Hong Kong
2,2020-02-19,Hong Kong
2,2020-02-20,Hong Kong
2,2020-02-21,Hong Kong
2,2020-02-22,Hong Kong
2,2020-02-23,Hong Kong
2,2020-02-24,Hong Kong
2,2020-02-25,Hong Kong
2,2020-02-26,Hong Kong
2,2020-02-27,Hong Kong
2,2020-02-28,Hong Kong
2,2020-02-29,Hong Kong
2,2020-03-01,Hong Kong
2,2020-03-02,Hong Kong
2,2020-03-03,Hong Kong
2,2020-03-04,Hong Kong
2,2020-03-05,Hong Kong
2,2020-03-06,Hong Kong
2,2020-03-07,Hong Kong
3,2020-03-08,Hong Kong
3,2020-03-09,Hong Kong
3,2020-03-10,Hong Kong
3,2020-03-11,Hong Kong
3,2020-03-12,Hong Kong
4,2020-03-13,Hong Kong
4,2020-03-14,Hong Kong
4,2020-03-15,Hong Kong
4,2020-03-16,Hong Kong
4,2020-03-17,Hong Kong
4,2020-03-18,Hong Kong
4,2020-03-19,Hong Kong
4,2020-03-20,Hong Kong
4,2020-03-21,Hong Kong
4,2020-03-22,Hong Kong
4,2020-03-23,Hong Kong
4,2020-03-24,Hong Kong
4,2020-03-25,Hong Kong
4,2020-03-26,Hong Kong
4,2020-03-27,Hong Kong
4,2020-03-28,Hong Kong
4,2020-03-29,Hong Kong
4,2020-03-30,Hong Kong
4,2020-03-31,Hong Kong
4,2020-04-01,Hong Kong
4,2020-04-02,Hong Kong
4,2020-04-03,Hong Kong
4,2020-04-04,Hong Kong
4,2020-04-05,Hong Kong
4,2020-04-06,Hong Kong
4,2020-04-07,Hong Kong
4,2020-04-08,Hong Kong
4,2020-04-09,Hong Kong
4,2020-04-10,Hong Kong
4,2020-04-11,Hong Kong
4,2020-04-12,Hong Kong
4,2020-04-13,Hong Kong
4,2020-04-14,Hong Kong
4,2020-04-15,Hong Kong
4,2020-04-16,Hong Kong
4,2020-04-17,Hong Kong
4,2020-04-18,Hong Kong
4,2020-04-19,Hong Kong
4,2020-04-20,Hong Kong
4,2020-04-21,Hong Kong
4,2020-04-22,Hong Kong
4,2020-04-23,Hong Kong
4,2020-04-24,Hong Kong
4,2020-04-25,Hong Kong
4,2020-04-26,Hong Kong
4,2020-04-27,Hong Kong
4,2020-04-28,Hong Kong
4,2020-04-29,Hong Kong
4,2020-04-30,Hong Kong
4,2020-05-01,Hong Kong
4,2020-05-02,Hong Kong
4,2020-05-03,Hong Kong
4,2020-05-04,Hong Kong
4,2020-05-05,Hong Kong
4,2020-05-06,Hong Kong
4,2020-05-07,Hong Kong
4,2020-05-08,Hong Kong
4,2020-05-09,Hong Kong
4,2020-05-10,Hong Kong
4,2020-05-11,Hong Kong
4,2020-05-12,Hong Kong
4,2020-05-13,Hong Kong
4,2020-05-14,Hong Kong
4,2020-05-15,Hong Kong
4,2020-05-16,Hong Kong
4,2020-05-17,Hong Kong
4,2020-05-18,Hong Kong
4,2020-05-19,Hong Kong
4,2020-05-20,Hong Kong
4,2020-05-21,Hong Kong
4,2020-05-22,Hong Kong
4,2020-05-23,Hong Kong
