Deaths,CreationDate,Name
1,2020-03-15,Hungary
1,2020-03-16,Hungary
1,2020-03-17,Hungary
1,2020-03-18,Hungary
1,2020-03-19,Hungary
3,2020-03-20,Hungary
4,2020-03-21,Hungary
6,2020-03-22,Hungary
7,2020-03-23,Hungary
9,2020-03-24,Hungary
10,2020-03-25,Hungary
10,2020-03-26,Hungary
10,2020-03-27,Hungary
11,2020-03-28,Hungary
13,2020-03-29,Hungary
15,2020-03-30,Hungary
16,2020-03-31,Hungary
20,2020-04-01,Hungary
21,2020-04-02,Hungary
26,2020-04-03,Hungary
32,2020-04-04,Hungary
34,2020-04-05,Hungary
38,2020-04-06,Hungary
47,2020-04-07,Hungary
58,2020-04-08,Hungary
66,2020-04-09,Hungary
77,2020-04-10,Hungary
85,2020-04-11,Hungary
99,2020-04-12,Hungary
109,2020-04-13,Hungary
122,2020-04-14,Hungary
134,2020-04-15,Hungary
142,2020-04-16,Hungary
156,2020-04-17,Hungary
172,2020-04-18,Hungary
189,2020-04-19,Hungary
199,2020-04-20,Hungary
213,2020-04-21,Hungary
225,2020-04-22,Hungary
239,2020-04-23,Hungary
262,2020-04-24,Hungary
262,2020-04-25,Hungary
272,2020-04-26,Hungary
280,2020-04-27,Hungary
291,2020-04-28,Hungary
300,2020-04-29,Hungary
312,2020-04-30,Hungary
323,2020-05-01,Hungary
335,2020-05-02,Hungary
340,2020-05-03,Hungary
351,2020-05-04,Hungary
363,2020-05-05,Hungary
373,2020-05-06,Hungary
383,2020-05-07,Hungary
392,2020-05-08,Hungary
405,2020-05-09,Hungary
413,2020-05-10,Hungary
421,2020-05-11,Hungary
425,2020-05-12,Hungary
430,2020-05-13,Hungary
436,2020-05-14,Hungary
442,2020-05-15,Hungary
448,2020-05-16,Hungary
451,2020-05-17,Hungary
462,2020-05-18,Hungary
467,2020-05-19,Hungary
470,2020-05-20,Hungary
473,2020-05-21,Hungary
476,2020-05-22,Hungary
482,2020-05-23,Hungary
486,2020-05-24,Hungary
491,2020-05-25,Hungary
499,2020-05-26,Hungary
505,2020-05-27,Hungary
509,2020-05-28,Hungary
517,2020-05-29,Hungary
524,2020-05-30,Hungary
526,2020-05-31,Hungary
527,2020-06-01,Hungary
532,2020-06-02,Hungary
534,2020-06-03,Hungary
539,2020-06-04,Hungary
542,2020-06-05,Hungary
545,2020-06-06,Hungary
546,2020-06-07,Hungary
548,2020-06-08,Hungary
550,2020-06-09,Hungary
551,2020-06-10,Hungary
553,2020-06-11,Hungary
555,2020-06-12,Hungary
559,2020-06-13,Hungary
562,2020-06-14,Hungary
563,2020-06-15,Hungary
565,2020-06-16,Hungary
567,2020-06-17,Hungary
568,2020-06-18,Hungary
568,2020-06-19,Hungary
570,2020-06-20,Hungary
570,2020-06-21,Hungary
572,2020-06-22,Hungary
573,2020-06-23,Hungary
576,2020-06-24,Hungary
577,2020-06-25,Hungary
578,2020-06-26,Hungary
578,2020-06-27,Hungary
581,2020-06-28,Hungary
585,2020-06-29,Hungary
585,2020-06-30,Hungary
586,2020-07-01,Hungary
587,2020-07-02,Hungary
588,2020-07-03,Hungary
589,2020-07-04,Hungary
589,2020-07-05,Hungary
589,2020-07-06,Hungary
589,2020-07-07,Hungary
589,2020-07-08,Hungary
591,2020-07-09,Hungary
593,2020-07-10,Hungary
595,2020-07-11,Hungary
595,2020-07-12,Hungary
595,2020-07-13,Hungary
595,2020-07-14,Hungary
595,2020-07-15,Hungary
595,2020-07-16,Hungary
595,2020-07-17,Hungary
596,2020-07-18,Hungary
596,2020-07-19,Hungary
596,2020-07-20,Hungary
596,2020-07-21,Hungary
596,2020-07-22,Hungary
596,2020-07-23,Hungary
596,2020-07-24,Hungary
596,2020-07-25,Hungary
596,2020-07-26,Hungary
596,2020-07-27,Hungary
596,2020-07-28,Hungary
596,2020-07-29,Hungary
596,2020-07-30,Hungary
596,2020-07-31,Hungary
597,2020-08-01,Hungary
597,2020-08-02,Hungary
597,2020-08-03,Hungary
598,2020-08-04,Hungary
599,2020-08-05,Hungary
600,2020-08-06,Hungary
602,2020-08-07,Hungary
602,2020-08-08,Hungary
602,2020-08-09,Hungary
605,2020-08-10,Hungary
605,2020-08-11,Hungary
605,2020-08-12,Hungary
607,2020-08-13,Hungary
607,2020-08-14,Hungary
607,2020-08-15,Hungary
608,2020-08-16,Hungary
608,2020-08-17,Hungary
609,2020-08-18,Hungary
609,2020-08-19,Hungary
609,2020-08-20,Hungary
611,2020-08-21,Hungary
611,2020-08-22,Hungary
613,2020-08-23,Hungary
613,2020-08-24,Hungary
614,2020-08-25,Hungary
614,2020-08-26,Hungary
614,2020-08-27,Hungary
614,2020-08-28,Hungary
614,2020-08-29,Hungary
614,2020-08-30,Hungary
615,2020-08-31,Hungary
616,2020-09-01,Hungary
619,2020-09-02,Hungary
620,2020-09-03,Hungary
621,2020-09-04,Hungary
624,2020-09-05,Hungary
624,2020-09-06,Hungary
625,2020-09-07,Hungary
626,2020-09-08,Hungary
628,2020-09-09,Hungary
630,2020-09-10,Hungary
631,2020-09-11,Hungary
633,2020-09-12,Hungary
637,2020-09-13,Hungary
642,2020-09-14,Hungary
646,2020-09-15,Hungary
654,2020-09-16,Hungary
663,2020-09-17,Hungary
669,2020-09-18,Hungary
675,2020-09-19,Hungary
683,2020-09-20,Hungary
686,2020-09-21,Hungary
694,2020-09-22,Hungary
702,2020-09-23,Hungary
709,2020-09-24,Hungary
718,2020-09-25,Hungary
730,2020-09-26,Hungary
736,2020-09-27,Hungary
749,2020-09-28,Hungary
757,2020-09-29,Hungary
765,2020-09-30,Hungary
781,2020-10-01,Hungary
798,2020-10-02,Hungary
812,2020-10-03,Hungary
822,2020-10-04,Hungary
833,2020-10-05,Hungary
853,2020-10-06,Hungary
877,2020-10-07,Hungary
898,2020-10-08,Hungary
913,2020-10-09,Hungary
933,2020-10-10,Hungary
954,2020-10-11,Hungary
968,2020-10-12,Hungary
996,2020-10-13,Hungary
1023,2020-10-14,Hungary
1052,2020-10-15,Hungary
1085,2020-10-16,Hungary
1109,2020-10-17,Hungary
1142,2020-10-18,Hungary
1173,2020-10-19,Hungary
1211,2020-10-20,Hungary
1259,2020-10-21,Hungary
1305,2020-10-22,Hungary
1352,2020-10-23,Hungary
1390,2020-10-24,Hungary
1425,2020-10-25,Hungary
1472,2020-10-26,Hungary
1535,2020-10-27,Hungary
1578,2020-10-28,Hungary
1634,2020-10-29,Hungary
1699,2020-10-30,Hungary
1750,2020-10-31,Hungary
1819,2020-11-01,Hungary
1889,2020-11-02,Hungary
1973,2020-11-03,Hungary
2063,2020-11-04,Hungary
2147,2020-11-05,Hungary
2250,2020-11-06,Hungary
2357,2020-11-07,Hungary
2438,2020-11-08,Hungary
2493,2020-11-09,Hungary
2596,2020-11-10,Hungary
2697,2020-11-11,Hungary
2784,2020-11-12,Hungary
2883,2020-11-13,Hungary
2990,2020-11-14,Hungary
3097,2020-11-15,Hungary
3190,2020-11-16,Hungary
3281,2020-11-17,Hungary
3380,2020-11-18,Hungary
3472,2020-11-19,Hungary
3568,2020-11-20,Hungary
3689,2020-11-21,Hungary
3800,2020-11-22,Hungary
3891,2020-11-23,Hungary
4008,2020-11-24,Hungary
4114,2020-11-25,Hungary
4229,2020-11-26,Hungary
4364,2020-11-27,Hungary
4516,2020-11-28,Hungary
4672,2020-11-29,Hungary
4823,2020-11-30,Hungary
4977,2020-12-01,Hungary
5142,2020-12-02,Hungary
5324,2020-12-03,Hungary
5513,2020-12-04,Hungary
5706,2020-12-05,Hungary
5868,2020-12-06,Hungary
5984,2020-12-07,Hungary
6120,2020-12-08,Hungary
6280,2020-12-09,Hungary
6451,2020-12-10,Hungary
6622,2020-12-11,Hungary
6784,2020-12-12,Hungary
6965,2020-12-13,Hungary
7130,2020-12-14,Hungary
7237,2020-12-15,Hungary
7381,2020-12-16,Hungary
7538,2020-12-17,Hungary
7725,2020-12-18,Hungary
7914,2020-12-19,Hungary
8099,2020-12-20,Hungary
8282,2020-12-21,Hungary
8462,2020-12-22,Hungary
8616,2020-12-23,Hungary
8729,2020-12-24,Hungary
8833,2020-12-25,Hungary
8951,2020-12-26,Hungary
9047,2020-12-27,Hungary
9161,2020-12-28,Hungary
9292,2020-12-29,Hungary
9429,2020-12-30,Hungary
9537,2020-12-31,Hungary
9667,2021-01-01,Hungary
9781,2021-01-02,Hungary
9884,2021-01-03,Hungary
9977,2021-01-04,Hungary
10080,2021-01-05,Hungary
10198,2021-01-06,Hungary
10325,2021-01-07,Hungary
10440,2021-01-08,Hungary
10554,2021-01-09,Hungary
10648,2021-01-10,Hungary
10725,2021-01-11,Hungary
10853,2021-01-12,Hungary
10948,2021-01-13,Hungary
11066,2021-01-14,Hungary
11177,2021-01-15,Hungary
11264,2021-01-16,Hungary
11341,2021-01-17,Hungary
11409,2021-01-18,Hungary
11520,2021-01-19,Hungary
11615,2021-01-20,Hungary
11713,2021-01-21,Hungary
11811,2021-01-22,Hungary
11904,2021-01-23,Hungary
11968,2021-01-24,Hungary
12024,2021-01-25,Hungary
12113,2021-01-26,Hungary
12198,2021-01-27,Hungary
12291,2021-01-28,Hungary
12374,2021-01-29,Hungary
12463,2021-01-30,Hungary
12524,2021-01-31,Hungary
12578,2021-02-01,Hungary
12656,2021-02-02,Hungary
12739,2021-02-03,Hungary
