Deaths,CreationDate,Name
5,2020-03-15,Iceland
1,2020-03-17,Iceland
1,2020-03-18,Iceland
1,2020-03-19,Iceland
1,2020-03-21,Iceland
1,2020-03-22,Iceland
1,2020-03-23,Iceland
2,2020-03-24,Iceland
2,2020-03-25,Iceland
2,2020-03-26,Iceland
2,2020-03-27,Iceland
2,2020-03-28,Iceland
2,2020-03-29,Iceland
2,2020-03-30,Iceland
2,2020-03-31,Iceland
2,2020-04-01,Iceland
4,2020-04-02,Iceland
4,2020-04-03,Iceland
4,2020-04-04,Iceland
4,2020-04-05,Iceland
6,2020-04-06,Iceland
6,2020-04-07,Iceland
6,2020-04-08,Iceland
6,2020-04-09,Iceland
7,2020-04-10,Iceland
8,2020-04-11,Iceland
8,2020-04-12,Iceland
8,2020-04-13,Iceland
8,2020-04-14,Iceland
8,2020-04-15,Iceland
8,2020-04-16,Iceland
9,2020-04-17,Iceland
9,2020-04-18,Iceland
9,2020-04-19,Iceland
10,2020-04-20,Iceland
10,2020-04-21,Iceland
10,2020-04-22,Iceland
10,2020-04-23,Iceland
10,2020-04-24,Iceland
10,2020-04-25,Iceland
10,2020-04-26,Iceland
10,2020-04-27,Iceland
10,2020-04-28,Iceland
10,2020-04-29,Iceland
10,2020-04-30,Iceland
10,2020-05-01,Iceland
10,2020-05-02,Iceland
10,2020-05-03,Iceland
10,2020-05-04,Iceland
10,2020-05-05,Iceland
10,2020-05-06,Iceland
10,2020-05-07,Iceland
10,2020-05-08,Iceland
10,2020-05-09,Iceland
10,2020-05-10,Iceland
10,2020-05-11,Iceland
10,2020-05-12,Iceland
10,2020-05-13,Iceland
10,2020-05-14,Iceland
10,2020-05-15,Iceland
10,2020-05-16,Iceland
10,2020-05-17,Iceland
10,2020-05-18,Iceland
10,2020-05-19,Iceland
10,2020-05-20,Iceland
10,2020-05-21,Iceland
10,2020-05-22,Iceland
10,2020-05-23,Iceland
10,2020-05-24,Iceland
10,2020-05-25,Iceland
10,2020-05-26,Iceland
10,2020-05-27,Iceland
10,2020-05-28,Iceland
10,2020-05-29,Iceland
10,2020-05-30,Iceland
10,2020-05-31,Iceland
10,2020-06-01,Iceland
10,2020-06-02,Iceland
10,2020-06-03,Iceland
10,2020-06-04,Iceland
10,2020-06-05,Iceland
10,2020-06-06,Iceland
10,2020-06-07,Iceland
10,2020-06-08,Iceland
10,2020-06-09,Iceland
10,2020-06-10,Iceland
10,2020-06-11,Iceland
10,2020-06-12,Iceland
10,2020-06-13,Iceland
10,2020-06-14,Iceland
10,2020-06-15,Iceland
10,2020-06-16,Iceland
10,2020-06-17,Iceland
10,2020-06-18,Iceland
10,2020-06-19,Iceland
10,2020-06-20,Iceland
10,2020-06-21,Iceland
10,2020-06-22,Iceland
10,2020-06-23,Iceland
10,2020-06-24,Iceland
10,2020-06-25,Iceland
10,2020-06-26,Iceland
10,2020-06-27,Iceland
10,2020-06-28,Iceland
10,2020-06-29,Iceland
10,2020-06-30,Iceland
10,2020-07-01,Iceland
10,2020-07-02,Iceland
10,2020-07-03,Iceland
10,2020-07-04,Iceland
10,2020-07-05,Iceland
10,2020-07-06,Iceland
10,2020-07-07,Iceland
10,2020-07-08,Iceland
10,2020-07-09,Iceland
10,2020-07-10,Iceland
10,2020-07-11,Iceland
10,2020-07-12,Iceland
10,2020-07-13,Iceland
10,2020-07-14,Iceland
10,2020-07-15,Iceland
10,2020-07-16,Iceland
10,2020-07-17,Iceland
10,2020-07-18,Iceland
10,2020-07-19,Iceland
10,2020-07-20,Iceland
10,2020-07-21,Iceland
10,2020-07-22,Iceland
10,2020-07-23,Iceland
10,2020-07-24,Iceland
10,2020-07-25,Iceland
10,2020-07-26,Iceland
10,2020-07-27,Iceland
10,2020-07-28,Iceland
10,2020-07-29,Iceland
10,2020-07-30,Iceland
10,2020-07-31,Iceland
10,2020-08-01,Iceland
10,2020-08-02,Iceland
10,2020-08-03,Iceland
10,2020-08-04,Iceland
10,2020-08-05,Iceland
10,2020-08-06,Iceland
10,2020-08-07,Iceland
10,2020-08-08,Iceland
10,2020-08-09,Iceland
10,2020-08-10,Iceland
10,2020-08-11,Iceland
10,2020-08-12,Iceland
10,2020-08-13,Iceland
10,2020-08-14,Iceland
10,2020-08-15,Iceland
10,2020-08-16,Iceland
10,2020-08-17,Iceland
10,2020-08-18,Iceland
10,2020-08-19,Iceland
10,2020-08-20,Iceland
10,2020-08-21,Iceland
10,2020-08-22,Iceland
10,2020-08-23,Iceland
10,2020-08-24,Iceland
10,2020-08-25,Iceland
10,2020-08-26,Iceland
10,2020-08-27,Iceland
10,2020-08-28,Iceland
10,2020-08-29,Iceland
10,2020-08-30,Iceland
10,2020-08-31,Iceland
10,2020-09-01,Iceland
10,2020-09-02,Iceland
10,2020-09-03,Iceland
10,2020-09-04,Iceland
10,2020-09-05,Iceland
10,2020-09-06,Iceland
10,2020-09-07,Iceland
10,2020-09-08,Iceland
10,2020-09-09,Iceland
10,2020-09-10,Iceland
10,2020-09-11,Iceland
10,2020-09-12,Iceland
10,2020-09-13,Iceland
10,2020-09-14,Iceland
10,2020-09-15,Iceland
10,2020-09-16,Iceland
10,2020-09-17,Iceland
10,2020-09-18,Iceland
10,2020-09-19,Iceland
10,2020-09-20,Iceland
10,2020-09-21,Iceland
10,2020-09-22,Iceland
10,2020-09-23,Iceland
10,2020-09-24,Iceland
10,2020-09-25,Iceland
10,2020-09-26,Iceland
10,2020-09-27,Iceland
10,2020-09-28,Iceland
10,2020-09-29,Iceland
10,2020-09-30,Iceland
10,2020-10-01,Iceland
10,2020-10-02,Iceland
10,2020-10-03,Iceland
10,2020-10-04,Iceland
10,2020-10-05,Iceland
10,2020-10-06,Iceland
10,2020-10-07,Iceland
10,2020-10-08,Iceland
10,2020-10-09,Iceland
10,2020-10-10,Iceland
10,2020-10-11,Iceland
10,2020-10-12,Iceland
10,2020-10-13,Iceland
10,2020-10-14,Iceland
10,2020-10-15,Iceland
11,2020-10-16,Iceland
11,2020-10-17,Iceland
11,2020-10-18,Iceland
11,2020-10-19,Iceland
11,2020-10-20,Iceland
11,2020-10-21,Iceland
11,2020-10-22,Iceland
11,2020-10-23,Iceland
11,2020-10-24,Iceland
11,2020-10-25,Iceland
11,2020-10-26,Iceland
11,2020-10-27,Iceland
12,2020-10-28,Iceland
