Deaths,CreationDate,Name
1,2020-03-11,India
1,2020-03-12,India
2,2020-03-13,India
2,2020-03-14,India
2,2020-03-15,India
2,2020-03-16,India
3,2020-03-17,India
3,2020-03-18,India
4,2020-03-19,India
5,2020-03-20,India
4,2020-03-21,India
7,2020-03-22,India
10,2020-03-23,India
10,2020-03-24,India
12,2020-03-25,India
20,2020-03-26,India
20,2020-03-27,India
24,2020-03-28,India
27,2020-03-29,India
32,2020-03-30,India
35,2020-03-31,India
58,2020-04-01,India
72,2020-04-02,India
72,2020-04-03,India
86,2020-04-04,India
99,2020-04-05,India
136,2020-04-06,India
150,2020-04-07,India
178,2020-04-08,India
226,2020-04-09,India
246,2020-04-10,India
288,2020-04-11,India
331,2020-04-12,India
358,2020-04-13,India
393,2020-04-14,India
405,2020-04-15,India
448,2020-04-16,India
486,2020-04-17,India
521,2020-04-18,India
559,2020-04-19,India
592,2020-04-20,India
645,2020-04-21,India
681,2020-04-22,India
721,2020-04-23,India
780,2020-04-24,India
825,2020-04-25,India
881,2020-04-26,India
939,2020-04-27,India
1008,2020-04-28,India
1079,2020-04-29,India
1154,2020-04-30,India
1223,2020-05-01,India
1323,2020-05-02,India
1391,2020-05-03,India
1566,2020-05-04,India
1693,2020-05-05,India
1785,2020-05-06,India
1889,2020-05-07,India
1985,2020-05-08,India
2101,2020-05-09,India
2212,2020-05-10,India
2294,2020-05-11,India
2415,2020-05-12,India
2551,2020-05-13,India
2649,2020-05-14,India
2753,2020-05-15,India
2871,2020-05-16,India
3025,2020-05-17,India
3156,2020-05-18,India
3302,2020-05-19,India
3434,2020-05-20,India
3584,2020-05-21,India
3726,2020-05-22,India
3868,2020-05-23,India
4024,2020-05-24,India
4172,2020-05-25,India
4344,2020-05-26,India
4534,2020-05-27,India
4711,2020-05-28,India
4980,2020-05-29,India
5185,2020-05-30,India
5408,2020-05-31,India
5608,2020-06-01,India
5829,2020-06-02,India
6088,2020-06-03,India
6363,2020-06-04,India
6649,2020-06-05,India
6946,2020-06-06,India
7207,2020-06-07,India
7473,2020-06-08,India
7750,2020-06-09,India
8102,2020-06-10,India
8498,2020-06-11,India
8884,2020-06-12,India
9195,2020-06-13,India
9520,2020-06-14,India
9900,2020-06-15,India
11903,2020-06-16,India
12237,2020-06-17,India
12573,2020-06-18,India
12948,2020-06-19,India
13254,2020-06-20,India
13699,2020-06-21,India
14011,2020-06-22,India
14476,2020-06-23,India
14894,2020-06-24,India
15301,2020-06-25,India
15685,2020-06-26,India
16095,2020-06-27,India
16475,2020-06-28,India
16893,2020-06-29,India
17400,2020-06-30,India
17834,2020-07-01,India
18213,2020-07-02,India
18655,2020-07-03,India
19268,2020-07-04,India
19693,2020-07-05,India
20159,2020-07-06,India
20642,2020-07-07,India
21129,2020-07-08,India
21604,2020-07-09,India
22123,2020-07-10,India
22673,2020-07-11,India
23174,2020-07-12,India
23727,2020-07-13,India
24309,2020-07-14,India
24914,2020-07-15,India
25602,2020-07-16,India
26273,2020-07-17,India
26816,2020-07-18,India
27497,2020-07-19,India
28082,2020-07-20,India
28732,2020-07-21,India
29861,2020-07-22,India
30601,2020-07-23,India
31358,2020-07-24,India
32060,2020-07-25,India
32771,2020-07-26,India
33408,2020-07-27,India
34193,2020-07-28,India
34955,2020-07-29,India
35718,2020-07-30,India
36511,2020-07-31,India
37364,2020-08-01,India
38135,2020-08-02,India
38938,2020-08-03,India
39795,2020-08-04,India
40699,2020-08-05,India
41585,2020-08-06,India
42518,2020-08-07,India
43379,2020-08-08,India
44386,2020-08-09,India
45257,2020-08-10,India
46091,2020-08-11,India
47033,2020-08-12,India
48040,2020-08-13,India
49036,2020-08-14,India
49980,2020-08-15,India
50921,2020-08-16,India
51797,2020-08-17,India
52888,2020-08-18,India
53866,2020-08-19,India
54849,2020-08-20,India
55794,2020-08-21,India
56706,2020-08-22,India
57542,2020-08-23,India
58390,2020-08-24,India
59357,2020-08-25,India
60472,2020-08-26,India
61529,2020-08-27,India
62550,2020-08-28,India
63498,2020-08-29,India
64469,2020-08-30,India
65288,2020-08-31,India
66333,2020-09-01,India
67376,2020-09-02,India
68472,2020-09-03,India
69561,2020-09-04,India
70626,2020-09-05,India
71642,2020-09-06,India
72775,2020-09-07,India
73890,2020-09-08,India
75062,2020-09-09,India
76271,2020-09-10,India
77472,2020-09-11,India
78586,2020-09-12,India
79722,2020-09-13,India
80776,2020-09-14,India
82066,2020-09-15,India
83198,2020-09-16,India
84372,2020-09-17,India
85619,2020-09-18,India
86752,2020-09-19,India
87882,2020-09-20,India
88935,2020-09-21,India
90020,2020-09-22,India
91149,2020-09-23,India
92290,2020-09-24,India
93379,2020-09-25,India
94503,2020-09-26,India
95542,2020-09-27,India
96318,2020-09-28,India
97497,2020-09-29,India
98678,2020-09-30,India
99773,2020-10-01,India
100842,2020-10-02,India
101782,2020-10-03,India
102685,2020-10-04,India
103569,2020-10-05,India
104555,2020-10-06,India
105526,2020-10-07,India
106490,2020-10-08,India
107416,2020-10-09,India
108334,2020-10-10,India
109150,2020-10-11,India
109856,2020-10-12,India
110586,2020-10-13,India
111266,2020-10-14,India
112161,2020-10-15,India
112998,2020-10-16,India
114031,2020-10-17,India
114610,2020-10-18,India
115197,2020-10-19,India
115914,2020-10-20,India
116616,2020-10-21,India
117306,2020-10-22,India
117956,2020-10-23,India
118534,2020-10-24,India
119014,2020-10-25,India
119502,2020-10-26,India
120010,2020-10-27,India
120527,2020-10-28,India
121090,2020-10-29,India
121641,2020-10-30,India
122111,2020-10-31,India
122607,2020-11-01,India
123097,2020-11-02,India
123611,2020-11-03,India
124315,2020-11-04,India
124985,2020-11-05,India
125562,2020-11-06,India
126121,2020-11-07,India
126611,2020-11-08,India
127059,2020-11-09,India
127571,2020-11-10,India
128121,2020-11-11,India
128668,2020-11-12,India
129188,2020-11-13,India
129635,2020-11-14,India
130070,2020-11-15,India
130519,2020-11-16,India
130993,2020-11-17,India
131578,2020-11-18,India
132162,2020-11-19,India
132726,2020-11-20,India
133227,2020-11-21,India
133738,2020-11-22,India
134218,2020-11-23,India
134699,2020-11-24,India
135223,2020-11-25,India
135715,2020-11-26,India
136200,2020-11-27,India
