Deaths,CreationDate,Name
1,2020-03-11,Indonesia
1,2020-03-12,Indonesia
4,2020-03-13,Indonesia
5,2020-03-14,Indonesia
5,2020-03-15,Indonesia
5,2020-03-16,Indonesia
5,2020-03-17,Indonesia
19,2020-03-18,Indonesia
25,2020-03-19,Indonesia
32,2020-03-20,Indonesia
38,2020-03-21,Indonesia
48,2020-03-22,Indonesia
49,2020-03-23,Indonesia
55,2020-03-24,Indonesia
58,2020-03-25,Indonesia
78,2020-03-26,Indonesia
87,2020-03-27,Indonesia
102,2020-03-28,Indonesia
114,2020-03-29,Indonesia
122,2020-03-30,Indonesia
136,2020-03-31,Indonesia
157,2020-04-01,Indonesia
170,2020-04-02,Indonesia
181,2020-04-03,Indonesia
191,2020-04-04,Indonesia
198,2020-04-05,Indonesia
209,2020-04-06,Indonesia
221,2020-04-07,Indonesia
240,2020-04-08,Indonesia
280,2020-04-09,Indonesia
306,2020-04-10,Indonesia
327,2020-04-11,Indonesia
373,2020-04-12,Indonesia
399,2020-04-13,Indonesia
459,2020-04-14,Indonesia
469,2020-04-15,Indonesia
496,2020-04-16,Indonesia
520,2020-04-17,Indonesia
535,2020-04-18,Indonesia
582,2020-04-19,Indonesia
590,2020-04-20,Indonesia
616,2020-04-21,Indonesia
635,2020-04-22,Indonesia
647,2020-04-23,Indonesia
689,2020-04-24,Indonesia
720,2020-04-25,Indonesia
743,2020-04-26,Indonesia
765,2020-04-27,Indonesia
773,2020-04-28,Indonesia
784,2020-04-29,Indonesia
792,2020-04-30,Indonesia
800,2020-05-01,Indonesia
831,2020-05-02,Indonesia
845,2020-05-03,Indonesia
864,2020-05-04,Indonesia
872,2020-05-05,Indonesia
895,2020-05-06,Indonesia
930,2020-05-07,Indonesia
943,2020-05-08,Indonesia
959,2020-05-09,Indonesia
973,2020-05-10,Indonesia
991,2020-05-11,Indonesia
1007,2020-05-12,Indonesia
1028,2020-05-13,Indonesia
1043,2020-05-14,Indonesia
1076,2020-05-15,Indonesia
1089,2020-05-16,Indonesia
1148,2020-05-17,Indonesia
1191,2020-05-18,Indonesia
1221,2020-05-19,Indonesia
1242,2020-05-20,Indonesia
1278,2020-05-21,Indonesia
1326,2020-05-22,Indonesia
1351,2020-05-23,Indonesia
1372,2020-05-24,Indonesia
1391,2020-05-25,Indonesia
1418,2020-05-26,Indonesia
1473,2020-05-27,Indonesia
1496,2020-05-28,Indonesia
1520,2020-05-29,Indonesia
1573,2020-05-30,Indonesia
1613,2020-05-31,Indonesia
1641,2020-06-01,Indonesia
1663,2020-06-02,Indonesia
1698,2020-06-03,Indonesia
1721,2020-06-04,Indonesia
1770,2020-06-05,Indonesia
1801,2020-06-06,Indonesia
1851,2020-06-07,Indonesia
1883,2020-06-08,Indonesia
1923,2020-06-09,Indonesia
1959,2020-06-10,Indonesia
2000,2020-06-11,Indonesia
2048,2020-06-12,Indonesia
2091,2020-06-13,Indonesia
2134,2020-06-14,Indonesia
2198,2020-06-15,Indonesia
2231,2020-06-16,Indonesia
2276,2020-06-17,Indonesia
2339,2020-06-18,Indonesia
2373,2020-06-19,Indonesia
2429,2020-06-20,Indonesia
2465,2020-06-21,Indonesia
2500,2020-06-22,Indonesia
2535,2020-06-23,Indonesia
2573,2020-06-24,Indonesia
2620,2020-06-25,Indonesia
2683,2020-06-26,Indonesia
2720,2020-06-27,Indonesia
2754,2020-06-28,Indonesia
2805,2020-06-29,Indonesia
2876,2020-06-30,Indonesia
2934,2020-07-01,Indonesia
2987,2020-07-02,Indonesia
3036,2020-07-03,Indonesia
3089,2020-07-04,Indonesia
3171,2020-07-05,Indonesia
3241,2020-07-06,Indonesia
3309,2020-07-07,Indonesia
3359,2020-07-08,Indonesia
3417,2020-07-09,Indonesia
3469,2020-07-10,Indonesia
3535,2020-07-11,Indonesia
3606,2020-07-12,Indonesia
3656,2020-07-13,Indonesia
3710,2020-07-14,Indonesia
3797,2020-07-15,Indonesia
3873,2020-07-16,Indonesia
3957,2020-07-17,Indonesia
4016,2020-07-18,Indonesia
4143,2020-07-19,Indonesia
4239,2020-07-20,Indonesia
4320,2020-07-21,Indonesia
4459,2020-07-22,Indonesia
4576,2020-07-23,Indonesia
4665,2020-07-24,Indonesia
4714,2020-07-25,Indonesia
4781,2020-07-26,Indonesia
4838,2020-07-27,Indonesia
4901,2020-07-28,Indonesia
4975,2020-07-29,Indonesia
5058,2020-07-30,Indonesia
5131,2020-07-31,Indonesia
5193,2020-08-01,Indonesia
5236,2020-08-02,Indonesia
5302,2020-08-03,Indonesia
5388,2020-08-04,Indonesia
5452,2020-08-05,Indonesia
5521,2020-08-06,Indonesia
5593,2020-08-07,Indonesia
5658,2020-08-08,Indonesia
5723,2020-08-09,Indonesia
5765,2020-08-10,Indonesia
5824,2020-08-11,Indonesia
5903,2020-08-12,Indonesia
5968,2020-08-13,Indonesia
6021,2020-08-14,Indonesia
6071,2020-08-15,Indonesia
6150,2020-08-16,Indonesia
6207,2020-08-17,Indonesia
6277,2020-08-18,Indonesia
6346,2020-08-19,Indonesia
6418,2020-08-20,Indonesia
6500,2020-08-21,Indonesia
6594,2020-08-22,Indonesia
6680,2020-08-23,Indonesia
6759,2020-08-24,Indonesia
6858,2020-08-25,Indonesia
6944,2020-08-26,Indonesia
7064,2020-08-27,Indonesia
7169,2020-08-28,Indonesia
7261,2020-08-29,Indonesia
7343,2020-08-30,Indonesia
7417,2020-08-31,Indonesia
7505,2020-09-01,Indonesia
7616,2020-09-02,Indonesia
7750,2020-09-03,Indonesia
7832,2020-09-04,Indonesia
7940,2020-09-05,Indonesia
8025,2020-09-06,Indonesia
8130,2020-09-07,Indonesia
8230,2020-09-08,Indonesia
8336,2020-09-09,Indonesia
